epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.66792,2.70137,4.04851,2.61997,0.00259,0.53846,0.00324,0.00062,2.26155,4.54936,2.31381,4e-05,4e-05,4e-05
2,3.63931,2.54877,3.99029,2.52456,0.0037,0.76923,0.03045,0.00347,2.32346,4.4641,2.32504,9.901e-05,9.901e-05,9.901e-05
3,4.28466,2.62824,4.12908,2.52575,0.00333,0.69231,0.01318,0.00284,2.35875,4.40321,2.34483,0.000156832,0.000156832,0.000156832
4,4.94923,2.17161,3.77491,2.12222,0.00481,1,0.36857,0.12638,1.83343,3.78429,1.79358,0.000213466,0.000213466,0.000213466
5,5.73536,1.69078,2.79244,1.60563,0.00481,1,0.76264,0.35417,1.66906,3.44886,1.45752,0.000268912,0.000268912,0.000268912
6,6.48242,1.41968,2.01572,1.40871,0.00481,1,0.57052,0.28098,1.68805,3.51673,1.55684,0.00032317,0.00032317,0.00032317
7,7.21077,1.18267,1.8011,1.27554,0.00481,1,0.57709,0.1928,1.65549,3.57675,1.51229,0.00037624,0.00037624,0.00037624
8,7.91981,1.03872,1.62881,1.17265,0.00481,1,0.55146,0.18843,1.71128,3.60999,1.56351,0.000428122,0.000428122,0.000428122
9,8.71041,0.87346,1.52758,1.07247,0.00481,1,0.20502,0.09154,1.61249,3.73283,1.60282,0.000478816,0.000478816,0.000478816
10,9.58196,0.82887,1.33647,1.03445,0.00481,1,0.07439,0.02911,1.65499,3.73102,1.63123,0.000528322,0.000528322,0.000528322
11,10.4763,0.66817,1.16877,0.95839,0.00481,1,0.15695,0.05168,1.5645,3.70376,1.61874,0.00057664,0.00057664,0.00057664
12,11.2129,0.64909,1.06822,0.93849,0.00481,1,0.30512,0.12572,1.50757,3.69759,1.53703,0.00062377,0.00062377,0.00062377
13,11.9397,0.572,1.0504,0.90731,0.00481,1,0.34038,0.13099,1.5851,3.63736,1.61708,0.000669712,0.000669712,0.000669712
14,12.6433,0.53323,0.98757,0.86569,0.00481,1,0.28277,0.14337,1.58743,3.56523,1.66229,0.000714466,0.000714466,0.000714466
15,13.3688,0.53045,1.03263,0.89314,0.00481,1,0.20524,0.07865,1.64706,3.63494,1.73736,0.000758032,0.000758032,0.000758032
16,14.073,0.48397,0.97495,0.87496,0.00481,1,0.33224,0.15593,1.67901,3.49775,1.69363,0.00080041,0.00080041,0.00080041
17,14.8471,0.4526,0.87091,0.85553,1,0.13554,0.6828,0.34979,1.7323,3.24502,1.60132,0.0008416,0.0008416,0.0008416
18,15.5506,0.42638,0.87081,0.83356,1,0.14758,0.72043,0.33162,1.7819,3.20588,1.65159,0.000881602,0.000881602,0.000881602
19,16.264,0.39947,0.81315,0.82648,1,0.21683,0.7259,0.35143,1.77272,3.14613,1.5966,0.000920416,0.000920416,0.000920416
20,16.9666,0.33529,0.79022,0.81426,1,0.30524,0.78021,0.40082,1.79403,3.01553,1.58647,0.000958042,0.000958042,0.000958042
21,17.6815,0.30627,0.71588,0.79369,0.8441,0.38462,0.72992,0.36069,1.81061,3.00359,1.67868,0.00099448,0.00099448,0.00099448
22,18.3909,0.31323,0.66833,0.79862,0.83189,0.38128,0.75241,0.38273,1.87029,2.93099,1.65423,0.00102973,0.00102973,0.00102973
23,19.1003,0.28468,0.69724,0.77801,1,0.55719,0.80618,0.41752,1.79101,2.84658,1.63687,0.00106379,0.00106379,0.00106379
24,19.8255,0.25614,0.62658,0.7724,0.90335,0.72063,0.81913,0.4035,1.80981,2.75393,1.70375,0.00109667,0.00109667,0.00109667
25,20.5262,0.24859,0.63906,0.76489,0.82,0.70152,0.79994,0.40402,1.82939,2.55836,1.68153,0.00112835,0.00112835,0.00112835
