epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.66666,2.62845,4.03919,2.55566,0.0037,0.76923,0.08316,0.00859,2.3239,4.37442,2.30517,8e-05,8e-05,8e-05
2,4.62769,2.41694,3.77517,2.40345,0.00481,1,0.3132,0.08187,1.9145,3.88857,2.06582,0.000178218,0.000178218,0.000178218
3,5.86694,1.71893,2.57619,1.62084,0.00481,1,0.89761,0.40398,1.73936,3.26762,1.48563,0.000274456,0.000274456,0.000274456
4,6.93043,1.39689,2.10733,1.32757,0.00481,1,0.78633,0.30758,1.82946,3.5323,1.57876,0.000368714,0.000368714,0.000368714
5,7.93929,1.2021,1.8007,1.19587,0.89244,0.15385,0.8379,0.42994,1.79887,3.12545,1.52567,0.000460992,0.000460992,0.000460992
6,8.89537,1.02174,1.49604,1.07952,0.75868,0.84615,0.90167,0.39271,1.86784,2.95606,1.55354,0.00055129,0.00055129,0.00055129
7,9.82041,0.88822,1.28394,1.01371,0.91614,0.84082,0.9198,0.4559,1.75217,2.6035,1.52075,0.000639608,0.000639608,0.000639608
8,10.7175,0.82164,1.15607,0.97856,0.90219,0.71083,0.8828,0.43304,1.77853,2.69839,1.53135,0.000725946,0.000725946,0.000725946
9,11.6327,0.72553,1.03892,0.90849,0.72013,0.46154,0.72251,0.30476,1.61218,3.10588,1.40193,0.000810304,0.000810304,0.000810304
10,12.5219,0.66479,0.98666,0.88915,1,0.60322,0.86076,0.38071,1.81767,2.74563,1.50546,0.000892682,0.000892682,0.000892682
11,13.4429,0.62588,0.98276,0.86007,0.7957,0.53846,0.79168,0.37651,1.83008,2.63474,1.44165,0.00097308,0.00097308,0.00097308
12,14.3297,0.52699,0.90272,0.83455,0.99719,0.61538,0.7285,0.389,1.78266,2.31833,1.45835,0.0010515,0.0010515,0.0010515
13,15.1852,0.47571,0.83568,0.81224,0.95758,0.61538,0.7432,0.40672,1.73123,2.33777,1.39673,0.00112794,0.00112794,0.00112794
14,16.0607,0.48752,0.80144,0.82157,0.84367,0.61538,0.76617,0.37842,1.89102,2.39563,1.41746,0.00120239,0.00120239,0.00120239
15,16.9464,0.435,0.75631,0.79384,0.84047,0.69231,0.79939,0.39642,1.8768,2.07463,1.50956,0.00127487,0.00127487,0.00127487
16,17.8009,0.37983,0.702,0.79053,0.86475,0.61538,0.75239,0.33484,1.97468,2.22656,1.54971,0.00134537,0.00134537,0.00134537
17,18.6753,0.36736,0.66759,0.7884,0.61084,0.76923,0.68945,0.30362,2.08091,2.49023,1.66248,0.00141389,0.00141389,0.00141389
18,19.5262,0.34981,0.63695,0.77764,0.6504,0.76923,0.76489,0.36958,1.94965,2.12225,1.51987,0.00148043,0.00148043,0.00148043
19,20.3815,0.36359,0.62382,0.78195,0.75591,0.84615,0.85592,0.43154,1.92614,1.83924,1.54367,0.00154498,0.00154498,0.00154498
20,21.2744,0.32616,0.59116,0.76782,0.81698,0.76923,0.86123,0.47841,1.78555,1.62319,1.41456,0.00160756,0.00160756,0.00160756
21,22.1384,0.30033,0.54927,0.76121,0.74848,0.91607,0.84581,0.47062,1.83439,1.55834,1.47287,0.001604,0.001604,0.001604
22,22.987,0.26808,0.51645,0.75958,0.9147,0.92308,0.87995,0.39847,1.9231,1.6738,1.54873,0.0015842,0.0015842,0.0015842
23,23.8406,0.27687,0.50232,0.75816,0.92198,0.9099,0.90355,0.47729,1.86315,1.58663,1.52864,0.0015644,0.0015644,0.0015644
24,24.7201,0.26806,0.48118,0.75908,0.7749,0.84615,0.87399,0.44588,1.80632,1.62491,1.47482,0.0015446,0.0015446,0.0015446
25,25.5754,0.23942,0.45148,0.75501,0.77219,0.84615,0.87301,0.41725,1.91363,1.67588,1.53679,0.0015248,0.0015248,0.0015248
26,26.4249,0.21595,0.42244,0.75188,0.8426,0.82484,0.881,0.41951,1.88826,1.61865,1.51372,0.001505,0.001505,0.001505
27,27.2816,0.20335,0.42279,0.74658,0.8358,0.84615,0.8853,0.44226,1.88685,1.48736,1.54644,0.0014852,0.0014852,0.0014852
28,28.158,0.21161,0.41123,0.75003,0.96884,0.69231,0.90909,0.44155,1.85256,1.56834,1.55017,0.0014654,0.0014654,0.0014654
29,29.0206,0.19588,0.3727,0.74877,0.91276,0.76923,0.93333,0.46258,1.78866,1.42043,1.51075,0.0014456,0.0014456,0.0014456
