epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.84988,2.77095,4.46196,2.54061,0.00525,0.64545,0.01172,0.00391,2.06995,3.69233,1.92189,0.00022,0.00022,0.00022
2,1.63923,1.93212,3.02589,1.94125,0.00565,0.70909,0.06486,0.01608,1.84718,3.56832,1.68017,0.000455446,0.000455446,0.000455446
3,2.43336,1.6784,2.54024,1.64369,0.0058,0.72727,0.09177,0.03032,1.75326,3.43557,1.55252,0.00068614,0.00068614,0.00068614
4,3.22568,1.54411,2.11268,1.55208,0.14525,0.03636,0.0235,0.00447,1.79483,3.77362,2.0097,0.000912082,0.000912082,0.000912082
5,3.94082,1.41464,1.84967,1.4248,0.20105,0.07273,0.03152,0.00927,1.75639,3.69932,1.83872,0.00113327,0.00113327,0.00113327
6,4.65635,1.28623,1.63298,1.31878,0.10962,0.05041,0.02973,0.00952,1.84548,3.31226,1.79315,0.00134971,0.00134971,0.00134971
7,5.37082,1.22533,1.52781,1.26512,0.2559,0.21818,0.13501,0.04333,1.87982,2.91874,1.8319,0.0015614,0.0015614,0.0015614
8,6.17423,1.188,1.34934,1.24948,0.51236,0.31818,0.3013,0.12536,1.90889,2.50717,1.76553,0.00176833,0.00176833,0.00176833
9,6.98913,1.09329,1.18725,1.18558,0.36961,0.29091,0.21964,0.07949,2.1316,2.55502,1.96138,0.0018416,0.0018416,0.0018416
10,7.72859,1.05507,1.12488,1.15285,0.53829,0.37097,0.33353,0.14283,2.00131,2.21279,1.90642,0.0018218,0.0018218,0.0018218
11,8.536,0.93633,0.98775,1.08449,0.44901,0.38182,0.29979,0.10796,2.09279,2.24414,2.03837,0.001802,0.001802,0.001802
12,9.29107,0.89791,0.9118,1.04832,0.41681,0.46364,0.36243,0.15244,2.14753,1.89746,2.0765,0.0017822,0.0017822,0.0017822
13,10.088,0.85492,0.85488,1.01913,0.51216,0.36364,0.34077,0.13234,2.30983,2.01267,2.34446,0.0017624,0.0017624,0.0017624
14,10.8612,0.75069,0.79803,0.97717,0.49678,0.40909,0.4036,0.16151,2.15548,1.92721,2.15309,0.0017426,0.0017426,0.0017426
15,11.6825,0.73095,0.75367,0.95929,0.52835,0.42727,0.40576,0.17047,2.14402,1.70736,2.25164,0.0017228,0.0017228,0.0017228
16,12.4621,0.70187,0.72624,0.94239,0.39251,0.44055,0.32957,0.1337,2.21767,1.94256,2.21598,0.001703,0.001703,0.001703
17,13.1482,0.69978,0.66632,0.94279,0.53823,0.31818,0.32405,0.11705,2.17286,2.06183,2.19153,0.0016832,0.0016832,0.0016832
18,13.8392,0.68516,0.65125,0.94203,0.57624,0.36364,0.32986,0.12629,2.22211,2.13667,2.20841,0.0016634,0.0016634,0.0016634
19,14.5429,0.64908,0.60951,0.91263,0.47622,0.33636,0.30614,0.11549,2.22154,2.23064,2.15657,0.0016436,0.0016436,0.0016436
20,15.2681,0.60225,0.58134,0.89924,0.53073,0.41818,0.3931,0.15215,2.11814,1.88381,2.06987,0.0016238,0.0016238,0.0016238
21,16.0059,0.56625,0.54238,0.87753,0.46799,0.45583,0.3847,0.14947,2.09947,1.91246,2.00951,0.001604,0.001604,0.001604
22,16.7336,0.53743,0.54405,0.87746,0.58916,0.43636,0.40146,0.14984,2.09956,1.96248,2.00144,0.0015842,0.0015842,0.0015842
23,17.4722,0.52956,0.51828,0.87098,0.58481,0.39698,0.38208,0.15195,2.1323,1.96333,2.14206,0.0015644,0.0015644,0.0015644
24,18.2232,0.50962,0.5245,0.86415,0.46207,0.43636,0.3589,0.14728,2.03267,2.152,2.02307,0.0015446,0.0015446,0.0015446
25,18.9692,0.50355,0.48211,0.85232,0.60676,0.36364,0.36537,0.14946,2.11994,1.84533,2.09151,0.0015248,0.0015248,0.0015248
26,19.6928,0.46129,0.46808,0.84698,0.46662,0.48182,0.39391,0.16439,2.09106,1.80298,2.04041,0.001505,0.001505,0.001505
27,20.4182,0.45797,0.4388,0.8436,0.57227,0.30909,0.29691,0.1284,2.08067,2.18797,2.06219,0.0014852,0.0014852,0.0014852
28,21.1588,0.43279,0.42334,0.83656,0.54496,0.35455,0.35193,0.15643,1.93946,2.18302,1.97593,0.0014654,0.0014654,0.0014654
29,21.8926,0.39584,0.39627,0.82799,0.50583,0.34431,0.32163,0.14514,1.96544,2.28176,2.00183,0.0014456,0.0014456,0.0014456
30,22.6345,0.38874,0.39765,0.82454,0.54403,0.38182,0.37109,0.15238,2.01957,2.05006,2.12067,0.0014258,0.0014258,0.0014258
31,23.3759,0.35353,0.36024,0.81914,0.54798,0.35455,0.37365,0.16666,2.07611,2.07773,2.18603,0.001406,0.001406,0.001406
32,24.0965,0.34047,0.34555,0.81131,0.59981,0.43602,0.40906,0.1775,2.01045,2.00144,2.13204,0.0013862,0.0013862,0.0013862
33,24.9198,0.34882,0.35146,0.81173,0.64334,0.36364,0.40711,0.17207,2.00819,2.07615,2.10649,0.0013664,0.0013664,0.0013664
34,25.6664,0.34218,0.34156,0.81338,0.50819,0.43636,0.40415,0.17884,2.03086,1.94363,2.15209,0.0013466,0.0013466,0.0013466
35,26.4793,0.33235,0.32325,0.80801,0.53208,0.42727,0.39687,0.17597,2.01504,2.20982,2.03502,0.0013268,0.0013268,0.0013268
36,27.2311,0.32202,0.31773,0.80774,0.52536,0.4327,0.40576,0.18291,2.02524,2.08477,2.09491,0.001307,0.001307,0.001307
37,28.0271,0.30621,0.30022,0.80571,0.48022,0.43636,0.41053,0.17043,2.04959,2.07089,2.09345,0.0012872,0.0012872,0.0012872
38,28.7631,0.29732,0.2991,0.79591,0.64227,0.36364,0.40862,0.17722,2.06071,2.04678,2.12447,0.0012674,0.0012674,0.0012674
39,29.5012,0.2946,0.29113,0.7978,0.617,0.34545,0.40155,0.17615,2.01515,2.19391,2.14181,0.0012476,0.0012476,0.0012476
40,30.2334,0.29019,0.28749,0.7987,0.56101,0.41818,0.42283,0.18458,2.03113,2.1776,2.09387,0.0012278,0.0012278,0.0012278
41,31.018,0.28121,0.29296,0.79592,0.60731,0.39369,0.4126,0.18386,2.03706,2.22172,2.11306,0.001208,0.001208,0.001208
42,31.7547,0.27165,0.27341,0.7959,0.58339,0.37273,0.4364,0.19296,2.04665,2.31917,2.06805,0.0011882,0.0011882,0.0011882
43,32.5569,0.26112,0.28364,0.79548,0.54334,0.36364,0.39155,0.17343,2.04463,2.22627,2.0726,0.0011684,0.0011684,0.0011684
44,33.2813,0.26403,0.27495,0.7925,0.47117,0.36364,0.36434,0.15956,2.06997,2.32283,2.17698,0.0011486,0.0011486,0.0011486
45,34.0356,0.24447,0.26003,0.78728,0.47962,0.36364,0.37314,0.16387,2.04335,2.36064,2.09687,0.0011288,0.0011288,0.0011288
46,34.7524,0.24915,0.26532,0.79149,0.54689,0.4,0.39611,0.17135,2.05843,2.28917,2.15635,0.001109,0.001109,0.001109
47,35.483,0.23374,0.25757,0.78778,0.53571,0.39091,0.41506,0.18482,2.04051,2.35473,2.16551,0.0010892,0.0010892,0.0010892
48,36.1892,0.23172,0.25098,0.78713,0.61332,0.40378,0.45165,0.19588,2.07278,2.43691,2.16945,0.0010694,0.0010694,0.0010694
49,36.9747,0.23796,0.25311,0.78958,0.59535,0.39091,0.43599,0.19105,2.05125,2.27344,2.08933,0.0010496,0.0010496,0.0010496
50,37.6926,0.22583,0.24419,0.78836,0.55536,0.40909,0.42307,0.18639,2.04402,2.12684,2.10646,0.0010298,0.0010298,0.0010298
51,38.4189,0.21808,0.23878,0.78181,0.57368,0.38182,0.42103,0.18225,2.07125,2.31029,2.13548,0.00101,0.00101,0.00101
52,39.1612,0.2031,0.22799,0.78391,0.56111,0.36364,0.3938,0.17733,2.05588,2.32974,2.15899,0.0009902,0.0009902,0.0009902
53,39.8986,0.19753,0.22954,0.78273,0.53664,0.34747,0.41635,0.18463,1.99736,2.52735,2.11442,0.0009704,0.0009704,0.0009704
54,40.635,0.19912,0.2267,0.78266,0.53205,0.36364,0.40776,0.19152,2.01986,2.36085,2.13855,0.0009506,0.0009506,0.0009506
55,41.3945,0.1913,0.22111,0.78021,0.55274,0.39091,0.42936,0.19147,2.0401,2.25968,2.13028,0.0009308,0.0009308,0.0009308
56,42.1281,0.19154,0.21919,0.78172,0.5636,0.39091,0.4319,0.19853,2.05536,2.28995,2.12205,0.000911,0.000911,0.000911
57,42.9361,0.1967,0.22205,0.78183,0.58408,0.41818,0.44148,0.19294,2.04806,2.30546,2.13148,0.0008912,0.0008912,0.0008912
58,43.6694,0.19576,0.22789,0.78284,0.57541,0.39428,0.4201,0.19089,2.05421,2.3486,2.16984,0.0008714,0.0008714,0.0008714
59,44.3965,0.18774,0.22107,0.78019,0.55222,0.36364,0.42468,0.19307,2.01441,2.55153,2.14986,0.0008516,0.0008516,0.0008516
60,45.1495,0.18065,0.20785,0.77801,0.56734,0.38147,0.42507,0.18954,2.03303,2.48783,2.15225,0.0008318,0.0008318,0.0008318
61,45.8561,0.1722,0.21129,0.77916,0.58168,0.38182,0.4174,0.18244,2.03537,2.46241,2.13239,0.000812,0.000812,0.000812
62,46.5621,0.17322,0.21352,0.77826,0.55613,0.31893,0.39682,0.18543,2.01299,2.62814,2.12078,0.0007922,0.0007922,0.0007922
63,47.2659,0.1662,0.20514,0.77799,0.59281,0.36364,0.42656,0.18396,2.0207,2.58392,2.14699,0.0007724,0.0007724,0.0007724
64,47.9866,0.15816,0.19751,0.77546,0.52695,0.36364,0.41275,0.18037,2.06624,2.49592,2.1661,0.0007526,0.0007526,0.0007526
65,48.6987,0.1533,0.19595,0.775,0.60719,0.35455,0.43086,0.19337,2.0556,2.61608,2.14252,0.0007328,0.0007328,0.0007328
66,49.4309,0.15225,0.19301,0.77357,0.58318,0.34545,0.41819,0.18892,2.06822,2.57638,2.14837,0.000713,0.000713,0.000713
67,50.163,0.15527,0.19551,0.77609,0.60613,0.35455,0.42935,0.19288,2.05537,2.53648,2.12739,0.0006932,0.0006932,0.0006932
68,50.8746,0.14606,0.18537,0.77257,0.58221,0.36364,0.42182,0.18826,2.05399,2.54858,2.1463,0.0006734,0.0006734,0.0006734
69,51.5693,0.14302,0.18807,0.77338,0.59123,0.3945,0.42896,0.1872,2.0505,2.52497,2.15656,0.0006536,0.0006536,0.0006536
70,52.2537,0.14371,0.18571,0.77518,0.58833,0.37273,0.42753,0.1882,2.05731,2.61252,2.16532,0.0006338,0.0006338,0.0006338
71,52.9385,0.14001,0.18303,0.77334,0.60617,0.4,0.42714,0.19173,2.06128,2.54069,2.17381,0.000614,0.000614,0.000614
72,53.6405,0.1323,0.17848,0.77123,0.62257,0.36364,0.43239,0.18772,2.05006,2.63443,2.14523,0.0005942,0.0005942,0.0005942
73,54.3643,0.13948,0.18615,0.77552,0.62679,0.34545,0.42843,0.18874,2.04071,2.69015,2.13178,0.0005744,0.0005744,0.0005744
74,55.0775,0.13437,0.18595,0.77359,0.58981,0.35455,0.41741,0.18237,2.0566,2.58802,2.13764,0.0005546,0.0005546,0.0005546
