epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.05093,2.34931,3.86759,2.23774,0.00492,0.5339,0.01932,0.00605,1.99519,3.59475,1.95714,0.00046,0.00046,0.00046
2,3.36797,1.6411,2.56801,1.58582,0.00529,0.61864,0.00748,0.00306,1.84971,3.42612,1.84542,0.000930694,0.000930694,0.000930694
3,4.62243,1.53267,2.07453,1.50656,0.51225,0.07627,0.16557,0.06013,1.84123,2.85852,1.77733,0.00139188,0.00139188,0.00139188
4,6.0069,1.52889,1.87583,1.44079,0.53522,0.42373,0.35373,0.14607,1.89293,1.97868,1.7175,0.00184357,0.00184357,0.00184357
5,7.29004,1.37811,1.56128,1.34637,0.59562,0.37288,0.35521,0.14821,1.95191,2.047,1.86496,0.0019208,0.0019208,0.0019208
6,8.56958,1.28909,1.32846,1.27262,0.58693,0.4322,0.38737,0.12466,2.18935,2.13404,2.10299,0.001901,0.001901,0.001901
7,9.8084,1.13206,1.12116,1.17816,0.70709,0.40678,0.43921,0.16415,2.13009,1.65035,2.01764,0.0018812,0.0018812,0.0018812
8,11.0819,1.03182,0.97442,1.11177,0.68634,0.42373,0.46815,0.19899,2.09351,1.4628,1.88762,0.0018614,0.0018614,0.0018614
9,12.3791,0.92162,0.82751,1.06184,0.58152,0.38862,0.41403,0.17496,2.07548,1.74244,1.92736,0.0018416,0.0018416,0.0018416
10,13.6178,0.87915,0.76625,1.0206,0.67506,0.44015,0.4773,0.1958,2.02579,1.65697,1.9607,0.0018218,0.0018218,0.0018218
11,14.8579,0.81576,0.70542,0.99122,0.57519,0.5,0.49859,0.19013,2.10036,1.44208,1.95788,0.001802,0.001802,0.001802
12,16.0697,0.82086,0.65725,0.98067,0.74383,0.37288,0.43655,0.18377,2.10928,1.57299,1.93389,0.0017822,0.0017822,0.0017822
13,17.2785,0.74654,0.61752,0.95997,0.57625,0.47458,0.46163,0.1838,2.16067,1.48993,2.04685,0.0017624,0.0017624,0.0017624
14,18.5116,0.63742,0.54839,0.91465,0.63218,0.40678,0.44632,0.19849,2.09295,1.88686,2.09103,0.0017426,0.0017426,0.0017426
15,19.7827,0.60196,0.51894,0.89062,0.53463,0.25424,0.28531,0.12111,2.08812,2.23251,1.94285,0.0017228,0.0017228,0.0017228
16,21.0305,0.61971,0.50036,0.90231,0.6129,0.44068,0.43764,0.17183,2.07425,1.54612,1.9555,0.001703,0.001703,0.001703
17,22.3499,0.5609,0.47252,0.87719,0.76136,0.19492,0.2548,0.10624,2.05767,2.99791,1.91775,0.0016832,0.0016832,0.0016832
18,23.5963,0.52267,0.43854,0.86414,0.72293,0.34746,0.42022,0.17657,2.09002,1.80969,1.98793,0.0016634,0.0016634,0.0016634
19,24.8251,0.4867,0.41838,0.85424,0.62155,0.38983,0.43673,0.19758,2.06043,1.80374,2.03368,0.0016436,0.0016436,0.0016436
20,26.0274,0.47807,0.40799,0.84711,0.74104,0.46079,0.5318,0.2313,2.09575,1.50725,2.01012,0.0016238,0.0016238,0.0016238
21,27.3484,0.44028,0.38564,0.83606,0.74153,0.38136,0.48983,0.20442,2.01758,2.13434,2.01087,0.001604,0.001604,0.001604
22,28.5912,0.42248,0.37063,0.8353,0.60073,0.4322,0.48387,0.21278,2.087,1.49749,1.99625,0.0015842,0.0015842,0.0015842
23,29.8122,0.42086,0.36576,0.83174,0.67134,0.36441,0.43628,0.18846,2.06197,1.84274,2.05087,0.0015644,0.0015644,0.0015644
24,31.0463,0.3707,0.34462,0.81967,0.6704,0.44817,0.49264,0.20833,2.06499,1.50331,2.04051,0.0015446,0.0015446,0.0015446
25,32.2595,0.36715,0.32532,0.81635,0.49626,0.44249,0.44728,0.19317,2.05107,1.47898,1.98161,0.0015248,0.0015248,0.0015248
26,33.4877,0.35025,0.31772,0.81113,0.7986,0.36441,0.46569,0.20714,1.98795,1.71214,1.96443,0.001505,0.001505,0.001505
27,34.7356,0.34643,0.31269,0.8085,0.7277,0.40767,0.48391,0.20916,2.0841,1.71286,2.0836,0.0014852,0.0014852,0.0014852
28,35.9445,0.32547,0.30353,0.80376,0.66683,0.35593,0.42921,0.18038,2.12068,1.8553,2.10879,0.0014654,0.0014654,0.0014654
29,37.1919,0.33502,0.29182,0.80801,0.61377,0.3771,0.44221,0.18338,2.10509,1.89157,2.02863,0.0014456,0.0014456,0.0014456
30,38.4158,0.29493,0.27412,0.7987,0.66008,0.33898,0.43698,0.18832,2.10917,1.98586,2.03563,0.0014258,0.0014258,0.0014258
31,39.6493,0.28496,0.26444,0.79779,0.67506,0.44915,0.48761,0.21048,2.06049,1.75748,2.08874,0.001406,0.001406,0.001406
32,40.8928,0.27319,0.26483,0.7925,0.67858,0.42373,0.47534,0.20718,2.04201,1.7912,2.03588,0.0013862,0.0013862,0.0013862
33,42.1648,0.25775,0.25808,0.79108,0.68139,0.43499,0.50398,0.224,2.05266,1.81461,2.04068,0.0013664,0.0013664,0.0013664
34,43.4223,0.24435,0.24651,0.78692,0.61897,0.40678,0.45213,0.20529,2.0689,1.99639,2.05875,0.0013466,0.0013466,0.0013466
35,44.5995,0.2336,0.23587,0.78459,0.60796,0.44068,0.4819,0.22106,2.09966,1.78328,2.07828,0.0013268,0.0013268,0.0013268
36,45.8274,0.22584,0.23323,0.78912,0.60059,0.40678,0.46963,0.20528,2.09166,1.9657,2.1189,0.001307,0.001307,0.001307
