epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.823215,2.84943,4.64544,2.58091,0.00481,0.62745,0.00883,0.00225,2.13229,3.76929,2.13489,0.00022,0.00022,0.00022
2,1.66115,1.93782,3.07332,1.89794,0.00404,0.51961,0.0047,0.00141,2.03413,3.82854,2.26109,0.000455446,0.000455446,0.000455446
3,2.42035,1.76302,2.66189,1.61912,0.00357,0.48039,0.00411,0.00138,2.08404,4.09663,2.26161,0.00068614,0.00068614,0.00068614
4,3.18413,1.71875,2.45654,1.55948,0.00471,0.63725,0.01556,0.00415,1.83757,3.67084,1.96837,0.000912082,0.000912082,0.000912082
5,3.99732,1.61239,2.1744,1.43485,0.25371,0.14706,0.11404,0.03157,1.89173,3.38083,2.01767,0.00113327,0.00113327,0.00113327
6,4.78421,1.56438,1.974,1.42247,0.4806,0.09804,0.13606,0.03543,1.81792,3.3774,1.8834,0.00134971,0.00134971,0.00134971
7,5.5715,1.55359,1.91845,1.4528,0.43652,0.47089,0.38012,0.15373,1.89527,2.4467,1.79246,0.0015614,0.0015614,0.0015614
8,6.34214,1.55297,1.8278,1.44095,0.41542,0.5,0.40539,0.1481,1.98822,2.49856,1.85813,0.00176833,0.00176833,0.00176833
9,7.09422,1.60526,1.73652,1.48694,0.5097,0.48039,0.4309,0.17972,1.95231,2.16355,1.77582,0.0018416,0.0018416,0.0018416
10,7.87985,1.49434,1.51665,1.39183,0.49677,0.51961,0.4444,0.18014,2.01551,2.02225,1.79954,0.0018218,0.0018218,0.0018218
11,8.66782,1.40582,1.40294,1.32716,0.83549,0.40196,0.50368,0.23074,1.86896,2.02118,1.66114,0.001802,0.001802,0.001802
12,9.46175,1.32624,1.30053,1.27524,0.67265,0.56863,0.52305,0.1891,2.03718,2.12352,1.79729,0.0017822,0.0017822,0.0017822
13,10.206,1.29147,1.2267,1.26156,0.62078,0.57843,0.53127,0.21096,2.06494,1.95481,1.8477,0.0017624,0.0017624,0.0017624
14,10.945,1.24938,1.11609,1.21182,0.71256,0.48039,0.54637,0.22819,2.08542,1.78248,1.76382,0.0017426,0.0017426,0.0017426
15,11.6738,1.15668,1.02901,1.16344,0.634,0.56043,0.53123,0.1974,2.22369,1.79128,1.89613,0.0017228,0.0017228,0.0017228
16,12.4194,1.145,0.98991,1.1569,0.4936,0.59804,0.48108,0.20327,2.02562,1.78827,1.79777,0.001703,0.001703,0.001703
17,13.1258,1.11627,0.92969,1.14034,0.53338,0.54902,0.51775,0.19574,2.1205,1.70756,1.94638,0.0016832,0.0016832,0.0016832
18,13.8287,1.1271,0.91973,1.13641,0.75493,0.47059,0.52363,0.20158,2.06797,1.84454,1.81733,0.0016634,0.0016634,0.0016634
19,14.5617,1.0555,0.86152,1.10329,0.73264,0.60784,0.60197,0.22428,2.0632,1.78355,1.79768,0.0016436,0.0016436,0.0016436
20,15.2866,1.02443,0.7928,1.09262,0.62422,0.51961,0.53032,0.19739,2.13319,1.97744,1.88805,0.0016238,0.0016238,0.0016238
21,16.0187,1.00393,0.78291,1.07278,0.57663,0.57843,0.56117,0.21282,2.13974,1.87567,1.9599,0.001604,0.001604,0.001604
22,16.76,0.96828,0.79238,1.06807,0.63604,0.56863,0.53703,0.21255,2.09417,1.83519,1.89076,0.0015842,0.0015842,0.0015842
23,17.4891,0.88664,0.71244,1.02589,0.77584,0.5098,0.55844,0.23406,1.94144,1.66285,1.74989,0.0015644,0.0015644,0.0015644
24,18.2866,0.92267,0.69558,1.03412,0.60636,0.57843,0.55527,0.23426,1.96448,1.71374,1.81444,0.0015446,0.0015446,0.0015446
25,19.0568,0.94879,0.69124,1.03892,0.673,0.5098,0.48025,0.18874,2.09375,2.11676,1.89063,0.0015248,0.0015248,0.0015248
26,19.7765,0.86101,0.67642,0.99932,0.79108,0.52941,0.56167,0.21754,2.07124,1.7353,1.88996,0.001505,0.001505,0.001505
27,20.4797,0.77827,0.59114,0.96827,0.70706,0.46078,0.48273,0.18952,2.10024,1.92291,1.98067,0.0014852,0.0014852,0.0014852
28,21.2076,0.76662,0.58346,0.94826,0.54707,0.59804,0.52627,0.21669,2.11486,1.71725,2.07603,0.0014654,0.0014654,0.0014654
29,21.9137,0.73549,0.58082,0.94135,0.5936,0.60784,0.58634,0.23987,2.12503,1.77642,2.04821,0.0014456,0.0014456,0.0014456
30,22.6884,0.75256,0.55594,0.95835,0.58786,0.55882,0.5626,0.23876,2.09142,1.96028,2.00561,0.0014258,0.0014258,0.0014258
31,23.4022,0.71816,0.53679,0.94003,0.71429,0.54902,0.56702,0.2295,2.08527,1.90374,1.97128,0.001406,0.001406,0.001406
32,24.1397,0.66231,0.52405,0.9169,0.7098,0.59804,0.59559,0.23575,2.09217,1.72634,1.94977,0.0013862,0.0013862,0.0013862
33,24.8624,0.62883,0.49508,0.9018,0.68123,0.50286,0.54325,0.21716,2.02918,2.04353,1.84085,0.0013664,0.0013664,0.0013664
34,25.5967,0.66611,0.49926,0.91642,0.80189,0.46078,0.538,0.21559,2.03089,1.92757,1.89745,0.0013466,0.0013466,0.0013466
35,26.3444,0.62181,0.47012,0.89789,0.61481,0.57899,0.53404,0.21157,2.06208,1.90008,1.92077,0.0013268,0.0013268,0.0013268
36,27.0737,0.60717,0.46351,0.90352,0.78031,0.52941,0.58973,0.23616,2.18861,1.68945,2.05466,0.001307,0.001307,0.001307
37,27.801,0.57961,0.43987,0.882,0.67131,0.58824,0.59329,0.23001,2.14542,1.74642,2.05031,0.0012872,0.0012872,0.0012872
38,28.539,0.57105,0.44097,0.87525,0.76024,0.4902,0.56377,0.20577,2.1142,1.87622,2.03754,0.0012674,0.0012674,0.0012674
39,29.2477,0.57045,0.42819,0.88212,0.67075,0.52941,0.5552,0.21339,2.13689,1.80903,2.12114,0.0012476,0.0012476,0.0012476
40,29.9602,0.54902,0.41343,0.86696,0.66518,0.52592,0.56957,0.23964,2.07549,2.14178,2.03377,0.0012278,0.0012278,0.0012278
41,30.7,0.49945,0.40384,0.85537,0.5867,0.4902,0.51442,0.20623,2.05166,2.28527,1.97187,0.001208,0.001208,0.001208
42,31.4094,0.52145,0.39485,0.86201,0.72461,0.59333,0.60057,0.23759,2.10664,1.98999,2.07661,0.0011882,0.0011882,0.0011882
43,32.1145,0.50431,0.38632,0.85315,0.75257,0.56659,0.6004,0.23465,2.13769,1.77976,2.02474,0.0011684,0.0011684,0.0011684
44,32.8182,0.4867,0.37966,0.85232,0.67575,0.59804,0.60883,0.24329,2.10841,1.87787,2.02926,0.0011486,0.0011486,0.0011486
45,33.6086,0.47993,0.37956,0.8475,0.66159,0.61337,0.59684,0.22842,2.13145,1.84688,2.03292,0.0011288,0.0011288,0.0011288
46,34.3278,0.48965,0.3663,0.85733,0.60572,0.58824,0.5322,0.21288,2.11459,2.03417,2.03404,0.001109,0.001109,0.001109
47,35.0285,0.46144,0.35518,0.8443,0.63785,0.59804,0.60896,0.24633,2.0557,2.09053,1.9787,0.0010892,0.0010892,0.0010892
48,35.7996,0.45378,0.35751,0.83789,0.70699,0.5914,0.62584,0.24166,2.09657,2.06093,1.98572,0.0010694,0.0010694,0.0010694
49,36.5219,0.45358,0.35025,0.8449,0.65414,0.63047,0.62483,0.25283,2.11722,1.86277,2.04947,0.0010496,0.0010496,0.0010496
50,37.3017,0.46099,0.34815,0.84457,0.73242,0.59804,0.60582,0.25573,2.06819,2.10583,1.99717,0.0010298,0.0010298,0.0010298
51,38.0924,0.41471,0.33189,0.83356,0.65039,0.55882,0.52226,0.21586,2.02597,2.36255,1.91961,0.00101,0.00101,0.00101
52,38.8188,0.42695,0.3336,0.83873,0.70468,0.56148,0.54135,0.22438,2.02846,2.02033,1.94331,0.0009902,0.0009902,0.0009902
53,39.5219,0.39033,0.3231,0.82422,0.66505,0.58824,0.59177,0.24698,2.0391,2.09845,2.00529,0.0009704,0.0009704,0.0009704
54,40.2556,0.39937,0.3085,0.82706,0.70586,0.57843,0.59264,0.25042,2.01158,2.06816,2.0307,0.0009506,0.0009506,0.0009506
55,40.995,0.4115,0.30624,0.83095,0.77267,0.57843,0.60533,0.25299,2.05321,1.99673,2.054,0.0009308,0.0009308,0.0009308
56,41.6953,0.36002,0.29189,0.81086,0.73362,0.54902,0.5732,0.24545,2.08018,1.9835,2.08641,0.000911,0.000911,0.000911
57,42.4259,0.35289,0.27923,0.80739,0.70182,0.57843,0.60471,0.25105,2.06522,2.13139,2.04874,0.0008912,0.0008912,0.0008912
58,43.1491,0.37714,0.29043,0.82412,0.77249,0.54902,0.62193,0.25742,2.07292,2.16839,2.06038,0.0008714,0.0008714,0.0008714
59,43.9145,0.35266,0.28176,0.8135,0.75557,0.60613,0.63741,0.26914,2.04476,2.05605,2.06773,0.0008516,0.0008516,0.0008516
60,44.7013,0.34852,0.27119,0.81128,0.68921,0.62745,0.62857,0.25815,2.06792,1.87252,2.0783,0.0008318,0.0008318,0.0008318
61,45.4233,0.34329,0.26523,0.82015,0.73897,0.57843,0.5964,0.25181,2.05848,1.85964,2.04753,0.000812,0.000812,0.000812
62,46.1426,0.35057,0.27097,0.81715,0.68745,0.56068,0.58009,0.25075,2.05494,2.00691,2.0617,0.0007922,0.0007922,0.0007922
63,46.8598,0.32817,0.267,0.81434,0.66028,0.59072,0.58147,0.25209,2.05458,2.10768,2.02765,0.0007724,0.0007724,0.0007724
64,47.5663,0.31824,0.25334,0.80589,0.70091,0.62036,0.59176,0.24396,2.03538,2.05161,2.06396,0.0007526,0.0007526,0.0007526
65,48.2445,0.30347,0.24457,0.80028,0.68777,0.59804,0.59717,0.25421,2.05818,1.99747,2.08231,0.0007328,0.0007328,0.0007328
66,48.9239,0.307,0.2409,0.80756,0.66705,0.60784,0.61375,0.25685,2.08698,1.95728,2.08462,0.000713,0.000713,0.000713
67,49.6143,0.30424,0.24619,0.80518,0.68098,0.60691,0.61906,0.25684,2.08455,2.03202,2.05639,0.0006932,0.0006932,0.0006932
68,50.3355,0.28695,0.23886,0.79442,0.67846,0.62063,0.58288,0.2392,2.06621,2.11843,2.04543,0.0006734,0.0006734,0.0006734
69,51.0718,0.29165,0.22928,0.7961,0.70587,0.58819,0.5879,0.23968,2.06743,2.11195,2.07284,0.0006536,0.0006536,0.0006536
70,51.7796,0.27093,0.22395,0.79371,0.68637,0.60784,0.58871,0.24473,2.06549,2.12274,2.11858,0.0006338,0.0006338,0.0006338
71,52.5146,0.28387,0.22877,0.80467,0.69089,0.61359,0.59337,0.24178,2.08507,2.13513,2.11212,0.000614,0.000614,0.000614
72,53.2393,0.25033,0.21528,0.78909,0.71823,0.58824,0.59111,0.24331,2.08673,2.1338,2.11507,0.0005942,0.0005942,0.0005942
73,53.9594,0.25412,0.21447,0.7916,0.73412,0.59555,0.5863,0.24423,2.07895,2.08406,2.09449,0.0005744,0.0005744,0.0005744
74,54.7009,0.25666,0.21646,0.79914,0.70859,0.61765,0.59071,0.24435,2.09433,2.09359,2.0769,0.0005546,0.0005546,0.0005546
75,55.4341,0.22964,0.20277,0.7857,0.722,0.61765,0.61329,0.24621,2.07736,2.13022,2.06829,0.0005348,0.0005348,0.0005348
76,56.1576,0.28584,0.21392,0.81605,0.70161,0.62242,0.61519,0.25652,2.07673,2.05463,2.07694,0.000515,0.000515,0.000515
77,56.8757,0.24846,0.20299,0.79583,0.72332,0.60784,0.61606,0.25332,2.07173,1.97046,2.05757,0.0004952,0.0004952,0.0004952
78,57.5773,0.2588,0.2141,0.79982,0.74056,0.58769,0.61263,0.25447,2.07388,2.03042,2.06658,0.0004754,0.0004754,0.0004754
79,58.2918,0.2499,0.20564,0.79926,0.70394,0.59804,0.62005,0.25106,2.08356,2.15042,2.06629,0.0004556,0.0004556,0.0004556
80,58.9991,0.24993,0.20529,0.79615,0.72222,0.63725,0.61862,0.24977,2.08986,2.16425,2.09523,0.0004358,0.0004358,0.0004358
81,59.6958,0.23633,0.20623,0.79348,0.72374,0.60784,0.60837,0.25101,2.08855,2.11722,2.08851,0.000416,0.000416,0.000416
82,60.3849,0.22957,0.19455,0.7914,0.72005,0.59804,0.6075,0.25708,2.07449,2.14705,2.0576,0.0003962,0.0003962,0.0003962
83,61.071,0.21838,0.18683,0.78923,0.69807,0.61204,0.61545,0.26244,2.0877,2.14349,2.05809,0.0003764,0.0003764,0.0003764
84,61.7597,0.22074,0.19128,0.7908,0.71196,0.60784,0.60887,0.25797,2.0725,2.18318,2.05267,0.0003566,0.0003566,0.0003566
85,62.4463,0.19645,0.1734,0.78114,0.72044,0.62745,0.59992,0.25263,2.04331,2.2336,2.04904,0.0003368,0.0003368,0.0003368
86,63.1376,0.20575,0.18133,0.78744,0.69836,0.61287,0.60658,0.25042,2.05101,2.15004,2.07919,0.000317,0.000317,0.000317
87,63.8619,0.21409,0.18567,0.79272,0.75907,0.5869,0.61493,0.25181,2.07001,2.09354,2.09883,0.0002972,0.0002972,0.0002972
88,64.5839,0.20084,0.18132,0.78532,0.73511,0.60784,0.62345,0.25736,2.07851,2.108,2.09515,0.0002774,0.0002774,0.0002774
89,65.3073,0.20836,0.17744,0.79329,0.73234,0.60784,0.62585,0.259,2.07991,2.13732,2.09905,0.0002576,0.0002576,0.0002576
90,66.0162,0.19024,0.16577,0.78419,0.73067,0.60784,0.62188,0.26278,2.07801,2.16487,2.10204,0.0002378,0.0002378,0.0002378
91,67.4769,0.18642,0.16776,0.78371,0.70787,0.61766,0.60637,0.25448,2.07568,2.17613,2.10304,0.000218,0.000218,0.000218
92,68.3062,0.18075,0.16938,0.78427,0.70466,0.62745,0.60236,0.25011,2.07667,2.14017,2.10949,0.0001982,0.0001982,0.0001982
93,69.0184,0.18059,0.17124,0.78341,0.69558,0.61765,0.60525,0.24882,2.07922,2.10506,2.11858,0.0001784,0.0001784,0.0001784
94,69.7442,0.18557,0.16147,0.78312,0.68918,0.60869,0.60042,0.24666,2.08025,2.10589,2.12072,0.0001586,0.0001586,0.0001586
95,70.4574,0.18054,0.16301,0.78423,0.68557,0.60784,0.60874,0.25599,2.08296,2.11843,2.11573,0.0001388,0.0001388,0.0001388
96,71.1723,0.17761,0.16144,0.78149,0.69907,0.61495,0.61297,0.25488,2.0873,2.14856,2.11338,0.000119,0.000119,0.000119
97,71.8865,0.17341,0.15741,0.78146,0.70796,0.59804,0.61409,0.25327,2.082,2.1677,2.11507,9.92e-05,9.92e-05,9.92e-05
98,72.5949,0.16621,0.15365,0.78316,0.71587,0.59804,0.6214,0.25682,2.08356,2.15233,2.11835,7.94e-05,7.94e-05,7.94e-05
99,73.3356,0.17555,0.15658,0.78319,0.72614,0.59804,0.62591,0.25657,2.08515,2.13784,2.12567,5.96e-05,5.96e-05,5.96e-05
100,74.0578,0.1723,0.15472,0.781,0.74007,0.59804,0.62414,0.2555,2.08707,2.13318,2.12809,3.98e-05,3.98e-05,3.98e-05
