epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.41492,2.30759,3.68544,2.12268,0.00312,0.37273,0.00588,0.00164,1.9055,3.88727,2.14,0.00046,0.00046,0.00046
2,2.79294,1.76717,2.54233,1.65576,0.07035,0.00909,0.03006,0.00917,1.83223,3.56012,1.87364,0.000930694,0.000930694,0.000930694
3,4.15967,1.68102,2.31907,1.57367,0.19965,0.29091,0.09845,0.04572,1.73977,2.83473,1.64092,0.00139188,0.00139188,0.00139188
4,5.47488,1.6281,2.04934,1.51834,0.08661,0.20909,0.06291,0.01944,1.89533,6.09184,1.77045,0.00184357,0.00184357,0.00184357
5,6.71002,1.55197,1.81817,1.44702,0.40706,0.44313,0.29231,0.10599,2.12794,2.26149,1.98603,0.0019208,0.0019208,0.0019208
6,8.03401,1.5748,1.64043,1.47113,0.36168,0.34545,0.22298,0.09155,1.93745,2.24193,1.62978,0.001901,0.001901,0.001901
7,9.28168,1.41757,1.43063,1.35797,0.6625,0.45455,0.43843,0.17917,1.92341,1.83779,1.72518,0.0018812,0.0018812,0.0018812
8,10.588,1.42165,1.25219,1.33906,0.32256,0.3,0.2322,0.08255,2.05924,2.48458,1.88619,0.0018614,0.0018614,0.0018614
9,11.836,1.33334,1.1513,1.30102,0.63289,0.38182,0.39829,0.1573,2.03771,1.6839,1.79424,0.0018416,0.0018416,0.0018416
10,13.0357,1.30542,1.13337,1.26688,0.51539,0.32727,0.27524,0.11192,2.19817,2.26146,1.95103,0.0018218,0.0018218,0.0018218
11,14.2681,1.26409,0.95988,1.24684,0.50217,0.33636,0.30215,0.09515,2.19107,2.42555,1.97393,0.001802,0.001802,0.001802
12,15.5252,1.24384,0.93955,1.19902,0.5718,0.44545,0.42018,0.14842,2.06898,2.14252,1.84974,0.0017822,0.0017822,0.0017822
13,16.767,1.18119,0.84124,1.19515,0.3974,0.21818,0.18459,0.05058,2.39667,2.9993,2.17815,0.0017624,0.0017624,0.0017624
14,17.9971,1.07677,0.77516,1.12516,0.51516,0.44545,0.3922,0.1522,2.10895,1.56809,1.95516,0.0017426,0.0017426,0.0017426
15,19.2308,1.06866,0.75244,1.133,0.63365,0.44029,0.44577,0.17788,2.12628,1.71336,1.9337,0.0017228,0.0017228,0.0017228
16,20.4349,0.9692,0.69855,1.06208,0.64506,0.45455,0.44046,0.17667,2.097,1.5973,1.94628,0.001703,0.001703,0.001703
17,21.6988,0.92033,0.64824,1.06091,0.48633,0.39091,0.39894,0.1636,2.13887,2.08251,1.91783,0.0016832,0.0016832,0.0016832
18,22.9505,0.89838,0.63314,1.03752,0.56159,0.44545,0.43569,0.17403,2.06355,1.70371,1.84985,0.0016634,0.0016634,0.0016634
19,24.1815,0.89323,0.6069,1.02245,0.55578,0.5,0.44058,0.17866,2.15337,1.85423,1.95373,0.0016436,0.0016436,0.0016436
20,25.4189,0.87351,0.59412,1.02082,0.63336,0.43636,0.45624,0.17276,2.06597,1.85765,1.98056,0.0016238,0.0016238,0.0016238
21,26.6555,0.81077,0.56029,0.98301,0.63117,0.34228,0.36329,0.1437,2.12203,2.26791,1.95164,0.001604,0.001604,0.001604
22,27.8782,0.78248,0.53284,0.96843,0.52704,0.31818,0.36725,0.14109,2.12895,2.76798,1.96614,0.0015842,0.0015842,0.0015842
23,29.1045,0.73957,0.51746,0.95262,0.41902,0.30818,0.29286,0.1221,2.2904,2.2074,2.06606,0.0015644,0.0015644,0.0015644
24,30.3376,0.70293,0.47154,0.93954,0.52967,0.28669,0.32132,0.13624,2.24611,2.78042,2.11372,0.0015446,0.0015446,0.0015446
25,31.5876,0.68004,0.47244,0.9203,0.51816,0.42727,0.40717,0.1694,2.09166,2.02711,1.96255,0.0015248,0.0015248,0.0015248
26,32.8468,0.66522,0.46516,0.92052,0.60635,0.39091,0.40596,0.17152,2.14233,2.22319,2.12378,0.001505,0.001505,0.001505
27,34.0698,0.62386,0.44133,0.90577,0.67373,0.35671,0.43908,0.19295,2.12381,2.0027,1.99521,0.0014852,0.0014852,0.0014852
