epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.887438,2.67898,4.3259,2.48388,0.00504,0.61818,0.00814,0.00312,2.0212,3.6532,1.9254,0.00022,0.00022,0.00022
2,1.71473,1.89981,2.93732,1.90405,0.00548,0.67273,0.0773,0.02057,1.77676,3.73007,1.86524,0.000455446,0.000455446,0.000455446
3,2.5347,1.69307,2.52725,1.60675,0.00556,0.69091,0.03033,0.00836,1.78687,3.58627,1.67298,0.00068614,0.00068614,0.00068614
4,3.31355,1.58482,2.22951,1.50976,0.00536,0.67273,0.05339,0.01572,1.69689,3.23387,1.61261,0.000912082,0.000912082,0.000912082
5,4.0958,1.50573,2.03961,1.49559,0.09502,0.41818,0.05095,0.02057,1.69748,4.04975,1.60427,0.00113327,0.00113327,0.00113327
6,4.91986,1.41619,1.79125,1.37595,0.37766,0.06364,0.13716,0.05009,1.66015,3.08139,1.58934,0.00134971,0.00134971,0.00134971
7,5.73076,1.38384,1.6695,1.36362,0.70819,0.22067,0.3232,0.13475,1.79461,2.73909,1.66731,0.0015614,0.0015614,0.0015614
8,6.54906,1.25972,1.43187,1.28764,0.52041,0.39091,0.34742,0.13592,2.06344,2.05683,1.8336,0.00176833,0.00176833,0.00176833
9,7.35541,1.25076,1.33028,1.25101,0.51281,0.37273,0.34764,0.13402,2.14268,2.05962,1.94888,0.0018416,0.0018416,0.0018416
10,8.09602,1.24434,1.2419,1.2675,0.5465,0.34545,0.29731,0.08609,2.18887,2.35901,2.09395,0.0018218,0.0018218,0.0018218
11,8.82461,1.10331,1.11859,1.17417,0.4763,0.40909,0.36445,0.12662,2.12996,2.1594,2.06709,0.001802,0.001802,0.001802
12,9.56559,1.03817,1.07381,1.1247,0.52123,0.5,0.42979,0.13947,2.29038,2.32742,2.38261,0.0017822,0.0017822,0.0017822
13,10.3787,0.95124,0.98727,1.09061,0.4034,0.48563,0.38587,0.14183,2.09754,1.86364,2.08965,0.0017624,0.0017624,0.0017624
14,11.1722,0.89574,0.92635,1.03832,0.58342,0.37273,0.37736,0.1266,2.21513,2.10877,2.1393,0.0017426,0.0017426,0.0017426
15,11.912,0.85201,0.81071,1.0312,0.53365,0.50909,0.43102,0.15325,2.17992,1.67818,2.05424,0.0017228,0.0017228,0.0017228
16,12.6816,0.79244,0.77001,0.98649,0.48556,0.45455,0.42273,0.1662,2.00018,1.81156,1.98753,0.001703,0.001703,0.001703
17,13.4733,0.76726,0.72987,0.98284,0.45868,0.40057,0.37304,0.14459,2.07059,2.00092,1.98418,0.0016832,0.0016832,0.0016832
18,14.1834,0.72526,0.70603,0.95551,0.54927,0.41818,0.36029,0.14088,2.02693,1.88548,2.01396,0.0016634,0.0016634,0.0016634
19,14.8876,0.65724,0.64611,0.92797,0.5672,0.48182,0.40161,0.14361,2.15814,1.73186,2.10824,0.0016436,0.0016436,0.0016436
20,15.5908,0.66047,0.61601,0.9208,0.70791,0.39091,0.43417,0.15876,2.17595,1.84543,2.20131,0.0016238,0.0016238,0.0016238
21,16.2873,0.62573,0.59185,0.9046,0.51818,0.43636,0.36704,0.13913,2.16501,1.94031,2.18487,0.001604,0.001604,0.001604
22,16.989,0.55122,0.54723,0.88753,0.6135,0.48182,0.44312,0.17081,2.13845,1.80058,2.1704,0.0015842,0.0015842,0.0015842
23,17.7648,0.55153,0.52573,0.88089,0.55248,0.42649,0.38661,0.14594,2.12659,1.71735,2.09462,0.0015644,0.0015644,0.0015644
24,18.4965,0.51935,0.51971,0.87081,0.61136,0.37273,0.37871,0.14452,2.13155,1.96007,2.1525,0.0015446,0.0015446,0.0015446
25,19.2304,0.5057,0.47475,0.86063,0.56518,0.43636,0.4218,0.1722,2.17143,1.71303,2.22584,0.0015248,0.0015248,0.0015248
26,20.0464,0.49969,0.46698,0.85918,0.57807,0.4,0.42022,0.16837,2.13644,2.0088,2.07652,0.001505,0.001505,0.001505
27,20.8115,0.49949,0.46078,0.85795,0.57564,0.36998,0.37169,0.1493,2.1114,2.19907,2.1002,0.0014852,0.0014852,0.0014852
28,21.5675,0.50148,0.44683,0.85674,0.52987,0.42011,0.38844,0.15074,2.17147,2.15245,2.08371,0.0014654,0.0014654,0.0014654
29,22.3114,0.45614,0.41967,0.84346,0.50008,0.42727,0.3745,0.15513,2.14663,1.91623,2.24778,0.0014456,0.0014456,0.0014456
