epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.4377,2.32943,3.82937,2.26333,0.00551,0.7451,0.02973,0.00918,1.89273,3.59691,1.94494,0.00046,0.00046,0.00046
2,2.76578,1.69998,2.59446,1.77368,0.00689,0.79412,0.08366,0.02786,1.74064,3.42922,1.80813,0.000930694,0.000930694,0.000930694
3,4.13194,1.62712,2.14847,1.69131,0.6401,0.35294,0.41629,0.15904,1.70765,2.66223,1.81648,0.00139188,0.00139188,0.00139188
4,5.44386,1.59942,1.98432,1.63373,0.46867,0.33333,0.32159,0.14047,1.89849,2.73686,1.97248,0.00184357,0.00184357,0.00184357
5,6.69265,1.46573,1.76257,1.56186,0.51211,0.42157,0.39297,0.1443,2.00812,2.10101,2.15473,0.0019208,0.0019208,0.0019208
6,7.94912,1.34326,1.47536,1.47242,0.57876,0.63311,0.56605,0.21052,1.96952,1.84661,1.96871,0.001901,0.001901,0.001901
7,9.27146,1.21786,1.21797,1.35579,0.6365,0.4292,0.47164,0.19015,1.98137,1.84472,2.05704,0.0018812,0.0018812,0.0018812
8,10.541,1.14626,1.05367,1.29573,0.61606,0.62927,0.59419,0.25512,1.9106,1.6384,1.95675,0.0018614,0.0018614,0.0018614
9,11.8361,1.00657,0.92089,1.20476,0.64141,0.54902,0.53695,0.19408,2.08814,1.83672,2.15434,0.0018416,0.0018416,0.0018416
10,13.0758,0.95928,0.84069,1.16425,0.592,0.61765,0.60919,0.26558,2.01505,1.61562,2.0337,0.0018218,0.0018218,0.0018218
11,14.3617,0.86485,0.78658,1.09942,0.60823,0.67647,0.54982,0.2159,2.20404,1.66775,2.40632,0.001802,0.001802,0.001802
12,15.5616,0.84594,0.71418,1.06574,0.67375,0.61765,0.60253,0.24404,2.1511,1.80072,2.25276,0.0017822,0.0017822,0.0017822
13,16.8185,0.78286,0.66366,1.03184,0.59077,0.5098,0.48429,0.19366,2.1974,1.73632,2.41226,0.0017624,0.0017624,0.0017624
14,18.0786,0.71935,0.61383,1.00033,0.6444,0.58824,0.50801,0.20305,2.15933,1.95649,2.32698,0.0017426,0.0017426,0.0017426
15,19.3403,0.68037,0.56842,0.97633,0.62508,0.58844,0.53043,0.2157,2.09002,1.79824,2.23584,0.0017228,0.0017228,0.0017228
16,20.5956,0.6442,0.54636,0.94807,0.65485,0.48364,0.48732,0.21017,2.04339,1.93553,2.2218,0.001703,0.001703,0.001703
17,21.8561,0.55903,0.49781,0.91302,0.59011,0.54902,0.49607,0.20423,2.06352,1.792,2.32698,0.0016832,0.0016832,0.0016832
18,23.1117,0.53287,0.47535,0.90242,0.68255,0.47059,0.48779,0.20937,2.04312,1.67151,2.34891,0.0016634,0.0016634,0.0016634
19,24.3881,0.5189,0.45249,0.89119,0.67717,0.51961,0.51753,0.2227,2.15721,1.97785,2.38027,0.0016436,0.0016436,0.0016436
20,25.6566,0.48808,0.42199,0.8769,0.62748,0.52941,0.45842,0.20299,2.08481,1.95931,2.21985,0.0016238,0.0016238,0.0016238
21,26.8412,0.46914,0.40349,0.86554,0.68505,0.5,0.52275,0.23534,2.04763,1.82747,2.39165,0.001604,0.001604,0.001604
22,28.1188,0.44272,0.38143,0.85489,0.69286,0.5098,0.55372,0.2324,2.01641,1.85109,2.41005,0.0015842,0.0015842,0.0015842
23,29.332,0.42781,0.37482,0.84813,0.65325,0.54902,0.53355,0.22998,2.07738,1.92909,2.36767,0.0015644,0.0015644,0.0015644
24,30.5009,0.39878,0.35219,0.83975,0.58043,0.54902,0.51834,0.23501,1.99622,2.11495,2.23509,0.0015446,0.0015446,0.0015446
25,31.7556,0.3898,0.34253,0.83903,0.58002,0.54161,0.54727,0.22985,2.09774,2.30418,2.32989,0.0015248,0.0015248,0.0015248
26,32.9659,0.37086,0.33047,0.83014,0.54757,0.54902,0.45887,0.20729,2.07557,2.17471,2.33914,0.001505,0.001505,0.001505
27,34.1669,0.3447,0.3181,0.82109,0.62634,0.61765,0.56236,0.24342,2.06582,1.93731,2.3396,0.0014852,0.0014852,0.0014852
28,35.4496,0.32046,0.30273,0.8129,0.60032,0.55882,0.53058,0.23167,2.03806,1.85517,2.44472,0.0014654,0.0014654,0.0014654
29,36.6523,0.3021,0.28747,0.80867,0.64988,0.54596,0.56591,0.25488,2.07144,1.87923,2.52255,0.0014456,0.0014456,0.0014456
30,37.92,0.29341,0.28293,0.80027,0.72281,0.51961,0.5392,0.24007,2.08293,1.99595,2.45244,0.0014258,0.0014258,0.0014258
31,39.2135,0.28073,0.27059,0.79811,0.59048,0.57843,0.55475,0.25614,2.05607,2.07102,2.44558,0.001406,0.001406,0.001406
32,40.4969,0.28328,0.26363,0.80294,0.68761,0.60784,0.57763,0.25771,2.05607,2.00925,2.41757,0.0013862,0.0013862,0.0013862
33,41.7891,0.27203,0.26682,0.79392,0.71574,0.52941,0.54743,0.25435,2.07358,2.01111,2.45826,0.0013664,0.0013664,0.0013664
34,43.0555,0.26492,0.25465,0.79615,0.69294,0.4902,0.52019,0.23961,2.05463,2.20421,2.37661,0.0013466,0.0013466,0.0013466
35,44.2819,0.25793,0.25121,0.79171,0.70867,0.52471,0.55498,0.25261,2.14057,2.14145,2.49615,0.0013268,0.0013268,0.0013268
36,45.477,0.25087,0.24876,0.79057,0.58045,0.55613,0.5335,0.24492,2.11167,2.24522,2.42702,0.001307,0.001307,0.001307
37,46.6905,0.2444,0.23952,0.78715,0.69208,0.52941,0.55055,0.24794,2.13502,2.1947,2.49059,0.0012872,0.0012872,0.0012872
38,47.9545,0.23744,0.23636,0.78377,0.6648,0.47059,0.50714,0.22717,2.15598,2.29696,2.5244,0.0012674,0.0012674,0.0012674
39,49.2045,0.23433,0.23913,0.78597,0.66067,0.51961,0.54163,0.2407,2.09195,1.86216,2.56177,0.0012476,0.0012476,0.0012476
40,50.4488,0.21568,0.22494,0.78635,0.75643,0.46078,0.51919,0.22406,2.15528,2.18418,2.54231,0.0012278,0.0012278,0.0012278
41,51.703,0.20563,0.22069,0.7812,0.55663,0.54158,0.51839,0.22593,2.15622,2.23597,2.55329,0.001208,0.001208,0.001208
42,52.9646,0.20386,0.21424,0.78096,0.6164,0.56863,0.52081,0.22893,2.16275,2.06331,2.6013,0.0011882,0.0011882,0.0011882
43,54.1996,0.2067,0.21861,0.78066,0.62534,0.49092,0.53876,0.24067,2.16317,2.25072,2.61174,0.0011684,0.0011684,0.0011684
44,55.454,0.1983,0.21382,0.77687,0.55767,0.53152,0.52926,0.2437,2.13273,2.26577,2.48698,0.0011486,0.0011486,0.0011486
45,56.7409,0.20455,0.21664,0.78037,0.58302,0.57574,0.53475,0.23758,2.12667,2.31243,2.48125,0.0011288,0.0011288,0.0011288
46,57.994,0.19206,0.21048,0.77887,0.60288,0.53584,0.53528,0.24588,2.11492,2.16642,2.53526,0.001109,0.001109,0.001109
47,59.2487,0.1902,0.21098,0.77774,0.55485,0.51326,0.5099,0.23418,2.13563,2.48178,2.5366,0.0010892,0.0010892,0.0010892
48,60.4656,0.17443,0.20003,0.77509,0.64567,0.5,0.54648,0.25262,2.11518,2.40304,2.52458,0.0010694,0.0010694,0.0010694
49,61.7037,0.18009,0.2074,0.77443,0.61869,0.52941,0.54062,0.24635,2.09261,2.23312,2.53346,0.0010496,0.0010496,0.0010496
50,62.9726,0.16551,0.18971,0.77295,0.5888,0.54751,0.51812,0.23809,2.12244,2.27214,2.52487,0.0010298,0.0010298,0.0010298
51,64.2156,0.16762,0.19388,0.7688,0.6407,0.54902,0.52997,0.23704,2.14884,2.29699,2.55848,0.00101,0.00101,0.00101
52,65.4491,0.16043,0.18583,0.77422,0.59638,0.53922,0.53252,0.2375,2.13539,2.40481,2.5877,0.0009902,0.0009902,0.0009902
53,66.6756,0.15917,0.18615,0.7674,0.62963,0.46669,0.51204,0.23554,2.12302,2.48734,2.52945,0.0009704,0.0009704,0.0009704
54,67.8546,0.16181,0.18863,0.77221,0.58814,0.5,0.5211,0.23717,2.10487,2.37223,2.52608,0.0009506,0.0009506,0.0009506
55,69.0376,0.16258,0.18544,0.7707,0.6156,0.53922,0.52593,0.24848,2.07754,2.19093,2.5451,0.0009308,0.0009308,0.0009308
56,70.2447,0.15462,0.18561,0.76852,0.61996,0.4902,0.50385,0.23377,2.09763,2.45333,2.51828,0.000911,0.000911,0.000911
57,71.4119,0.15679,0.18752,0.77011,0.56656,0.51961,0.50754,0.23153,2.12754,2.36367,2.60491,0.0008912,0.0008912,0.0008912
58,72.5977,0.15052,0.18599,0.76852,0.59542,0.50503,0.5332,0.24325,2.10505,2.53642,2.57132,0.0008714,0.0008714,0.0008714
59,73.7637,0.15201,0.18207,0.76888,0.57933,0.48039,0.49278,0.22957,2.14097,2.49478,2.57427,0.0008516,0.0008516,0.0008516
60,74.9395,0.14528,0.17913,0.77286,0.62859,0.47059,0.51394,0.24309,2.11477,2.33865,2.59318,0.0008318,0.0008318,0.0008318
61,76.1231,0.14535,0.17723,0.76914,0.64522,0.4902,0.51801,0.23602,2.13321,2.3416,2.58395,0.000812,0.000812,0.000812
62,77.3475,0.13351,0.17461,0.76464,0.71421,0.46078,0.53307,0.24492,2.11808,2.43324,2.54666,0.0007922,0.0007922,0.0007922
63,78.6008,0.13112,0.16911,0.76592,0.7005,0.48039,0.54249,0.25068,2.09168,2.34175,2.56706,0.0007724,0.0007724,0.0007724
64,79.8472,0.1311,0.17521,0.76805,0.60575,0.49712,0.51131,0.23102,2.14707,2.39017,2.59787,0.0007526,0.0007526,0.0007526
65,81.1053,0.12853,0.16681,0.76284,0.56572,0.48039,0.4961,0.22858,2.14628,2.54743,2.6833,0.0007328,0.0007328,0.0007328
66,82.3608,0.13069,0.17094,0.76759,0.69655,0.48039,0.5218,0.23487,2.14498,2.4709,2.65531,0.000713,0.000713,0.000713
67,83.544,0.12174,0.16356,0.7651,0.64605,0.48318,0.5374,0.24772,2.1296,2.3949,2.63936,0.0006932,0.0006932,0.0006932
68,84.7881,0.11811,0.16577,0.7618,0.65029,0.5,0.53283,0.24058,2.12113,2.52475,2.59408,0.0006734,0.0006734,0.0006734
69,86.0404,0.11636,0.15945,0.76547,0.71293,0.47059,0.55226,0.24904,2.16192,2.53606,2.64157,0.0006536,0.0006536,0.0006536
70,87.2746,0.11694,0.15768,0.76391,0.66405,0.47059,0.53734,0.247,2.14914,2.51255,2.65312,0.0006338,0.0006338,0.0006338
71,88.5236,0.11258,0.16533,0.76296,0.6917,0.48395,0.5392,0.24915,2.14114,2.35821,2.66887,0.000614,0.000614,0.000614
72,89.7828,0.11207,0.15924,0.76299,0.66138,0.4902,0.5334,0.24537,2.13942,2.44588,2.66593,0.0005942,0.0005942,0.0005942
