epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.887688,2.59185,3.97756,2.39095,0.00466,0.5,0.01868,0.00377,1.97969,3.80545,2.18977,0.00022,0.00022,0.00022
2,1.74557,1.90502,2.72255,1.86452,0.00551,0.62712,0.17478,0.05552,1.75542,3.41977,1.62952,0.000455446,0.000455446,0.000455446
3,2.61273,1.70861,2.35803,1.60945,0.0054,0.62712,0.15619,0.052,1.73824,3.3596,1.63417,0.00068614,0.00068614,0.00068614
4,3.39802,1.70423,2.15211,1.55457,0.77058,0.05713,0.14643,0.04054,1.93932,3.25589,1.81277,0.000912082,0.000912082,0.000912082
5,4.15517,1.58463,2.01541,1.51412,0.80271,0.06906,0.21266,0.07462,1.87372,3.03055,1.75538,0.00113327,0.00113327,0.00113327
6,4.96789,1.52784,1.87813,1.46426,0.50322,0.27966,0.29066,0.10765,1.8757,2.50824,1.68709,0.00134971,0.00134971,0.00134971
7,5.79794,1.56725,1.78044,1.47622,0.40802,0.23951,0.18311,0.05469,2.03615,2.64938,1.92496,0.0015614,0.0015614,0.0015614
8,6.57429,1.58302,1.77721,1.4806,0.3882,0.33898,0.28981,0.1218,2.05387,2.24037,1.93946,0.00176833,0.00176833,0.00176833
9,7.39865,1.5773,1.69207,1.44584,0.47995,0.37288,0.36211,0.14829,1.99833,1.99415,1.82059,0.0018416,0.0018416,0.0018416
10,8.19707,1.44716,1.49794,1.40701,0.528,0.30508,0.27176,0.10667,2.08072,2.13117,1.9776,0.0018218,0.0018218,0.0018218
11,8.95792,1.40776,1.41788,1.34191,0.60917,0.36441,0.44813,0.1641,2.05661,1.79874,1.9295,0.001802,0.001802,0.001802
12,9.77196,1.39372,1.37655,1.34082,0.61874,0.40678,0.43436,0.17906,2.02612,1.76657,2.0254,0.0017822,0.0017822,0.0017822
13,10.6114,1.45269,1.41616,1.38006,0.2655,0.33051,0.19129,0.06629,2.33337,2.14074,2.52547,0.0017624,0.0017624,0.0017624
14,11.3708,1.34361,1.26913,1.29532,0.40503,0.48305,0.34078,0.12129,2.14931,1.75749,1.99153,0.0017426,0.0017426,0.0017426
15,12.1238,1.28067,1.20225,1.26021,0.57803,0.37288,0.33501,0.12663,2.12593,1.71673,1.8867,0.0017228,0.0017228,0.0017228
16,12.8686,1.29503,1.18972,1.28867,0.59643,0.38983,0.4104,0.15808,2.12443,1.63447,2.04175,0.001703,0.001703,0.001703
17,13.6211,1.2914,1.14567,1.26813,0.48067,0.44068,0.39863,0.13706,2.26352,1.587,2.04017,0.0016832,0.0016832,0.0016832
18,14.3765,1.30715,1.12533,1.28174,0.66032,0.4661,0.4944,0.19949,2.01039,1.46199,1.8686,0.0016634,0.0016634,0.0016634
19,15.2078,1.20414,1.07254,1.22883,0.61216,0.44068,0.47083,0.16386,2.15044,1.47842,2.01763,0.0016436,0.0016436,0.0016436
20,15.9608,1.22197,1.01322,1.20191,0.67978,0.44915,0.49098,0.19078,2.1225,1.42786,1.94625,0.0016238,0.0016238,0.0016238
21,16.7279,1.16686,1.00326,1.17851,0.54536,0.47458,0.46116,0.20937,1.87574,1.52622,1.73433,0.001604,0.001604,0.001604
22,17.5449,1.07961,0.89594,1.14886,0.72532,0.40284,0.44332,0.18766,2.07654,1.96641,1.83071,0.0015842,0.0015842,0.0015842
23,18.2849,1.07333,0.88818,1.13102,0.79737,0.40021,0.48186,0.19626,1.96272,1.54305,1.82534,0.0015644,0.0015644,0.0015644
24,19.0249,1.03222,0.87055,1.12582,0.72978,0.49153,0.53194,0.24143,1.89704,1.42408,1.78469,0.0015446,0.0015446,0.0015446
25,19.8404,1.06554,0.86616,1.12916,0.63433,0.54393,0.52897,0.22145,1.95854,1.233,1.80918,0.0015248,0.0015248,0.0015248
26,20.5922,1.00596,0.83764,1.08347,0.62589,0.34746,0.39507,0.17481,1.97226,1.65528,1.73056,0.001505,0.001505,0.001505
27,21.3477,1.0364,0.82923,1.11052,0.64553,0.38983,0.4162,0.17811,2.02715,1.51413,1.84352,0.0014852,0.0014852,0.0014852
28,22.106,0.96243,0.81238,1.08221,0.63517,0.45763,0.4612,0.18745,2.05626,1.46441,1.90244,0.0014654,0.0014654,0.0014654
29,22.8551,0.93497,0.78813,1.06713,0.63395,0.49902,0.44783,0.16827,2.13792,1.21923,2.11768,0.0014456,0.0014456,0.0014456
30,23.6216,0.98396,0.75563,1.08547,0.72078,0.4813,0.52061,0.21679,1.92181,1.33589,1.84842,0.0014258,0.0014258,0.0014258
31,24.3771,0.91613,0.75775,1.05634,0.726,0.40421,0.44949,0.19498,2.07546,1.43661,1.98704,0.001406,0.001406,0.001406
32,25.1296,0.92236,0.73815,1.03701,0.6724,0.48305,0.4997,0.18602,2.01344,1.25334,2.00597,0.0013862,0.0013862,0.0013862
33,25.8242,0.9152,0.72338,1.06916,0.80575,0.47458,0.53725,0.22811,2.00249,1.36926,1.91865,0.0013664,0.0013664,0.0013664
34,26.5167,0.93207,0.71872,1.05773,0.73113,0.46093,0.47777,0.1912,2.04757,1.35964,1.95176,0.0013466,0.0013466,0.0013466
35,27.2,0.85948,0.68074,1.02822,0.79124,0.42373,0.51954,0.22662,1.95649,1.42358,1.86643,0.0013268,0.0013268,0.0013268
36,27.8851,0.86796,0.7236,1.03642,0.67735,0.45763,0.52161,0.22222,1.97088,1.29806,1.91206,0.001307,0.001307,0.001307
37,28.5805,0.82857,0.66883,1.03614,0.77677,0.40678,0.46501,0.18216,2.14561,1.44091,2.03474,0.0012872,0.0012872,0.0012872
38,29.2711,0.87101,0.6574,1.03181,0.69774,0.48909,0.52882,0.21475,1.95271,1.28667,1.86648,0.0012674,0.0012674,0.0012674
39,29.9578,0.75242,0.62748,0.97173,0.68992,0.45763,0.5087,0.21168,2.02062,1.43558,1.88029,0.0012476,0.0012476,0.0012476
40,30.7045,0.79092,0.64723,0.99328,0.6293,0.43161,0.46073,0.18838,2.05776,1.46996,1.964,0.0012278,0.0012278,0.0012278
41,31.4616,0.77348,0.6155,0.99672,0.58687,0.5,0.51296,0.21249,2.0097,1.38689,1.94547,0.001208,0.001208,0.001208
42,32.1948,0.74893,0.59597,0.98909,0.67928,0.46668,0.4668,0.17901,2.12317,1.50051,2.05875,0.0011882,0.0011882,0.0011882
43,32.9445,0.81385,0.61729,0.99102,0.5628,0.42373,0.39472,0.15662,2.17546,1.44548,2.13051,0.0011684,0.0011684,0.0011684
44,33.7025,0.8019,0.63801,0.98356,0.71817,0.47458,0.48615,0.19407,2.03281,1.34852,1.95258,0.0011486,0.0011486,0.0011486
45,34.4566,0.76727,0.60018,0.98337,0.63593,0.44915,0.48669,0.19655,2.07839,1.54627,2.00193,0.0011288,0.0011288,0.0011288
46,35.1974,0.72341,0.56247,0.95606,0.73344,0.41525,0.46496,0.19258,2.00484,1.75743,1.95123,0.001109,0.001109,0.001109
47,35.9399,0.77445,0.60036,0.97977,0.8082,0.40678,0.44504,0.18325,2.04704,1.98072,1.99887,0.0010892,0.0010892,0.0010892
