epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.43265,2.26645,3.28508,2.04425,0.00547,0.69608,0.14694,0.04116,1.80709,3.59168,1.81856,0.00046,0.00046,0.00046
2,2.86795,1.73268,2.29002,1.56298,0.66383,0.05816,0.16956,0.05324,1.72487,3.1515,1.55522,0.000930694,0.000930694,0.000930694
3,4.23774,1.69063,2.03228,1.4944,0.6904,0.41542,0.44758,0.19026,1.79465,2.36752,1.58058,0.00139188,0.00139188,0.00139188
4,5.54058,1.64538,1.82244,1.48849,0.47339,0.53761,0.47183,0.19562,1.88683,1.86893,1.75569,0.00184357,0.00184357,0.00184357
5,6.84474,1.6462,1.73809,1.47637,0.5234,0.55882,0.49587,0.19885,1.91384,1.8593,1.72562,0.0019208,0.0019208,0.0019208
6,8.16945,1.63883,1.66922,1.49142,0.45253,0.34314,0.32076,0.11835,2.15187,2.25,1.90024,0.001901,0.001901,0.001901
7,9.44027,1.48087,1.43473,1.38233,0.62302,0.58824,0.5873,0.24921,1.84863,1.75714,1.75649,0.0018812,0.0018812,0.0018812
8,10.7548,1.42737,1.32919,1.33735,0.71751,0.53922,0.58871,0.24213,1.93945,1.57482,1.69745,0.0018614,0.0018614,0.0018614
9,12.0473,1.38198,1.22449,1.29313,0.58225,0.56863,0.55896,0.22955,2.04704,1.74331,1.84479,0.0018416,0.0018416,0.0018416
10,13.3278,1.36015,1.13715,1.2986,0.5429,0.52941,0.49029,0.19063,2.0335,1.75203,1.82783,0.0018218,0.0018218,0.0018218
11,14.6194,1.2601,1.04576,1.25267,0.54209,0.5098,0.45549,0.14658,2.24149,1.72055,2.00479,0.001802,0.001802,0.001802
12,15.9018,1.18807,0.95295,1.19428,0.72107,0.48039,0.52014,0.20446,2.06319,1.72413,1.91521,0.0017822,0.0017822,0.0017822
13,17.0901,1.17104,0.9333,1.19187,0.57918,0.61765,0.53545,0.19986,2.16704,1.54184,2.03535,0.0017624,0.0017624,0.0017624
14,18.3798,1.11185,0.88354,1.14622,0.56609,0.62673,0.57408,0.21913,2.07291,1.55876,1.94019,0.0017426,0.0017426,0.0017426
15,19.6584,1.05558,0.80949,1.11052,0.65111,0.65686,0.6036,0.22099,2.11347,1.48486,1.98724,0.0017228,0.0017228,0.0017228
16,20.9437,1.04975,0.80301,1.11794,0.61385,0.62343,0.61166,0.23579,2.11591,1.70072,2.01155,0.001703,0.001703,0.001703
17,22.2327,0.98622,0.74416,1.08542,0.66868,0.56863,0.58404,0.23364,2.08042,1.57397,1.99154,0.0016832,0.0016832,0.0016832
18,23.5168,0.97815,0.74691,1.07543,0.7054,0.47059,0.48744,0.19598,2.00504,1.81223,1.90414,0.0016634,0.0016634,0.0016634
19,24.7854,0.91376,0.70233,1.05011,0.63088,0.62745,0.62472,0.25788,2.06029,1.41906,1.99202,0.0016436,0.0016436,0.0016436
20,26.1288,0.90065,0.69339,1.04502,0.70918,0.61765,0.62015,0.25601,1.94581,1.41512,1.94676,0.0016238,0.0016238,0.0016238
21,27.4323,0.88846,0.69209,1.0463,0.75764,0.54902,0.61299,0.25395,1.96178,1.68839,1.90373,0.001604,0.001604,0.001604
22,28.7021,0.84588,0.65834,1.00861,0.7708,0.59351,0.64476,0.27142,2.02458,1.48588,1.95139,0.0015842,0.0015842,0.0015842
23,30.0419,0.88957,0.67454,1.01763,0.66806,0.54902,0.53335,0.23138,2.05037,1.80136,2.00086,0.0015644,0.0015644,0.0015644
24,31.3258,0.86595,0.64392,1.02507,0.6312,0.52941,0.52301,0.20496,2.16498,2.01194,1.98004,0.0015446,0.0015446,0.0015446
25,32.5793,0.8429,0.62599,1.01605,0.7256,0.57035,0.63727,0.2619,2.01485,1.56832,1.9207,0.0015248,0.0015248,0.0015248
26,33.8107,0.83352,0.62432,1.00488,0.75578,0.59804,0.64955,0.24815,2.09334,1.54634,2.03373,0.001505,0.001505,0.001505
27,34.9917,0.79122,0.59907,0.98561,0.66441,0.56292,0.55236,0.2055,2.15687,1.95515,2.05346,0.0014852,0.0014852,0.0014852
28,36.1866,0.74293,0.55902,0.97397,0.60133,0.6063,0.56366,0.21022,2.23876,1.74681,2.18699,0.0014654,0.0014654,0.0014654
29,37.3615,0.71762,0.56541,0.9615,0.63476,0.59635,0.5838,0.22608,2.07763,1.83327,2.00348,0.0014456,0.0014456,0.0014456
30,38.5328,0.74659,0.55682,0.96957,0.65753,0.5,0.50003,0.20252,2.05635,1.69356,2.00047,0.0014258,0.0014258,0.0014258
31,39.7038,0.705,0.52364,0.94644,0.69106,0.55882,0.61736,0.24603,1.99667,1.67138,1.94617,0.001406,0.001406,0.001406
32,40.8637,0.72679,0.54657,0.96814,0.71268,0.4902,0.44988,0.16286,2.14075,2.24737,2.12776,0.0013862,0.0013862,0.0013862
33,42.0355,0.70652,0.50204,0.9534,0.73273,0.5107,0.55112,0.19835,2.17795,2.24143,2.07394,0.0013664,0.0013664,0.0013664
34,43.1957,0.68917,0.51178,0.94935,0.73189,0.56863,0.63368,0.26439,2.04081,1.71053,1.96624,0.0013466,0.0013466,0.0013466
35,44.422,0.68978,0.51515,0.94209,0.64614,0.59079,0.56186,0.22565,2.0348,1.71367,2.02559,0.0013268,0.0013268,0.0013268
36,45.6932,0.65554,0.48165,0.93305,0.71755,0.5,0.55856,0.21633,2.05617,1.74279,2.06594,0.001307,0.001307,0.001307
37,46.914,0.6675,0.48752,0.93613,0.72735,0.54902,0.64111,0.24404,2.03843,1.62685,1.99936,0.0012872,0.0012872,0.0012872
38,48.1708,0.66541,0.49386,0.94441,0.65452,0.60784,0.6306,0.28031,1.93994,1.64091,1.93923,0.0012674,0.0012674,0.0012674
39,49.476,0.64635,0.4987,0.93328,0.69194,0.61765,0.57307,0.24018,2.04295,1.72545,2.0477,0.0012476,0.0012476,0.0012476
40,50.7333,0.61517,0.46425,0.92074,0.69397,0.57843,0.59612,0.24768,2.06228,1.82554,2.00809,0.0012278,0.0012278,0.0012278
41,51.9419,0.66786,0.49866,0.93694,0.69306,0.63725,0.61326,0.22643,2.13584,1.83435,2.11792,0.001208,0.001208,0.001208
42,53.1971,0.60147,0.45832,0.91012,0.69312,0.48719,0.536,0.20636,2.08302,2.23769,2.06053,0.0011882,0.0011882,0.0011882
43,54.457,0.60845,0.44942,0.91414,0.66306,0.59808,0.57385,0.22989,2.11217,1.87271,2.08996,0.0011684,0.0011684,0.0011684
44,55.6915,0.61605,0.46138,0.9127,0.67142,0.50084,0.56609,0.23973,2.0414,2.02673,1.98327,0.0011486,0.0011486,0.0011486
45,56.9061,0.58937,0.44553,0.90528,0.717,0.65686,0.65325,0.25765,1.98452,1.43253,1.97893,0.0011288,0.0011288,0.0011288
46,58.1667,0.59695,0.45738,0.9104,0.73869,0.53922,0.63925,0.27722,2.00805,1.61608,2.01282,0.001109,0.001109,0.001109
47,59.4265,0.58085,0.43657,0.91046,0.62135,0.59804,0.60388,0.24402,2.05943,1.69384,2.02751,0.0010892,0.0010892,0.0010892
48,60.6602,0.56757,0.42312,0.90222,0.7023,0.55512,0.61041,0.25937,2.04689,1.89014,1.96232,0.0010694,0.0010694,0.0010694
49,61.9246,0.59766,0.43619,0.89911,0.74148,0.5624,0.59661,0.24692,1.9683,1.9273,1.97644,0.0010496,0.0010496,0.0010496
50,63.1837,0.57025,0.43006,0.91171,0.70501,0.62745,0.63179,0.2613,2.02456,1.62567,2.04022,0.0010298,0.0010298,0.0010298
51,64.3611,0.56817,0.41132,0.90051,0.69153,0.57147,0.62464,0.2639,2.02877,1.66431,1.94343,0.00101,0.00101,0.00101
52,65.6133,0.57039,0.43001,0.90659,0.66784,0.53922,0.53928,0.22775,2.13689,1.72996,2.10555,0.0009902,0.0009902,0.0009902
53,66.8569,0.54453,0.41928,0.89704,0.7538,0.53922,0.61641,0.26414,2.00299,1.93492,2.02159,0.0009704,0.0009704,0.0009704
54,68.0541,0.52563,0.40558,0.89804,0.69755,0.59804,0.61363,0.27095,2.02361,1.76482,2.02696,0.0009506,0.0009506,0.0009506
55,69.2241,0.51739,0.38955,0.88465,0.74949,0.58666,0.63674,0.28386,1.9303,1.93059,1.91096,0.0009308,0.0009308,0.0009308
56,70.4723,0.51442,0.38416,0.89111,0.65607,0.53922,0.58861,0.25977,2.03944,1.84155,2.03237,0.000911,0.000911,0.000911
57,71.638,0.53514,0.40898,0.89513,0.71363,0.5131,0.58313,0.25262,2.03031,2.25356,2.04895,0.0008912,0.0008912,0.0008912
58,72.8742,0.52223,0.40721,0.88948,0.69604,0.51961,0.60776,0.25099,2.05737,2.07704,2.04991,0.0008714,0.0008714,0.0008714
59,74.1306,0.54119,0.41416,0.88783,0.75938,0.58788,0.64679,0.26233,2.04275,1.9211,2.06609,0.0008516,0.0008516,0.0008516
60,75.3981,0.49475,0.38155,0.88316,0.67278,0.56863,0.62597,0.26135,2.00886,1.79237,1.97048,0.0008318,0.0008318,0.0008318
61,76.6492,0.5068,0.38118,0.88784,0.72729,0.51961,0.62022,0.25781,2.01827,1.93745,1.96113,0.000812,0.000812,0.000812
62,77.9042,0.48341,0.36994,0.8697,0.73085,0.5,0.6158,0.25838,2.06173,2.13947,2.05586,0.0007922,0.0007922,0.0007922
63,79.1766,0.50827,0.39252,0.89245,0.66951,0.5,0.54609,0.22182,2.08694,2.07495,2.12005,0.0007724,0.0007724,0.0007724
64,80.4052,0.50868,0.39093,0.89201,0.6597,0.49418,0.59311,0.24535,2.08826,2.28012,2.06464,0.0007526,0.0007526,0.0007526
65,81.6784,0.48604,0.37098,0.86414,0.72803,0.49864,0.63418,0.26296,2.07774,2.21051,2.05138,0.0007328,0.0007328,0.0007328
66,82.9499,0.48804,0.37407,0.87703,0.78724,0.54418,0.65936,0.26117,2.0245,2.10871,2.03369,0.000713,0.000713,0.000713
