epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.878524,2.85574,4.87774,2.51851,0.00465,0.60784,0.00483,0.00143,2.17711,3.85914,2.22181,0.00022,0.00022,0.00022
2,1.72421,2.13796,3.4912,2.16206,0.0053,0.71569,0.00793,0.00263,1.77639,3.6757,1.91552,0.000455446,0.000455446,0.000455446
3,2.5309,1.84105,2.95066,1.86627,0.00498,0.66667,0.0061,0.00196,1.90739,3.77182,2.1035,0.00068614,0.00068614,0.00068614
4,3.32923,1.82198,2.74603,1.87162,0.00521,0.69608,0.0211,0.00668,1.9118,3.59205,2.06785,0.000912082,0.000912082,0.000912082
5,4.14612,1.82553,2.56704,1.83928,0.51269,0.06863,0.25791,0.09808,1.87731,3.00176,1.95054,0.00113327,0.00113327,0.00113327
6,4.928,1.73546,2.46538,1.72032,0.39774,0.22549,0.20395,0.06502,1.96144,3.00828,2.23475,0.00134971,0.00134971,0.00134971
7,5.64372,1.75072,2.38073,1.73381,0.42562,0.4902,0.38955,0.14899,1.97342,2.42742,1.98905,0.0015614,0.0015614,0.0015614
8,6.43356,1.72394,2.29093,1.66109,0.39636,0.33476,0.33671,0.14314,2.02302,2.68085,1.90375,0.00176833,0.00176833,0.00176833
9,7.14124,1.73242,2.1486,1.73478,0.30619,0.37255,0.27987,0.10363,2.01217,3.6059,2.05857,0.0018416,0.0018416,0.0018416
10,7.86674,1.69384,2.00593,1.71005,0.3639,0.33333,0.23205,0.07739,2.21088,3.39626,2.20808,0.0018218,0.0018218,0.0018218
11,8.58911,1.68793,1.92807,1.69992,0.52829,0.5051,0.53164,0.23424,1.75812,1.87687,1.67454,0.001802,0.001802,0.001802
12,9.38025,1.65605,1.83635,1.58409,0.60456,0.50961,0.5613,0.23537,1.8104,1.73592,1.69844,0.0017822,0.0017822,0.0017822
13,10.1758,1.65266,1.77909,1.5937,0.51659,0.54902,0.49126,0.21877,1.87358,1.94287,1.73623,0.0017624,0.0017624,0.0017624
14,10.8903,1.57804,1.70348,1.53133,0.6145,0.62745,0.54645,0.22736,1.70122,1.77268,1.6744,0.0017426,0.0017426,0.0017426
15,11.624,1.59293,1.70663,1.54988,0.59408,0.5098,0.54856,0.22798,1.8553,1.79007,1.83338,0.0017228,0.0017228,0.0017228
16,12.3423,1.65384,1.60359,1.62106,0.53658,0.36275,0.43005,0.14407,2.00339,2.26116,1.99478,0.001703,0.001703,0.001703
17,13.0747,1.59853,1.56512,1.58451,0.5771,0.53922,0.51041,0.23096,1.78883,1.85933,1.70566,0.0016832,0.0016832,0.0016832
18,13.7969,1.56004,1.51469,1.54798,0.63965,0.55882,0.57578,0.22449,1.90443,1.77769,1.74439,0.0016634,0.0016634,0.0016634
19,14.5331,1.53413,1.43689,1.48654,0.58978,0.5098,0.49382,0.19937,1.97343,1.98601,1.82296,0.0016436,0.0016436,0.0016436
20,15.2714,1.5579,1.41175,1.53063,0.70581,0.48039,0.54937,0.1872,1.98504,2.20379,1.88735,0.0016238,0.0016238,0.0016238
21,15.9848,1.53778,1.4609,1.55209,0.50642,0.56863,0.53143,0.19405,1.89143,2.00805,1.87946,0.001604,0.001604,0.001604
22,16.732,1.46433,1.38882,1.46388,0.61831,0.61939,0.61587,0.23828,1.84256,1.65323,1.73148,0.0015842,0.0015842,0.0015842
23,17.5213,1.46939,1.33808,1.46094,0.69878,0.52941,0.58508,0.23209,1.90367,1.86698,1.78865,0.0015644,0.0015644,0.0015644
24,18.2358,1.45012,1.24293,1.44388,0.60074,0.51961,0.56334,0.21907,1.94813,1.69785,1.83229,0.0015446,0.0015446,0.0015446
25,18.9441,1.41174,1.21467,1.41656,0.65495,0.60784,0.58832,0.22391,1.84808,1.85673,1.77883,0.0015248,0.0015248,0.0015248
26,19.6809,1.39538,1.18699,1.41962,0.62751,0.64413,0.60996,0.26187,1.83528,1.6617,1.81107,0.001505,0.001505,0.001505
27,20.4394,1.41029,1.19437,1.44331,0.66053,0.54902,0.55546,0.23455,1.84427,1.90078,1.74915,0.0014852,0.0014852,0.0014852
28,21.1481,1.44739,1.17586,1.45261,0.57639,0.57843,0.50467,0.2028,2.01508,1.96179,1.94047,0.0014654,0.0014654,0.0014654
29,21.8506,1.26227,1.03209,1.33136,0.779,0.58749,0.62847,0.25594,1.88199,1.68344,1.78293,0.0014456,0.0014456,0.0014456
30,22.5759,1.32931,1.03515,1.36789,0.63971,0.60784,0.64466,0.27331,1.90933,1.62049,1.791,0.0014258,0.0014258,0.0014258
31,23.3381,1.29733,0.99127,1.33474,0.71487,0.58824,0.6543,0.25386,1.93534,1.5899,1.88197,0.001406,0.001406,0.001406
32,24.0687,1.31323,1.0131,1.3489,0.68021,0.64706,0.64224,0.24757,1.9704,1.52928,1.91643,0.0013862,0.0013862,0.0013862
33,24.7943,1.32135,1.01462,1.36732,0.67085,0.60784,0.63537,0.25148,1.94925,1.57597,1.82608,0.0013664,0.0013664,0.0013664
34,25.5093,1.35611,0.98348,1.37044,0.61649,0.63725,0.57301,0.20743,1.97683,1.51617,1.87555,0.0013466,0.0013466,0.0013466
35,26.2224,1.30209,0.97077,1.33693,0.53318,0.68308,0.5828,0.23834,1.94103,1.65112,1.7937,0.0013268,0.0013268,0.0013268
36,26.9276,1.25243,0.96909,1.32795,0.65904,0.60784,0.62036,0.23295,2.04909,1.55916,1.89449,0.001307,0.001307,0.001307
37,27.6461,1.29113,0.94017,1.35989,0.64754,0.54902,0.54663,0.21937,1.96497,1.84388,1.8197,0.0012872,0.0012872,0.0012872
38,28.3501,1.1909,0.90174,1.26499,0.67679,0.58824,0.59168,0.23813,1.99126,1.60714,1.87807,0.0012674,0.0012674,0.0012674
39,29.0834,1.23338,0.87991,1.26409,0.72597,0.63725,0.62212,0.24451,2.01187,1.66424,1.90091,0.0012476,0.0012476,0.0012476
40,29.811,1.19532,0.89035,1.26547,0.58145,0.55841,0.54112,0.21144,2.09465,1.85463,1.98778,0.0012278,0.0012278,0.0012278
41,30.5389,1.13526,0.83524,1.21889,0.71186,0.59804,0.60897,0.24372,2.06186,1.70722,1.93216,0.001208,0.001208,0.001208
42,31.2617,1.14543,0.81539,1.21561,0.75226,0.56863,0.58198,0.22497,2.09237,1.96126,1.93272,0.0011882,0.0011882,0.0011882
43,31.9787,1.12369,0.83331,1.21697,0.70826,0.66667,0.65256,0.2536,2.10323,1.60364,2.02254,0.0011684,0.0011684,0.0011684
44,32.8987,1.11422,0.77975,1.21378,0.71307,0.63725,0.60661,0.2326,2.06037,2.04551,1.93956,0.0011486,0.0011486,0.0011486
45,33.6237,1.10748,0.81228,1.20979,0.61153,0.6328,0.59761,0.26218,2.00035,1.83038,1.87286,0.0011288,0.0011288,0.0011288
46,34.3248,1.10287,0.77267,1.22151,0.64791,0.59804,0.62776,0.2542,2.01252,1.80671,1.91379,0.001109,0.001109,0.001109
47,35.0311,1.03587,0.72365,1.16758,0.76588,0.53922,0.58541,0.23531,2.00161,1.66837,1.91659,0.0010892,0.0010892,0.0010892
48,35.7295,1.08083,0.74101,1.19638,0.62591,0.62745,0.6175,0.26016,1.97962,1.68881,1.92999,0.0010694,0.0010694,0.0010694
49,36.4313,1.03643,0.72107,1.16382,0.68073,0.64706,0.68015,0.28026,2.03238,1.86272,1.94987,0.0010496,0.0010496,0.0010496
50,37.198,1.05509,0.72013,1.17573,0.76681,0.56863,0.61025,0.25297,2.01652,2.07684,1.9417,0.0010298,0.0010298,0.0010298
51,37.9471,1.01367,0.7247,1.14249,0.71828,0.54994,0.58596,0.24207,1.95361,1.89181,1.89635,0.00101,0.00101,0.00101
52,38.6483,1.01642,0.70841,1.14887,0.80718,0.57462,0.63778,0.24457,1.98474,2.00717,1.92177,0.0009902,0.0009902,0.0009902
53,39.3608,0.98287,0.68261,1.14809,0.67114,0.56024,0.58887,0.22876,2.05418,2.2433,2.02689,0.0009704,0.0009704,0.0009704
54,40.0626,0.92995,0.64119,1.1028,0.81485,0.63725,0.66349,0.25381,2.00554,1.81677,1.99365,0.0009506,0.0009506,0.0009506
55,40.7781,0.94585,0.66922,1.10844,0.73047,0.60784,0.56968,0.21912,2.05775,1.86159,2.05185,0.0009308,0.0009308,0.0009308
56,41.5001,0.99053,0.6939,1.14681,0.74527,0.60238,0.59901,0.22973,2.12105,1.69753,2.10709,0.000911,0.000911,0.000911
57,42.2257,0.9443,0.65688,1.0963,0.68076,0.65686,0.57854,0.22026,2.1134,1.77485,2.06523,0.0008912,0.0008912,0.0008912
58,42.9482,0.93918,0.62913,1.10714,0.67988,0.64549,0.57478,0.23814,2.03479,1.68468,2.0317,0.0008714,0.0008714,0.0008714
59,43.6707,0.93785,0.65376,1.12445,0.71872,0.60125,0.60826,0.26418,2.08349,1.66189,2.08933,0.0008516,0.0008516,0.0008516
60,44.3735,0.87091,0.61823,1.08661,0.73991,0.53922,0.60351,0.26115,2.11707,1.70203,2.08911,0.0008318,0.0008318,0.0008318
61,45.118,0.92276,0.63642,1.11569,0.61874,0.59804,0.60514,0.26619,2.0918,1.74872,2.03535,0.000812,0.000812,0.000812
62,45.8741,0.9154,0.60141,1.09135,0.66024,0.62745,0.6029,0.23488,2.20394,1.71413,2.13796,0.0007922,0.0007922,0.0007922
63,46.8248,0.97943,0.61428,1.09102,0.70976,0.64706,0.62215,0.24347,2.04243,1.75378,1.92649,0.0007724,0.0007724,0.0007724
64,47.55,0.86211,0.56475,1.02589,0.7331,0.61765,0.61916,0.24968,2.04403,1.6775,2.02852,0.0007526,0.0007526,0.0007526
65,48.2727,0.86542,0.56925,1.04519,0.7916,0.59585,0.62365,0.26245,2.08962,1.60176,2.01119,0.0007328,0.0007328,0.0007328
66,49.0042,0.89449,0.58776,1.04893,0.72506,0.62745,0.63143,0.25171,2.07059,1.7553,2.07307,0.000713,0.000713,0.000713
67,49.7767,0.87067,0.55279,1.03193,0.75465,0.63329,0.64732,0.26153,2.02955,1.80344,2.03706,0.0006932,0.0006932,0.0006932
68,51.1125,0.85018,0.58314,1.06061,0.67166,0.66185,0.59524,0.25176,2.04961,1.54512,2.11785,0.0006734,0.0006734,0.0006734
69,52.6146,0.8178,0.5505,1.03344,0.72433,0.62745,0.6205,0.24867,2.06099,1.58857,2.05636,0.0006536,0.0006536,0.0006536
70,53.7591,0.79255,0.53077,1.01998,0.68275,0.51961,0.51912,0.22773,2.05723,1.81624,2.00643,0.0006338,0.0006338,0.0006338
71,54.9092,0.79417,0.53363,1.03196,0.70093,0.62745,0.635,0.25456,2.05373,1.79413,2.03446,0.000614,0.000614,0.000614
72,56.3983,0.79525,0.53212,1.02583,0.67473,0.65686,0.60208,0.23789,2.16369,1.74716,2.19813,0.0005942,0.0005942,0.0005942
73,57.7204,0.79316,0.54852,1.02933,0.67273,0.61765,0.61089,0.24657,2.15721,1.9042,2.1508,0.0005744,0.0005744,0.0005744
74,58.4583,0.73616,0.5168,1.00327,0.73244,0.64706,0.5987,0.23092,2.16533,1.96033,2.1859,0.0005546,0.0005546,0.0005546
75,59.1742,0.73809,0.51411,1.00418,0.6916,0.59364,0.60263,0.24794,2.08274,2.02159,2.08643,0.0005348,0.0005348,0.0005348
76,59.8865,0.71666,0.50782,0.97721,0.68334,0.57125,0.58257,0.22629,2.10881,2.10413,2.14237,0.000515,0.000515,0.000515
77,60.6072,0.74961,0.51603,0.99726,0.77379,0.60784,0.6302,0.24566,2.02423,1.89937,2.04569,0.0004952,0.0004952,0.0004952
78,61.3267,0.72819,0.48596,0.99055,0.69631,0.60784,0.57335,0.22961,2.04932,1.8069,2.09547,0.0004754,0.0004754,0.0004754
79,62.0618,0.72376,0.48603,0.98949,0.75253,0.65686,0.61763,0.24992,2.05107,1.8408,2.0823,0.0004556,0.0004556,0.0004556
80,62.7902,0.7347,0.48873,0.98199,0.69938,0.62745,0.5896,0.23973,2.05616,1.86303,2.08417,0.0004358,0.0004358,0.0004358
81,63.5349,0.74496,0.49602,1.00434,0.70185,0.55391,0.54916,0.22874,2.12672,1.93371,2.15677,0.000416,0.000416,0.000416
82,64.283,0.74821,0.50107,0.98745,0.71666,0.59804,0.58239,0.24548,2.02851,1.92298,2.05061,0.0003962,0.0003962,0.0003962
83,65.0208,0.68233,0.45994,0.94467,0.69916,0.6152,0.58718,0.24408,2.06403,1.88117,2.08586,0.0003764,0.0003764,0.0003764
84,65.7552,0.67362,0.47011,0.94691,0.72696,0.60784,0.58173,0.25619,2.04893,1.83941,2.05258,0.0003566,0.0003566,0.0003566
85,66.4821,0.65344,0.47227,0.95409,0.73305,0.56538,0.55146,0.24091,2.02113,1.81478,2.04522,0.0003368,0.0003368,0.0003368
86,67.2123,0.66988,0.45135,0.93634,0.73627,0.55882,0.55663,0.22942,2.09086,1.85126,2.12355,0.000317,0.000317,0.000317
87,67.9479,0.63241,0.45041,0.95365,0.71762,0.57843,0.56965,0.2369,2.09375,1.91558,2.12984,0.0002972,0.0002972,0.0002972
88,68.6867,0.59502,0.44923,0.93428,0.64822,0.59617,0.58547,0.23939,2.08373,1.87116,2.14508,0.0002774,0.0002774,0.0002774
89,69.4321,0.62979,0.4482,0.92185,0.68593,0.57812,0.57116,0.24199,2.06374,1.87659,2.10207,0.0002576,0.0002576,0.0002576
90,70.1309,0.59183,0.42468,0.93307,0.69512,0.57843,0.58668,0.24914,2.08243,1.90608,2.12506,0.0002378,0.0002378,0.0002378
91,71.5284,0.59806,0.43833,0.93118,0.65956,0.60781,0.5752,0.24366,2.08729,1.86195,2.1418,0.000218,0.000218,0.000218
92,72.2694,0.5704,0.43381,0.92196,0.68008,0.58824,0.57791,0.2423,2.07594,1.78977,2.10831,0.0001982,0.0001982,0.0001982
93,73.019,0.64535,0.44975,0.93456,0.71652,0.54519,0.55873,0.23209,2.10686,1.77838,2.15014,0.0001784,0.0001784,0.0001784
94,73.7558,0.57763,0.41567,0.91757,0.68188,0.53922,0.56319,0.23671,2.10445,1.71045,2.17754,0.0001586,0.0001586,0.0001586
95,74.4749,0.60389,0.42809,0.91766,0.62359,0.57843,0.56409,0.24123,2.07705,1.68803,2.15757,0.0001388,0.0001388,0.0001388
96,75.1853,0.56233,0.41861,0.91853,0.64809,0.59804,0.57114,0.2435,2.08553,1.72023,2.16649,0.000119,0.000119,0.000119
97,75.8885,0.56264,0.42464,0.91114,0.6502,0.56863,0.57038,0.23639,2.10403,1.77035,2.17429,9.92e-05,9.92e-05,9.92e-05
98,76.5829,0.60129,0.43013,0.92423,0.70301,0.5338,0.56541,0.24091,2.10028,1.80261,2.15932,7.94e-05,7.94e-05,7.94e-05
99,77.293,0.574,0.41758,0.92748,0.6864,0.55793,0.56173,0.24062,2.09431,1.79019,2.1557,5.96e-05,5.96e-05,5.96e-05
100,77.9874,0.54411,0.4069,0.90112,0.71752,0.56863,0.5716,0.2438,2.09195,1.77947,2.15078,3.98e-05,3.98e-05,3.98e-05
