epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.46363,2.40072,4.03058,2.26378,0.00501,0.53719,0.01899,0.00544,1.83316,3.65665,1.89628,0.00046,0.00046,0.00046
2,2.85803,1.80487,2.75891,1.77347,0.3164,0.14876,0.12792,0.03597,1.77347,3.26643,1.67828,0.000930694,0.000930694,0.000930694
3,4.24299,1.73985,2.45895,1.65366,0.19158,0.23967,0.13622,0.05279,1.79462,2.55057,1.73106,0.00139188,0.00139188,0.00139188
4,5.60968,1.74431,2.28897,1.6426,0.24657,0.19008,0.11717,0.03608,1.9506,2.88934,1.91809,0.00184357,0.00184357,0.00184357
5,6.90865,1.70683,2.07276,1.68227,0.24483,0.21704,0.12694,0.04544,1.9894,2.89517,1.88759,0.0019208,0.0019208,0.0019208
6,8.2005,1.67889,1.87953,1.588,0.09161,0.34711,0.06832,0.02542,2.02153,3.26341,1.84822,0.001901,0.001901,0.001901
7,9.428,1.66756,1.78619,1.59039,0.36381,0.35537,0.31147,0.13097,1.81093,2.16456,1.69035,0.0018812,0.0018812,0.0018812
8,10.6805,1.61499,1.7225,1.57193,0.33105,0.33058,0.24996,0.09017,2.01302,2.38214,1.93764,0.0018614,0.0018614,0.0018614
9,11.8479,1.62177,1.53909,1.5223,0.56555,0.45187,0.45138,0.18995,1.834,1.77091,1.74534,0.0018416,0.0018416,0.0018416
10,13.076,1.59562,1.52099,1.53785,0.52802,0.41322,0.40963,0.13894,2.18549,2.0362,1.90851,0.0018218,0.0018218,0.0018218
11,14.2403,1.52105,1.46659,1.4883,0.62424,0.5492,0.50898,0.22367,1.94208,1.7147,1.81831,0.001802,0.001802,0.001802
12,15.5108,1.5143,1.37642,1.46689,0.54621,0.40496,0.4363,0.1842,1.97521,1.99407,1.75183,0.0017822,0.0017822,0.0017822
13,16.7511,1.51237,1.29438,1.48502,0.61194,0.44628,0.49208,0.21386,1.84959,1.94165,1.77617,0.0017624,0.0017624,0.0017624
14,17.9866,1.51023,1.26095,1.47583,0.61756,0.49587,0.54089,0.20169,2.03056,1.80445,1.80758,0.0017426,0.0017426,0.0017426
15,19.2565,1.49947,1.23287,1.46358,0.70691,0.39669,0.47271,0.17865,2.03933,2.14745,1.89791,0.0017228,0.0017228,0.0017228
16,20.5033,1.45377,1.19797,1.43615,0.63486,0.47934,0.48637,0.20504,1.95125,2.08828,1.80893,0.001703,0.001703,0.001703
17,21.751,1.38338,1.0624,1.40002,0.66042,0.51436,0.53875,0.21279,1.94499,2.07136,1.77834,0.0016832,0.0016832,0.0016832
