epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.836398,2.74414,4.63492,2.46806,0.00558,0.72549,0.04115,0.01081,2.06439,3.63171,1.9121,0.00022,0.00022,0.00022
2,1.63181,1.98362,3.04938,1.78294,0.0059,0.78431,0.07847,0.02101,1.72538,3.55815,1.7204,0.000455446,0.000455446,0.000455446
3,2.40169,1.73908,2.69193,1.62979,0.00557,0.73529,0.0765,0.02543,1.80512,3.51231,1.75338,0.00068614,0.00068614,0.00068614
4,3.18901,1.6865,2.46007,1.60964,0.00609,0.82353,0.13973,0.05785,1.69218,3.22608,1.47833,0.000912082,0.000912082,0.000912082
5,3.96486,1.68164,2.33895,1.60881,0.41048,0.17647,0.13132,0.04473,1.78985,3.11327,1.62898,0.00113327,0.00113327,0.00113327
6,4.67924,1.57962,2.12584,1.5503,0.20715,0.19608,0.093,0.03485,1.79182,2.98758,1.6465,0.00134971,0.00134971,0.00134971
7,5.38934,1.57041,2.01988,1.53856,0.12096,0.21569,0.0912,0.04088,1.83778,3.03772,1.64485,0.0015614,0.0015614,0.0015614
8,6.11401,1.53209,1.90572,1.49102,0.31245,0.11765,0.09751,0.04411,1.89716,3.37783,1.66354,0.00176833,0.00176833,0.00176833
9,6.84582,1.52592,1.88124,1.47881,0.33741,0.38235,0.26194,0.10282,1.93735,2.64503,1.76446,0.0018416,0.0018416,0.0018416
10,7.6456,1.45104,1.67966,1.4353,0.37871,0.42432,0.29351,0.10266,2.1154,2.62316,1.98922,0.0018218,0.0018218,0.0018218
11,8.41143,1.46534,1.59406,1.46629,0.51948,0.45098,0.41042,0.15704,2.11742,2.26385,1.94963,0.001802,0.001802,0.001802
12,9.22608,1.39654,1.55104,1.37637,0.43059,0.28175,0.26779,0.08856,2.04627,2.61377,1.93991,0.0017822,0.0017822,0.0017822
13,9.97963,1.33722,1.41936,1.33729,0.58595,0.43137,0.44462,0.16687,1.85106,2.16235,1.79915,0.0017624,0.0017624,0.0017624
14,10.7903,1.30405,1.34445,1.30155,0.26264,0.37017,0.20438,0.06453,2.15613,2.61613,2.17822,0.0017426,0.0017426,0.0017426
15,11.5586,1.32421,1.27103,1.32017,0.54328,0.5098,0.50543,0.18784,2.02547,1.73009,1.92668,0.0017228,0.0017228,0.0017228
16,12.3591,1.27122,1.1784,1.27185,0.5079,0.70832,0.54952,0.20558,1.93398,1.86548,1.84105,0.001703,0.001703,0.001703
17,13.1627,1.17409,1.07533,1.22374,0.51386,0.58824,0.47722,0.18755,1.99714,1.70366,1.89099,0.0016832,0.0016832,0.0016832
18,13.8668,1.10743,1.00279,1.2025,0.63463,0.62745,0.59605,0.24108,1.87808,1.70065,1.77954,0.0016634,0.0016634,0.0016634
19,14.6171,1.04482,0.93706,1.12185,0.70491,0.63725,0.67097,0.2704,2.04709,1.45596,1.91737,0.0016436,0.0016436,0.0016436
20,15.4539,1.06221,0.91864,1.14202,0.82636,0.5,0.61163,0.23335,2.11091,1.75594,1.98977,0.0016238,0.0016238,0.0016238
21,16.1947,1.03061,0.89187,1.12867,0.74016,0.61442,0.62406,0.26297,2.01605,1.55083,1.87423,0.001604,0.001604,0.001604
22,16.9393,1.00644,0.86025,1.11934,0.65485,0.59804,0.6138,0.23828,2.08415,1.90438,1.94134,0.0015842,0.0015842,0.0015842
23,17.6832,1.0168,0.8273,1.11865,0.7382,0.60784,0.60678,0.23601,2.09014,1.74243,1.90018,0.0015644,0.0015644,0.0015644
24,18.4094,0.98288,0.78562,1.0886,0.69095,0.61375,0.59624,0.25043,2.01255,1.54256,1.82625,0.0015446,0.0015446,0.0015446
25,19.1491,0.96918,0.77194,1.07401,0.63681,0.60166,0.54945,0.19567,2.14518,1.56722,2.10294,0.0015248,0.0015248,0.0015248
26,19.8867,0.95704,0.78302,1.08308,0.58134,0.69608,0.6124,0.24729,1.99091,1.48096,2.0299,0.001505,0.001505,0.001505
27,20.632,0.89713,0.72348,1.04369,0.5877,0.61491,0.52879,0.21676,2.0567,1.78056,2.00081,0.0014852,0.0014852,0.0014852
28,21.3179,0.86422,0.6876,1.01967,0.67057,0.57843,0.61618,0.25381,2.08865,1.47637,1.96942,0.0014654,0.0014654,0.0014654
29,22.0045,0.84262,0.68861,1.01371,0.62424,0.70036,0.63878,0.26026,2.07589,1.41587,1.99994,0.0014456,0.0014456,0.0014456
30,22.6871,0.81769,0.63485,1.01351,0.61181,0.66667,0.65045,0.26002,2.00571,1.33064,1.98553,0.0014258,0.0014258,0.0014258
31,23.3654,0.82308,0.64081,0.99858,0.65517,0.66667,0.66137,0.26099,2.05595,1.43017,2.01516,0.001406,0.001406,0.001406
32,24.0618,0.79931,0.60859,0.98542,0.65092,0.7451,0.64646,0.26931,1.96575,1.35698,1.91866,0.0013862,0.0013862,0.0013862
33,24.7688,0.81194,0.61272,0.98378,0.56741,0.55297,0.53323,0.2037,2.00363,2.01233,1.96478,0.0013664,0.0013664,0.0013664
34,25.4756,0.77491,0.59887,0.9736,0.69375,0.5,0.52362,0.19469,2.10587,1.90804,2.16166,0.0013466,0.0013466,0.0013466
35,26.1707,0.73462,0.58232,0.95284,0.62449,0.59804,0.57182,0.21172,2.04737,1.78958,2.06748,0.0013268,0.0013268,0.0013268
36,26.8451,0.70329,0.56314,0.95894,0.60924,0.6267,0.55241,0.20751,2.04312,1.72597,2.12296,0.001307,0.001307,0.001307
37,27.5237,0.71114,0.56125,0.95901,0.65289,0.66667,0.63055,0.24306,1.99848,1.69159,1.98255,0.0012872,0.0012872,0.0012872
