epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.45564,2.32482,3.79302,2.19945,0.00554,0.69091,0.00916,0.00384,1.69609,3.59687,1.70327,0.00046,0.00046,0.00046
2,2.77963,1.71307,2.53316,1.74506,0.00544,0.68182,0.1447,0.04608,1.90991,3.27432,2.02879,0.000930694,0.000930694,0.000930694
3,4.12053,1.62222,2.16786,1.62336,0.36722,0.17273,0.1832,0.05311,1.97188,3.10864,2.01847,0.00139188,0.00139188,0.00139188
4,5.45134,1.62633,2.01379,1.62595,0.4575,0.28182,0.3153,0.13662,1.82508,2.41983,1.79377,0.00184357,0.00184357,0.00184357
5,6.77681,1.58849,1.83296,1.60778,0.50369,0.32727,0.28633,0.11043,1.89738,2.34005,1.77747,0.0019208,0.0019208,0.0019208
6,8.00389,1.52818,1.72124,1.58021,0.40828,0.3701,0.325,0.12195,1.92819,2.08159,1.89273,0.001901,0.001901,0.001901
7,9.24385,1.4937,1.56791,1.54841,0.52949,0.26364,0.2399,0.09139,2.08841,2.45192,1.9228,0.0018812,0.0018812,0.0018812
8,10.4938,1.38612,1.34457,1.47202,0.56751,0.39091,0.39062,0.15925,1.9135,1.88312,1.92143,0.0018614,0.0018614,0.0018614
9,11.8166,1.30588,1.23353,1.42795,0.41727,0.3,0.25243,0.10722,1.92206,2.38955,2.12467,0.0018416,0.0018416,0.0018416
10,13.0681,1.24859,1.12449,1.3732,0.49533,0.39261,0.37036,0.13323,2.04555,2.11119,2.02412,0.0018218,0.0018218,0.0018218
11,14.3362,1.19779,1.03417,1.33294,0.34931,0.31818,0.24698,0.08564,2.05009,2.66014,2.02223,0.001802,0.001802,0.001802
12,15.5913,1.18484,1.05438,1.30906,0.5274,0.48182,0.36126,0.1456,1.97631,2.0278,2.05479,0.0017822,0.0017822,0.0017822
13,16.8492,1.1561,0.96093,1.2978,0.35022,0.50909,0.33134,0.14541,2.0587,1.64318,2.05468,0.0017624,0.0017624,0.0017624
14,18.0998,1.0462,0.8586,1.21372,0.50846,0.42727,0.3842,0.14012,2.12783,2.13775,2.23934,0.0017426,0.0017426,0.0017426
15,19.3652,1.01297,0.82747,1.203,0.53505,0.51818,0.441,0.16854,2.05191,1.71018,2.07192,0.0017228,0.0017228,0.0017228
16,20.6911,0.98395,0.78733,1.15686,0.58039,0.45455,0.4414,0.17259,2.07812,1.71697,2.18572,0.001703,0.001703,0.001703
17,21.9722,0.98867,0.74227,1.16813,0.50654,0.42727,0.38266,0.14397,2.18916,1.73817,2.37501,0.0016832,0.0016832,0.0016832
18,23.2064,0.95061,0.70531,1.15973,0.54698,0.48182,0.4276,0.17188,2.05213,1.7722,2.26626,0.0016634,0.0016634,0.0016634
19,24.4466,0.88957,0.67128,1.11703,0.58242,0.46364,0.41471,0.15764,2.12248,1.91838,2.17681,0.0016436,0.0016436,0.0016436
20,25.6557,0.8634,0.64195,1.10037,0.52324,0.47273,0.45722,0.17925,2.08216,1.91205,2.22075,0.0016238,0.0016238,0.0016238
21,26.9016,0.82345,0.619,1.06964,0.51267,0.52602,0.45984,0.18326,2.04371,1.50474,2.19002,0.001604,0.001604,0.001604
