epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.856484,3.24695,4.66461,4.5164,9e-05,0.00847,4e-05,1e-05,3.13408,4.09036,4.15933,0.00022,0.00022,0.00022
2,1.73433,2.97765,4.01482,4.1072,9e-05,0.00847,4e-05,1e-05,3.14071,4.10702,4.16987,0.000455446,0.000455446,0.000455446
3,2.59225,2.75444,3.68794,3.74019,9e-05,0.00847,4e-05,0,3.17554,4.13938,4.20993,0.00068614,0.00068614,0.00068614
4,3.36165,2.48221,3.45275,3.32021,0,0,0,0,3.24489,4.12296,4.30175,0.000912082,0.000912082,0.000912082
5,4.12013,2.2844,3.35564,2.86397,0,0,0,0,3.29817,4.16139,4.38599,0.00113327,0.00113327,0.00113327
6,4.87887,2.14172,3.03493,2.60414,0,0,0,0,3.33208,3.97725,4.43208,0.00134971,0.00134971,0.00134971
7,5.6047,2.0327,2.83341,2.44912,0,0,0,0,3.38019,3.99902,4.50706,0.0015614,0.0015614,0.0015614
8,6.33887,1.96568,2.54794,2.3333,0,0,0,0,3.34898,4.08412,4.46945,0.00176833,0.00176833,0.00176833
9,7.08186,1.90906,2.35007,2.27692,0.00266,0.13559,0.00404,0.00154,3.12082,3.87477,4.05247,0.0018416,0.0018416,0.0018416
10,7.91449,1.82506,2.2459,2.18761,0.69444,0.05085,0.05366,0.02013,2.75981,3.5118,3.52445,0.0018218,0.0018218,0.0018218
11,8.73931,1.75555,2.13197,2.13863,0.41321,0.06573,0.0813,0.02897,2.4082,3.24096,3.12571,0.001802,0.001802,0.001802
12,9.61084,1.76979,2.01368,2.13008,0.27314,0.21186,0.13135,0.04378,2.21433,2.75985,2.79314,0.0017822,0.0017822,0.0017822
13,10.4482,1.74691,1.9089,2.09069,0.32167,0.24515,0.20347,0.07286,2.09108,2.4572,2.51601,0.0017624,0.0017624,0.0017624
14,11.2716,1.72401,1.79518,2.0556,0.42396,0.23729,0.22614,0.06889,2.06647,2.37289,2.47332,0.0017426,0.0017426,0.0017426
