epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.41237,3.08358,4.33189,4.33926,9e-05,0.00847,4e-05,1e-05,3.14256,4.10675,4.16789,0.00046,0.00046,0.00046
2,2.81028,2.70901,3.60806,3.59627,9e-05,0.00847,4e-05,1e-05,3.23939,4.13855,4.29544,0.000930694,0.000930694,0.000930694
3,4.2409,2.36143,3.1946,2.97689,0,0,0,0,3.37852,3.9189,4.50229,0.00139188,0.00139188,0.00139188
4,5.54986,2.11154,2.8073,2.5682,0.0016,0.07627,0.00089,0.00036,3.34051,3.94372,4.39173,0.00184357,0.00184357,0.00184357
5,6.89786,1.98879,2.50763,2.34305,0.16126,0.08475,0.04547,0.01189,2.50323,3.29261,3.06383,0.0019208,0.0019208,0.0019208
6,8.24072,1.92014,2.33223,2.29503,0.2316,0.25424,0.15,0.06001,2.10676,2.50532,2.51939,0.001901,0.001901,0.001901
7,9.57839,1.85102,2.09391,2.21414,0.3104,0.35593,0.24319,0.10508,1.99122,2.11441,2.41394,0.0018812,0.0018812,0.0018812
8,10.9156,1.78437,1.93034,2.14072,0.36724,0.40678,0.28109,0.10595,1.96557,1.97981,2.39512,0.0018614,0.0018614,0.0018614
9,12.2557,1.72235,1.78504,2.09313,0.43122,0.44334,0.32741,0.14157,1.89043,1.71392,2.28747,0.0018416,0.0018416,0.0018416
10,13.6069,1.66185,1.68279,2.04756,0.59223,0.36928,0.37153,0.15981,1.80991,1.63851,2.26541,0.0018218,0.0018218,0.0018218
11,14.9704,1.62677,1.5689,2.00518,0.41216,0.41525,0.34363,0.13715,1.937,1.80556,2.35711,0.001802,0.001802,0.001802
12,16.2507,1.61375,1.46377,1.97869,0.4801,0.38983,0.3744,0.14833,1.89402,1.61323,2.28659,0.0017822,0.0017822,0.0017822
13,17.5036,1.59957,1.41665,1.97062,0.5454,0.33898,0.3801,0.1675,1.8393,1.62109,2.20139,0.0017624,0.0017624,0.0017624
14,18.725,1.49918,1.30075,1.89074,0.59551,0.4322,0.45125,0.19707,1.79744,1.73655,2.20202,0.0017426,0.0017426,0.0017426
15,19.9529,1.4809,1.20725,1.8767,0.54941,0.4661,0.46094,0.18737,1.93603,1.49153,2.41419,0.0017228,0.0017228,0.0017228
16,21.1192,1.47757,1.17949,1.88157,0.53685,0.4661,0.43359,0.165,1.96602,1.52217,2.39533,0.001703,0.001703,0.001703
17,22.2677,1.42623,1.11941,1.83769,0.49402,0.38136,0.35942,0.12474,2.07611,1.76229,2.71358,0.0016832,0.0016832,0.0016832
18,23.4342,1.40276,1.0777,1.80598,0.51115,0.39876,0.38579,0.13407,2.14528,1.91534,2.67482,0.0016634,0.0016634,0.0016634
19,24.591,1.32088,1.01322,1.74054,0.65547,0.37288,0.41779,0.16796,2.10013,1.99674,2.53245,0.0016436,0.0016436,0.0016436
20,25.7921,1.29762,0.98234,1.72737,0.57659,0.42373,0.43836,0.16693,2.0213,1.62236,2.48097,0.0016238,0.0016238,0.0016238
21,26.9911,1.27367,0.92555,1.68759,0.55034,0.42373,0.43939,0.17152,2.2595,1.59156,2.63421,0.001604,0.001604,0.001604
22,28.1808,1.27126,0.89435,1.68929,0.57873,0.45763,0.41958,0.1424,2.11631,1.61788,2.8035,0.0015842,0.0015842,0.0015842
23,29.3639,1.21696,0.88278,1.66489,0.55952,0.38136,0.35697,0.11818,2.15916,1.62263,3.01227,0.0015644,0.0015644,0.0015644
24,30.5853,1.17578,0.86254,1.63832,0.5637,0.44891,0.42958,0.18157,2.12819,1.75275,2.59023,0.0015446,0.0015446,0.0015446
25,31.8504,1.14307,0.80708,1.59087,0.67442,0.37288,0.42494,0.17343,2.14295,1.62466,2.67815,0.0015248,0.0015248,0.0015248
26,33.0959,1.0984,0.79636,1.56452,0.52542,0.40347,0.35411,0.121,2.26866,1.69304,3.10014,0.001505,0.001505,0.001505
27,34.3609,1.11607,0.75813,1.57331,0.5977,0.44068,0.46915,0.16138,2.25218,1.58488,2.99906,0.0014852,0.0014852,0.0014852
28,35.6211,1.084,0.75787,1.55461,0.66238,0.4322,0.46772,0.18932,2.10761,1.67728,2.66553,0.0014654,0.0014654,0.0014654
29,36.8744,1.0851,0.73217,1.53231,0.58236,0.37288,0.40202,0.17292,2.08336,1.68243,2.67438,0.0014456,0.0014456,0.0014456
30,38.0703,1.08781,0.72791,1.54095,0.56524,0.4661,0.46014,0.21325,2.02502,1.56509,2.66566,0.0014258,0.0014258,0.0014258
31,39.3069,1.01601,0.70251,1.48806,0.68685,0.33462,0.41857,0.18973,1.99233,2.05728,2.5874,0.001406,0.001406,0.001406
32,40.4878,0.9811,0.69354,1.46518,0.7229,0.44915,0.50967,0.21631,2.05779,1.32905,2.8312,0.0013862,0.0013862,0.0013862
33,41.7722,0.9757,0.67108,1.45193,0.82132,0.33898,0.43507,0.19611,2.05624,2.25484,2.58613,0.0013664,0.0013664,0.0013664
34,43.0338,0.94378,0.63804,1.40296,0.62947,0.44068,0.50309,0.20314,2.08759,1.68723,2.77834,0.0013466,0.0013466,0.0013466
35,44.2865,0.95242,0.6414,1.42985,0.61251,0.34746,0.35128,0.12087,2.26934,2.25803,3.10171,0.0013268,0.0013268,0.0013268
36,45.453,0.88139,0.60853,1.3627,0.71091,0.4661,0.51091,0.2081,2.11848,1.56822,2.78428,0.001307,0.001307,0.001307
37,46.627,0.88596,0.58288,1.36458,0.69326,0.4214,0.46826,0.206,2.04201,1.56621,2.77006,0.0012872,0.0012872,0.0012872
38,47.8771,0.8571,0.56455,1.33153,0.52173,0.49153,0.46334,0.19163,2.17612,1.39894,3.25355,0.0012674,0.0012674,0.0012674
39,49.1309,0.81951,0.55443,1.29966,0.55717,0.4661,0.46404,0.19042,2.20928,1.4332,3.22539,0.0012476,0.0012476,0.0012476
40,50.3988,0.84609,0.55324,1.31204,0.66448,0.40283,0.46933,0.20815,2.16783,1.81359,2.88538,0.0012278,0.0012278,0.0012278
41,51.6658,0.83103,0.54754,1.32183,0.57577,0.39107,0.47479,0.21409,2.07561,1.85459,2.73421,0.001208,0.001208,0.001208
42,52.9602,0.79369,0.53473,1.29591,0.6605,0.45763,0.49944,0.21271,2.17333,1.58488,3.00367,0.0011882,0.0011882,0.0011882
43,54.207,0.78934,0.52545,1.27106,0.54879,0.41525,0.46393,0.18827,2.22223,1.61218,3.31699,0.0011684,0.0011684,0.0011684
44,55.4626,0.77857,0.51563,1.27004,0.61446,0.4322,0.4852,0.20713,2.1683,1.71098,2.97328,0.0011486,0.0011486,0.0011486
45,56.7407,0.77411,0.52258,1.26062,0.72414,0.4322,0.52201,0.23653,2.1425,1.39334,2.98734,0.0011288,0.0011288,0.0011288
46,58.0128,0.73704,0.49899,1.23146,0.5257,0.41331,0.43877,0.18926,2.08913,1.89147,2.81622,0.001109,0.001109,0.001109
47,59.2582,0.75526,0.49976,1.23902,0.63058,0.45763,0.5039,0.21355,2.20905,1.4646,3.28874,0.0010892,0.0010892,0.0010892
48,60.5173,0.68954,0.46826,1.19051,0.77973,0.42001,0.51253,0.21809,2.1661,1.76582,3.06719,0.0010694,0.0010694,0.0010694
49,61.8134,0.71467,0.47262,1.20849,0.65005,0.38983,0.50338,0.21754,2.22061,1.7652,3.33144,0.0010496,0.0010496,0.0010496
50,63.0654,0.70488,0.46769,1.19679,0.56911,0.49251,0.48545,0.2091,2.10642,1.37787,3.09055,0.0010298,0.0010298,0.0010298
51,64.3147,0.67618,0.46619,1.17728,0.6498,0.40886,0.49712,0.21726,2.11092,1.54723,3.03925,0.00101,0.00101,0.00101
52,65.582,0.68607,0.4491,1.16869,0.69154,0.40678,0.48838,0.20448,2.18607,1.64264,3.50509,0.0009902,0.0009902,0.0009902
53,66.8709,0.64445,0.4294,1.14996,0.65314,0.39831,0.48972,0.21231,2.07317,1.66993,2.90984,0.0009704,0.0009704,0.0009704
54,68.1459,0.63161,0.43509,1.14287,0.65212,0.39831,0.51769,0.24305,2.14548,1.53971,3.21618,0.0009506,0.0009506,0.0009506
55,69.4798,0.63908,0.42707,1.14088,0.75635,0.37288,0.4994,0.22936,2.18669,1.65351,3.0981,0.0009308,0.0009308,0.0009308
56,70.7224,0.62247,0.41897,1.13355,0.66549,0.45763,0.51074,0.21897,2.15635,1.41419,2.97316,0.000911,0.000911,0.000911
57,72.0092,0.64114,0.43092,1.15961,0.64038,0.44915,0.5144,0.22762,2.15319,1.60165,3.07053,0.0008912,0.0008912,0.0008912
58,73.279,0.59461,0.41856,1.11002,0.5982,0.44068,0.49112,0.21002,2.21245,1.67321,3.17126,0.0008714,0.0008714,0.0008714
59,74.5502,0.61253,0.41847,1.1259,0.62234,0.44915,0.51822,0.23643,2.2145,1.70013,3.30808,0.0008516,0.0008516,0.0008516
60,75.7395,0.61916,0.42242,1.13413,0.52587,0.44915,0.47138,0.1991,2.2318,1.64656,3.40492,0.0008318,0.0008318,0.0008318
61,76.9663,0.60556,0.42294,1.11721,0.59006,0.44915,0.47843,0.20806,2.21822,1.57367,3.37348,0.000812,0.000812,0.000812
