epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.849877,3.37045,4.72724,4.40973,0,0,0,0,3.79155,4.08395,4.15855,0.00022,0.00022,0.00022
2,1.6655,3.07601,4.11684,4.15803,0,0,0,0,3.79868,4.10034,4.16364,0.000455446,0.000455446,0.000455446
3,2.47853,2.88083,3.78163,3.93591,8e-05,0.0098,4e-05,0,3.82506,4.12791,4.19077,0.00068614,0.00068614,0.00068614
4,3.34175,2.72644,3.49009,3.6245,0.00017,0.01961,9e-05,1e-05,3.89337,4.19665,4.28121,0.000912082,0.000912082,0.000912082
5,4.19421,2.52386,3.2891,3.31845,0.00042,0.04902,0.00022,5e-05,3.94057,3.97405,4.36299,0.00113327,0.00113327,0.00113327
6,5.03226,2.28188,2.99269,3.08461,0,0,0,0,4.0062,3.9876,4.44007,0.00134971,0.00134971,0.00134971
7,5.77758,2.10548,2.83633,2.82374,0,0,0,0,4.02174,4.00767,4.51612,0.0015614,0.0015614,0.0015614
8,6.54788,2.04265,2.62585,2.67912,0,0,0,0,3.88231,3.88825,4.34953,0.00176833,0.00176833,0.00176833
9,7.27623,1.94474,2.44455,2.56605,0.00109,0.03922,0.00057,0.0002,3.71311,3.94997,4.17696,0.0018416,0.0018416,0.0018416
10,8.08356,1.88283,2.24735,2.47804,0.00315,0.15686,0.02365,0.00868,3.59127,3.90445,4.11951,0.0018218,0.0018218,0.0018218
11,8.89183,1.88624,2.11328,2.41406,0.00527,0.30392,0.06821,0.03019,3.11962,3.64006,3.74099,0.001802,0.001802,0.001802
12,9.69164,1.75999,2.02276,2.31088,0.26,0.21569,0.13662,0.05028,2.63279,2.98353,3.16992,0.0017822,0.0017822,0.0017822
13,10.5235,1.72226,1.96252,2.25696,0.22742,0.28862,0.16057,0.05513,2.34548,2.60849,2.88784,0.0017624,0.0017624,0.0017624
14,11.384,1.66097,1.69278,2.18812,0.39971,0.2549,0.23038,0.09269,2.13913,2.70793,2.67834,0.0017426,0.0017426,0.0017426
15,12.2197,1.59123,1.55369,2.11742,0.48004,0.19608,0.22407,0.08952,2.1829,2.8415,2.6945,0.0017228,0.0017228,0.0017228
16,12.9798,1.53487,1.46512,2.06567,0.50448,0.24958,0.24081,0.09606,2.20122,2.81978,2.70072,0.001703,0.001703,0.001703
17,13.8061,1.48526,1.30632,2.01777,0.3926,0.40196,0.31826,0.12265,2.12654,2.39619,2.54215,0.0016832,0.0016832,0.0016832
18,14.5929,1.50535,1.28913,2.0406,0.39709,0.35294,0.29095,0.10717,2.6445,2.3929,3.02461,0.0016634,0.0016634,0.0016634
19,15.3229,1.49205,1.21105,2.00218,0.50812,0.43137,0.39661,0.1462,2.1495,2.19401,2.52245,0.0016436,0.0016436,0.0016436
20,16.1044,1.43496,1.18335,1.97693,0.45892,0.26471,0.23186,0.08368,2.76256,2.37316,3.24078,0.0016238,0.0016238,0.0016238
21,16.8277,1.40312,1.205,1.94431,0.45474,0.40066,0.34884,0.13242,2.46882,2.00675,2.93037,0.001604,0.001604,0.001604
22,17.54,1.33788,1.07094,1.86853,0.4815,0.37255,0.31599,0.13955,2.11509,2.5716,2.53469,0.0015842,0.0015842,0.0015842
23,18.255,1.26893,1.00383,1.81461,0.44924,0.35988,0.29943,0.11186,2.41801,2.36227,2.83483,0.0015644,0.0015644,0.0015644
24,18.9808,1.27686,0.97887,1.81896,0.41702,0.38235,0.27584,0.09627,2.28521,2.38779,2.69326,0.0015446,0.0015446,0.0015446
25,19.741,1.33387,1.02296,1.85302,0.49842,0.44118,0.3555,0.12075,2.22447,2.04854,2.7369,0.0015248,0.0015248,0.0015248
26,20.5085,1.21114,0.95382,1.76204,0.48586,0.56863,0.43807,0.15362,2.25011,1.7659,2.873,0.001505,0.001505,0.001505
27,21.3245,1.1356,0.87199,1.70205,0.6528,0.19608,0.24424,0.09416,2.37116,3.54282,2.74908,0.0014852,0.0014852,0.0014852
28,22.0712,1.14109,0.89848,1.68961,0.46141,0.47034,0.398,0.13439,2.28544,2.11211,2.80835,0.0014654,0.0014654,0.0014654
29,22.8012,1.08205,0.8488,1.64267,0.54808,0.35674,0.37632,0.11211,2.16045,2.51594,2.5904,0.0014456,0.0014456,0.0014456
30,23.5378,1.04774,0.82487,1.60907,0.55174,0.24139,0.2919,0.11119,2.15658,3.13185,2.65655,0.0014258,0.0014258,0.0014258
31,24.3055,1.02979,0.7905,1.58857,0.61729,0.36275,0.3944,0.13685,2.3602,2.59519,2.8663,0.001406,0.001406,0.001406
32,25.0612,1.00577,0.77557,1.54883,0.36965,0.27598,0.19796,0.07252,2.48312,2.96996,2.9414,0.0013862,0.0013862,0.0013862
33,25.809,0.92731,0.74782,1.49696,0.62695,0.26471,0.29558,0.12388,2.2589,2.95318,2.70826,0.0013664,0.0013664,0.0013664
34,26.5183,0.92934,0.72906,1.4846,0.51712,0.47248,0.44936,0.17784,2.30622,2.04799,2.84542,0.0013466,0.0013466,0.0013466
35,27.2883,0.91851,0.70665,1.49442,0.55733,0.46906,0.43528,0.16396,2.34549,2.25523,2.85946,0.0013268,0.0013268,0.0013268
36,28.0207,0.8757,0.69607,1.44585,0.60663,0.41176,0.439,0.16128,2.30442,2.02384,2.96005,0.001307,0.001307,0.001307
37,28.7653,0.83026,0.65905,1.41576,0.581,0.43137,0.42155,0.15861,2.21138,2.26809,2.80544,0.0012872,0.0012872,0.0012872
38,29.4652,0.80564,0.63107,1.37168,0.47885,0.5,0.43699,0.15687,2.2658,2.06371,3.00089,0.0012674,0.0012674,0.0012674
39,30.1719,0.75995,0.61284,1.34181,0.48355,0.37255,0.35283,0.1245,2.29008,2.29014,2.84777,0.0012476,0.0012476,0.0012476
40,30.9198,0.7187,0.58478,1.30571,0.53838,0.43137,0.48983,0.17772,2.43839,2.26241,3.167,0.0012278,0.0012278,0.0012278
41,31.6647,0.74864,0.58871,1.31843,0.50254,0.46078,0.45212,0.16415,2.30414,2.18546,2.96986,0.001208,0.001208,0.001208
42,32.4314,0.73545,0.5864,1.31541,0.4911,0.46078,0.44437,0.16398,2.27881,2.03129,3.19793,0.0011882,0.0011882,0.0011882
43,33.1758,0.70965,0.5857,1.30646,0.47878,0.4902,0.4011,0.15341,2.37016,2.20329,3.22271,0.0011684,0.0011684,0.0011684
44,33.9369,0.67927,0.56056,1.26262,0.48571,0.43137,0.3952,0.15902,2.22668,2.28972,2.84709,0.0011486,0.0011486,0.0011486
45,34.6921,0.65824,0.53915,1.24491,0.51633,0.41867,0.40587,0.15995,2.27778,2.61101,2.85409,0.0011288,0.0011288,0.0011288
46,35.4305,0.67647,0.53791,1.23308,0.48868,0.48725,0.41096,0.16671,2.18817,2.18476,2.7815,0.001109,0.001109,0.001109
47,36.2048,0.63755,0.52318,1.21321,0.47338,0.4902,0.47061,0.16883,2.33727,2.13751,3.0379,0.0010892,0.0010892,0.0010892
48,36.9523,0.63223,0.50585,1.20532,0.44112,0.42562,0.41765,0.16415,2.35134,2.21065,3.18077,0.0010694,0.0010694,0.0010694
49,37.7017,0.64333,0.50411,1.21134,0.48723,0.43137,0.47149,0.16563,2.37594,2.40976,3.16117,0.0010496,0.0010496,0.0010496
50,38.4556,0.64098,0.49356,1.21824,0.55724,0.47059,0.50206,0.18166,2.40098,2.03136,3.25541,0.0010298,0.0010298,0.0010298
51,39.2743,0.59484,0.49747,1.17649,0.49263,0.48551,0.43699,0.16797,2.35316,2.16793,3.04451,0.00101,0.00101,0.00101
52,40.0216,0.55852,0.46532,1.14831,0.47007,0.4902,0.48076,0.17828,2.33893,2.20093,3.13937,0.0009902,0.0009902,0.0009902
53,40.7895,0.54883,0.46046,1.13473,0.5422,0.34838,0.4268,0.1715,2.31845,2.49335,3.07246,0.0009704,0.0009704,0.0009704
54,41.5369,0.55301,0.46796,1.12904,0.55715,0.39216,0.38784,0.14545,2.24554,2.23824,3.00292,0.0009506,0.0009506,0.0009506
55,42.2972,0.53618,0.46468,1.12033,0.58752,0.4902,0.49189,0.19778,2.40869,2.25456,3.26743,0.0009308,0.0009308,0.0009308
56,43.1186,0.51528,0.43134,1.09938,0.50027,0.5,0.51307,0.19606,2.27493,2.11512,3.1469,0.000911,0.000911,0.000911
57,43.8464,0.51196,0.43004,1.091,0.57522,0.47796,0.50344,0.19861,2.34107,2.39877,3.15275,0.0008912,0.0008912,0.0008912
58,44.6851,0.48265,0.41731,1.08266,0.5528,0.45098,0.48811,0.18074,2.24502,2.42624,2.96491,0.0008714,0.0008714,0.0008714
59,45.4286,0.4567,0.4148,1.05889,0.60073,0.48681,0.4899,0.19934,2.31774,2.35551,3.16498,0.0008516,0.0008516,0.0008516
