epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.42245,3.23535,4.4549,4.30602,0,0,0,0,3.79808,4.09828,4.16199,0.00046,0.00046,0.00046
2,2.78225,2.7727,3.63296,3.79348,0.00025,0.02941,0.00013,3e-05,3.91135,4.12839,4.30007,0.000930694,0.000930694,0.000930694
3,4.13601,2.39033,3.21605,3.20245,0.0008,0.10784,0.00045,0.00014,4.15247,4.07943,4.58578,0.00139188,0.00139188,0.00139188
4,5.4571,2.14095,2.85666,2.78279,0,0,0,0,4.18224,4.00844,4.70562,0.00184357,0.00184357,0.00184357
5,6.71246,2.03909,2.53653,2.61087,0.5001,0.01961,0.05459,0.02264,3.38778,3.7372,3.95021,0.0019208,0.0019208,0.0019208
6,8.06078,1.92318,2.30877,2.45409,0.27673,0.33333,0.229,0.09106,2.29088,2.45725,2.7485,0.001901,0.001901,0.001901
7,9.38834,1.8315,2.00982,2.33446,0.38655,0.36275,0.28786,0.10578,2.28817,2.37093,2.67806,0.0018812,0.0018812,0.0018812
8,10.7295,1.76656,1.8231,2.26859,0.45308,0.44118,0.42342,0.1565,2.11279,1.89792,2.54936,0.0018614,0.0018614,0.0018614
9,12.0335,1.77412,1.69216,2.25709,0.30864,0.19608,0.14206,0.0457,2.83915,2.77995,3.30637,0.0018416,0.0018416,0.0018416
10,13.3008,1.6825,1.56629,2.18288,0.61638,0.36275,0.44836,0.19169,1.96284,1.96951,2.39275,0.0018218,0.0018218,0.0018218
11,14.6554,1.60628,1.4959,2.10241,0.49223,0.5,0.4655,0.1814,2.11531,1.84399,2.57685,0.001802,0.001802,0.001802
12,15.8977,1.57887,1.34025,2.08323,0.43408,0.47377,0.36728,0.13523,2.35247,1.93697,2.90697,0.0017822,0.0017822,0.0017822
13,17.1802,1.5539,1.27079,2.03967,0.5127,0.51961,0.52143,0.2014,2.10586,1.90911,2.52816,0.0017624,0.0017624,0.0017624
14,18.5128,1.48715,1.20568,1.99547,0.50777,0.42479,0.44038,0.17548,2.11037,1.93535,2.51586,0.0017426,0.0017426,0.0017426
15,19.7748,1.42426,1.09417,1.92282,0.5561,0.44217,0.45133,0.19035,2.03841,1.84969,2.44455,0.0017228,0.0017228,0.0017228
16,21.06,1.36358,1.04052,1.87267,0.37635,0.52657,0.37002,0.16271,2.01833,1.90359,2.44423,0.001703,0.001703,0.001703
17,22.3464,1.34786,0.94804,1.846,0.44807,0.5,0.42309,0.19398,2.05154,1.95038,2.51066,0.0016832,0.0016832,0.0016832
18,23.6239,1.33079,0.94737,1.8489,0.65596,0.44118,0.5177,0.21442,2.11556,1.77471,2.54239,0.0016634,0.0016634,0.0016634
19,24.977,1.21795,0.8416,1.73914,0.61549,0.28251,0.40396,0.17154,2.23162,2.938,2.63322,0.0016436,0.0016436,0.0016436
20,26.2681,1.19231,0.84681,1.71185,0.47854,0.5098,0.44676,0.19133,2.16431,1.89624,2.67201,0.0016238,0.0016238,0.0016238
21,27.5674,1.11864,0.76901,1.64524,0.47884,0.47059,0.4333,0.17923,2.144,1.97833,2.63048,0.001604,0.001604,0.001604
22,28.8533,1.06666,0.7649,1.61083,0.60235,0.46078,0.46417,0.19502,2.21045,1.9481,2.74728,0.0015842,0.0015842,0.0015842
23,30.1421,1.03474,0.72188,1.58693,0.62461,0.43137,0.46082,0.17046,2.43992,1.93593,3.06607,0.0015644,0.0015644,0.0015644
24,31.3459,1.04016,0.7029,1.57374,0.57688,0.54902,0.54402,0.21159,2.31848,1.84043,3.05925,0.0015446,0.0015446,0.0015446
25,32.5288,1.00679,0.66083,1.54293,0.55382,0.38235,0.40659,0.17419,2.17273,2.09467,2.74984,0.0015248,0.0015248,0.0015248
26,33.7925,1.00223,0.66455,1.5298,0.55147,0.51834,0.48435,0.20007,2.23266,2.09615,2.80914,0.001505,0.001505,0.001505
