epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.905485,3.71731,4.34164,4.35857,9e-05,0.00847,4e-05,1e-05,3.13395,4.08696,4.15863,0.00022,0.00022,0.00022
2,1.74471,3.22833,3.67655,4.11884,9e-05,0.00847,4e-05,1e-05,3.13547,4.09619,4.16399,0.000455446,0.000455446,0.000455446
3,2.57578,3.12419,3.42876,3.80058,9e-05,0.00847,4e-05,1e-05,3.14873,4.12274,4.18738,0.00068614,0.00068614,0.00068614
4,3.41051,2.85843,3.19779,3.49414,9e-05,0.00847,4e-05,0,3.18789,4.08485,4.23714,0.000912082,0.000912082,0.000912082
5,4.17326,2.60514,2.91797,3.11081,0,0,0,0,3.26531,3.86019,4.32129,0.00113327,0.00113327,0.00113327
6,4.91805,2.54437,2.74703,2.87732,0,0,0,0,3.25381,3.87769,4.30726,0.00134971,0.00134971,0.00134971
7,5.65811,2.3479,2.60376,2.65691,0.00062,0.02542,0.00032,8e-05,3.2673,3.86561,4.33132,0.0015614,0.0015614,0.0015614
8,6.48619,2.31062,2.51865,2.54717,0.00177,0.16949,0.00633,0.00094,3.07593,3.85366,4.05671,0.00176833,0.00176833,0.00176833
9,7.35529,2.30532,2.32568,2.49755,0.53213,0.0678,0.05975,0.01945,2.52124,3.33385,3.35301,0.0018416,0.0018416,0.0018416
10,8.17203,2.19416,2.2069,2.45468,0.18471,0.14407,0.07865,0.02688,2.3816,4.00315,2.66988,0.0018218,0.0018218,0.0018218
11,9.02627,2.17666,2.1387,2.37015,0.28282,0.24576,0.17323,0.07245,2.18299,2.56344,2.48698,0.001802,0.001802,0.001802
12,9.87507,2.12873,2.14672,2.32897,0.28858,0.29564,0.18554,0.07416,2.12031,2.43252,2.50034,0.0017822,0.0017822,0.0017822
13,10.698,2.02192,2.03154,2.29713,0.44826,0.40678,0.33602,0.12438,1.9994,1.96174,2.36921,0.0017624,0.0017624,0.0017624
14,11.4987,2.09412,1.92863,2.27912,0.4217,0.29661,0.27512,0.09979,2.05355,2.20477,2.3987,0.0017426,0.0017426,0.0017426
15,12.2584,2.05048,1.9385,2.24226,0.38086,0.34746,0.25406,0.08655,2.04478,1.99476,2.37198,0.0017228,0.0017228,0.0017228
16,12.9947,2.00847,1.92855,2.21128,0.53588,0.36441,0.32362,0.11664,1.95931,1.95495,2.32438,0.001703,0.001703,0.001703
17,13.7629,1.92976,1.80408,2.16717,0.48771,0.355,0.371,0.14552,1.92085,1.87131,2.27891,0.0016832,0.0016832,0.0016832
18,14.5829,1.91488,1.75444,2.13913,0.57824,0.18591,0.25948,0.08712,2.07476,2.4063,2.52728,0.0016634,0.0016634,0.0016634
19,15.3492,1.83886,1.70182,2.09238,0.47906,0.34746,0.33978,0.12361,1.97419,1.9204,2.36038,0.0016436,0.0016436,0.0016436
20,16.0979,1.81669,1.69072,2.07934,0.36587,0.28814,0.24418,0.09226,2.103,2.21163,2.43647,0.0016238,0.0016238,0.0016238
21,16.8354,1.85313,1.72459,2.08009,0.55818,0.29661,0.31414,0.11353,2.0241,2.3217,2.36502,0.001604,0.001604,0.001604
22,17.6039,1.78906,1.67394,2.05633,0.4106,0.31356,0.26812,0.09537,2.06892,2.18973,2.33784,0.0015842,0.0015842,0.0015842
23,18.3588,1.71035,1.58784,1.98748,0.38885,0.19492,0.20437,0.07078,2.10044,2.54111,2.61908,0.0015644,0.0015644,0.0015644
24,19.1337,1.6927,1.52757,1.99221,0.46506,0.4322,0.35727,0.12767,2.0374,1.75037,2.37037,0.0015446,0.0015446,0.0015446
25,19.9128,1.66733,1.48488,1.95614,0.54051,0.42373,0.36999,0.13699,1.93747,1.72655,2.26881,0.0015248,0.0015248,0.0015248
26,20.6193,1.63085,1.47746,1.92533,0.66444,0.35593,0.42193,0.17411,1.85581,1.7019,2.2097,0.001505,0.001505,0.001505
27,21.4021,1.6006,1.47744,1.89177,0.42802,0.33612,0.33187,0.12051,2.06157,1.91743,2.34726,0.0014852,0.0014852,0.0014852
28,22.1025,1.62367,1.4882,1.91919,0.56624,0.42042,0.4269,0.17343,1.86719,1.61836,2.20589,0.0014654,0.0014654,0.0014654
29,22.841,1.62942,1.39523,1.92235,0.46722,0.37288,0.30709,0.12471,1.94677,1.88831,2.32167,0.0014456,0.0014456,0.0014456
30,23.5983,1.50154,1.31102,1.82348,0.58572,0.30508,0.31248,0.11774,1.94501,2.24341,2.30561,0.0014258,0.0014258,0.0014258
31,24.3576,1.53781,1.31359,1.83928,0.57322,0.47808,0.40278,0.16281,1.96768,1.65336,2.36483,0.001406,0.001406,0.001406
32,25.0968,1.48792,1.26197,1.80693,0.53606,0.44068,0.40789,0.16959,1.98709,1.74474,2.33739,0.0013862,0.0013862,0.0013862
33,25.8389,1.48702,1.29383,1.78817,0.56405,0.32203,0.32665,0.1139,2.09937,1.80585,2.46551,0.0013664,0.0013664,0.0013664
