epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.47935,3.55468,4.03036,4.22914,0,0,0,0,3.79692,4.09689,4.15942,0.00046,0.00046,0.00046
2,2.86268,3.07852,3.29375,3.77881,0.00017,0.01961,9e-05,1e-05,3.84784,4.16175,4.24314,0.000930694,0.000930694,0.000930694
3,4.24008,2.58351,2.99216,3.16596,0.00074,0.08824,0.0004,0.0001,4.0058,4.10777,4.44671,0.00139188,0.00139188,0.00139188
4,5.59872,2.30278,2.60789,2.79864,0.00157,0.18627,0.00116,0.00038,3.73872,3.72039,4.23488,0.00184357,0.00184357,0.00184357
5,6.98099,2.22113,2.28242,2.6419,0.30275,0.21569,0.14702,0.05244,2.45373,2.84837,3.02379,0.0019208,0.0019208,0.0019208
6,8.34719,2.12731,2.1645,2.53402,0.30261,0.40196,0.24378,0.09888,2.10066,2.58981,2.70118,0.001901,0.001901,0.001901
7,9.70175,2.04611,2.01415,2.43962,0.33053,0.36275,0.25598,0.10368,2.23361,2.20643,2.61392,0.0018812,0.0018812,0.0018812
8,11.0899,2.00407,1.92614,2.38888,0.28128,0.35294,0.22641,0.08391,2.35567,2.16758,2.76339,0.0018614,0.0018614,0.0018614
9,12.3957,1.94193,1.93945,2.33137,0.48011,0.39216,0.38059,0.15597,2.09052,2.09399,2.50789,0.0018416,0.0018416,0.0018416
10,13.7508,1.92451,1.83056,2.30083,0.43566,0.47059,0.40179,0.1851,1.91792,1.913,2.33728,0.0018218,0.0018218,0.0018218
11,15.1318,1.87741,1.73806,2.28095,0.49049,0.5098,0.46711,0.21399,1.91721,1.71143,2.32958,0.001802,0.001802,0.001802
12,16.4992,1.83773,1.66129,2.23573,0.45201,0.51961,0.45248,0.19151,2.03747,1.71658,2.42849,0.0017822,0.0017822,0.0017822
13,17.7922,1.75815,1.60191,2.13309,0.53512,0.32353,0.35071,0.14007,2.30887,2.2184,2.72105,0.0017624,0.0017624,0.0017624
14,19.0978,1.74684,1.57706,2.12193,0.5877,0.40196,0.45021,0.16378,2.35683,1.83852,2.81596,0.0017426,0.0017426,0.0017426
15,20.3788,1.65968,1.52379,2.06309,0.39305,0.44118,0.33199,0.13242,2.32029,1.9534,2.76406,0.0017228,0.0017228,0.0017228
16,21.6663,1.6644,1.46642,2.06398,0.54533,0.55269,0.49032,0.18848,1.99417,1.81154,2.38264,0.001703,0.001703,0.001703
17,22.9475,1.63406,1.3428,2.02054,0.60313,0.4917,0.48883,0.18566,2.1132,1.72118,2.51214,0.0016832,0.0016832,0.0016832
18,24.2206,1.60738,1.39296,1.99314,0.67095,0.51975,0.52541,0.20645,2.11294,1.58529,2.55453,0.0016634,0.0016634,0.0016634
19,25.4833,1.5519,1.31949,1.95235,0.5916,0.54902,0.51271,0.20467,1.99563,1.67045,2.40357,0.0016436,0.0016436,0.0016436
20,26.6687,1.49158,1.25732,1.93313,0.58059,0.4902,0.46891,0.20387,2.05461,1.80892,2.56751,0.0016238,0.0016238,0.0016238
21,27.8781,1.524,1.25096,1.94252,0.63128,0.5098,0.48961,0.20001,2.02218,1.96371,2.48209,0.001604,0.001604,0.001604
