epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.851505,3.42737,5.15113,4.58359,0,0,0,0,3.79242,4.08706,4.15824,0.00022,0.00022,0.00022
2,1.67581,3.19469,4.32214,4.25984,0,0,0,0,3.80033,4.10671,4.16533,0.000455446,0.000455446,0.000455446
3,2.68123,2.92523,3.95389,4.02784,0,0,0,0,3.83756,4.1423,4.19627,0.00068614,0.00068614,0.00068614
4,3.5471,2.76626,3.74263,3.76128,0,0,0,0,3.88122,4.19429,4.25718,0.000912082,0.000912082,0.000912082
5,4.37583,2.59673,3.63943,3.44304,0,0,0,0,3.91627,3.94247,4.32005,0.00113327,0.00113327,0.00113327
6,5.19456,2.48892,3.41394,3.19637,0,0,0,0,3.97676,4.03344,4.41643,0.00134971,0.00134971,0.00134971
7,6.01454,2.45399,3.29914,2.9482,0,0,0,0,4.17144,4.2231,4.72682,0.0015614,0.0015614,0.0015614
8,6.86903,2.29864,3.08601,2.75157,0.00099,0.04902,0.00052,0.00015,4.05101,4.25034,4.60739,0.00176833,0.00176833,0.00176833
9,7.70053,2.23787,2.86042,2.73409,0.35508,0.06863,0.07012,0.02709,3.38888,3.69588,3.93472,0.0018416,0.0018416,0.0018416
10,8.50581,2.23721,2.79706,2.62293,0.14664,0.14706,0.08433,0.0268,2.65277,3.17526,3.1867,0.0018218,0.0018218,0.0018218
11,9.21908,2.2079,2.59649,2.5198,0.3572,0.23529,0.18306,0.06998,2.43739,2.74077,2.8492,0.001802,0.001802,0.001802
12,10.0532,2.15117,2.39988,2.47179,0.26627,0.37002,0.24258,0.10182,2.13448,2.46054,2.62185,0.0017822,0.0017822,0.0017822
13,10.8841,2.1128,2.3173,2.42445,0.40846,0.34314,0.24428,0.10003,2.30524,2.44875,2.69642,0.0017624,0.0017624,0.0017624
14,11.5997,2.07713,2.21075,2.39478,0.2212,0.19608,0.12211,0.04608,2.60002,2.73553,2.8582,0.0017426,0.0017426,0.0017426
15,12.3164,2.08887,2.18122,2.43512,0.31092,0.28431,0.17093,0.07626,2.10508,2.72475,2.53481,0.0017228,0.0017228,0.0017228
16,13.0106,2.0517,2.12096,2.40853,0.35922,0.32353,0.29516,0.11942,2.04227,2.13644,2.37056,0.001703,0.001703,0.001703
17,13.8235,1.95352,2.04282,2.2827,0.30203,0.45396,0.29157,0.11175,2.0389,1.98632,2.31565,0.0016832,0.0016832,0.0016832
18,14.5818,1.94579,1.97256,2.31029,0.29658,0.5,0.30547,0.12984,2.02512,2.0389,2.30941,0.0016634,0.0016634,0.0016634
19,15.433,1.93011,1.97046,2.2416,0.3752,0.35294,0.28954,0.10231,2.03198,2.5613,2.33695,0.0016436,0.0016436,0.0016436
20,16.1903,1.9772,1.95951,2.24609,0.60882,0.4902,0.51834,0.22662,1.89457,1.86104,2.2005,0.0016238,0.0016238,0.0016238
21,17.0271,1.87341,1.88607,2.22126,0.40154,0.46045,0.3818,0.18262,1.86753,2.03333,2.16521,0.001604,0.001604,0.001604
22,17.7866,1.85531,1.83892,2.20318,0.56723,0.45098,0.48143,0.22181,1.91034,1.84992,2.20864,0.0015842,0.0015842,0.0015842
23,18.5376,1.87757,1.81103,2.20045,0.4541,0.52941,0.46345,0.19503,1.91912,1.81529,2.23647,0.0015644,0.0015644,0.0015644
