epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.38132,3.24704,4.73044,4.36602,0,0,0,0,3.63156,4.15903,4.16272,0.00046,0.00046,0.00046
2,2.76344,2.7263,3.71281,3.76084,0,0,0,0,3.72182,4.24399,4.2256,0.000930694,0.000930694,0.000930694
3,4.10353,2.4589,3.34756,3.06958,0,0,0,0,3.90438,4.10067,4.37575,0.00139188,0.00139188,0.00139188
4,5.44608,2.24361,3.04751,2.67714,0.00145,0.18889,0.00148,0.00043,3.84739,4.03631,4.2434,0.00184357,0.00184357,0.00184357
5,6.81271,2.18969,2.62551,2.5034,0.27882,0.1,0.08527,0.02388,3.0198,3.26923,3.35307,0.0019208,0.0019208,0.0019208
6,8.14665,2.20587,2.44085,2.46304,0.18806,0.15442,0.10564,0.04054,2.542,3.19779,2.82704,0.001901,0.001901,0.001901
7,9.49045,2.11142,2.2474,2.35247,0.4874,0.17778,0.2369,0.10571,2.03393,2.88318,2.43304,0.0018812,0.0018812,0.0018812
8,10.8353,1.99317,2.1463,2.27364,0.2852,0.58889,0.33821,0.14036,2.1427,2.82815,2.49328,0.0018614,0.0018614,0.0018614
9,12.1669,2.00154,1.97749,2.29249,0.30275,0.51111,0.31805,0.091,2.3458,2.10386,2.58771,0.0018416,0.0018416,0.0018416
10,13.4517,1.96196,1.92902,2.25344,0.14296,0.31111,0.0975,0.03121,2.88067,3.21264,3.08755,0.0018218,0.0018218,0.0018218
11,14.7388,1.90857,1.85958,2.19748,0.59319,0.55556,0.59283,0.26248,1.95355,1.80872,2.33118,0.001802,0.001802,0.001802
12,16.1049,1.88473,1.85355,2.14065,0.28048,0.46667,0.30491,0.11978,1.99146,2.29036,2.34968,0.0017822,0.0017822,0.0017822
13,17.4001,1.85528,1.78488,2.15521,0.42398,0.47778,0.42552,0.14678,2.14993,1.88861,2.38165,0.0017624,0.0017624,0.0017624
14,18.7128,1.83801,1.69732,2.14085,0.57732,0.47778,0.53435,0.21933,1.9368,1.79507,2.24684,0.0017426,0.0017426,0.0017426
15,19.9734,1.80266,1.62654,2.09187,0.35282,0.51111,0.3869,0.14409,2.15507,2.20945,2.37608,0.0017228,0.0017228,0.0017228
16,21.2341,1.79633,1.64996,2.10905,0.53111,0.58889,0.57838,0.27584,1.82522,1.84033,2.20092,0.001703,0.001703,0.001703
17,22.4806,1.77223,1.63598,2.04922,0.62738,0.63333,0.6159,0.27643,1.92473,1.66543,2.27947,0.0016832,0.0016832,0.0016832
18,23.7211,1.78087,1.5384,2.05906,0.64397,0.6,0.62646,0.27017,1.85992,1.68243,2.21248,0.0016634,0.0016634,0.0016634
19,25.025,1.75941,1.5573,2.10985,0.66555,0.56667,0.62437,0.26429,1.819,1.96036,2.18619,0.0016436,0.0016436,0.0016436
20,26.319,1.72964,1.53587,2.0314,0.50991,0.60116,0.48256,0.1824,1.9452,1.79465,2.28897,0.0016238,0.0016238,0.0016238
21,27.6068,1.7237,1.5354,2.02382,0.62751,0.42222,0.48792,0.20306,1.97642,2.31919,2.32429,0.001604,0.001604,0.001604
22,28.8967,1.6752,1.46962,1.98487,0.57835,0.52222,0.59507,0.25111,1.91537,1.97534,2.27521,0.0015842,0.0015842,0.0015842
23,30.2071,1.67264,1.43344,1.98963,0.53965,0.59917,0.61204,0.26665,1.85095,1.65227,2.21588,0.0015644,0.0015644,0.0015644
24,31.4902,1.73041,1.51796,2.059,0.65148,0.58889,0.63925,0.28804,1.84422,1.69291,2.19103,0.0015446,0.0015446,0.0015446
25,32.8743,1.71478,1.49408,1.99688,0.50208,0.4706,0.40632,0.15395,2.28378,2.19386,2.51895,0.0015248,0.0015248,0.0015248
26,34.0485,1.67514,1.45209,1.96212,0.65053,0.6205,0.65519,0.2425,1.85216,1.77171,2.23912,0.001505,0.001505,0.001505
27,35.3191,1.62283,1.40395,1.94906,0.55293,0.65556,0.58066,0.22899,1.94162,1.64524,2.28826,0.0014852,0.0014852,0.0014852
28,36.5883,1.63759,1.36619,1.9233,0.77364,0.56667,0.67773,0.31168,1.73904,1.56164,2.10955,0.0014654,0.0014654,0.0014654
29,37.9016,1.61889,1.40154,1.89681,0.66513,0.54444,0.62687,0.27733,1.97086,1.84042,2.28077,0.0014456,0.0014456,0.0014456
30,39.1523,1.64548,1.3675,1.97787,0.68709,0.61111,0.66798,0.28488,1.91832,1.48362,2.36698,0.0014258,0.0014258,0.0014258
31,40.4,1.61845,1.34027,1.93279,0.65813,0.64444,0.67556,0.28902,1.86452,1.65541,2.22956,0.001406,0.001406,0.001406
32,41.6842,1.59624,1.3265,1.93235,0.65624,0.65556,0.62878,0.26064,1.94232,1.59178,2.3165,0.0013862,0.0013862,0.0013862
33,42.9597,1.61433,1.28049,1.93294,0.80963,0.63333,0.74575,0.32933,1.8696,1.62972,2.21629,0.0013664,0.0013664,0.0013664
34,44.3193,1.63944,1.28019,1.91071,0.6968,0.66392,0.69455,0.32895,1.81872,1.71005,2.16787,0.0013466,0.0013466,0.0013466
35,45.6079,1.60406,1.26264,1.95632,0.73728,0.56131,0.65595,0.30594,1.92047,1.62489,2.28355,0.0013268,0.0013268,0.0013268
36,46.9017,1.60812,1.27704,1.91255,0.66926,0.48889,0.49127,0.18803,2.07209,1.84493,2.4334,0.001307,0.001307,0.001307
37,48.1977,1.58786,1.31063,1.92608,0.63831,0.47778,0.55269,0.26791,1.89069,1.99155,2.24796,0.0012872,0.0012872,0.0012872
38,49.476,1.54988,1.21238,1.88307,0.76107,0.58889,0.70968,0.3242,1.93182,1.4994,2.28604,0.0012674,0.0012674,0.0012674
39,50.7628,1.53303,1.21267,1.81856,0.76131,0.63793,0.72176,0.32146,1.8831,1.459,2.23699,0.0012476,0.0012476,0.0012476
40,52.033,1.56472,1.18735,1.86449,0.79738,0.65588,0.75467,0.34711,1.98214,1.58571,2.27043,0.0012278,0.0012278,0.0012278
41,53.3644,1.51345,1.16638,1.85138,0.72505,0.71111,0.74449,0.36979,1.80852,1.41593,2.16107,0.001208,0.001208,0.001208
42,54.7344,1.49292,1.11993,1.81188,0.7863,0.65556,0.71843,0.34332,1.86345,1.43108,2.1925,0.0011882,0.0011882,0.0011882
43,56.0159,1.46259,1.11574,1.79634,0.77955,0.62869,0.73441,0.32483,1.83675,1.35273,2.24145,0.0011684,0.0011684,0.0011684
44,57.2996,1.48132,1.11644,1.83339,0.6768,0.72222,0.70262,0.30945,1.92943,1.28132,2.35651,0.0011486,0.0011486,0.0011486
45,58.5322,1.52015,1.14898,1.82814,0.64181,0.55556,0.61032,0.28298,1.89413,1.68675,2.31468,0.0011288,0.0011288,0.0011288
