epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.915554,3.30452,4.73822,4.58961,9e-05,0.00847,4e-05,1e-05,3.13406,4.09035,4.15887,0.00022,0.00022,0.00022
2,1.78859,2.98214,4.07833,4.14253,9e-05,0.00847,4e-05,1e-05,3.1406,4.10642,4.16741,0.000455446,0.000455446,0.000455446
3,2.6547,2.83316,3.78409,3.81729,9e-05,0.00847,4e-05,0,3.16196,4.13706,4.19914,0.00068614,0.00068614,0.00068614
4,3.45009,2.58803,3.51951,3.35706,0,0,0,0,3.23224,4.15549,4.2837,0.000912082,0.000912082,0.000912082
5,4.23111,2.36277,3.32234,2.90068,0,0,0,0,3.30681,3.94798,4.37816,0.00113327,0.00113327,0.00113327
6,5.01861,2.23252,3.03092,2.68665,0,0,0,0,3.37637,3.96623,4.45869,0.00134971,0.00134971,0.00134971
7,5.75317,2.13826,2.81814,2.49562,0,0,0,0,3.356,3.94725,4.42113,0.0015614,0.0015614,0.0015614
8,6.49484,2.08987,2.72951,2.46273,0.00062,0.02542,0.00032,0.00011,3.28118,3.97667,4.31825,0.00176833,0.00176833,0.00176833
9,7.31514,2.04199,2.56639,2.35667,0.14936,0.01695,0.0226,0.00894,2.9138,3.61058,3.76109,0.0018416,0.0018416,0.0018416
10,8.17749,1.94134,2.38895,2.23885,0.17051,0.10169,0.0821,0.03232,2.34983,3.12023,3.06179,0.0018218,0.0018218,0.0018218
11,9.04357,1.88649,2.22766,2.19056,0.53815,0.13831,0.16348,0.05621,2.18883,2.76749,2.86253,0.001802,0.001802,0.001802
12,9.91053,1.88288,2.18136,2.16205,0.22233,0.13813,0.11569,0.04456,2.12046,2.63883,2.6395,0.0017822,0.0017822,0.0017822
13,10.6777,1.81304,2.0113,2.1467,0.06306,0.18644,0.02659,0.00955,2.19087,2.84261,2.74113,0.0017624,0.0017624,0.0017624
14,11.4328,1.8144,1.99534,2.11062,0.41725,0.33051,0.22613,0.08181,2.09981,2.13279,2.627,0.0017426,0.0017426,0.0017426
15,12.2601,1.81328,1.89926,2.12729,0.47354,0.22881,0.22414,0.07859,2.12424,2.44518,2.59262,0.0017228,0.0017228,0.0017228
16,13.0078,1.76431,1.84603,2.06625,0.56187,0.35593,0.36359,0.14826,1.98899,1.79724,2.41556,0.001703,0.001703,0.001703
17,13.7753,1.7204,1.78406,2.02655,0.59671,0.34746,0.36254,0.13178,2.04554,1.91308,2.51952,0.0016832,0.0016832,0.0016832
18,14.5413,1.68185,1.7304,2.0155,0.59721,0.37698,0.40368,0.16801,1.902,1.63969,2.27721,0.0016634,0.0016634,0.0016634
19,15.3832,1.63022,1.6509,1.9787,0.56554,0.37288,0.36885,0.1547,2.01613,1.93629,2.30923,0.0016436,0.0016436,0.0016436
