epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.42578,3.10728,4.53231,4.32222,0,0,0,0,3.63642,4.16548,4.16489,0.00046,0.00046,0.00046
2,2.80471,2.67115,3.5111,3.62684,9e-05,0.01111,4e-05,1e-05,3.72966,4.23851,4.25538,0.000930694,0.000930694,0.000930694
3,4.21443,2.30176,3.0734,3.01785,0.0006,0.07778,0.00034,0.0001,3.85622,4.13433,4.39043,0.00139188,0.00139188,0.00139188
4,5.57402,2.13073,2.69058,2.72047,0.00027,0.02222,0.00014,3e-05,4.00581,4.2231,4.60354,0.00184357,0.00184357,0.00184357
5,6.87308,2.0245,2.41366,2.54628,0.3005,0.06667,0.08721,0.03239,3.21462,3.6923,3.63922,0.0019208,0.0019208,0.0019208
6,8.22351,1.95914,2.16152,2.45831,0.30367,0.3,0.24508,0.09482,2.40382,2.60117,2.92716,0.001901,0.001901,0.001901
7,9.58146,1.90676,2.01927,2.37055,0.39519,0.45556,0.40924,0.17181,2.12499,1.94862,2.60951,0.0018812,0.0018812,0.0018812
8,10.8904,1.85633,1.89763,2.30867,0.30599,0.46667,0.35366,0.13098,2.20979,2.12035,2.65108,0.0018614,0.0018614,0.0018614
9,12.1374,1.82089,1.77634,2.26074,0.38319,0.45556,0.3391,0.14104,2.03523,2.32708,2.47897,0.0018416,0.0018416,0.0018416
10,13.3974,1.82847,1.71353,2.27067,0.45295,0.53333,0.45462,0.20443,1.91996,2.46588,2.46903,0.0018218,0.0018218,0.0018218
11,14.6543,1.74272,1.62836,2.20663,0.58533,0.5176,0.54996,0.23148,1.95978,1.75025,2.37992,0.001802,0.001802,0.001802
12,15.9145,1.72523,1.61085,2.16795,0.4702,0.6,0.47987,0.19413,1.91347,1.71295,2.37806,0.0017822,0.0017822,0.0017822
13,17.1705,1.68967,1.54402,2.14496,0.46575,0.54444,0.46612,0.21297,1.97549,1.80635,2.395,0.0017624,0.0017624,0.0017624
14,18.452,1.6561,1.53493,2.1089,0.45471,0.51888,0.39729,0.1887,1.9221,2.11156,2.37169,0.0017426,0.0017426,0.0017426
15,19.7437,1.61519,1.46606,2.07296,0.67436,0.50625,0.59383,0.2566,1.85476,1.723,2.30446,0.0017228,0.0017228,0.0017228
16,21.0769,1.57399,1.41883,2.03257,0.59082,0.54444,0.55462,0.22264,2.01397,1.77443,2.36857,0.001703,0.001703,0.001703
17,22.3439,1.55982,1.34506,2.03275,0.58533,0.46667,0.52235,0.21818,2.07001,1.82463,2.51868,0.0016832,0.0016832,0.0016832
