epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.07999,2.61653,3.87726,2.345,0.00502,0.67742,0.00927,0.00284,1.87014,3.72205,1.99137,0.00022,0.00022,0.00022
2,2.13221,1.91323,2.63347,1.77474,0.00494,0.65591,0.03654,0.00819,1.98399,3.72612,2.16307,0.000455446,0.000455446,0.000455446
3,3.1867,1.80666,2.4501,1.63426,0.006,0.84946,0.16609,0.04553,1.66067,3.47908,1.73387,0.00068614,0.00068614,0.00068614
4,4.24468,1.76282,2.2561,1.65588,0.00616,0.89247,0.08463,0.03571,1.74959,3.3769,1.68235,0.000912082,0.000912082,0.000912082
5,5.23397,1.68585,2.18537,1.55493,0.68847,0.36559,0.5439,0.23426,1.71507,2.52633,1.61231,0.00113327,0.00113327,0.00113327
6,6.28971,1.69021,2.03096,1.57016,0.62457,0.44086,0.49114,0.18536,1.81701,2.48661,1.76532,0.00134971,0.00134971,0.00134971
7,7.27055,1.71132,2.03274,1.56655,0.47189,0.45161,0.44685,0.19709,1.82558,2.2592,1.70333,0.0015614,0.0015614,0.0015614
8,8.26876,1.7279,1.99101,1.59997,0.58761,0.60215,0.55382,0.22109,1.84559,2.01504,1.74455,0.00176833,0.00176833,0.00176833
9,9.23761,1.66945,1.84033,1.51765,0.35123,0.3871,0.28658,0.07162,2.14338,2.43366,2.03823,0.0018416,0.0018416,0.0018416
10,10.1928,1.6721,1.84864,1.58806,0.58975,0.63441,0.58485,0.25588,1.78496,1.75737,1.72407,0.0018218,0.0018218,0.0018218
11,11.2409,1.66412,1.75671,1.57523,0.42315,0.47312,0.39574,0.13539,2.15311,2.14466,2.12283,0.001802,0.001802,0.001802
12,12.2317,1.65946,1.76365,1.5073,0.49081,0.51825,0.48707,0.19737,2.04417,2.12736,1.89108,0.0017822,0.0017822,0.0017822
13,13.2141,1.57846,1.75646,1.5122,0.57969,0.55914,0.54947,0.24951,1.83137,1.88922,1.8132,0.0017624,0.0017624,0.0017624
14,14.1976,1.57786,1.5924,1.512,0.56064,0.54885,0.5174,0.18964,2.03575,2.07237,2.00566,0.0017426,0.0017426,0.0017426
15,15.1776,1.606,1.53096,1.4905,0.63015,0.49462,0.45841,0.20686,1.73739,2.2223,1.73163,0.0017228,0.0017228,0.0017228
16,16.1631,1.53996,1.50543,1.44335,0.675,0.54839,0.56633,0.24849,1.79896,1.66739,1.7952,0.001703,0.001703,0.001703
17,17.149,1.54889,1.47527,1.49436,0.57577,0.65591,0.51246,0.19711,1.82523,1.78141,1.72918,0.0016832,0.0016832,0.0016832
18,18.121,1.50893,1.38898,1.43168,0.57243,0.53763,0.51211,0.21105,1.80589,1.94597,1.73697,0.0016634,0.0016634,0.0016634
19,19.0989,1.55008,1.47001,1.4523,0.60251,0.67742,0.64323,0.2656,1.75789,1.60711,1.64305,0.0016436,0.0016436,0.0016436
