epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.3046,2.36449,3.4364,2.12428,0.00698,0.93137,0.23736,0.07533,1.7209,3.4564,1.61546,0.00046,0.00046,0.00046
2,4.71043,1.84758,2.35049,1.74565,0.00537,0.72549,0.11383,0.03342,1.80447,3.47668,1.91207,0.000930694,0.000930694,0.000930694
3,6.99393,1.78922,2.1937,1.63035,0.59144,0.32353,0.39685,0.16617,1.74382,2.47668,1.63143,0.00139188,0.00139188,0.00139188
4,9.17898,1.771,2.12205,1.65728,0.45291,0.43137,0.45542,0.16122,2.01583,2.05816,1.82477,0.00184357,0.00184357,0.00184357
5,11.2711,1.70937,1.88342,1.57434,0.48419,0.46015,0.45734,0.21031,1.87592,2.1951,1.77287,0.0019208,0.0019208,0.0019208
6,13.4305,1.67478,1.70098,1.53692,0.55795,0.53922,0.5413,0.23073,1.83361,2.03942,1.72468,0.001901,0.001901,0.001901
7,16.3465,1.67037,1.67328,1.54894,0.50623,0.5098,0.45863,0.17097,1.86365,2.11864,1.83064,0.0018812,0.0018812,0.0018812
8,19.1259,1.67958,1.70012,1.56979,0.65722,0.56863,0.60334,0.24663,1.7958,1.82,1.7198,0.0018614,0.0018614,0.0018614
9,21.9168,1.63544,1.63437,1.50306,0.79935,0.47059,0.61745,0.27893,1.81755,1.64798,1.65584,0.0018416,0.0018416,0.0018416
10,24.7805,1.58464,1.51187,1.49997,0.69965,0.4902,0.60029,0.22716,1.92262,1.65077,1.85564,0.0018218,0.0018218,0.0018218
11,27.548,1.61022,1.44711,1.4926,0.67417,0.67647,0.64605,0.29089,1.77948,1.51472,1.59808,0.001802,0.001802,0.001802
12,30.3326,1.52969,1.36721,1.43583,0.61872,0.63638,0.63458,0.27005,1.8457,1.88888,1.78099,0.0017822,0.0017822,0.0017822
13,31.9098,1.48145,1.29704,1.40767,0.65601,0.57843,0.63537,0.2916,1.76941,1.55703,1.65703,0.0017624,0.0017624,0.0017624
14,34.2204,1.48053,1.28224,1.38982,0.55399,0.60889,0.55683,0.24456,1.83633,1.7531,1.68443,0.0017426,0.0017426,0.0017426
15,36.4556,1.42475,1.16028,1.36612,0.62696,0.71569,0.64335,0.29881,1.80056,1.454,1.66865,0.0017228,0.0017228,0.0017228
16,38.7852,1.36447,1.11487,1.33567,0.62452,0.7451,0.67151,0.26529,1.97788,1.41238,1.84182,0.001703,0.001703,0.001703
17,41.1317,1.36813,1.03979,1.33905,0.6978,0.64706,0.68025,0.2804,1.96224,1.45617,1.78343,0.0016832,0.0016832,0.0016832
18,43.4692,1.38887,1.11496,1.34589,0.72834,0.60458,0.62846,0.30174,1.88973,1.74501,1.69846,0.0016634,0.0016634,0.0016634
19,45.8227,1.35561,1.03898,1.31335,0.75674,0.57843,0.60106,0.24687,2.07805,1.82026,1.89503,0.0016436,0.0016436,0.0016436
20,48.0366,1.30176,0.99919,1.27827,0.68035,0.64706,0.63354,0.2917,1.96427,1.48622,1.89156,0.0016238,0.0016238,0.0016238
21,50.3008,1.24281,0.93175,1.25144,0.65599,0.60784,0.64752,0.23374,2.12167,1.60692,1.92259,0.001604,0.001604,0.001604
22,52.5718,1.24545,0.92536,1.23113,0.68051,0.58473,0.60932,0.2487,1.99462,1.75518,1.87119,0.0015842,0.0015842,0.0015842
23,54.8898,1.30332,0.93146,1.25559,0.64901,0.70588,0.69404,0.31262,1.93782,1.38058,1.762,0.0015644,0.0015644,0.0015644
24,57.2397,1.24271,0.89245,1.23924,0.73371,0.58824,0.66409,0.27477,1.96481,1.37775,1.92673,0.0015446,0.0015446,0.0015446
25,59.5623,1.17267,0.87924,1.23451,0.6745,0.54902,0.50799,0.20322,2.13785,2.43203,1.86522,0.0015248,0.0015248,0.0015248
26,61.8792,1.18472,0.84856,1.19133,0.51799,0.63725,0.52026,0.2121,2.24601,1.51297,2.1705,0.001505,0.001505,0.001505
27,64.2083,1.18996,0.87192,1.2218,0.61799,0.57097,0.552,0.22816,2.00704,1.6359,2.00219,0.0014852,0.0014852,0.0014852
28,66.4784,1.152,0.81274,1.20437,0.62734,0.66667,0.59155,0.23832,2.11699,1.53914,1.99562,0.0014654,0.0014654,0.0014654
29,68.8067,1.09423,0.79003,1.16559,0.71481,0.62745,0.64396,0.27862,2.00785,1.4251,1.90923,0.0014456,0.0014456,0.0014456
30,71.1142,1.04969,0.76767,1.13793,0.70736,0.56863,0.56082,0.23361,2.0287,2.21897,1.89116,0.0014258,0.0014258,0.0014258
31,73.4396,1.05607,0.74185,1.13177,0.72396,0.56569,0.59404,0.21877,2.11996,1.86252,2.08901,0.001406,0.001406,0.001406
