epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.904009,2.66943,3.97503,2.31484,0.0059,0.65254,0.04929,0.01067,2.10033,3.5693,1.86348,0.00022,0.00022,0.00022
2,1.73814,1.92346,2.67973,1.78383,0.00542,0.61864,0.16973,0.05522,1.7867,3.3788,1.61324,0.000455446,0.000455446,0.000455446
3,2.5399,1.87167,2.46607,1.65235,0.00591,0.68644,0.05877,0.01819,1.79937,3.31149,1.55295,0.00068614,0.00068614,0.00068614
4,3.32276,1.77231,2.31766,1.62482,0.51941,0.11864,0.15466,0.06494,1.90045,3.29329,1.572,0.000912082,0.000912082,0.000912082
5,4.09916,1.73888,2.21364,1.61094,0.42035,0.19492,0.17281,0.05846,1.93305,3.06269,1.63054,0.00113327,0.00113327,0.00113327
6,4.83873,1.76624,2.08745,1.57968,0.15361,0.0462,0.06441,0.02245,1.94694,3.30402,1.89755,0.00134971,0.00134971,0.00134971
7,5.58115,1.71618,2.02956,1.56351,0.53825,0.19492,0.21669,0.08938,1.98633,2.7618,1.7903,0.0015614,0.0015614,0.0015614
8,6.36552,1.7293,2.06168,1.58989,0.4303,0.35593,0.29485,0.12688,1.91782,2.11314,1.79558,0.00176833,0.00176833,0.00176833
9,7.14641,1.74737,1.93689,1.56294,0.57614,0.33898,0.36335,0.16029,1.87463,2.08773,1.75872,0.0018416,0.0018416,0.0018416
10,7.92944,1.71667,1.88976,1.58583,0.51265,0.38136,0.38738,0.16001,1.88042,2.28777,1.78592,0.0018218,0.0018218,0.0018218
11,8.67329,1.71251,1.81872,1.55751,0.49966,0.37288,0.36131,0.17395,1.87916,1.92837,1.69109,0.001802,0.001802,0.001802
12,9.49972,1.72616,1.82817,1.55494,0.49491,0.38983,0.32035,0.12937,1.94932,2.40797,1.76889,0.0017822,0.0017822,0.0017822
13,10.2646,1.63651,1.81151,1.55607,0.43974,0.35593,0.36547,0.16023,1.83336,1.85923,1.72819,0.0017624,0.0017624,0.0017624
14,11.0265,1.66841,1.6937,1.54361,0.49503,0.38983,0.34884,0.11842,1.94622,2.01253,1.82804,0.0017426,0.0017426,0.0017426
15,11.7798,1.6533,1.67812,1.51658,0.5997,0.4322,0.46074,0.19886,1.90416,1.6695,1.74537,0.0017228,0.0017228,0.0017228
16,12.602,1.63682,1.65638,1.53088,0.50257,0.39831,0.32886,0.15004,1.89548,1.92595,1.72425,0.001703,0.001703,0.001703
17,13.3485,1.67045,1.59328,1.51513,0.39991,0.42373,0.33239,0.15192,1.84813,1.79461,1.68026,0.0016832,0.0016832,0.0016832
18,14.0883,1.63313,1.54491,1.47277,0.60214,0.41044,0.46586,0.1961,1.89058,1.64621,1.65908,0.0016634,0.0016634,0.0016634
19,14.8549,1.60003,1.47872,1.46048,0.62984,0.30508,0.36696,0.13999,1.93728,2.00231,1.70413,0.0016436,0.0016436,0.0016436
20,15.5965,1.62268,1.54272,1.51405,0.51913,0.28814,0.33217,0.13314,1.99113,2.4022,1.7355,0.0016238,0.0016238,0.0016238
21,16.3585,1.56673,1.48597,1.46409,0.59704,0.36441,0.33623,0.15011,1.92474,2.12173,1.79172,0.001604,0.001604,0.001604
22,17.1241,1.5644,1.46784,1.44156,0.54821,0.37288,0.38588,0.16917,1.9429,2.01549,1.80126,0.0015842,0.0015842,0.0015842
23,17.857,1.542,1.49358,1.45511,0.59332,0.40678,0.45271,0.20584,1.89047,1.82617,1.67728,0.0015644,0.0015644,0.0015644
24,18.6786,1.50719,1.3675,1.43732,0.66579,0.5065,0.53927,0.23414,1.8328,1.49218,1.63832,0.0015446,0.0015446,0.0015446
25,19.482,1.50666,1.33986,1.4057,0.60793,0.48305,0.47494,0.16729,2.06005,1.56995,1.79314,0.0015248,0.0015248,0.0015248
26,20.2144,1.55283,1.3641,1.41706,0.53202,0.52542,0.47958,0.17766,1.99827,1.4514,1.77495,0.001505,0.001505,0.001505
27,20.9831,1.53422,1.33388,1.42425,0.65828,0.49153,0.54109,0.22836,1.82822,1.49555,1.63549,0.0014852,0.0014852,0.0014852
28,21.7092,1.4712,1.32185,1.41513,0.60202,0.52542,0.53405,0.20683,1.94951,1.47394,1.77408,0.0014654,0.0014654,0.0014654
29,22.4445,1.53259,1.3301,1.43222,0.64849,0.50847,0.49369,0.22417,1.75453,1.58432,1.59807,0.0014456,0.0014456,0.0014456
30,23.1825,1.51162,1.29042,1.42288,0.70939,0.44068,0.47611,0.20534,1.78427,1.68741,1.60704,0.0014258,0.0014258,0.0014258
31,23.9291,1.50804,1.30146,1.44648,0.64009,0.27119,0.31413,0.12377,1.89477,2.40348,1.73853,0.001406,0.001406,0.001406
32,24.6781,1.52559,1.24448,1.41798,0.65954,0.37288,0.39686,0.15473,1.96274,1.78962,1.78356,0.0013862,0.0013862,0.0013862
33,25.4404,1.44822,1.21563,1.39863,0.59588,0.55085,0.49409,0.22193,1.92639,1.43715,1.71491,0.0013664,0.0013664,0.0013664
34,26.1619,1.54086,1.27281,1.42729,0.55767,0.47458,0.4835,0.18092,2.00136,1.46861,1.81813,0.0013466,0.0013466,0.0013466
35,26.948,1.48501,1.2482,1.38462,0.61398,0.48526,0.48474,0.21682,1.83659,1.49946,1.67285,0.0013268,0.0013268,0.0013268
36,27.6947,1.44849,1.25276,1.37745,0.73413,0.4661,0.53205,0.24424,1.71977,1.52863,1.56541,0.001307,0.001307,0.001307
37,28.4985,1.41584,1.19033,1.37698,0.61072,0.4661,0.47918,0.18957,1.83854,1.58318,1.66347,0.0012872,0.0012872,0.0012872
38,29.2174,1.40178,1.14542,1.35349,0.67022,0.5,0.51162,0.2047,1.97147,1.5825,1.72559,0.0012674,0.0012674,0.0012674
39,29.9505,1.38425,1.11501,1.33331,0.7305,0.48305,0.50939,0.20667,1.9521,1.41259,1.75768,0.0012476,0.0012476,0.0012476
40,30.6795,1.42463,1.13557,1.37419,0.69978,0.4661,0.52949,0.23542,1.84488,1.4243,1.68546,0.0012278,0.0012278,0.0012278
41,31.3779,1.38426,1.08741,1.35807,0.76782,0.47646,0.52636,0.22751,1.85401,1.46352,1.70727,0.001208,0.001208,0.001208
42,32.1359,1.38369,1.0827,1.36189,0.67813,0.4661,0.49394,0.20794,1.80326,1.67787,1.64444,0.0011882,0.0011882,0.0011882
43,32.8921,1.44576,1.10772,1.34582,0.66288,0.45763,0.46736,0.20445,1.75964,1.84295,1.56573,0.0011684,0.0011684,0.0011684
44,33.6427,1.40995,1.09863,1.32484,0.68756,0.51695,0.52538,0.22847,1.89119,1.48067,1.71187,0.0011486,0.0011486,0.0011486
45,34.3778,1.32199,1.05707,1.29769,0.76409,0.4941,0.54039,0.2418,1.83031,1.57793,1.63979,0.0011288,0.0011288,0.0011288
46,35.0904,1.34824,1.0527,1.32011,0.7306,0.48263,0.53276,0.24488,1.82399,1.71212,1.65777,0.001109,0.001109,0.001109
47,35.8878,1.38851,1.05592,1.3497,0.79305,0.4322,0.4996,0.22394,1.80724,1.66134,1.61065,0.0010892,0.0010892,0.0010892
48,36.6077,1.30653,1.0006,1.30009,0.50388,0.48201,0.44023,0.19618,1.81552,1.66527,1.60845,0.0010694,0.0010694,0.0010694
49,37.3733,1.33007,1.0039,1.30814,0.68202,0.55085,0.57367,0.25035,1.91593,1.33975,1.68914,0.0010496,0.0010496,0.0010496
50,38.1682,1.28352,0.9621,1.28353,0.65165,0.5339,0.56769,0.23814,2.01753,1.41318,1.81186,0.0010298,0.0010298,0.0010298
51,38.9115,1.29846,0.98216,1.28469,0.72705,0.54178,0.57818,0.26833,1.84618,1.37641,1.68646,0.00101,0.00101,0.00101
52,39.7023,1.24249,0.95582,1.25944,0.77189,0.54487,0.58004,0.24324,1.94342,1.44372,1.78971,0.0009902,0.0009902,0.0009902
53,40.4406,1.27558,0.93611,1.28316,0.71524,0.52542,0.59147,0.2595,1.9269,1.30047,1.75635,0.0009704,0.0009704,0.0009704
54,41.18,1.24546,0.89858,1.24001,0.87348,0.44915,0.52628,0.22437,1.94385,1.46003,1.76069,0.0009506,0.0009506,0.0009506
55,41.9061,1.33122,0.91671,1.27704,0.80319,0.50847,0.55953,0.24627,1.91772,1.34224,1.7215,0.0009308,0.0009308,0.0009308
56,42.6352,1.24357,0.8558,1.23782,0.75576,0.52447,0.58054,0.25752,1.88523,1.33906,1.73217,0.000911,0.000911,0.000911
57,43.3979,1.2664,0.86373,1.25675,0.7711,0.52542,0.57396,0.23909,1.92765,1.28265,1.78142,0.0008912,0.0008912,0.0008912
