epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.48695,2.31726,3.42394,2.13688,0.00521,0.57627,0.02204,0.00751,1.79732,3.55834,1.87926,0.00046,0.00046,0.00046
2,2.8144,1.81553,2.38794,1.68525,0.28585,0.32203,0.22911,0.07454,1.76114,3.14958,1.67699,0.000930694,0.000930694,0.000930694
3,4.21837,1.74357,2.18215,1.68934,0.48126,0.34746,0.31616,0.11403,1.77625,2.37343,1.71048,0.00139188,0.00139188,0.00139188
4,5.60414,1.78383,2.05447,1.66756,0.41659,0.16949,0.15576,0.05258,1.91162,2.46814,1.85495,0.00184357,0.00184357,0.00184357
5,6.92567,1.71035,1.90249,1.60847,0.54986,0.36441,0.3751,0.13153,2.09665,2.10575,1.87872,0.0019208,0.0019208,0.0019208
6,8.33938,1.76542,1.8931,1.62069,0.38311,0.39831,0.34127,0.13786,1.8526,1.91035,1.73629,0.001901,0.001901,0.001901
7,9.73507,1.73599,1.7688,1.62346,0.35831,0.17797,0.14294,0.0396,2.5362,3.06183,2.27875,0.0018812,0.0018812,0.0018812
8,11.0702,1.67129,1.71686,1.5799,0.30846,0.27119,0.16196,0.04896,2.32816,3.21777,2.31137,0.0018614,0.0018614,0.0018614
9,12.363,1.63703,1.65657,1.54237,0.61827,0.35593,0.41129,0.15156,2.00897,1.90102,1.76954,0.0018416,0.0018416,0.0018416
10,13.7458,1.69243,1.65464,1.57276,0.61813,0.38412,0.42609,0.1796,1.83729,1.64161,1.67477,0.0018218,0.0018218,0.0018218
11,15.1556,1.63762,1.63195,1.55453,0.6348,0.4661,0.49338,0.21536,1.87377,1.58528,1.7925,0.001802,0.001802,0.001802
12,16.5852,1.59515,1.49026,1.52545,0.6286,0.42373,0.46044,0.20903,1.79995,1.56491,1.68034,0.0017822,0.0017822,0.0017822
13,18.0111,1.59568,1.47867,1.49557,0.6268,0.44124,0.48114,0.19699,1.74789,1.61641,1.65183,0.0017624,0.0017624,0.0017624
14,19.3152,1.6107,1.43808,1.52628,0.54748,0.5339,0.51141,0.23089,1.79839,1.51539,1.66182,0.0017426,0.0017426,0.0017426
15,20.7464,1.55858,1.38019,1.47622,0.64955,0.48695,0.53411,0.21421,1.89301,1.49365,1.68917,0.0017228,0.0017228,0.0017228
16,22.0575,1.56526,1.36743,1.48656,0.65678,0.35593,0.39937,0.146,2.03538,1.81767,1.78231,0.001703,0.001703,0.001703
17,23.3605,1.54404,1.31397,1.4667,0.70845,0.51485,0.5366,0.23287,1.85086,1.36515,1.73437,0.0016832,0.0016832,0.0016832
18,24.7039,1.52004,1.30793,1.44575,0.76195,0.44068,0.50815,0.22425,1.8384,1.50119,1.70063,0.0016634,0.0016634,0.0016634
19,25.9798,1.55215,1.2435,1.46977,0.73043,0.52816,0.57722,0.23614,1.94028,1.43892,1.82456,0.0016436,0.0016436,0.0016436
20,27.3426,1.51958,1.23427,1.45561,0.57012,0.52542,0.49848,0.19729,1.9602,1.35117,1.75329,0.0016238,0.0016238,0.0016238
21,28.6255,1.44774,1.16739,1.3987,0.64362,0.48979,0.51456,0.23817,1.82615,1.46081,1.62026,0.001604,0.001604,0.001604
22,29.9866,1.43472,1.11938,1.3941,0.66371,0.53523,0.55462,0.22067,2.00479,1.33465,1.98081,0.0015842,0.0015842,0.0015842
23,31.2483,1.49571,1.13994,1.44651,0.77301,0.41525,0.45764,0.20775,1.92724,1.59358,1.82023,0.0015644,0.0015644,0.0015644
24,32.4448,1.44335,1.12935,1.41681,0.79967,0.5,0.54258,0.2555,1.81872,1.5841,1.73024,0.0015446,0.0015446,0.0015446
25,33.6966,1.41865,1.16603,1.40964,0.68014,0.44068,0.49396,0.21769,1.87163,1.59901,1.80524,0.0015248,0.0015248,0.0015248
26,34.9107,1.39355,1.07392,1.37559,0.58046,0.48305,0.4668,0.19942,1.95078,1.53141,1.82317,0.001505,0.001505,0.001505
27,36.1626,1.41096,1.07999,1.39708,0.65817,0.55932,0.56518,0.24265,1.92386,1.32085,1.75595,0.0014852,0.0014852,0.0014852
28,37.4373,1.41756,1.05519,1.38688,0.6386,0.49153,0.5195,0.22071,1.82957,1.56687,1.76559,0.0014654,0.0014654,0.0014654
