epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.959116,2.70747,4.71514,2.48629,0.0066,0.75207,0.03557,0.00803,2.07141,3.48678,1.74942,0.00022,0.00022,0.00022
2,1.8525,2.02645,3.31268,1.87508,0.00664,0.73554,0.09802,0.02181,1.83444,3.52596,1.74079,0.000455446,0.000455446,0.000455446
3,2.71539,1.84748,2.8085,1.75516,0.00589,0.66116,0.05113,0.01387,1.85022,3.49516,1.76176,0.00068614,0.00068614,0.00068614
4,3.52007,1.81167,2.68521,1.6489,0.00523,0.57025,0.01312,0.00368,1.96259,3.64839,2.07487,0.000912082,0.000912082,0.000912082
5,4.29557,1.83841,2.6874,1.73857,0.14515,0.12397,0.06598,0.02036,2.0833,3.31823,2.07544,0.00113327,0.00113327,0.00113327
6,5.08854,1.80033,2.50213,1.6724,0.20419,0.21488,0.12586,0.03094,1.90486,3.12328,1.66227,0.00134971,0.00134971,0.00134971
7,5.95451,1.8162,2.35681,1.69808,0.08146,0.18182,0.04743,0.01261,1.99659,4.26629,1.87504,0.0015614,0.0015614,0.0015614
8,6.72414,1.77123,2.321,1.64818,0.06087,0.22314,0.03114,0.01106,1.8682,3.22097,1.86969,0.00176833,0.00176833,0.00176833
9,7.45852,1.70206,2.15241,1.63367,0.42076,0.2562,0.24999,0.09282,1.89975,3.27068,1.74692,0.0018416,0.0018416,0.0018416
10,8.25189,1.76902,2.15748,1.69457,0.42994,0.38022,0.33588,0.11082,2.02117,2.55233,1.93672,0.0018218,0.0018218,0.0018218
11,9.08153,1.72354,2.11593,1.63787,0.40988,0.41322,0.32881,0.10229,1.91071,2.36176,1.72277,0.001802,0.001802,0.001802
12,9.84824,1.71499,2.05811,1.61942,0.37798,0.47934,0.35083,0.15734,1.82839,2.06737,1.82807,0.0017822,0.0017822,0.0017822
13,10.6763,1.73243,1.94136,1.64961,0.02409,0.07438,0.01005,0.0031,2.0593,6.69664,2.03363,0.0017624,0.0017624,0.0017624
14,11.3969,1.74208,1.95134,1.6549,0.45606,0.33884,0.30732,0.10797,1.92103,2.4056,1.79684,0.0017426,0.0017426,0.0017426
15,12.1091,1.68854,1.96575,1.61423,0.57901,0.45455,0.46691,0.22013,1.79024,1.79435,1.59679,0.0017228,0.0017228,0.0017228
16,12.9115,1.63848,1.82499,1.57801,0.58693,0.47107,0.47971,0.22251,1.82979,1.82468,1.66546,0.001703,0.001703,0.001703
17,13.7424,1.63723,1.68263,1.56942,0.47389,0.44628,0.44467,0.1943,1.81381,1.9262,1.63093,0.0016832,0.0016832,0.0016832
18,14.5505,1.65395,1.65121,1.58849,0.4311,0.41322,0.4076,0.16221,1.9958,2.03342,1.71979,0.0016634,0.0016634,0.0016634
19,15.296,1.68172,1.61601,1.57371,0.58425,0.47107,0.50225,0.2208,1.85986,1.88159,1.68734,0.0016436,0.0016436,0.0016436
20,16.0466,1.75382,1.6846,1.62597,0.49728,0.41322,0.39898,0.17987,1.78814,2.07735,1.62132,0.0016238,0.0016238,0.0016238
21,16.8288,1.65026,1.7008,1.58998,0.55231,0.4876,0.47028,0.21938,1.71995,2.02923,1.60301,0.001604,0.001604,0.001604
22,17.5943,1.63991,1.6087,1.56728,0.57916,0.5124,0.4796,0.18899,1.89662,1.82586,1.7504,0.0015842,0.0015842,0.0015842
