epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.51053,2.31488,3.87237,2.16716,0.0054,0.67273,0.0892,0.02759,1.79386,3.61122,1.80212,0.00046,0.00046,0.00046
2,2.95453,1.86307,2.76964,1.70759,0.14036,0.07273,0.0248,0.00558,2.03948,3.83497,2.30241,0.000930694,0.000930694,0.000930694
3,4.26823,1.77678,2.4535,1.65627,0.09448,0.08182,0.02624,0.00804,1.9381,3.37183,2.10064,0.00139188,0.00139188,0.00139188
4,5.56342,1.81369,2.30903,1.65418,0.24617,0.27273,0.14883,0.05453,2.10464,2.72215,1.94817,0.00184357,0.00184357,0.00184357
5,6.89834,1.80403,2.14238,1.67658,0.20362,0.33636,0.1173,0.04178,2.05778,5.10026,1.93089,0.0019208,0.0019208,0.0019208
6,8.18222,1.73305,2.05688,1.61949,0.28532,0.39091,0.22483,0.08662,2.03483,2.45315,1.79267,0.001901,0.001901,0.001901
7,9.51496,1.72898,1.94173,1.63777,0.44417,0.49091,0.36178,0.14425,1.87109,1.93716,1.73053,0.0018812,0.0018812,0.0018812
8,10.916,1.71822,1.80026,1.64004,0.33879,0.4,0.27436,0.10776,2.00217,2.23075,1.80989,0.0018614,0.0018614,0.0018614
9,12.2094,1.69511,1.7065,1.55386,0.51152,0.35455,0.36143,0.13816,1.96132,1.83709,1.74468,0.0018416,0.0018416,0.0018416
10,13.5063,1.70664,1.69076,1.58054,0.5013,0.36555,0.35614,0.15162,1.97657,1.81532,1.73509,0.0018218,0.0018218,0.0018218
11,14.8424,1.66893,1.59076,1.60176,0.58106,0.4,0.39036,0.15206,1.97862,1.90852,1.70978,0.001802,0.001802,0.001802
12,16.1866,1.71566,1.56205,1.59557,0.69467,0.36364,0.44141,0.18533,1.86465,1.76849,1.73262,0.0017822,0.0017822,0.0017822
13,17.5461,1.65613,1.45357,1.59686,0.53803,0.35455,0.40656,0.16961,1.89071,1.93636,1.75705,0.0017624,0.0017624,0.0017624
14,18.8103,1.64111,1.44435,1.53448,0.49426,0.41818,0.38096,0.14387,2.02632,1.80346,1.85054,0.0017426,0.0017426,0.0017426
15,20.0861,1.69556,1.51785,1.57874,0.45759,0.43636,0.41464,0.17947,1.79573,1.76183,1.69611,0.0017228,0.0017228,0.0017228
16,21.3601,1.62583,1.44639,1.5355,0.6004,0.50909,0.52342,0.23722,1.83816,1.54719,1.67238,0.001703,0.001703,0.001703
