epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.931406,2.60611,3.90079,2.41043,0.00541,0.61864,0.0292,0.00807,1.8371,3.57595,1.86172,0.00022,0.00022,0.00022
2,1.82964,1.8915,2.68651,1.92448,0.0055,0.59322,0.10677,0.04815,1.76317,3.45368,1.73025,0.000455446,0.000455446,0.000455446
3,2.69211,1.72234,2.40985,1.677,0.00534,0.58475,0.09382,0.03336,1.83851,3.28647,1.80464,0.00068614,0.00068614,0.00068614
4,3.50195,1.7417,2.25424,1.63779,0.00535,0.60169,0.02613,0.01116,1.80982,3.32335,1.77656,0.000912082,0.000912082,0.000912082
5,4.24559,1.62953,2.15717,1.61764,0.00972,0.5339,0.17087,0.06753,1.80909,2.93174,1.79565,0.00113327,0.00113327,0.00113327
6,5.08868,1.65613,2.00705,1.60837,0.66533,0.13481,0.23818,0.1051,1.77173,2.64454,1.71111,0.00134971,0.00134971,0.00134971
7,5.96574,1.65704,1.95034,1.56019,0.48128,0.36441,0.34715,0.11922,1.95003,2.11107,1.83789,0.0015614,0.0015614,0.0015614
8,6.86641,1.67664,1.93868,1.62296,0.58528,0.38983,0.40468,0.17199,1.85251,1.91399,1.70895,0.00176833,0.00176833,0.00176833
9,7.69784,1.73451,1.87287,1.64058,0.61637,0.38125,0.42723,0.16625,1.89973,2.08905,1.88798,0.0018416,0.0018416,0.0018416
10,8.51288,1.62228,1.84431,1.62867,0.18766,0.27119,0.11561,0.0378,2.11168,2.44107,1.96992,0.0018218,0.0018218,0.0018218
11,9.30274,1.62051,1.75563,1.54708,0.64461,0.34746,0.3947,0.1583,1.97896,1.93658,1.85263,0.001802,0.001802,0.001802
12,10.0876,1.59519,1.70922,1.55949,0.60146,0.40678,0.45503,0.18722,1.92552,1.84523,1.79004,0.0017822,0.0017822,0.0017822
13,10.9157,1.65076,1.7189,1.58133,0.60553,0.38983,0.41121,0.16535,1.94215,1.82409,1.74411,0.0017624,0.0017624,0.0017624
14,11.6662,1.5757,1.6426,1.52422,0.19708,0.26271,0.15795,0.05261,1.90468,7.07726,1.74742,0.0017426,0.0017426,0.0017426
15,12.3864,1.54069,1.61074,1.51936,0.55496,0.38136,0.41051,0.18858,1.86216,2.08487,1.75803,0.0017228,0.0017228,0.0017228
16,13.1876,1.51261,1.48942,1.49942,0.47736,0.48765,0.36985,0.16516,1.8878,1.78494,1.7738,0.001703,0.001703,0.001703
17,13.9216,1.57368,1.49134,1.50916,0.52093,0.54237,0.42264,0.17722,1.84348,1.7683,1.7605,0.0016832,0.0016832,0.0016832
18,14.6529,1.53625,1.48204,1.51823,0.57821,0.44147,0.46261,0.20018,1.94133,1.68414,1.8539,0.0016634,0.0016634,0.0016634
19,15.4313,1.48418,1.45424,1.52842,0.34602,0.36441,0.29543,0.11696,2.05325,1.98871,1.93545,0.0016436,0.0016436,0.0016436
20,16.1509,1.51794,1.41096,1.48506,0.70566,0.32203,0.39554,0.15169,2.0732,2.06118,1.85114,0.0016238,0.0016238,0.0016238
21,16.8738,1.4431,1.34843,1.42644,0.74201,0.34746,0.4145,0.18063,1.98893,1.7478,1.81662,0.001604,0.001604,0.001604
22,17.5904,1.44453,1.2858,1.44275,0.58931,0.42563,0.44384,0.19479,1.9205,1.64283,1.7495,0.0015842,0.0015842,0.0015842
23,18.3053,1.40859,1.25144,1.42254,0.50707,0.44915,0.43888,0.17972,2.0185,1.64051,1.86917,0.0015644,0.0015644,0.0015644
24,19.0359,1.33152,1.18131,1.36795,0.78861,0.40678,0.45375,0.17917,1.97635,1.68256,1.86315,0.0015446,0.0015446,0.0015446
25,19.8019,1.34778,1.16111,1.38464,0.5281,0.41525,0.38886,0.14367,2.04998,1.72882,1.90308,0.0015248,0.0015248,0.0015248
26,20.5907,1.34641,1.19467,1.36863,0.53861,0.44068,0.43999,0.19224,1.88793,1.77904,1.69106,0.001505,0.001505,0.001505
27,21.3375,1.30925,1.15546,1.36516,0.59014,0.48305,0.48231,0.21653,1.87869,1.53117,1.75389,0.0014852,0.0014852,0.0014852
28,22.1483,1.29863,1.14077,1.36047,0.73865,0.44915,0.50558,0.22372,1.89676,1.41447,1.77236,0.0014654,0.0014654,0.0014654
29,23.0066,1.26232,1.11232,1.32192,0.64022,0.48305,0.50781,0.23027,1.88701,1.53885,1.77097,0.0014456,0.0014456,0.0014456
30,23.858,1.25232,1.03405,1.30301,0.57316,0.44915,0.47384,0.19936,1.90246,1.51781,1.80963,0.0014258,0.0014258,0.0014258
31,24.6132,1.26674,1.07055,1.32389,0.65148,0.44915,0.49083,0.213,1.93089,1.397,1.79694,0.001406,0.001406,0.001406
32,25.3945,1.21668,0.99698,1.26607,0.71715,0.5,0.52172,0.23271,1.94245,1.37479,1.79318,0.0013862,0.0013862,0.0013862
33,26.2317,1.20618,1.00133,1.26554,0.68204,0.47458,0.47987,0.19538,1.95368,1.51338,1.82928,0.0013664,0.0013664,0.0013664
34,27.003,1.19648,0.9656,1.27787,0.74848,0.42373,0.45678,0.19751,1.96786,1.58318,1.95079,0.0013466,0.0013466,0.0013466
35,27.7591,1.20939,0.94524,1.25717,0.58311,0.49786,0.47078,0.17371,2.1547,1.56827,2.00274,0.0013268,0.0013268,0.0013268
36,28.5963,1.27095,0.9944,1.3094,0.68711,0.48305,0.5109,0.21628,1.9141,1.53222,1.8028,0.001307,0.001307,0.001307
37,29.5042,1.19198,0.94783,1.28541,0.78531,0.44915,0.5358,0.20067,2.04144,1.54815,1.94455,0.0012872,0.0012872,0.0012872
38,30.2964,1.16342,0.91399,1.24507,0.79704,0.44915,0.49347,0.20297,1.95502,1.62124,1.82538,0.0012674,0.0012674,0.0012674
39,31.0695,1.07599,0.85917,1.19309,0.68246,0.44915,0.45746,0.19258,1.96714,1.59404,1.82864,0.0012476,0.0012476,0.0012476
40,31.8275,1.11656,0.88917,1.23684,0.78429,0.44915,0.46851,0.19682,1.99233,1.54305,1.8821,0.0012278,0.0012278,0.0012278
41,32.586,1.09806,0.85693,1.21689,0.6027,0.44915,0.48336,0.19893,1.98319,1.53314,1.85508,0.001208,0.001208,0.001208
42,33.3594,1.06607,0.80664,1.1897,0.67155,0.47458,0.5042,0.20351,2.01383,1.63711,1.92336,0.0011882,0.0011882,0.0011882
43,34.1323,1.08027,0.82963,1.18071,0.67471,0.38136,0.40111,0.13344,2.32657,1.62227,2.35077,0.0011684,0.0011684,0.0011684
44,34.8894,1.07222,0.8285,1.20369,0.65529,0.52542,0.50608,0.18774,2.10268,1.32794,1.97595,0.0011486,0.0011486,0.0011486
45,35.6303,1.01715,0.80662,1.17353,0.60238,0.52542,0.50623,0.19384,2.17675,1.33216,2.04722,0.0011288,0.0011288,0.0011288
46,36.3883,1.01237,0.798,1.15736,0.61374,0.48305,0.48511,0.2037,2.05998,1.51796,1.91364,0.001109,0.001109,0.001109
47,37.1433,1.07048,0.80804,1.18502,0.62939,0.52542,0.52794,0.21144,2.17084,1.45194,2.1182,0.0010892,0.0010892,0.0010892
48,37.9087,1.03731,0.80453,1.18178,0.6393,0.50847,0.52232,0.22394,2.15379,1.33971,2.0786,0.0010694,0.0010694,0.0010694
49,38.6781,1.05096,0.80563,1.18241,0.68438,0.5,0.54839,0.22949,2.07466,1.31786,1.97423,0.0010496,0.0010496,0.0010496
50,39.4247,0.98601,0.80167,1.13845,0.7574,0.4661,0.52064,0.22018,2.09216,1.3651,1.98286,0.0010298,0.0010298,0.0010298
51,40.1739,0.95655,0.75848,1.12858,0.72017,0.43623,0.48608,0.19677,2.10133,1.4982,1.94617,0.00101,0.00101,0.00101
52,40.9384,0.9675,0.75392,1.13151,0.7299,0.44915,0.46405,0.17586,2.14559,1.60239,2.01195,0.0009902,0.0009902,0.0009902
53,41.683,0.94873,0.75056,1.10528,0.72424,0.44068,0.49341,0.19837,2.02045,1.41657,1.93768,0.0009704,0.0009704,0.0009704
54,42.434,0.92045,0.72501,1.09757,0.69472,0.48305,0.48658,0.20078,2.07013,1.35764,1.9781,0.0009506,0.0009506,0.0009506
55,43.1924,0.95899,0.7315,1.10853,0.56831,0.47976,0.48508,0.18918,2.2355,1.51258,2.1241,0.0009308,0.0009308,0.0009308
56,43.9526,0.88959,0.67674,1.07818,0.61763,0.45174,0.46974,0.18826,2.09909,1.45818,1.99817,0.000911,0.000911,0.000911
57,44.7029,0.92403,0.71126,1.10586,0.71485,0.45763,0.47202,0.18688,2.1623,1.31248,2.05538,0.0008912,0.0008912,0.0008912
58,45.4666,0.87972,0.69216,1.06841,0.6997,0.45763,0.48569,0.1931,2.15872,1.46065,2.05804,0.0008714,0.0008714,0.0008714
59,46.2398,0.88838,0.6977,1.08042,0.75574,0.47199,0.48079,0.17841,2.18695,1.56028,2.19743,0.0008516,0.0008516,0.0008516
60,46.9861,0.91557,0.669,1.08635,0.67254,0.45255,0.44451,0.15724,2.27153,1.59494,2.29168,0.0008318,0.0008318,0.0008318
61,47.7293,0.8762,0.65684,1.07759,0.74424,0.44915,0.49376,0.17762,2.13802,1.32283,2.1395,0.000812,0.000812,0.000812
62,48.4601,0.81784,0.63154,1.04517,0.76543,0.45763,0.53046,0.1873,2.15131,1.41677,2.16602,0.0007922,0.0007922,0.0007922
63,49.1824,0.84509,0.61864,1.05489,0.78475,0.45763,0.53616,0.19506,2.10971,1.43121,2.03865,0.0007724,0.0007724,0.0007724
64,49.9389,0.82674,0.62814,1.04718,0.77848,0.44675,0.52328,0.20609,2.0519,1.44922,1.97922,0.0007526,0.0007526,0.0007526
65,50.6966,0.80626,0.63184,1.04316,0.73508,0.4661,0.5162,0.21851,2.04883,1.3861,1.93488,0.0007328,0.0007328,0.0007328
66,51.4468,0.80769,0.63462,1.02703,0.72829,0.4661,0.49182,0.20057,2.10774,1.39962,2.05654,0.000713,0.000713,0.000713
67,52.1923,0.79837,0.59327,1.03116,0.65873,0.52542,0.48638,0.18687,2.20139,1.42583,2.16022,0.0006932,0.0006932,0.0006932
68,52.9508,0.81079,0.62302,1.03378,0.716,0.51279,0.51676,0.20761,2.11443,1.34645,2.0515,0.0006734,0.0006734,0.0006734
69,53.6975,0.80129,0.60994,1.03094,0.76872,0.49153,0.51823,0.20131,2.10935,1.40003,2.01067,0.0006536,0.0006536,0.0006536
70,54.4513,0.77698,0.59613,1.02957,0.69708,0.44856,0.49778,0.19799,2.19476,1.44062,2.16458,0.0006338,0.0006338,0.0006338
71,55.1976,0.74403,0.55902,1.01298,0.65824,0.50847,0.52037,0.20513,2.1456,1.43707,2.11242,0.000614,0.000614,0.000614
72,55.9411,0.75492,0.56903,1.00498,0.76173,0.4064,0.47463,0.18857,2.19189,1.4641,2.1617,0.0005942,0.0005942,0.0005942
73,56.7034,0.75158,0.58081,1.01238,0.76531,0.42373,0.48625,0.18393,2.05822,1.50208,1.99097,0.0005744,0.0005744,0.0005744
74,57.4803,0.73881,0.56547,0.99919,0.67641,0.4429,0.4909,0.18647,2.14169,1.53736,2.0782,0.0005546,0.0005546,0.0005546
75,58.2393,0.75571,0.57801,1.01348,0.69329,0.48305,0.52157,0.18517,2.10724,1.38072,2.08395,0.0005348,0.0005348,0.0005348
76,58.9848,0.73401,0.55443,0.9953,0.68196,0.44068,0.4519,0.16633,2.20335,1.46261,2.22324,0.000515,0.000515,0.000515
77,59.721,0.7733,0.59361,1.02295,0.69188,0.49153,0.45082,0.17035,2.21333,1.51518,2.16888,0.0004952,0.0004952,0.0004952
78,60.4859,0.72068,0.55563,1.00116,0.70939,0.45763,0.43983,0.16434,2.2797,1.51045,2.26845,0.0004754,0.0004754,0.0004754
79,61.2395,0.72211,0.55258,0.99497,0.66562,0.5061,0.45999,0.17304,2.19897,1.52168,2.15986,0.0004556,0.0004556,0.0004556
80,62.0527,0.71717,0.56796,1.00607,0.7626,0.49004,0.5038,0.18709,2.17152,1.49258,2.13994,0.0004358,0.0004358,0.0004358
81,62.9326,0.67956,0.54887,0.97304,0.72743,0.5202,0.52097,0.1971,2.09447,1.4138,2.06324,0.000416,0.000416,0.000416
82,63.7431,0.68506,0.54337,0.97697,0.63185,0.52363,0.47343,0.17982,2.15487,1.4768,2.14635,0.0003962,0.0003962,0.0003962
83,64.4932,0.7123,0.54281,0.99015,0.62595,0.49153,0.48198,0.18711,2.12568,1.60715,2.08574,0.0003764,0.0003764,0.0003764
84,65.2279,0.7066,0.51137,0.98381,0.664,0.47458,0.47156,0.17826,2.12537,1.61946,2.04013,0.0003566,0.0003566,0.0003566
85,65.9697,0.69894,0.53448,0.98263,0.71945,0.48305,0.47243,0.18319,2.1436,1.51807,2.07278,0.0003368,0.0003368,0.0003368
86,66.6851,0.6619,0.51057,0.97781,0.7589,0.49153,0.5238,0.2027,2.08236,1.3935,2.02567,0.000317,0.000317,0.000317
87,67.4401,0.65494,0.51685,0.96798,0.76491,0.49636,0.53023,0.19351,2.13238,1.35891,2.14008,0.0002972,0.0002972,0.0002972
88,68.1726,0.68848,0.55226,0.98565,0.76315,0.51695,0.51607,0.19234,2.16658,1.41944,2.19401,0.0002774,0.0002774,0.0002774
89,68.9464,0.65403,0.51668,0.97716,0.77228,0.48305,0.52408,0.19753,2.10719,1.39253,2.12345,0.0002576,0.0002576,0.0002576
90,69.6977,0.6904,0.54435,0.98266,0.72134,0.47458,0.49084,0.19393,2.11094,1.42208,2.12148,0.0002378,0.0002378,0.0002378
91,71.2524,0.61338,0.48746,0.93574,0.75662,0.44915,0.48121,0.19012,2.11284,1.44602,2.1044,0.000218,0.000218,0.000218
92,72.0186,0.6043,0.46097,0.93119,0.77169,0.4297,0.44681,0.18422,2.11174,1.49888,2.08449,0.0001982,0.0001982,0.0001982
93,72.799,0.55414,0.42738,0.9031,0.77182,0.43,0.45663,0.1831,2.11459,1.53191,2.09747,0.0001784,0.0001784,0.0001784
94,73.5467,0.54256,0.41591,0.90066,0.66204,0.47458,0.46125,0.18499,2.11337,1.506,2.12638,0.0001586,0.0001586,0.0001586
95,74.312,0.52689,0.40698,0.90519,0.72624,0.47214,0.47627,0.1834,2.10906,1.4541,2.13556,0.0001388,0.0001388,0.0001388
96,75.0675,0.52255,0.38872,0.90004,0.64032,0.50847,0.48129,0.18208,2.12019,1.41209,2.14589,0.000119,0.000119,0.000119
97,75.8043,0.50623,0.3919,0.89586,0.66401,0.5,0.48553,0.18109,2.12357,1.40537,2.14585,9.92e-05,9.92e-05,9.92e-05
98,76.5589,0.50026,0.3923,0.89484,0.68837,0.51695,0.49217,0.1772,2.10327,1.38956,2.11573,7.94e-05,7.94e-05,7.94e-05
99,77.3069,0.48665,0.365,0.87768,0.68851,0.50578,0.48942,0.18224,2.11294,1.36653,2.12861,5.96e-05,5.96e-05,5.96e-05
100,78.0361,0.49467,0.37297,0.88696,0.69055,0.51062,0.48958,0.17938,2.11016,1.37497,2.12449,3.98e-05,3.98e-05,3.98e-05
