epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.46936,2.22687,3.35282,2.13549,0.00636,0.65289,0.0406,0.00964,1.80827,3.66194,1.92644,0.00046,0.00046,0.00046
2,2.87126,1.75571,2.37435,1.59178,0.43193,0.05662,0.08457,0.02221,1.82349,3.19315,1.72841,0.000930694,0.000930694,0.000930694
3,4.20774,1.71584,2.13918,1.53862,0.35614,0.18182,0.21971,0.07258,1.99206,2.77987,1.77326,0.00139188,0.00139188,0.00139188
4,5.58959,1.68654,1.95236,1.53469,0.5003,0.47107,0.41958,0.15587,1.97005,2.04385,1.73455,0.00184357,0.00184357,0.00184357
5,6.94738,1.66103,1.826,1.54578,0.53761,0.47934,0.42318,0.17926,1.88744,1.91911,1.66373,0.0019208,0.0019208,0.0019208
6,8.27802,1.64614,1.76776,1.49372,0.57779,0.47107,0.4829,0.20026,1.8916,1.83334,1.62051,0.001901,0.001901,0.001901
7,9.63076,1.60491,1.591,1.47229,0.6136,0.4856,0.54755,0.22457,1.93322,1.82673,1.66483,0.0018812,0.0018812,0.0018812
8,10.9899,1.58126,1.54378,1.42681,0.5929,0.52066,0.54257,0.22575,1.84841,1.6382,1.67095,0.0018614,0.0018614,0.0018614
9,12.3574,1.54324,1.49013,1.45172,0.33624,0.2562,0.19073,0.05911,2.69787,2.41597,2.29564,0.0018416,0.0018416,0.0018416
10,13.6363,1.57313,1.42707,1.44113,0.7471,0.39066,0.46611,0.20378,1.778,1.87843,1.61151,0.0018218,0.0018218,0.0018218
11,14.9301,1.46659,1.27343,1.38968,0.68757,0.43653,0.47994,0.16912,1.99934,1.71827,1.74054,0.001802,0.001802,0.001802
12,16.2656,1.46238,1.26815,1.38727,0.70315,0.47107,0.51978,0.22201,1.86012,1.65969,1.69122,0.0017822,0.0017822,0.0017822
13,17.5463,1.4151,1.208,1.3549,0.68998,0.5702,0.56199,0.23282,1.88525,1.39379,1.68606,0.0017624,0.0017624,0.0017624
14,18.8593,1.39508,1.19022,1.32867,0.63212,0.52893,0.52573,0.20243,1.98945,1.50474,1.75877,0.0017426,0.0017426,0.0017426
15,20.0602,1.3543,1.1058,1.31468,0.58569,0.54912,0.55873,0.25748,1.86192,1.71697,1.6531,0.0017228,0.0017228,0.0017228
16,21.3158,1.31531,1.0686,1.29651,0.61134,0.55899,0.51156,0.2203,1.89851,1.60467,1.71383,0.001703,0.001703,0.001703
17,22.522,1.35881,1.01883,1.31459,0.65524,0.43983,0.50382,0.22022,2.03741,1.63459,1.76108,0.0016832,0.0016832,0.0016832
18,23.7056,1.27453,0.97359,1.26898,0.73482,0.52066,0.53235,0.23845,1.87942,1.57089,1.66061,0.0016634,0.0016634,0.0016634
19,24.9709,1.28788,0.95823,1.25253,0.66566,0.52655,0.57801,0.26314,1.84887,1.39815,1.65149,0.0016436,0.0016436,0.0016436
20,26.2939,1.29608,0.97675,1.27628,0.63997,0.5124,0.57001,0.22081,1.96767,1.64356,1.88867,0.0016238,0.0016238,0.0016238
21,27.5001,1.21354,0.91953,1.23754,0.76341,0.48002,0.52013,0.2299,1.95263,1.61665,1.75845,0.001604,0.001604,0.001604
22,28.7788,1.1762,0.86245,1.19617,0.67026,0.50398,0.60497,0.28849,1.88389,1.3953,1.66489,0.0015842,0.0015842,0.0015842
23,30.131,1.21805,0.88734,1.22379,0.67026,0.53758,0.56931,0.21516,1.93649,1.42558,1.75961,0.0015644,0.0015644,0.0015644
24,31.3931,1.16894,0.84008,1.19917,0.61074,0.5576,0.56602,0.25443,1.93176,1.47738,1.73811,0.0015446,0.0015446,0.0015446
25,32.5853,1.11115,0.82427,1.16395,0.68245,0.56198,0.537,0.24125,1.95232,1.54584,1.83234,0.0015248,0.0015248,0.0015248
26,33.7875,1.09372,0.8003,1.1522,0.72549,0.52423,0.58567,0.25291,2.01896,1.35807,1.85662,0.001505,0.001505,0.001505
27,35.0701,1.03108,0.78102,1.13082,0.6089,0.58678,0.56838,0.26089,1.89921,1.4018,1.73252,0.0014852,0.0014852,0.0014852
28,36.3611,1.06865,0.79676,1.15779,0.71243,0.55372,0.61488,0.27455,2.00032,1.47913,1.85374,0.0014654,0.0014654,0.0014654
29,37.6514,1.05398,0.75538,1.14078,0.74798,0.52893,0.61346,0.26047,1.92613,1.51697,1.75973,0.0014456,0.0014456,0.0014456
30,38.9154,1.01021,0.73236,1.11004,0.61231,0.57025,0.56935,0.24621,1.99396,1.55484,1.84987,0.0014258,0.0014258,0.0014258
31,40.1984,0.97292,0.68893,1.09234,0.72499,0.57851,0.62869,0.27065,1.97275,1.53442,1.82636,0.001406,0.001406,0.001406
32,41.4702,0.9402,0.67309,1.07698,0.65631,0.56815,0.54807,0.24145,2.02091,1.66366,1.88851,0.0013862,0.0013862,0.0013862
33,42.768,0.93218,0.67174,1.07436,0.72798,0.49587,0.55299,0.25097,1.98006,1.67013,1.84852,0.0013664,0.0013664,0.0013664
34,44.0525,0.94872,0.67207,1.08004,0.69162,0.46339,0.4539,0.19233,2.0426,1.95135,1.92473,0.0013466,0.0013466,0.0013466
35,45.3313,0.93229,0.67078,1.0679,0.568,0.57592,0.50732,0.20455,2.04776,1.52232,1.94637,0.0013268,0.0013268,0.0013268
36,46.5747,0.90715,0.64955,1.05527,0.65871,0.52893,0.55464,0.24117,1.95753,1.52506,1.80367,0.001307,0.001307,0.001307
37,47.8788,0.87039,0.61241,1.03751,0.63837,0.59504,0.54772,0.24998,1.97998,1.52908,1.80824,0.0012872,0.0012872,0.0012872
38,49.1557,0.88373,0.61072,1.04766,0.66083,0.55372,0.58369,0.23816,1.9745,1.55103,1.78022,0.0012674,0.0012674,0.0012674
39,50.6207,0.92209,0.66025,1.06394,0.56022,0.57025,0.5427,0.23433,2.06175,1.58386,1.97936,0.0012476,0.0012476,0.0012476
40,51.9177,0.90814,0.65421,1.04608,0.72613,0.4876,0.56398,0.23699,2.03742,1.72957,1.89012,0.0012278,0.0012278,0.0012278
41,53.1876,0.87858,0.62211,1.045,0.7162,0.44628,0.50481,0.21626,1.99996,1.7574,1.82111,0.001208,0.001208,0.001208
42,54.4523,0.85349,0.59617,1.03059,0.68757,0.55372,0.59879,0.24303,1.96074,1.5254,1.8751,0.0011882,0.0011882,0.0011882
43,55.7456,0.82126,0.60051,1.02807,0.71156,0.53719,0.5937,0.27065,1.91537,1.69046,1.7834,0.0011684,0.0011684,0.0011684
44,56.968,0.84301,0.58935,1.03174,0.65906,0.51123,0.58676,0.27409,1.8718,1.74,1.80784,0.0011486,0.0011486,0.0011486
45,58.259,0.83156,0.583,1.02345,0.68602,0.55372,0.59448,0.26245,1.94009,1.65607,1.7844,0.0011288,0.0011288,0.0011288
46,59.5561,0.80882,0.56616,1.01442,0.68339,0.58678,0.60753,0.25736,1.95758,1.48502,1.83471,0.001109,0.001109,0.001109
47,60.8635,0.8,0.56045,1.01285,0.66471,0.5124,0.54518,0.22414,1.97036,1.69943,1.83302,0.0010892,0.0010892,0.0010892
48,62.166,0.77172,0.53678,0.98462,0.68224,0.52893,0.56343,0.23111,2.02822,1.68579,1.91608,0.0010694,0.0010694,0.0010694
49,63.4528,0.81192,0.54946,1.00661,0.62733,0.52866,0.51855,0.19841,2.05178,1.90798,1.93636,0.0010496,0.0010496,0.0010496
50,64.7607,0.72809,0.53769,0.97337,0.64383,0.52066,0.54887,0.22874,1.94744,1.84551,1.83818,0.0010298,0.0010298,0.0010298
51,66.0676,0.74276,0.54152,0.97506,0.53659,0.52893,0.51703,0.23477,1.89612,1.65729,1.81795,0.00101,0.00101,0.00101
52,67.3276,0.77762,0.54286,0.9964,0.60863,0.56198,0.57151,0.24769,2.03937,1.60123,1.93771,0.0009902,0.0009902,0.0009902
53,68.6235,0.72296,0.51021,0.97906,0.60402,0.56198,0.55314,0.23152,2.02034,1.70421,1.85873,0.0009704,0.0009704,0.0009704
54,69.9078,0.73125,0.51372,0.97078,0.68579,0.57025,0.60143,0.25106,2.03553,1.8431,1.92886,0.0009506,0.0009506,0.0009506
55,71.2158,0.71736,0.49859,0.97769,0.6114,0.5124,0.55542,0.2443,2.00938,1.96614,1.90014,0.0009308,0.0009308,0.0009308
56,72.489,0.69292,0.49679,0.96271,0.63533,0.50394,0.55861,0.22982,1.98112,1.79558,1.85302,0.000911,0.000911,0.000911
57,73.8176,0.69063,0.49313,0.95815,0.66712,0.52066,0.59508,0.2544,2.03036,1.55512,1.93014,0.0008912,0.0008912,0.0008912
58,75.0943,0.71108,0.51244,0.97044,0.75664,0.52066,0.5463,0.23054,2.03484,1.51154,1.9584,0.0008714,0.0008714,0.0008714
59,76.3786,0.71001,0.49844,0.96994,0.65381,0.52893,0.57522,0.25395,1.96608,1.5829,1.82091,0.0008516,0.0008516,0.0008516
60,77.6098,0.72027,0.51278,0.9757,0.61855,0.50927,0.53176,0.23441,1.99485,1.70893,1.87087,0.0008318,0.0008318,0.0008318
61,78.8859,0.66311,0.47997,0.94868,0.60199,0.4625,0.50968,0.22629,2.108,1.75961,2.02629,0.000812,0.000812,0.000812
62,80.1554,0.64271,0.46932,0.93885,0.73451,0.43802,0.54462,0.24324,2.03162,1.66857,1.94395,0.0007922,0.0007922,0.0007922
63,81.4089,0.66544,0.46856,0.9504,0.60703,0.52344,0.54454,0.23532,1.97272,1.64962,1.8983,0.0007724,0.0007724,0.0007724
64,82.654,0.66243,0.46778,0.94895,0.58213,0.57025,0.5664,0.2447,2.00181,1.55581,1.85444,0.0007526,0.0007526,0.0007526
65,84.0675,0.64966,0.46928,0.93742,0.62819,0.52893,0.56452,0.24064,2.05917,1.53679,1.9421,0.0007328,0.0007328,0.0007328
66,85.4127,0.64857,0.46917,0.94043,0.7205,0.49587,0.58404,0.2535,1.98443,1.82415,1.83018,0.000713,0.000713,0.000713
67,86.6798,0.6276,0.465,0.94806,0.70444,0.53719,0.6098,0.26171,2.04768,1.80692,1.90015,0.0006932,0.0006932,0.0006932
68,87.889,0.64372,0.4505,0.93759,0.57817,0.47934,0.52234,0.2211,2.02603,1.97064,1.86387,0.0006734,0.0006734,0.0006734
69,89.1803,0.65356,0.46136,0.94468,0.68262,0.47934,0.54935,0.23912,2.03225,1.84151,1.891,0.0006536,0.0006536,0.0006536
70,90.4861,0.6059,0.44004,0.92977,0.53124,0.50413,0.52618,0.22741,2.06425,1.84359,1.93311,0.0006338,0.0006338,0.0006338
71,91.7714,0.60946,0.43716,0.93063,0.68163,0.55372,0.61712,0.2713,2.03845,1.65246,1.86943,0.000614,0.000614,0.000614
72,93.0465,0.60978,0.43595,0.92138,0.68582,0.42975,0.50277,0.23392,1.96694,1.89906,1.86857,0.0005942,0.0005942,0.0005942
73,94.3295,0.60725,0.45172,0.92591,0.70614,0.46281,0.5355,0.2481,1.96788,1.83717,1.86561,0.0005744,0.0005744,0.0005744
