epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.888815,2.6186,4.00224,2.36305,0.00503,0.54545,0.01593,0.00339,2.06806,3.69161,2.06169,0.00022,0.00022,0.00022
2,1.78772,1.94727,2.71227,1.88082,0.00651,0.71901,0.05818,0.01577,1.76959,3.58278,1.82003,0.000455446,0.000455446,0.000455446
3,2.6242,1.8061,2.46725,1.72407,0.007,0.77686,0.21623,0.07274,1.77237,3.31623,1.56501,0.00068614,0.00068614,0.00068614
4,3.48249,1.77664,2.26477,1.596,0.40196,0.28099,0.23761,0.07963,2.05011,3.08942,1.78826,0.000912082,0.000912082,0.000912082
5,4.32324,1.763,2.29951,1.58643,0.25174,0.21133,0.15386,0.05747,1.75328,2.66235,1.62323,0.00113327,0.00113327,0.00113327
6,5.08792,1.75202,2.0632,1.61896,0.55147,0.32231,0.3901,0.16091,1.80124,2.20228,1.65626,0.00134971,0.00134971,0.00134971
7,5.91065,1.7459,2.07294,1.62341,0.47032,0.40362,0.36051,0.13011,1.99413,2.2096,1.83813,0.0015614,0.0015614,0.0015614
8,6.65341,1.6945,1.98573,1.6056,0.40112,0.4876,0.33999,0.13511,1.81739,2.1539,1.70632,0.00176833,0.00176833,0.00176833
9,7.41047,1.73481,1.97073,1.62476,0.3474,0.42149,0.30499,0.11788,1.83588,2.26723,1.74208,0.0018416,0.0018416,0.0018416
10,8.1535,1.71316,2.00299,1.61796,0.53083,0.45455,0.48254,0.18892,1.85231,2.65988,1.64952,0.0018218,0.0018218,0.0018218
11,8.98069,1.67695,1.86649,1.59508,0.54242,0.42975,0.44091,0.19825,1.81949,2.03115,1.61162,0.001802,0.001802,0.001802
12,9.81218,1.70616,1.8274,1.55637,0.53863,0.42975,0.44474,0.18393,1.84908,2.21989,1.62601,0.0017822,0.0017822,0.0017822
13,10.5794,1.66845,1.77227,1.53793,0.34997,0.39669,0.32281,0.12918,2.07904,2.28595,1.77297,0.0017624,0.0017624,0.0017624
14,11.3314,1.68134,1.72322,1.57304,0.521,0.38843,0.42051,0.16302,1.84834,2.194,1.74249,0.0017426,0.0017426,0.0017426
15,12.1066,1.64328,1.6668,1.5318,0.53238,0.47934,0.51846,0.22444,1.84475,1.71825,1.65751,0.0017228,0.0017228,0.0017228
16,12.9465,1.64596,1.64155,1.51358,0.54043,0.57851,0.48507,0.2001,1.71614,2.32398,1.67074,0.001703,0.001703,0.001703
17,13.7058,1.66634,1.66171,1.56526,0.63588,0.53403,0.50087,0.19588,1.81665,2.5253,1.70363,0.0016832,0.0016832,0.0016832
18,14.4744,1.70549,1.62718,1.56095,0.66382,0.44628,0.52479,0.23873,1.73022,1.80203,1.62723,0.0016634,0.0016634,0.0016634
19,15.2979,1.58248,1.50289,1.47956,0.73293,0.56703,0.62857,0.27587,1.69462,1.57074,1.56979,0.0016436,0.0016436,0.0016436
20,16.1413,1.58085,1.53718,1.50567,0.6778,0.49587,0.55349,0.21605,1.88518,1.72786,1.67677,0.0016238,0.0016238,0.0016238
21,16.9047,1.63921,1.532,1.52977,0.48993,0.35724,0.30302,0.10586,2.07108,2.25229,1.79586,0.001604,0.001604,0.001604
22,17.6533,1.63323,1.60099,1.4995,0.49067,0.4876,0.46215,0.19263,1.69684,1.69352,1.61612,0.0015842,0.0015842,0.0015842
23,18.4222,1.63196,1.51895,1.54271,0.76194,0.47934,0.59222,0.25283,1.74279,1.55511,1.63402,0.0015644,0.0015644,0.0015644
24,19.2154,1.55712,1.43002,1.49788,0.64397,0.52893,0.5321,0.20502,1.92089,1.72604,1.73925,0.0015446,0.0015446,0.0015446
25,19.9843,1.60728,1.38988,1.45576,0.54613,0.46281,0.46298,0.18239,1.89119,1.84241,1.7507,0.0015248,0.0015248,0.0015248
