epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.54234,2.2999,3.36473,2.1461,0.00518,0.59322,0.05487,0.0123,1.69518,3.45513,1.70249,0.00046,0.00046,0.00046
2,2.95069,1.84482,2.33015,1.69242,0.0056,0.65254,0.14587,0.03126,1.75419,3.24172,1.64235,0.000930694,0.000930694,0.000930694
3,4.35758,1.76423,2.14219,1.64429,0.60723,0.11794,0.22073,0.0838,1.89395,2.87282,1.77475,0.00139188,0.00139188,0.00139188
4,5.74944,1.76088,2.04098,1.66043,0.75484,0.16102,0.29856,0.11167,1.83106,2.46992,1.77714,0.00184357,0.00184357,0.00184357
5,7.15674,1.70116,1.85569,1.61618,0.41676,0.38136,0.34412,0.11688,2.16811,1.92643,2.16312,0.0019208,0.0019208,0.0019208
6,8.48665,1.7384,1.85007,1.63017,0.69919,0.45307,0.50264,0.21154,1.8848,2.06674,1.77227,0.001901,0.001901,0.001901
7,9.76753,1.7569,1.79575,1.64084,0.50244,0.44503,0.37671,0.12393,2.06941,2.14877,2.03828,0.0018812,0.0018812,0.0018812
8,11.0054,1.72512,1.7601,1.63501,0.41814,0.27966,0.25381,0.08933,1.89931,2.26666,1.84564,0.0018614,0.0018614,0.0018614
9,12.2778,1.69446,1.68686,1.60182,0.57517,0.32203,0.32899,0.14009,1.93657,1.92035,1.86542,0.0018416,0.0018416,0.0018416
10,13.506,1.69941,1.66397,1.59249,0.64074,0.38983,0.45276,0.18895,1.82812,1.78815,1.7375,0.0018218,0.0018218,0.0018218
11,14.8258,1.67461,1.59904,1.59749,0.59365,0.44068,0.44328,0.19966,1.8362,1.91987,1.80281,0.001802,0.001802,0.001802
12,16.126,1.65851,1.57497,1.57212,0.59119,0.44915,0.47863,0.19897,1.89154,1.58152,1.74868,0.0017822,0.0017822,0.0017822
