epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.873913,3.82052,4.58463,4.3445,0,0,0,0,3.62128,4.11009,4.15752,0.00022,0.00022,0.00022
2,1.73474,3.45674,3.98032,4.19055,0,0,0,0,3.63327,4.14529,4.15846,0.000455446,0.000455446,0.000455446
3,2.59788,3.36368,3.54631,3.86014,0.00017,0.02222,9e-05,1e-05,3.67701,4.20707,4.17384,0.00068614,0.00068614,0.00068614
4,3.49206,2.9596,3.40882,3.61755,0,0,0,0,3.74512,4.1901,4.21806,0.000912082,0.000912082,0.000912082
5,4.27381,2.77554,3.23566,3.36168,9e-05,0.01111,4e-05,0,3.83436,4.11303,4.29695,0.00113327,0.00113327,0.00113327
6,5.03492,2.73096,3.04576,3.0798,9e-05,0.01111,4e-05,0,4.01041,4.37971,4.49861,0.00134971,0.00134971,0.00134971
7,5.79015,2.57135,2.92614,2.88615,0.00017,0.02222,9e-05,1e-05,4.00367,4.19734,4.48707,0.0015614,0.0015614,0.0015614
8,6.61074,2.59665,2.83289,2.76141,0,0,0,0,4.12224,4.35875,4.75341,0.00176833,0.00176833,0.00176833
9,7.37918,2.56088,2.79073,2.69095,0.00656,0.2,0.00269,0.00112,3.84059,6.2996,4.297,0.0018416,0.0018416,0.0018416
10,8.19261,2.37789,2.67721,2.5205,0.13913,0.22222,0.08236,0.02715,3.26621,3.26513,3.70642,0.0018218,0.0018218,0.0018218
11,9.03428,2.41045,2.57979,2.53618,0.33481,0.32222,0.20876,0.0698,2.44386,4.56741,2.94131,0.001802,0.001802,0.001802
12,9.87278,2.30522,2.41698,2.38491,0.29049,0.35556,0.26311,0.10447,2.17576,2.95558,2.56274,0.0017822,0.0017822,0.0017822
13,10.7216,2.29154,2.29262,2.39492,0.2626,0.4,0.24593,0.10482,2.12107,3.11064,2.4739,0.0017624,0.0017624,0.0017624
14,11.5724,2.17871,2.16644,2.31327,0.31209,0.21111,0.18773,0.06896,2.29661,3.98316,2.59438,0.0017426,0.0017426,0.0017426
15,12.3426,2.22916,2.21282,2.33067,0.36833,0.22222,0.23254,0.09124,2.2732,2.59209,2.58131,0.0017228,0.0017228,0.0017228
16,13.1012,2.23068,2.07788,2.35551,0.27719,0.44741,0.2876,0.11201,2.03224,2.37177,2.39115,0.001703,0.001703,0.001703
17,13.9357,2.27107,2.01121,2.36261,0.41266,0.45281,0.33988,0.13522,2.04217,2.30156,2.33525,0.0016832,0.0016832,0.0016832
18,14.7451,2.12218,1.99036,2.22965,0.28395,0.17778,0.1687,0.06433,2.24985,3.06141,2.58713,0.0016634,0.0016634,0.0016634
19,15.4946,2.1394,1.94474,2.24336,0.41557,0.33978,0.32717,0.14413,2.00386,2.05032,2.30161,0.0016436,0.0016436,0.0016436
20,16.3247,2.09868,1.99109,2.30364,0.31385,0.26667,0.21911,0.08894,2.19805,2.53327,2.48332,0.0016238,0.0016238,0.0016238
21,17.0793,2.07652,1.88657,2.18277,0.46828,0.54444,0.502,0.20348,1.93394,1.85922,2.25834,0.001604,0.001604,0.001604
22,17.8935,2.10839,1.88414,2.18584,0.36231,0.36667,0.3574,0.14126,2.15175,2.24799,2.44977,0.0015842,0.0015842,0.0015842
23,18.6524,1.99233,1.83733,2.15797,0.46471,0.39553,0.35152,0.12889,2.09486,2.37969,2.43842,0.0015644,0.0015644,0.0015644
24,19.4248,1.99646,1.7858,2.13141,0.43654,0.27778,0.33463,0.13414,2.0085,2.45,2.37817,0.0015446,0.0015446,0.0015446
25,20.1885,1.97517,1.71,2.03691,0.44849,0.37778,0.38842,0.1573,1.99831,2.3536,2.38432,0.0015248,0.0015248,0.0015248
26,20.9494,1.98237,1.72528,2.06971,0.37469,0.46667,0.3524,0.14884,1.98635,2.10745,2.29209,0.001505,0.001505,0.001505
27,21.6862,2.02724,1.75209,2.14882,0.35106,0.48889,0.3573,0.14139,2.16159,2.17672,2.37103,0.0014852,0.0014852,0.0014852
28,22.4057,1.93982,1.70754,2.07305,0.57472,0.51111,0.56438,0.22446,1.9953,1.90768,2.30293,0.0014654,0.0014654,0.0014654
29,23.2536,2.02649,1.72356,2.08306,0.58842,0.61111,0.61601,0.26653,1.915,1.74867,2.18471,0.0014456,0.0014456,0.0014456
30,24.0927,1.89276,1.69582,2.046,0.5863,0.53333,0.55893,0.21566,1.95633,1.81631,2.23461,0.0014258,0.0014258,0.0014258
31,24.8656,1.98819,1.68349,2.10467,0.70313,0.52637,0.62297,0.25665,1.94605,1.75491,2.28501,0.001406,0.001406,0.001406
32,25.6009,1.93451,1.66679,2.05221,0.50753,0.53333,0.48519,0.18703,1.91912,1.95029,2.24431,0.0013862,0.0013862,0.0013862
33,26.3747,1.8697,1.66234,2.0362,0.641,0.52222,0.59909,0.27082,1.85328,1.72037,2.16159,0.0013664,0.0013664,0.0013664
34,27.187,1.85336,1.62272,1.98395,0.68557,0.51111,0.62144,0.25832,1.93281,1.81473,2.23284,0.0013466,0.0013466,0.0013466
35,27.9582,1.91483,1.583,2.00432,0.60686,0.44596,0.51806,0.23627,1.89579,1.89032,2.2238,0.0013268,0.0013268,0.0013268
36,28.7232,1.85973,1.5844,2.05013,0.68178,0.6,0.66229,0.24587,2.02822,1.65537,2.35776,0.001307,0.001307,0.001307
37,29.4681,1.85644,1.56867,2.03279,0.7192,0.65454,0.66278,0.26492,1.89086,1.70641,2.20202,0.0012872,0.0012872,0.0012872
38,30.2204,1.84763,1.59915,1.99208,0.67627,0.63333,0.6762,0.31827,1.80405,1.58485,2.13705,0.0012674,0.0012674,0.0012674
39,31.0524,1.84975,1.51992,1.95107,0.58902,0.57778,0.52506,0.18935,2.09325,1.82618,2.33949,0.0012476,0.0012476,0.0012476
40,31.8352,1.8403,1.62327,1.98649,0.69682,0.61293,0.64832,0.27082,1.9285,1.65908,2.23743,0.0012278,0.0012278,0.0012278
41,32.6063,1.78875,1.56096,1.93894,0.67428,0.62104,0.66814,0.26559,1.87243,1.65528,2.22866,0.001208,0.001208,0.001208
42,33.3753,1.80105,1.51971,1.95355,0.60174,0.41974,0.40806,0.16626,2.20009,2.38909,2.56227,0.0011882,0.0011882,0.0011882
43,34.1515,1.82541,1.60788,1.94912,0.49416,0.6,0.51672,0.25302,1.96345,1.7869,2.2348,0.0011684,0.0011684,0.0011684
44,34.8752,1.76414,1.52065,1.89743,0.57509,0.72222,0.66072,0.28236,1.81951,1.64989,2.14581,0.0011486,0.0011486,0.0011486
45,35.6023,1.76048,1.43512,1.88702,0.62057,0.67242,0.67361,0.30883,1.91331,1.73723,2.21335,0.0011288,0.0011288,0.0011288
46,36.321,1.73551,1.45387,1.8971,0.70874,0.62186,0.71726,0.32784,1.88437,1.52379,2.19014,0.001109,0.001109,0.001109
47,37.098,1.77123,1.48065,1.93962,0.74523,0.58889,0.69693,0.27104,1.91242,1.69453,2.22152,0.0010892,0.0010892,0.0010892
48,37.8473,1.73862,1.4137,1.92984,0.80526,0.54444,0.67682,0.27907,2.05929,1.7177,2.32265,0.0010694,0.0010694,0.0010694
49,38.5911,1.77627,1.43003,1.9139,0.7595,0.62222,0.65275,0.25044,1.92749,1.7901,2.24166,0.0010496,0.0010496,0.0010496
50,39.3518,1.70702,1.43586,1.84875,0.68811,0.61287,0.62333,0.24929,1.99927,1.80669,2.33492,0.0010298,0.0010298,0.0010298
51,40.0989,1.72157,1.41286,1.92243,0.78671,0.61111,0.73666,0.34003,1.86202,1.59177,2.19825,0.00101,0.00101,0.00101
52,40.9288,1.65278,1.36413,1.83205,0.80068,0.6249,0.72988,0.34897,1.82054,1.59538,2.15808,0.0009902,0.0009902,0.0009902
53,41.7102,1.65932,1.35769,1.85244,0.77852,0.66398,0.72247,0.31385,1.87887,1.55329,2.211,0.0009704,0.0009704,0.0009704
54,42.4652,1.59961,1.30415,1.79701,0.76213,0.64083,0.71942,0.32975,1.8153,1.50507,2.17873,0.0009506,0.0009506,0.0009506
55,43.209,1.69388,1.33012,1.84163,0.76752,0.62363,0.70767,0.31624,1.8703,1.5292,2.21171,0.0009308,0.0009308,0.0009308
56,43.9452,1.6311,1.31419,1.82048,0.73145,0.61111,0.67514,0.29297,1.92193,1.7325,2.30827,0.000911,0.000911,0.000911
57,44.6879,1.68834,1.34187,1.8469,0.63213,0.6,0.62856,0.25946,2.02333,1.81714,2.37283,0.0008912,0.0008912,0.0008912
58,45.4371,1.63146,1.2871,1.80564,0.61276,0.63296,0.63568,0.28445,1.92425,1.77575,2.28033,0.0008714,0.0008714,0.0008714
59,46.1937,1.65082,1.27492,1.85294,0.72667,0.58889,0.64734,0.28096,1.94189,1.64263,2.27368,0.0008516,0.0008516,0.0008516
60,46.9323,1.64853,1.31533,1.80965,0.7464,0.62136,0.67641,0.27912,1.98503,1.58815,2.29928,0.0008318,0.0008318,0.0008318
61,47.6865,1.6239,1.32129,1.8214,0.71558,0.64298,0.69635,0.27004,2.04163,1.64904,2.31399,0.000812,0.000812,0.000812
62,48.4441,1.64562,1.28041,1.8283,0.75875,0.5242,0.60694,0.24846,2.03052,1.76264,2.36536,0.0007922,0.0007922,0.0007922
63,49.1947,1.60558,1.2989,1.80607,0.72831,0.62553,0.7279,0.33129,1.80771,1.51169,2.19545,0.0007724,0.0007724,0.0007724
64,49.8972,1.57076,1.28054,1.77786,0.7624,0.65556,0.73616,0.35795,1.86588,1.60233,2.2155,0.0007526,0.0007526,0.0007526
