epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.48024,3.72616,4.19262,4.26648,0,0,0,0,3.79493,4.09224,4.15588,0.00046,0.00046,0.00046
2,2.85376,3.31085,3.54976,3.92433,0,0,0,0,3.8438,4.07638,4.19158,0.000930694,0.000930694,0.000930694
3,4.1682,2.80303,3.21052,3.32562,0.00017,0.01961,9e-05,2e-05,3.97469,3.98413,4.36601,0.00139188,0.00139188,0.00139188
4,5.47872,2.53643,2.81901,2.82875,0.00017,0.01961,9e-05,3e-05,3.92969,4.09967,4.37611,0.00184357,0.00184357,0.00184357
5,6.87204,2.42073,2.58696,2.62279,0.22742,0.21569,0.15236,0.06135,2.37283,3.23869,2.83717,0.0019208,0.0019208,0.0019208
6,8.24843,2.32086,2.34326,2.45731,0.27663,0.27451,0.19485,0.07512,2.41268,2.5181,2.67508,0.001901,0.001901,0.001901
7,9.65909,2.24936,2.20272,2.35494,0.34011,0.23529,0.15357,0.06106,2.22424,2.96126,2.5141,0.0018812,0.0018812,0.0018812
8,10.9553,2.20655,2.17021,2.33758,0.50482,0.43137,0.37899,0.14052,2.10129,3.25056,2.34132,0.0018614,0.0018614,0.0018614
9,12.306,2.15108,1.99541,2.21832,0.45558,0.29412,0.31592,0.14009,2.0688,2.23308,2.26751,0.0018416,0.0018416,0.0018416
10,13.6264,2.14128,1.96571,2.21542,0.48595,0.50974,0.47342,0.19813,1.93149,1.74303,2.10552,0.0018218,0.0018218,0.0018218
11,15.0226,2.09287,1.91487,2.201,0.4185,0.51961,0.37676,0.14766,1.95719,1.75339,2.14428,0.001802,0.001802,0.001802
12,16.3012,2.06076,1.86943,2.18524,0.39767,0.52941,0.34774,0.13736,1.96737,1.91981,2.21182,0.0017822,0.0017822,0.0017822
