epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.892951,3.78521,4.60235,4.37439,0,0,0,0,3.62276,4.11098,4.15746,0.00022,0.00022,0.00022
2,1.75058,3.37535,3.88434,4.13135,0,0,0,0,3.64008,4.1571,4.16146,0.000455446,0.000455446,0.000455446
3,2.56938,3.25472,3.45203,3.79442,0.00017,0.02222,9e-05,1e-05,3.69229,4.22414,4.18447,0.00068614,0.00068614,0.00068614
4,3.40086,2.87246,3.26673,3.53113,0,0,0,0,3.77211,4.22314,4.23988,0.000912082,0.000912082,0.000912082
5,4.15321,2.68595,3.05101,3.20587,0,0,0,0,3.89359,4.26434,4.3651,0.00113327,0.00113327,0.00113327
6,4.91432,2.63687,2.81883,2.94785,0,0,0,0,3.92259,3.92926,4.38791,0.00134971,0.00134971,0.00134971
7,5.67182,2.46323,2.6888,2.81262,0,0,0,0,4.07993,4.31042,4.58667,0.0015614,0.0015614,0.0015614
8,6.41469,2.45523,2.49742,2.66264,0.00269,0.17778,0.04537,0.02062,3.87765,3.78491,4.30365,0.00176833,0.00176833,0.00176833
9,7.24258,2.39198,2.40557,2.58024,0.14628,0.13333,0.09557,0.03721,3.20634,3.23389,3.60507,0.0018416,0.0018416,0.0018416
10,8.07756,2.29236,2.30103,2.4975,0.08352,0.17778,0.03324,0.01006,3.13198,6.24785,3.63564,0.0018218,0.0018218,0.0018218
11,8.86032,2.27288,2.26766,2.47839,0.20286,0.16667,0.10587,0.03351,3.13308,3.21573,3.53306,0.001802,0.001802,0.001802
12,9.60111,2.24675,2.17852,2.40094,0.22172,0.2,0.12816,0.04557,2.49423,3.18879,2.85938,0.0017822,0.0017822,0.0017822
13,10.4051,2.25604,2.12449,2.39146,0.27577,0.27778,0.2137,0.07788,2.18428,2.56198,2.64409,0.0017624,0.0017624,0.0017624
14,11.2164,2.10667,1.98588,2.29828,0.38667,0.42222,0.29138,0.11147,2.16855,2.28091,2.58902,0.0017426,0.0017426,0.0017426
15,12.0182,2.1945,2.07029,2.35861,0.18476,0.38889,0.19463,0.07062,2.29419,2.37449,2.59755,0.0017228,0.0017228,0.0017228
16,12.8136,2.11655,2.04064,2.29879,0.43856,0.47778,0.42529,0.17954,2.08154,1.98817,2.43169,0.001703,0.001703,0.001703
17,13.634,2.18245,1.9375,2.32712,0.36515,0.36667,0.35668,0.14191,2.10204,2.22198,2.4692,0.0016832,0.0016832,0.0016832
18,14.3421,2.08047,1.92493,2.21731,0.42162,0.43333,0.40074,0.16191,2.06512,2.34237,2.54378,0.0016634,0.0016634,0.0016634
19,15.0875,2.09708,1.86684,2.21029,0.51729,0.4,0.43439,0.17712,1.98139,2.3843,2.47208,0.0016436,0.0016436,0.0016436
20,15.8426,2.09679,1.88763,2.36009,0.47157,0.44444,0.44443,0.16937,2.05403,1.91953,2.45587,0.0016238,0.0016238,0.0016238
21,16.5988,2.04627,1.81444,2.17063,0.52342,0.53696,0.5209,0.22653,1.9221,1.78639,2.33664,0.001604,0.001604,0.001604
22,17.4059,2.08671,1.79899,2.18862,0.41515,0.45746,0.43099,0.17134,2.03162,1.94606,2.39382,0.0015842,0.0015842,0.0015842
23,18.1482,1.98811,1.80231,2.17841,0.53709,0.5,0.51126,0.20456,2.12838,1.93016,2.44983,0.0015644,0.0015644,0.0015644
24,18.914,1.96028,1.76512,2.12549,0.50361,0.3,0.36628,0.13833,2.08131,2.22882,2.46784,0.0015446,0.0015446,0.0015446
25,19.6531,1.94433,1.67203,2.03538,0.402,0.43333,0.40117,0.18622,2.04216,2.0068,2.40976,0.0015248,0.0015248,0.0015248
26,20.6121,2.0483,1.73378,2.15975,0.30538,0.32222,0.25354,0.10469,2.11874,2.38079,2.49515,0.001505,0.001505,0.001505
27,21.3529,1.99829,1.75578,2.16993,0.60552,0.44444,0.50417,0.2267,1.97995,1.86069,2.3168,0.0014852,0.0014852,0.0014852
28,22.1653,1.8934,1.68968,2.08011,0.47554,0.42222,0.37477,0.13624,2.36243,2.33193,2.59771,0.0014654,0.0014654,0.0014654
29,22.9031,1.99408,1.74266,2.10451,0.5029,0.55082,0.46482,0.19687,2.02619,1.95112,2.43623,0.0014456,0.0014456,0.0014456
