epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.51826,3.68562,4.14807,4.28098,0,0,0,0,3.79984,4.09636,4.1594,0.00046,0.00046,0.00046
2,2.82986,3.24347,3.4655,3.89415,0,0,0,0,3.86108,4.13998,4.2132,0.000930694,0.000930694,0.000930694
3,4.15619,2.74036,3.15276,3.24789,0,0,0,0,4.02377,3.97596,4.44274,0.00139188,0.00139188,0.00139188
4,5.56052,2.52115,2.76917,2.76717,0.00132,0.15686,0.00093,0.00033,3.70851,3.69676,4.07977,0.00184357,0.00184357,0.00184357
5,6.95755,2.40816,2.48178,2.56774,0.10158,0.09804,0.03094,0.00807,3.10132,6.58217,3.37754,0.0019208,0.0019208,0.0019208
6,8.33804,2.27137,2.22434,2.40187,0.20933,0.15686,0.10018,0.0278,2.8353,5.61694,3.04105,0.001901,0.001901,0.001901
7,9.74449,2.21935,2.15289,2.3607,0.31982,0.35294,0.24128,0.08774,2.04727,2.75796,2.3734,0.0018812,0.0018812,0.0018812
8,11.1221,2.17304,2.09257,2.3069,0.31841,0.26471,0.21249,0.08407,2.26849,2.81122,2.64484,0.0018614,0.0018614,0.0018614
9,12.4588,2.20238,1.99636,2.25599,0.35318,0.25698,0.16483,0.06591,2.19416,6.3183,2.36272,0.0018416,0.0018416,0.0018416
10,13.7687,2.12767,1.99012,2.23187,0.47962,0.44118,0.35456,0.15796,1.96771,2.06538,2.17417,0.0018218,0.0018218,0.0018218
11,15.1477,2.08452,1.92037,2.17861,0.42713,0.48039,0.42008,0.16956,1.99558,1.81611,2.19493,0.001802,0.001802,0.001802
12,16.5266,2.09303,1.87632,2.18989,0.42256,0.44118,0.33412,0.13663,1.96232,2.14004,2.29829,0.0017822,0.0017822,0.0017822
13,17.8314,2.03109,1.82961,2.10958,0.40939,0.37255,0.36421,0.12333,2.21608,2.11275,2.43836,0.0017624,0.0017624,0.0017624
14,19.1895,2.04803,1.86508,2.13887,0.13516,0.04902,0.02483,0.00857,3.88661,4.22288,3.56288,0.0017426,0.0017426,0.0017426
15,20.5085,1.96588,1.8015,2.11774,0.36344,0.37255,0.32858,0.12604,1.99948,2.18283,2.3406,0.0017228,0.0017228,0.0017228
16,21.8328,1.93457,1.70643,2.10242,0.33335,0.43137,0.29414,0.12004,2.1711,2.08492,2.36087,0.001703,0.001703,0.001703
17,23.1347,1.968,1.66853,2.09793,0.6313,0.41176,0.47607,0.19703,1.9787,2.07162,2.20134,0.0016832,0.0016832,0.0016832
18,24.5022,1.96582,1.70062,2.07077,0.56625,0.39216,0.43717,0.1755,2.14542,2.38797,2.37293,0.0016634,0.0016634,0.0016634
19,25.7907,1.93934,1.72141,2.00932,0.43889,0.36275,0.34892,0.11469,2.22332,2.22674,2.49327,0.0016436,0.0016436,0.0016436
20,27.0841,1.91128,1.6992,2.05822,0.56524,0.45098,0.49382,0.1978,1.89225,1.82947,2.18432,0.0016238,0.0016238,0.0016238
21,28.4593,1.89775,1.62752,2.02724,0.56223,0.44118,0.45182,0.17788,2.10142,2.20125,2.35071,0.001604,0.001604,0.001604
