epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.89233,3.39035,5.07135,4.63943,9e-05,0.00847,4e-05,1e-05,3.13412,4.08873,4.15894,0.00022,0.00022,0.00022
2,1.78008,3.20495,4.46073,4.17838,9e-05,0.00847,4e-05,1e-05,3.14019,4.10353,4.1655,0.000455446,0.000455446,0.000455446
3,2.65003,2.87374,4.06363,3.95354,9e-05,0.00847,4e-05,1e-05,3.15537,4.13626,4.18426,0.00068614,0.00068614,0.00068614
4,3.52277,2.80058,3.92976,3.61236,0,0,0,0,3.19713,4.08327,4.23185,0.000912082,0.000912082,0.000912082
5,4.29246,2.77322,3.74822,3.25716,0,0,0,0,3.26141,3.92814,4.31375,0.00113327,0.00113327,0.00113327
6,5.058,2.54199,3.52687,2.9906,0,0,0,0,3.37263,4.02411,4.49278,0.00134971,0.00134971,0.00134971
7,5.82759,2.50118,3.47484,2.78419,0,0,0,0,3.43941,4.01145,4.60317,0.0015614,0.0015614,0.0015614
8,6.58427,2.34203,3.26384,2.65019,0,0,0,0,3.35798,4.04171,4.51311,0.00176833,0.00176833,0.00176833
9,7.34934,2.28396,3.02904,2.51783,0.00216,0.09322,0.00721,0.0029,3.23792,4.05965,4.28575,0.0018416,0.0018416,0.0018416
10,8.15624,2.26353,2.85203,2.434,0.23039,0.05932,0.05678,0.01745,2.98261,3.75228,3.90667,0.0018218,0.0018218,0.0018218
11,8.98,2.19176,2.73916,2.39145,0.2888,0.10169,0.08264,0.03007,2.55316,3.28262,3.34791,0.001802,0.001802,0.001802
12,9.78213,2.12216,2.5821,2.30777,0.22435,0.16949,0.14149,0.04741,2.39833,2.84635,3.14856,0.0017822,0.0017822,0.0017822
13,10.6231,2.15258,2.53723,2.27092,0.21739,0.21186,0.1228,0.05522,2.11408,2.60623,2.68671,0.0017624,0.0017624,0.0017624
14,11.438,2.12881,2.46382,2.3032,0.33391,0.20339,0.2006,0.08228,2.03402,2.3401,2.47691,0.0017426,0.0017426,0.0017426
15,12.3053,2.10583,2.34097,2.25403,0.34484,0.30508,0.2123,0.08435,2.06481,2.23134,2.51382,0.0017228,0.0017228,0.0017228
16,13.1432,2.03234,2.27513,2.19567,0.28527,0.35593,0.22815,0.09639,2.00415,2.35762,2.34742,0.001703,0.001703,0.001703
17,13.955,2.03651,2.27614,2.17165,0.38896,0.31289,0.25505,0.10484,2.00012,2.15996,2.31263,0.0016832,0.0016832,0.0016832
18,14.7589,1.97723,2.17481,2.18748,0.41082,0.33898,0.26601,0.087,2.08989,2.26495,2.44233,0.0016634,0.0016634,0.0016634
19,15.4779,1.97819,2.14043,2.15213,0.38439,0.39687,0.2717,0.09968,1.91376,1.94117,2.22643,0.0016436,0.0016436,0.0016436
20,16.2032,2.00368,2.05135,2.1073,0.62088,0.26271,0.32111,0.12155,1.96818,2.38871,2.30846,0.0016238,0.0016238,0.0016238
21,17.037,1.98239,2.10079,2.14,0.39668,0.32319,0.2463,0.09387,2.08397,2.16715,2.32771,0.001604,0.001604,0.001604
22,17.8177,1.93427,1.96244,2.09588,0.50657,0.38283,0.3577,0.1471,1.9209,1.69717,2.23836,0.0015842,0.0015842,0.0015842
23,18.6564,1.85885,1.87049,2.08036,0.562,0.34746,0.3581,0.13132,1.9483,1.99691,2.27305,0.0015644,0.0015644,0.0015644
24,19.4205,1.87794,1.88909,2.06491,0.37809,0.32203,0.2637,0.10959,1.89051,2.019,2.18458,0.0015446,0.0015446,0.0015446
25,20.1793,1.89381,1.8888,2.07478,0.40018,0.23729,0.23541,0.09555,2.00632,2.37814,2.35398,0.0015248,0.0015248,0.0015248
26,20.9553,1.90059,1.91431,2.07415,0.39972,0.38939,0.32803,0.13854,1.77836,1.77044,2.15663,0.001505,0.001505,0.001505
27,21.7075,1.79801,1.85874,2.03324,0.47904,0.38136,0.35607,0.14565,1.7517,1.72341,2.08546,0.0014852,0.0014852,0.0014852
28,22.471,1.86009,1.87831,2.00391,0.3539,0.33898,0.25578,0.1088,1.97079,2.02448,2.26156,0.0014654,0.0014654,0.0014654
29,23.2482,1.89118,1.80479,2.07468,0.47226,0.34746,0.31407,0.13711,1.91978,1.76506,2.23363,0.0014456,0.0014456,0.0014456
30,24.0295,1.88057,1.75044,2.05841,0.36354,0.38136,0.25819,0.09461,1.98357,1.90148,2.27761,0.0014258,0.0014258,0.0014258
31,24.8031,1.87078,1.76058,2.05939,0.52795,0.41525,0.38573,0.16964,1.80597,1.62128,2.12559,0.001406,0.001406,0.001406
32,25.638,1.8238,1.79965,2.03433,0.43777,0.29661,0.28189,0.11872,1.91752,2.00578,2.18487,0.0013862,0.0013862,0.0013862
33,26.3655,1.81289,1.77367,2.03334,0.40852,0.34746,0.3286,0.14224,1.78023,1.86428,2.11687,0.0013664,0.0013664,0.0013664
34,27.1493,1.75065,1.76811,1.99975,0.61143,0.40678,0.44766,0.19299,1.70504,1.60757,2.06295,0.0013466,0.0013466,0.0013466
35,27.9977,1.75657,1.69552,1.93487,0.51447,0.36819,0.38206,0.15851,1.83154,1.95937,2.1757,0.0013268,0.0013268,0.0013268
36,28.7568,1.77898,1.69972,1.94972,0.50981,0.39831,0.37284,0.15859,1.78213,1.89705,2.09666,0.001307,0.001307,0.001307
37,29.5183,1.75627,1.67193,1.9836,0.48993,0.42329,0.38022,0.18034,1.73144,1.56622,2.04918,0.0012872,0.0012872,0.0012872
38,30.2693,1.79148,1.69491,1.98668,0.58761,0.44915,0.42273,0.18134,1.78271,1.5305,2.0493,0.0012674,0.0012674,0.0012674
39,31.0395,1.78942,1.64792,1.96552,0.6326,0.43778,0.43066,0.18243,1.77531,1.70012,2.05143,0.0012476,0.0012476,0.0012476
40,31.7875,1.77586,1.68836,1.98655,0.5611,0.43338,0.42419,0.18471,1.72443,1.7495,2.01178,0.0012278,0.0012278,0.0012278
41,32.5204,1.74845,1.60089,1.91429,0.70376,0.41525,0.44261,0.20548,1.7312,1.94145,2.05502,0.001208,0.001208,0.001208
42,33.3329,1.80898,1.63547,1.96571,0.67761,0.38983,0.41543,0.18796,1.72034,1.84256,2.03355,0.0011882,0.0011882,0.0011882
43,34.0492,1.79045,1.65905,1.95931,0.64441,0.41467,0.45014,0.2003,1.79565,1.62903,2.10273,0.0011684,0.0011684,0.0011684
44,34.8205,1.72172,1.62275,1.92547,0.6268,0.4661,0.46906,0.21109,1.71306,1.49859,2.0168,0.0011486,0.0011486,0.0011486
