epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.829,3.25259,4.71387,4.33363,0,0,0,0,3.48854,4.08096,4.16408,0.00046,0.00046,0.00046
2,3.21674,2.88095,3.96299,3.93634,0,0,0,0,3.59714,4.10721,4.23552,0.000930694,0.000930694,0.000930694
3,4.61317,2.61451,3.52102,3.31788,9e-05,0.00826,4e-05,0,3.88236,3.97815,4.63493,0.00139188,0.00139188,0.00139188
4,5.95142,2.45829,3.18839,2.83134,0,0,0,0,4.352,4.3371,5.26355,0.00184357,0.00184357,0.00184357
5,7.29236,2.37881,3.0759,2.69619,0.28542,0.04132,0.03673,0.00932,2.91106,3.74656,3.42101,0.0019208,0.0019208,0.0019208
6,8.6821,2.33201,2.81843,2.60717,0.36797,0.09917,0.13741,0.04584,2.24058,2.8427,2.64296,0.001901,0.001901,0.001901
7,10.0511,2.17913,2.50582,2.43328,0.35391,0.31405,0.22731,0.07821,2.37445,2.92339,2.74817,0.0018812,0.0018812,0.0018812
8,11.3256,2.159,2.28464,2.42516,0.16587,0.24488,0.1111,0.02813,2.63687,2.83177,2.85983,0.0018614,0.0018614,0.0018614
9,12.5825,2.09295,2.14369,2.34126,0.39278,0.33884,0.24787,0.10762,2.19102,2.07461,2.40402,0.0018416,0.0018416,0.0018416
10,13.8246,2.0173,2.03671,2.26016,0.38712,0.33932,0.28088,0.09645,2.2137,2.01397,2.43037,0.0018218,0.0018218,0.0018218
11,15.0864,2.03683,1.92291,2.26957,0.57445,0.17355,0.30021,0.11599,2.25261,2.71643,2.51908,0.001802,0.001802,0.001802
12,16.4371,1.98973,1.90293,2.19761,0.42148,0.39669,0.32512,0.12287,2.07648,2.12865,2.30659,0.0017822,0.0017822,0.0017822
13,17.7522,1.93465,1.86227,2.17731,0.40963,0.41322,0.32078,0.14556,1.89783,1.76754,2.24642,0.0017624,0.0017624,0.0017624
14,19.1015,1.91681,1.8416,2.17996,0.41471,0.36306,0.26658,0.08701,2.16137,2.2785,2.44821,0.0017426,0.0017426,0.0017426
15,20.3358,1.90997,1.77794,2.1866,0.57545,0.40496,0.43096,0.18026,1.95927,1.74948,2.24612,0.0017228,0.0017228,0.0017228
16,21.6314,1.91408,1.74549,2.16115,0.61899,0.42975,0.42025,0.16603,2.10113,1.84249,2.32366,0.001703,0.001703,0.001703
17,22.8561,1.87145,1.68127,2.12229,0.39478,0.44628,0.36854,0.15955,1.88797,1.75498,2.16887,0.0016832,0.0016832,0.0016832
18,24.1161,1.8546,1.66905,2.09377,0.4838,0.45455,0.45553,0.20968,1.79723,1.58815,2.09011,0.0016634,0.0016634,0.0016634
19,25.4214,1.85192,1.66903,2.1223,0.63348,0.47107,0.48224,0.21437,1.80358,1.67238,2.11746,0.0016436,0.0016436,0.0016436
20,26.7174,1.83042,1.68331,2.09362,0.54216,0.42975,0.41776,0.18487,1.87722,1.71468,2.18457,0.0016238,0.0016238,0.0016238
21,27.9436,1.79456,1.65026,2.04589,0.60222,0.47934,0.49378,0.21515,1.84562,1.59491,2.14418,0.001604,0.001604,0.001604
22,29.2772,1.8191,1.63197,2.06614,0.54771,0.33058,0.3925,0.14775,1.94633,2.21897,2.26969,0.0015842,0.0015842,0.0015842
23,30.5452,1.79908,1.55854,2.0432,0.51101,0.3719,0.34986,0.14473,1.98408,1.98489,2.24079,0.0015644,0.0015644,0.0015644
24,31.7989,1.77394,1.56487,2.04701,0.39977,0.34711,0.33329,0.11861,2.16798,2.16093,2.36823,0.0015446,0.0015446,0.0015446
25,32.9631,1.74965,1.56894,2.02673,0.79122,0.46981,0.58662,0.23847,1.81719,1.59208,2.10181,0.0015248,0.0015248,0.0015248
26,34.2184,1.80815,1.56645,2.05634,0.41609,0.36364,0.35001,0.15574,1.95737,2.0163,2.25669,0.001505,0.001505,0.001505
27,35.3844,1.78301,1.51051,2.03703,0.39284,0.32231,0.30345,0.12141,2.003,2.74989,2.28704,0.0014852,0.0014852,0.0014852
28,36.5852,1.77247,1.49104,2.00824,0.53352,0.41322,0.47999,0.21033,1.92044,1.92011,2.2443,0.0014654,0.0014654,0.0014654
29,37.7954,1.78483,1.59441,2.0565,0.64415,0.42975,0.4906,0.20013,1.79156,1.67548,2.1057,0.0014456,0.0014456,0.0014456
30,39.0298,1.73649,1.53659,2.04708,0.67339,0.40496,0.49624,0.23556,1.80507,1.8621,2.12868,0.0014258,0.0014258,0.0014258
31,40.2931,1.68914,1.50185,1.98182,0.7541,0.47107,0.56288,0.24052,1.84548,1.52768,2.16864,0.001406,0.001406,0.001406
32,41.6187,1.719,1.46977,2.01333,0.64325,0.38843,0.44215,0.16138,1.9836,2.07222,2.30251,0.0013862,0.0013862,0.0013862
33,42.8716,1.72672,1.50014,2.00346,0.71172,0.43802,0.51435,0.22319,1.794,1.72566,2.13664,0.0013664,0.0013664,0.0013664
34,44.1006,1.72133,1.47983,1.99855,0.6838,0.52893,0.5879,0.26,1.7595,1.55698,2.09686,0.0013466,0.0013466,0.0013466
35,45.4169,1.66382,1.43779,1.98454,0.62727,0.45455,0.48149,0.21052,1.79366,1.87085,2.14478,0.0013268,0.0013268,0.0013268
36,46.6579,1.72992,1.40734,1.97429,0.64686,0.46281,0.51796,0.23021,1.78561,1.81155,2.10236,0.001307,0.001307,0.001307
37,47.9139,1.72964,1.46036,2.00965,0.60673,0.42975,0.46399,0.19773,1.86331,1.97094,2.21428,0.0012872,0.0012872,0.0012872
38,49.1735,1.70873,1.43758,2.01488,0.66744,0.43802,0.49069,0.20031,1.86833,1.85327,2.17368,0.0012674,0.0012674,0.0012674
39,50.4287,1.70517,1.42678,1.9613,0.6263,0.47092,0.54586,0.22904,1.89186,1.82398,2.19317,0.0012476,0.0012476,0.0012476
40,51.659,1.68268,1.40262,1.97169,0.70733,0.52066,0.58783,0.27941,1.7891,1.50614,2.09279,0.0012278,0.0012278,0.0012278
41,52.9763,1.65252,1.3801,1.97014,0.79925,0.52647,0.60872,0.26272,1.81322,1.55166,2.14404,0.001208,0.001208,0.001208
42,54.2469,1.70027,1.39041,1.94518,0.66546,0.39669,0.47957,0.20041,1.89795,1.90687,2.22406,0.0011882,0.0011882,0.0011882
43,55.4816,1.66456,1.37734,1.93188,0.73332,0.42975,0.52629,0.22634,1.94095,1.8185,2.30722,0.0011684,0.0011684,0.0011684
44,56.7359,1.71848,1.39326,2.01482,0.59689,0.40384,0.38683,0.1535,1.97897,2.26059,2.31961,0.0011486,0.0011486,0.0011486
45,57.9815,1.63566,1.41629,1.91187,0.72549,0.50237,0.56714,0.24573,1.80751,1.689,2.12486,0.0011288,0.0011288,0.0011288
46,59.2179,1.63357,1.40645,1.9619,0.53807,0.48134,0.47335,0.20623,1.85418,1.89843,2.18475,0.001109,0.001109,0.001109
47,60.5049,1.6608,1.34588,1.93375,0.63508,0.37398,0.41758,0.18271,1.9203,2.28225,2.24519,0.0010892,0.0010892,0.0010892
48,61.7485,1.62853,1.32845,1.92134,0.67187,0.52893,0.55653,0.22247,2.03823,1.5346,2.35318,0.0010694,0.0010694,0.0010694
49,63.0111,1.60162,1.27972,1.88989,0.71437,0.52066,0.56678,0.246,1.86279,1.73101,2.18016,0.0010496,0.0010496,0.0010496
50,64.1893,1.62133,1.29128,1.91093,0.76451,0.46281,0.60762,0.2263,1.99865,1.51068,2.23534,0.0010298,0.0010298,0.0010298
51,65.3825,1.63064,1.313,1.9365,0.8081,0.55372,0.62693,0.27834,1.84791,1.53299,2.16251,0.00101,0.00101,0.00101
52,66.5782,1.6428,1.31683,1.94354,0.71764,0.48315,0.5795,0.27268,1.72473,1.57003,2.04237,0.0009902,0.0009902,0.0009902
53,67.745,1.5846,1.26243,1.87943,0.76241,0.55372,0.65186,0.29644,1.84016,1.45258,2.0814,0.0009704,0.0009704,0.0009704
54,69.0336,1.60694,1.23167,1.92098,0.81685,0.52066,0.63183,0.2868,1.80339,1.39869,2.0833,0.0009506,0.0009506,0.0009506
55,70.2782,1.59934,1.26692,1.91843,0.81709,0.52066,0.60428,0.27494,1.88204,1.5632,2.13015,0.0009308,0.0009308,0.0009308
56,71.5391,1.59427,1.2741,1.87493,0.75234,0.50413,0.61035,0.27667,1.80407,1.41519,2.07226,0.000911,0.000911,0.000911
57,72.7957,1.5962,1.25569,1.89006,0.79631,0.50413,0.6089,0.25455,1.92527,1.52434,2.20021,0.0008912,0.0008912,0.0008912
58,74.0333,1.61214,1.29097,1.92695,0.72718,0.49587,0.57595,0.23515,1.91525,1.53923,2.17157,0.0008714,0.0008714,0.0008714
59,75.2552,1.59725,1.21191,1.87625,0.76191,0.4876,0.59481,0.25684,1.83488,1.80911,2.17426,0.0008516,0.0008516,0.0008516
60,76.5206,1.58007,1.19957,1.85087,0.70605,0.52893,0.57578,0.24833,1.91941,1.68618,2.22616,0.0008318,0.0008318,0.0008318
61,77.7865,1.60262,1.17371,1.86499,0.8478,0.57025,0.66016,0.31042,1.86618,1.34512,2.11787,0.000812,0.000812,0.000812
62,79.0832,1.5536,1.20116,1.84816,0.66706,0.61157,0.62968,0.29467,1.72744,1.34523,2.04131,0.0007922,0.0007922,0.0007922
63,80.347,1.57667,1.21826,1.86456,0.7235,0.59504,0.63098,0.28409,1.86773,1.28617,2.12474,0.0007724,0.0007724,0.0007724
64,81.6058,1.51912,1.18386,1.80188,0.70312,0.59504,0.64219,0.2977,1.72027,1.38655,2.02108,0.0007526,0.0007526,0.0007526
65,82.853,1.55127,1.2071,1.85696,0.81705,0.51673,0.6428,0.28886,1.77416,1.39172,2.05128,0.0007328,0.0007328,0.0007328
66,84.1026,1.51999,1.1242,1.81547,0.76952,0.56198,0.64708,0.27522,1.83696,1.31153,2.11734,0.000713,0.000713,0.000713
67,85.3421,1.51173,1.11267,1.84457,0.71162,0.54545,0.58917,0.25226,1.93209,1.54148,2.22063,0.0006932,0.0006932,0.0006932
68,86.5702,1.54055,1.15347,1.84152,0.78164,0.52066,0.64422,0.27397,1.83623,1.39592,2.10899,0.0006734,0.0006734,0.0006734
69,87.8101,1.48984,1.10019,1.81397,0.7671,0.63636,0.6966,0.30038,1.80218,1.28857,2.10865,0.0006536,0.0006536,0.0006536
70,89.0682,1.4969,1.11447,1.7847,0.75556,0.54545,0.64765,0.28848,1.87325,1.45389,2.14062,0.0006338,0.0006338,0.0006338
71,90.2603,1.48882,1.08397,1.83791,0.76545,0.59504,0.66477,0.29943,1.84624,1.30678,2.16269,0.000614,0.000614,0.000614
72,91.4826,1.47126,1.09731,1.81513,0.66811,0.50413,0.54717,0.22836,1.99966,1.64891,2.33022,0.0005942,0.0005942,0.0005942
