epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.947855,3.58426,4.30895,4.35265,0,0,0,0,3.79149,4.08245,4.15822,0.00022,0.00022,0.00022
2,1.79361,3.42279,3.87404,4.17372,0,0,0,0,3.79264,4.08988,4.1564,0.000455446,0.000455446,0.000455446
3,2.61632,3.29411,3.54122,3.97755,8e-05,0.0098,4e-05,0,3.79445,4.11151,4.16479,0.00068614,0.00068614,0.00068614
4,3.44786,2.90212,3.21566,3.72432,0.00017,0.01961,9e-05,2e-05,3.82214,4.12775,4.22856,0.000912082,0.000912082,0.000912082
5,4.31772,2.74081,3.061,3.34245,0.00036,0.04902,0.00019,7e-05,3.86351,4.02703,4.29698,0.00113327,0.00113327,0.00113327
6,5.16875,2.54422,2.87066,3.11916,0.00014,0.01961,7e-05,3e-05,3.92894,3.91395,4.35546,0.00134971,0.00134971,0.00134971
7,5.93274,2.47245,2.74397,2.96426,7e-05,0.0098,4e-05,2e-05,4.03693,3.94591,4.49675,0.0015614,0.0015614,0.0015614
8,6.69261,2.38429,2.6126,2.90635,0.00109,0.14706,0.0007,0.00026,3.73263,3.78799,4.25564,0.00176833,0.00176833,0.00176833
9,7.53767,2.39858,2.60217,2.80863,0.2012,0.06863,0.05467,0.02092,2.92473,3.31231,3.66484,0.0018416,0.0018416,0.0018416
10,8.36261,2.34831,2.45023,2.74671,0.12332,0.20549,0.1033,0.04057,2.41463,2.97981,2.98336,0.0018218,0.0018218,0.0018218
11,9.22931,2.25146,2.3491,2.61003,0.28072,0.29412,0.19336,0.07824,2.11415,2.65803,2.54249,0.001802,0.001802,0.001802
12,10.0796,2.25488,2.30621,2.56458,0.27077,0.35294,0.24185,0.08098,2.15751,2.46094,2.59644,0.0017822,0.0017822,0.0017822
13,10.9365,2.19751,2.25448,2.5328,0.25399,0.31373,0.20938,0.08543,2.05981,2.65574,2.49208,0.0017624,0.0017624,0.0017624
14,11.8106,2.12139,2.12608,2.47027,0.27217,0.46078,0.30823,0.12443,2.00364,2.15228,2.40525,0.0017426,0.0017426,0.0017426
15,12.6653,2.11846,2.13404,2.49656,0.36371,0.35868,0.28009,0.11144,2.10142,2.12481,2.47398,0.0017228,0.0017228,0.0017228
16,13.4547,2.07742,1.95933,2.45087,0.36352,0.53922,0.31807,0.12359,2.15864,2.10122,2.50618,0.001703,0.001703,0.001703
17,14.2459,2.09627,2.00761,2.4427,0.3117,0.47059,0.3246,0.14063,1.9772,2.03714,2.39491,0.0016832,0.0016832,0.0016832
18,15.1217,2.05755,1.94082,2.40585,0.36716,0.39216,0.35089,0.15123,1.99865,1.94111,2.34812,0.0016634,0.0016634,0.0016634
19,15.9696,2.02339,1.90769,2.37081,0.37064,0.53922,0.36689,0.15493,1.96274,1.87191,2.33024,0.0016436,0.0016436,0.0016436
20,16.8333,1.99622,1.89076,2.37012,0.46062,0.4902,0.44327,0.18971,1.97664,1.80256,2.35469,0.0016238,0.0016238,0.0016238
21,17.6603,1.97095,1.83977,2.31688,0.27848,0.45786,0.28891,0.10365,2.3613,2.04844,2.69627,0.001604,0.001604,0.001604
22,18.4584,2.02447,1.85857,2.33686,0.45213,0.37255,0.32845,0.1175,2.10293,2.07671,2.55412,0.0015842,0.0015842,0.0015842
23,19.3333,1.97663,1.86533,2.30671,0.5195,0.34314,0.39219,0.14693,2.03798,1.95636,2.39328,0.0015644,0.0015644,0.0015644
24,20.3994,1.9137,1.76719,2.23991,0.31602,0.4077,0.25431,0.10552,1.99788,2.06067,2.37104,0.0015446,0.0015446,0.0015446
