epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.47848,3.54604,4.10269,4.24149,0,0,0,0,3.79332,4.08923,4.15646,0.00046,0.00046,0.00046
2,2.96539,3.16621,3.3667,3.84031,0.00017,0.01961,9e-05,1e-05,3.8597,4.07396,4.2443,0.000930694,0.000930694,0.000930694
3,4.34859,2.73088,3.02047,3.26547,0.00067,0.07843,0.00037,8e-05,3.96951,3.94703,4.41995,0.00139188,0.00139188,0.00139188
4,5.73592,2.40978,2.69074,2.87734,0,0,0,0,4.08151,4.33321,4.69234,0.00184357,0.00184357,0.00184357
5,7.0506,2.31166,2.43834,2.70496,0.18523,0.14706,0.09693,0.03736,2.74872,3.31234,3.32241,0.0019208,0.0019208,0.0019208
6,8.39782,2.25497,2.36633,2.62907,0.24968,0.16667,0.11952,0.03821,2.66068,2.74686,3.09522,0.001901,0.001901,0.001901
7,9.73814,2.1824,2.18554,2.54703,0.27156,0.32353,0.19719,0.06429,2.54392,2.53411,2.93106,0.0018812,0.0018812,0.0018812
8,11.0648,2.09388,2.07251,2.46742,0.30006,0.41176,0.25099,0.11106,2.07963,2.21995,2.49707,0.0018614,0.0018614,0.0018614
9,12.3576,2.0884,2.04295,2.44809,0.39306,0.38733,0.3294,0.13952,2.03463,2.05948,2.4121,0.0018416,0.0018416,0.0018416
10,13.6269,2.00627,1.94064,2.36972,0.46044,0.45179,0.35343,0.15431,1.9788,1.95541,2.35398,0.0018218,0.0018218,0.0018218
11,14.9862,1.99791,1.85193,2.35341,0.31606,0.22549,0.18382,0.06419,2.36866,2.77204,2.84013,0.001802,0.001802,0.001802
12,16.2772,1.98326,1.81709,2.34689,0.45324,0.39012,0.38396,0.15284,2.21428,2.09872,2.49648,0.0017822,0.0017822,0.0017822
13,17.5718,1.92758,1.7558,2.27194,0.41583,0.47059,0.4111,0.17487,1.89915,1.84943,2.26463,0.0017624,0.0017624,0.0017624
14,18.9317,1.90725,1.70159,2.24066,0.34878,0.41176,0.28448,0.10785,2.29003,2.0198,2.61398,0.0017426,0.0017426,0.0017426
15,20.2213,1.83697,1.68385,2.19843,0.46863,0.48039,0.37195,0.16367,1.96378,1.89771,2.39403,0.0017228,0.0017228,0.0017228
16,21.5064,1.8413,1.64923,2.20881,0.47346,0.45098,0.35163,0.14743,2.15984,2.22863,2.52869,0.001703,0.001703,0.001703
17,22.8045,1.80585,1.62079,2.17332,0.50424,0.58833,0.48525,0.18769,2.04201,1.75175,2.43107,0.0016832,0.0016832,0.0016832
18,24.1545,1.79149,1.5771,2.16384,0.56928,0.55882,0.54461,0.23391,1.90136,1.80645,2.32356,0.0016634,0.0016634,0.0016634
19,25.5279,1.7467,1.58683,2.11077,0.35921,0.40196,0.30445,0.12331,2.16118,2.1709,2.49268,0.0016436,0.0016436,0.0016436
20,26.8338,1.75292,1.51724,2.14026,0.46421,0.57843,0.47543,0.20578,1.85892,1.70146,2.2974,0.0016238,0.0016238,0.0016238
21,28.1025,1.72902,1.50703,2.11784,0.58156,0.51961,0.49896,0.2061,2.04399,1.7738,2.49183,0.001604,0.001604,0.001604
22,29.3888,1.73024,1.4647,2.09349,0.43863,0.51961,0.4323,0.19317,2.03418,1.92392,2.43397,0.0015842,0.0015842,0.0015842
23,30.6745,1.74427,1.5309,2.09764,0.6849,0.58824,0.56753,0.21413,2.01949,1.90619,2.37535,0.0015644,0.0015644,0.0015644
24,31.9577,1.66041,1.41849,2.03354,0.68198,0.56863,0.57254,0.2244,1.82682,1.54677,2.26332,0.0015446,0.0015446,0.0015446
25,33.2331,1.64933,1.33416,2.05362,0.68255,0.58824,0.58106,0.25259,1.99232,1.51461,2.37866,0.0015248,0.0015248,0.0015248
26,34.5793,1.65003,1.38319,2.01748,0.59047,0.57843,0.51512,0.21616,1.90651,1.55329,2.33617,0.001505,0.001505,0.001505
27,35.8537,1.66151,1.4044,2.04289,0.61701,0.5686,0.56677,0.26374,1.87532,1.52352,2.379,0.0014852,0.0014852,0.0014852
28,37.2039,1.60145,1.37373,2.01543,0.54922,0.62745,0.52093,0.24153,1.84771,1.46497,2.32777,0.0014654,0.0014654,0.0014654
