epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.916965,3.85441,4.5167,4.34924,9e-05,0.00847,4e-05,1e-05,3.13407,4.08719,4.1591,0.00022,0.00022,0.00022
2,1.78738,3.55747,3.89408,4.09678,9e-05,0.00847,4e-05,1e-05,3.14164,4.09852,4.16594,0.000455446,0.000455446,0.000455446
3,2.65054,3.46163,3.63901,3.80271,9e-05,0.00847,4e-05,0,3.16823,4.12784,4.19075,0.00068614,0.00068614,0.00068614
4,3.4523,2.9304,3.42488,3.53192,0,0,0,0,3.20486,4.1485,4.23572,0.000912082,0.000912082,0.000912082
5,4.23,2.92678,3.21701,3.27006,0,0,0,0,3.29337,4.0511,4.35835,0.00113327,0.00113327,0.00113327
6,5.00071,2.76289,3.08701,3.06602,0,0,0,0,3.38019,3.94122,4.49488,0.00134971,0.00134971,0.00134971
7,5.78033,2.52957,2.96904,2.89037,9e-05,0.00847,4e-05,0,3.46083,3.95761,4.63407,0.0015614,0.0015614,0.0015614
8,6.55113,2.5628,2.80339,2.70333,0.00128,0.05932,0.00068,0.00039,3.38582,3.92373,4.58007,0.00176833,0.00176833,0.00176833
9,7.40142,2.45114,2.58626,2.56809,0.236,0.01695,0.02377,0.00738,3.17612,3.67432,4.16514,0.0018416,0.0018416,0.0018416
10,8.22531,2.36979,2.5526,2.50485,0.13149,0.12712,0.07709,0.0319,2.34657,4.34909,3.0422,0.0018218,0.0018218,0.0018218
11,9.06561,2.36474,2.43797,2.43414,0.27749,0.22034,0.12667,0.04215,2.13731,3.122,2.65653,0.001802,0.001802,0.001802
12,9.89712,2.36309,2.39215,2.39233,0.29544,0.21186,0.16771,0.05931,2.1314,4.89043,2.58702,0.0017822,0.0017822,0.0017822
13,10.7413,2.22017,2.36509,2.33361,0.28587,0.22881,0.18498,0.06357,2.08772,5.17824,2.42067,0.0017624,0.0017624,0.0017624
