epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.4885,3.62879,4.27438,4.24493,0,0,0,0,3.63238,4.15038,4.15795,0.00046,0.00046,0.00046
2,2.89821,3.10591,3.49987,3.71557,0,0,0,0,3.7125,4.21101,4.19384,0.000930694,0.000930694,0.000930694
3,4.29571,2.73143,3.1228,3.13358,0,0,0,0,3.97116,4.15202,4.45133,0.00139188,0.00139188,0.00139188
4,5.67566,2.52299,2.80464,2.71043,0.00371,0.21111,0.00227,0.0008,3.71692,3.76705,4.17562,0.00184357,0.00184357,0.00184357
5,7.03593,2.42079,2.49813,2.52639,0.25229,0.19123,0.15571,0.0473,2.89319,6.79167,3.24787,0.0019208,0.0019208,0.0019208
6,8.4089,2.30841,2.31233,2.37141,0.62761,0.23333,0.27378,0.08499,2.69873,3.43717,2.71067,0.001901,0.001901,0.001901
7,9.70681,2.27255,2.22616,2.3223,0.27292,0.33333,0.25215,0.10429,2.03446,2.36157,2.41013,0.0018812,0.0018812,0.0018812
8,11.024,2.23166,2.18311,2.29491,0.472,0.34444,0.35268,0.13241,2.11354,2.33399,2.32945,0.0018614,0.0018614,0.0018614
9,12.3199,2.13088,2.02985,2.17549,0.55636,0.31111,0.35839,0.15789,2.04525,3.11777,2.35019,0.0018416,0.0018416,0.0018416
10,13.6137,2.13046,2.02683,2.17115,0.2679,0.22222,0.18663,0.07171,2.16278,5.96389,2.34373,0.0018218,0.0018218,0.0018218
11,14.8374,2.07442,1.94006,2.13548,0.3131,0.43333,0.3139,0.12298,1.99834,2.64971,2.20867,0.001802,0.001802,0.001802
12,16.0526,2.08734,1.9008,2.14325,0.35433,0.5,0.37346,0.15542,1.93802,1.92518,2.1545,0.0017822,0.0017822,0.0017822
13,17.3008,2.06334,1.87895,2.04323,0.50697,0.61699,0.52705,0.21222,2.01243,2.06923,2.20723,0.0017624,0.0017624,0.0017624
14,18.6849,2.08024,1.86961,2.13397,0.45918,0.59436,0.48038,0.1941,2.07551,1.86377,2.26668,0.0017426,0.0017426,0.0017426
15,19.9913,2.00786,1.7989,2.08207,0.55529,0.53333,0.57165,0.2383,1.98667,1.76693,2.13191,0.0017228,0.0017228,0.0017228
16,21.3574,1.98569,1.81048,2.07057,0.63361,0.45556,0.51277,0.22183,1.83084,2.2059,2.10489,0.001703,0.001703,0.001703
17,22.6611,1.90397,1.78007,1.99637,0.3699,0.51111,0.40013,0.17386,1.98067,1.9149,2.17397,0.0016832,0.0016832,0.0016832
18,23.9465,1.96983,1.75717,1.99899,0.48464,0.53333,0.4612,0.1779,2.05525,1.85395,2.18016,0.0016634,0.0016634,0.0016634
