epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.961274,2.61884,4.03054,2.35981,0.00657,0.7438,0.05645,0.01242,1.85615,3.51127,1.68283,0.00022,0.00022,0.00022
2,1.81505,1.93543,2.76299,1.87907,0.00744,0.78512,0.01422,0.00508,1.76907,3.55911,1.8222,0.000455446,0.000455446,0.000455446
3,2.58361,1.83325,2.485,1.74898,0.00684,0.76033,0.05335,0.01478,1.67649,3.36969,1.62109,0.00068614,0.00068614,0.00068614
4,3.43683,1.77371,2.20825,1.68934,0.00675,0.7686,0.15071,0.05858,1.81091,3.11994,1.58231,0.000912082,0.000912082,0.000912082
5,4.2674,1.81032,2.27606,1.61041,0.93501,0.11903,0.37068,0.16891,1.84234,2.77757,1.56732,0.00113327,0.00113327,0.00113327
6,5.09229,1.76245,2.06174,1.61587,0.46845,0.33884,0.34044,0.14003,1.97395,2.49411,1.69017,0.00134971,0.00134971,0.00134971
7,5.8612,1.74969,2.11567,1.62551,0.2875,0.31405,0.20687,0.06543,2.09495,2.44171,1.84451,0.0015614,0.0015614,0.0015614
8,6.61262,1.75061,2.03357,1.60364,0.63217,0.38017,0.42394,0.19309,1.93321,1.93978,1.67324,0.00176833,0.00176833,0.00176833
9,7.44657,1.81707,2.0874,1.63915,0.21824,0.20661,0.11326,0.02714,2.58486,2.81023,2.02931,0.0018416,0.0018416,0.0018416
10,8.19315,1.79635,2.11918,1.59823,0.12458,0.18936,0.07139,0.02258,2.13523,3.09144,1.85398,0.0018218,0.0018218,0.0018218
11,8.94157,1.74089,1.91548,1.60402,0.44306,0.32231,0.27094,0.10485,1.95094,2.44365,1.66704,0.001802,0.001802,0.001802
12,9.69666,1.69453,1.83718,1.56285,0.55923,0.50413,0.5091,0.20106,1.78876,1.8429,1.64693,0.0017822,0.0017822,0.0017822
13,10.5004,1.6701,1.80068,1.53341,0.60146,0.50413,0.51807,0.22524,1.73566,1.7936,1.58932,0.0017624,0.0017624,0.0017624
14,11.3,1.65396,1.76993,1.53707,0.49958,0.52066,0.4705,0.20826,1.80049,1.80984,1.62885,0.0017426,0.0017426,0.0017426
15,12.0208,1.66564,1.70893,1.55493,0.66561,0.5124,0.5455,0.23665,1.73177,1.68351,1.64375,0.0017228,0.0017228,0.0017228
16,12.7986,1.65195,1.69242,1.5342,0.50673,0.46281,0.4518,0.16878,1.88362,1.93582,1.72656,0.001703,0.001703,0.001703
17,13.5133,1.7044,1.68034,1.54373,0.5889,0.3315,0.40283,0.15611,2.08173,1.87867,1.80448,0.0016832,0.0016832,0.0016832
18,14.2162,1.68065,1.62535,1.55199,0.61572,0.33058,0.4012,0.16233,2.12516,2.0043,1.78824,0.0016634,0.0016634,0.0016634
19,14.9253,1.61964,1.54759,1.50991,0.65837,0.49374,0.54203,0.24674,1.85421,1.58931,1.67232,0.0016436,0.0016436,0.0016436
20,15.7032,1.60082,1.55896,1.53463,0.72647,0.46281,0.55286,0.25876,1.7493,1.71874,1.57732,0.0016238,0.0016238,0.0016238
21,16.4838,1.64108,1.5181,1.53766,0.4926,0.56165,0.45486,0.1943,1.77957,1.65538,1.61443,0.001604,0.001604,0.001604
22,17.1938,1.6225,1.57476,1.52955,0.57135,0.52875,0.54857,0.24894,1.75492,1.52028,1.61899,0.0015842,0.0015842,0.0015842
23,17.9042,1.65465,1.54021,1.53417,0.54835,0.47934,0.4839,0.21236,1.7362,1.61982,1.58191,0.0015644,0.0015644,0.0015644
24,18.6102,1.56608,1.42033,1.48698,0.58715,0.58678,0.50446,0.20878,1.76823,1.58255,1.69385,0.0015446,0.0015446,0.0015446
25,19.3125,1.57599,1.37967,1.45159,0.53881,0.55372,0.50241,0.21055,1.83519,1.53799,1.69345,0.0015248,0.0015248,0.0015248
26,20.0285,1.59574,1.40901,1.47057,0.41672,0.54545,0.41395,0.15663,1.98335,1.74033,1.86471,0.001505,0.001505,0.001505
27,20.7653,1.64783,1.53479,1.53936,0.59018,0.52893,0.55458,0.22751,1.86238,1.59779,1.76211,0.0014852,0.0014852,0.0014852
28,21.4667,1.55525,1.48612,1.47934,0.67351,0.44628,0.52085,0.21704,1.94162,1.98271,1.76535,0.0014654,0.0014654,0.0014654
29,22.168,1.58394,1.40596,1.45858,0.47808,0.42149,0.38714,0.12588,2.01094,2.23515,1.82949,0.0014456,0.0014456,0.0014456
30,22.867,1.52935,1.40215,1.41855,0.67882,0.45455,0.53074,0.26096,1.81735,1.61976,1.63685,0.0014258,0.0014258,0.0014258
31,23.6184,1.54452,1.41996,1.46587,0.63593,0.42149,0.48879,0.21381,1.85319,2.18863,1.67382,0.001406,0.001406,0.001406
32,24.3184,1.52513,1.38296,1.43365,0.66365,0.55372,0.60036,0.27702,1.76812,1.58747,1.59873,0.0013862,0.0013862,0.0013862
33,25.0665,1.55656,1.40316,1.48929,0.67471,0.53719,0.60898,0.26201,1.79188,1.50962,1.66693,0.0013664,0.0013664,0.0013664
34,25.7702,1.51948,1.38453,1.47018,0.65512,0.54948,0.57638,0.25382,1.79854,1.62101,1.72931,0.0013466,0.0013466,0.0013466
35,26.466,1.53787,1.2824,1.45583,0.65404,0.52893,0.56634,0.21742,1.96872,1.54289,1.82346,0.0013268,0.0013268,0.0013268
36,27.171,1.49225,1.28546,1.44347,0.68897,0.60331,0.6614,0.309,1.69452,1.31082,1.57436,0.001307,0.001307,0.001307
37,27.9915,1.46241,1.25637,1.44125,0.60013,0.54545,0.52519,0.23597,1.80085,1.5425,1.665,0.0012872,0.0012872,0.0012872
38,28.7451,1.48251,1.23228,1.41834,0.71876,0.53719,0.5667,0.25009,1.90386,1.48117,1.71437,0.0012674,0.0012674,0.0012674
39,29.49,1.48572,1.16825,1.42576,0.71084,0.58919,0.6152,0.26984,1.85383,1.3289,1.68172,0.0012476,0.0012476,0.0012476
40,30.2437,1.43527,1.16875,1.40609,0.69747,0.57161,0.63053,0.29149,1.81477,1.43742,1.68979,0.0012278,0.0012278,0.0012278
41,30.9951,1.40534,1.11369,1.37511,0.75556,0.56198,0.64762,0.31639,1.77535,1.24261,1.62178,0.001208,0.001208,0.001208
42,31.7984,1.46982,1.14066,1.42038,0.76371,0.57025,0.64922,0.30424,1.78459,1.26733,1.60331,0.0011882,0.0011882,0.0011882
43,32.548,1.42239,1.15573,1.35524,0.67804,0.47934,0.49821,0.18484,2.12726,1.78979,1.92362,0.0011684,0.0011684,0.0011684
44,33.3002,1.50069,1.201,1.39507,0.77639,0.54545,0.6156,0.29471,1.78072,1.54115,1.58033,0.0011486,0.0011486,0.0011486
45,34.0512,1.52101,1.22825,1.43299,0.7442,0.52897,0.63201,0.28342,1.84746,1.40907,1.66246,0.0011288,0.0011288,0.0011288
46,34.795,1.43365,1.15355,1.3771,0.69306,0.6281,0.66198,0.31635,1.74235,1.36001,1.57638,0.001109,0.001109,0.001109
47,35.5439,1.40421,1.15578,1.36429,0.76998,0.55331,0.62602,0.30683,1.74962,1.34842,1.60745,0.0010892,0.0010892,0.0010892
48,36.2747,1.41834,1.13446,1.38341,0.76715,0.49012,0.57465,0.25072,1.83429,1.80299,1.66251,0.0010694,0.0010694,0.0010694
49,37.0075,1.48668,1.13463,1.42063,0.70248,0.57851,0.61406,0.2944,1.79963,1.61717,1.61586,0.0010496,0.0010496,0.0010496
50,37.748,1.42689,1.12689,1.37478,0.78232,0.56198,0.62448,0.28523,1.77903,1.51578,1.59731,0.0010298,0.0010298,0.0010298
