epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.86599,2.31987,3.35543,2.09289,0.00623,0.68595,0.03519,0.01048,1.68065,3.53805,1.70171,0.00046,0.00046,0.00046
2,3.23029,1.88798,2.35609,1.69536,0.0066,0.75207,0.28161,0.10206,1.78054,3.01885,1.67509,0.000930694,0.000930694,0.000930694
3,4.63594,1.81833,2.12697,1.6077,0.70115,0.29088,0.34984,0.12166,1.98492,2.61655,1.76606,0.00139188,0.00139188,0.00139188
4,5.99929,1.80315,2.08187,1.64108,0.3891,0.38017,0.34043,0.14451,2.1095,2.11121,1.88519,0.00184357,0.00184357,0.00184357
5,7.35858,1.77391,1.96459,1.63142,0.36553,0.4876,0.32775,0.12792,1.91538,2.19489,1.78347,0.0019208,0.0019208,0.0019208
6,8.60747,1.77702,1.8824,1.63863,0.72694,0.41807,0.50454,0.2126,1.90724,1.78954,1.71936,0.001901,0.001901,0.001901
7,9.90153,1.7276,1.7657,1.60325,0.51844,0.36364,0.40177,0.16326,1.89158,2.02534,1.76124,0.0018812,0.0018812,0.0018812
8,11.1495,1.72729,1.72676,1.58141,0.48316,0.4876,0.47969,0.20632,1.76013,1.90717,1.69704,0.0018614,0.0018614,0.0018614
9,12.3761,1.72563,1.69315,1.58193,0.68055,0.44019,0.50593,0.22109,1.81656,1.69865,1.69351,0.0018416,0.0018416,0.0018416
10,13.6464,1.64637,1.66847,1.55245,0.60633,0.42975,0.47647,0.19687,1.77573,1.81248,1.68956,0.0018218,0.0018218,0.0018218
11,14.9148,1.65904,1.56134,1.53481,0.73881,0.39669,0.45875,0.18415,1.97827,2.08727,1.72417,0.001802,0.001802,0.001802
12,16.2063,1.62021,1.51973,1.51268,0.65671,0.45455,0.55083,0.24969,1.78401,1.75461,1.71831,0.0017822,0.0017822,0.0017822
13,17.4994,1.62084,1.57662,1.5,0.59127,0.56198,0.54265,0.22625,1.70099,1.64242,1.64673,0.0017624,0.0017624,0.0017624
14,18.8256,1.6047,1.4931,1.49548,0.6386,0.5124,0.53864,0.22144,1.78816,1.73335,1.71416,0.0017426,0.0017426,0.0017426
15,20.0873,1.58731,1.42642,1.49715,0.75664,0.59504,0.63245,0.2766,1.80916,1.54528,1.63935,0.0017228,0.0017228,0.0017228
16,21.435,1.58287,1.3488,1.47661,0.73256,0.52065,0.57985,0.25037,1.81128,1.57056,1.65088,0.001703,0.001703,0.001703
