epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.13896,3.69225,4.34214,4.33688,0,0,0,0,3.47771,4.0653,4.16035,0.00022,0.00022,0.00022
2,2.18295,3.53329,3.89375,4.20153,0,0,0,0,3.49141,4.07342,4.16277,0.000455446,0.000455446,0.000455446
3,3.25625,3.38801,3.63863,4.02888,0,0,0,0,3.53491,4.09689,4.17344,0.00068614,0.00068614,0.00068614
4,4.34195,2.99891,3.39144,3.77577,0,0,0,0,3.60919,4.07473,4.21598,0.000912082,0.000912082,0.000912082
5,5.41345,2.96911,3.31139,3.43566,9e-05,0.00826,4e-05,1e-05,3.69386,3.93079,4.28607,0.00113327,0.00113327,0.00113327
6,6.45868,2.67074,3.06646,3.02789,0,0,0,0,3.94094,4.1741,4.55616,0.00134971,0.00134971,0.00134971
7,7.45526,2.65108,2.90786,2.78248,0,0,0,0,4.52657,4.2372,5.37252,0.0015614,0.0015614,0.0015614
8,8.4258,2.54904,2.73134,2.64657,0.00017,0.01653,9e-05,3e-05,4.48926,4.38255,5.20288,0.00176833,0.00176833,0.00176833
9,9.436,2.46036,2.67824,2.52885,0.24862,0.04959,0.05024,0.02437,3.70972,4.23212,4.28051,0.0018416,0.0018416,0.0018416
10,10.4584,2.42807,2.57894,2.4304,0.173,0.17355,0.11528,0.04934,2.45258,3.19633,2.98004,0.0018218,0.0018218,0.0018218
11,11.4828,2.3979,2.43814,2.40174,0.3286,0.2791,0.21311,0.08569,2.15213,2.44579,2.42709,0.001802,0.001802,0.001802
12,12.5209,2.3344,2.30349,2.30121,0.38663,0.26446,0.2404,0.09039,2.09253,2.76307,2.34838,0.0017822,0.0017822,0.0017822
13,13.5731,2.23003,2.18568,2.274,0.35902,0.36364,0.27785,0.12819,2.01736,2.15414,2.23889,0.0017624,0.0017624,0.0017624
14,14.6267,2.26114,2.17135,2.27467,0.49122,0.33058,0.37495,0.15762,1.93344,3.4098,2.13475,0.0017426,0.0017426,0.0017426
15,15.6796,2.26512,2.12666,2.2286,0.31525,0.39669,0.27923,0.11431,2.07116,2.19775,2.15358,0.0017228,0.0017228,0.0017228
16,16.6586,2.18677,2.07401,2.15944,0.37043,0.36958,0.31215,0.12092,2.0776,2.312,2.12539,0.001703,0.001703,0.001703
17,17.6461,2.18762,2.02513,2.16636,0.47616,0.3606,0.32238,0.12177,2.09513,2.25003,2.17175,0.0016832,0.0016832,0.0016832
18,18.6307,2.15737,2.01312,2.14326,0.4078,0.37563,0.32841,0.13543,1.93554,2.01688,2.01801,0.0016634,0.0016634,0.0016634
19,19.6124,2.12561,1.91123,2.09184,0.45596,0.38843,0.31798,0.11206,2.01716,2.07852,2.17348,0.0016436,0.0016436,0.0016436
20,20.5933,2.12394,1.97908,2.14976,0.32803,0.36364,0.27604,0.11122,2.00371,2.15842,2.11521,0.0016238,0.0016238,0.0016238
21,21.5728,2.1009,1.94431,2.09273,0.45183,0.43802,0.34624,0.14263,1.87418,1.82037,1.97996,0.001604,0.001604,0.001604
22,22.5662,2.13525,1.95908,2.09113,0.51541,0.35163,0.33699,0.12825,1.94701,2.4326,2.08392,0.0015842,0.0015842,0.0015842
23,23.6071,2.12152,1.96087,2.1403,0.39857,0.33884,0.25864,0.1012,2.17002,2.90527,2.2453,0.0015644,0.0015644,0.0015644
24,24.5897,2.0721,1.84512,2.08822,0.45958,0.28099,0.27465,0.10227,2.01833,2.32675,2.22841,0.0015446,0.0015446,0.0015446
25,25.5785,2.00431,1.8021,1.96555,0.60687,0.40496,0.4605,0.1906,1.8667,1.77717,2.01736,0.0015248,0.0015248,0.0015248
26,26.6278,2.00953,1.81753,1.98939,0.38408,0.44628,0.34952,0.15077,1.89275,1.89295,2.05159,0.001505,0.001505,0.001505
27,27.6005,2.08264,1.89452,2.08406,0.39278,0.42149,0.30728,0.1217,1.96612,2.07791,2.08497,0.0014852,0.0014852,0.0014852
28,28.5681,2.0507,1.86814,2.08328,0.50224,0.47934,0.43207,0.18031,1.91776,1.91211,2.10633,0.0014654,0.0014654,0.0014654
