epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.5168,3.60571,4.19801,4.23232,9e-05,0.00847,4e-05,1e-05,3.14054,4.10001,4.1655,0.00046,0.00046,0.00046
2,4.42325,3.25498,3.54869,3.66849,0,0,0,0,3.21582,4.15514,4.24605,0.000930694,0.000930694,0.000930694
3,6.29608,2.7714,3.14384,3.09278,9e-05,0.00847,4e-05,0,3.44267,4.18934,4.57696,0.00139188,0.00139188,0.00139188
4,8.10678,2.55619,2.91294,2.70304,0.00026,0.02542,0.00013,2e-05,3.46973,4.50755,4.71826,0.00184357,0.00184357,0.00184357
5,9.82495,2.44314,2.6467,2.50758,0.21064,0.16102,0.08316,0.02549,2.42212,4.52939,3.17882,0.0019208,0.0019208,0.0019208
6,11.5234,2.40226,2.4123,2.41968,0.15198,0.27119,0.19868,0.07275,2.14046,12.6351,2.51839,0.001901,0.001901,0.001901
7,13.1769,2.28475,2.28351,2.31982,0.34604,0.30508,0.21795,0.08747,1.94711,3.96747,2.25613,0.0018812,0.0018812,0.0018812
8,14.8787,2.22251,2.16489,2.21171,0.43389,0.29661,0.26326,0.1159,1.93111,2.52103,2.16566,0.0018614,0.0018614,0.0018614
9,16.5779,2.16672,2.07973,2.18257,0.22188,0.33051,0.15631,0.06009,2.01396,5.04406,2.25249,0.0018416,0.0018416,0.0018416
10,18.2193,2.1263,2.09247,2.13058,0.38776,0.29661,0.27873,0.09468,2.0077,2.57034,2.20611,0.0018218,0.0018218,0.0018218
11,19.844,2.08023,2.01511,2.09837,0.58045,0.33051,0.36923,0.1537,1.79967,1.94149,2.05447,0.001802,0.001802,0.001802
12,21.5379,2.04123,1.96916,2.09251,0.29976,0.33898,0.24214,0.09979,1.88887,2.06733,2.23635,0.0017822,0.0017822,0.0017822
13,23.1521,2.03012,1.93549,2.02693,0.4009,0.33051,0.22774,0.08849,1.79965,2.08351,2.03421,0.0017624,0.0017624,0.0017624
14,24.7285,2.02676,1.94957,2.06102,0.30101,0.29661,0.18705,0.08316,1.8546,2.13257,2.06583,0.0017426,0.0017426,0.0017426
15,26.3441,1.94181,1.81421,1.9827,0.65586,0.41525,0.43188,0.18721,1.70807,1.6785,1.94188,0.0017228,0.0017228,0.0017228
16,28.0437,1.98558,1.79814,2.00822,0.44937,0.34746,0.35,0.1621,1.76819,1.73928,1.96652,0.001703,0.001703,0.001703
17,29.6109,1.92017,1.76294,1.95693,0.56172,0.43448,0.43629,0.18646,1.79278,1.67531,1.98881,0.0016832,0.0016832,0.0016832
18,31.2529,1.88433,1.73965,1.93156,0.57309,0.36404,0.39176,0.17131,1.77487,1.73768,2.00961,0.0016634,0.0016634,0.0016634
19,32.8596,1.92108,1.71586,1.95858,0.34315,0.35593,0.25563,0.10217,1.90712,2.17271,2.11324,0.0016436,0.0016436,0.0016436
20,34.4665,1.87191,1.67372,1.95646,0.5623,0.38136,0.38713,0.17432,1.79333,1.85604,2.01705,0.0016238,0.0016238,0.0016238
21,36.0808,1.8378,1.63329,1.91886,0.577,0.4322,0.42697,0.17446,1.81394,1.77648,2.07863,0.001604,0.001604,0.001604
22,37.6946,1.84581,1.59101,1.91837,0.45707,0.33898,0.31435,0.10405,2.12906,1.98806,2.32571,0.0015842,0.0015842,0.0015842
23,39.3344,1.79656,1.60658,1.87799,0.52591,0.34746,0.33913,0.1479,1.8001,2.17678,2.12199,0.0015644,0.0015644,0.0015644
24,41.0017,1.78357,1.59708,1.87037,0.64643,0.48033,0.48864,0.22951,1.73135,1.66007,1.91679,0.0015446,0.0015446,0.0015446
25,42.6968,1.8165,1.62292,1.8905,0.70826,0.41525,0.45844,0.17503,1.89614,1.69079,2.08659,0.0015248,0.0015248,0.0015248
26,44.3564,1.80185,1.59463,1.86289,0.6499,0.38136,0.47353,0.20378,1.81334,1.58547,2.063,0.001505,0.001505,0.001505
27,46.0063,1.82305,1.57953,1.91297,0.75517,0.41525,0.49875,0.22468,1.80383,1.64596,2.041,0.0014852,0.0014852,0.0014852
28,47.5958,1.78467,1.56199,1.87077,0.74739,0.42626,0.49996,0.19894,1.7567,1.53578,1.94875,0.0014654,0.0014654,0.0014654
29,49.246,1.76173,1.57419,1.82207,0.61618,0.39831,0.44785,0.21091,1.71515,1.63161,1.96169,0.0014456,0.0014456,0.0014456
30,50.8942,1.75531,1.55023,1.82639,0.43493,0.41525,0.33319,0.12718,1.98164,1.99768,2.1697,0.0014258,0.0014258,0.0014258
31,52.5334,1.78681,1.56101,1.87969,0.74767,0.42373,0.48882,0.22373,1.76166,1.4705,1.9932,0.001406,0.001406,0.001406
32,54.1792,1.74308,1.57892,1.87609,0.56439,0.39831,0.41874,0.18342,1.82345,1.63996,2.08283,0.0013862,0.0013862,0.0013862
33,55.8276,1.73103,1.5155,1.85439,0.53097,0.41525,0.3991,0.14293,1.95865,1.77455,2.15464,0.0013664,0.0013664,0.0013664
34,57.4837,1.76882,1.47427,1.87971,0.47058,0.37288,0.36891,0.14599,2.09993,1.82486,2.30493,0.0013466,0.0013466,0.0013466
35,59.1394,1.68246,1.43902,1.78083,0.72376,0.4661,0.53701,0.26431,1.72374,1.35593,1.91472,0.0013268,0.0013268,0.0013268
36,60.8385,1.7097,1.43497,1.81798,0.68821,0.38136,0.47854,0.21908,1.78504,1.50836,2.01548,0.001307,0.001307,0.001307
37,62.4878,1.68254,1.44871,1.7619,0.75125,0.45763,0.51265,0.22046,1.80086,1.44775,1.99813,0.0012872,0.0012872,0.0012872
38,64.1179,1.66013,1.43331,1.79209,0.68867,0.44068,0.50659,0.2272,1.89705,1.47376,2.05608,0.0012674,0.0012674,0.0012674
39,65.7675,1.71452,1.46744,1.78315,0.51518,0.38983,0.32985,0.12897,1.91584,1.85335,2.06781,0.0012476,0.0012476,0.0012476
40,67.4302,1.71804,1.51336,1.78933,0.69981,0.49153,0.5178,0.20417,1.8216,1.49796,2.01655,0.0012278,0.0012278,0.0012278
41,69.0784,1.63989,1.4121,1.76301,0.63901,0.44068,0.52047,0.24752,1.78716,1.438,1.96549,0.001208,0.001208,0.001208
42,70.724,1.666,1.40742,1.80338,0.53473,0.45763,0.42876,0.18797,1.90304,1.50447,2.091,0.0011882,0.0011882,0.0011882
43,72.3774,1.65307,1.4175,1.78749,0.49023,0.4322,0.37374,0.14891,1.97691,1.69249,2.18296,0.0011684,0.0011684,0.0011684
44,74.0277,1.67733,1.38312,1.76779,0.56632,0.42373,0.40135,0.15151,1.94859,1.82485,2.2342,0.0011486,0.0011486,0.0011486
45,75.6852,1.66773,1.41801,1.78145,0.57515,0.42373,0.4467,0.21962,1.82165,1.53729,1.98339,0.0011288,0.0011288,0.0011288
46,77.3381,1.65792,1.40547,1.75981,0.53759,0.45763,0.48403,0.2246,1.87376,1.60641,2.09259,0.001109,0.001109,0.001109
47,78.9868,1.63459,1.35793,1.75514,0.65895,0.44915,0.53332,0.25081,1.7612,1.38178,1.97222,0.0010892,0.0010892,0.0010892
48,80.6371,1.64236,1.36101,1.74909,0.69399,0.44068,0.51793,0.22948,1.77505,1.41843,2.01833,0.0010694,0.0010694,0.0010694
49,82.2754,1.62602,1.34615,1.77766,0.63506,0.39819,0.4572,0.17626,2.01552,1.62356,2.20676,0.0010496,0.0010496,0.0010496
50,83.913,1.56514,1.32027,1.74471,0.65037,0.4661,0.54656,0.24517,1.7715,1.42876,1.988,0.0010298,0.0010298,0.0010298
51,85.5734,1.64416,1.34866,1.77273,0.67862,0.47458,0.5258,0.2339,1.80148,1.37335,1.9995,0.00101,0.00101,0.00101
