epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.56658,3.16071,4.28932,4.24088,0,0,0,0,3.495,4.26013,4.17367,0.00046,0.00046,0.00046
2,8.78942,2.73542,3.36235,3.68215,0,0,0,0,3.68544,4.23189,4.32552,0.000930694,0.000930694,0.000930694
3,12.0175,2.4394,2.94297,3.18044,9e-05,0.00826,0,0,3.99336,4.20317,4.62203,0.00139188,0.00139188,0.00139188
4,15.3936,2.17882,2.69875,2.79247,0,0,0,0,4.19257,4.28961,4.78479,0.00184357,0.00184357,0.00184357
5,18.672,2.03374,2.44082,2.57276,0.83643,0.03306,0.05567,0.0228,3.83529,4.09025,4.29562,0.0019208,0.0019208,0.0019208
6,21.8548,1.95244,2.15461,2.41324,0.40422,0.20661,0.16626,0.06582,2.68992,3.04002,3.09831,0.001901,0.001901,0.001901
7,25.0778,1.8174,1.90734,2.26903,0.49439,0.2314,0.24451,0.08377,2.29641,2.66396,2.78324,0.0018812,0.0018812,0.0018812
8,28.3129,1.75239,1.71879,2.24045,0.62163,0.30579,0.36918,0.12648,2.38495,2.2963,2.70059,0.0018614,0.0018614,0.0018614
9,31.6035,1.68299,1.54961,2.15258,0.49789,0.40496,0.36523,0.12605,2.26863,2.14108,2.60642,0.0018416,0.0018416,0.0018416
10,34.7077,1.63597,1.39996,2.11472,0.47137,0.38843,0.36374,0.13603,2.16435,1.92644,2.50863,0.0018218,0.0018218,0.0018218
11,37.7645,1.50707,1.31775,1.99893,0.58735,0.38819,0.38835,0.14205,2.39649,1.92853,2.71767,0.001802,0.001802,0.001802
12,40.7333,1.45893,1.18956,1.92567,0.55768,0.4064,0.41751,0.14437,2.22233,2.0919,2.61716,0.0017822,0.0017822,0.0017822
13,43.7754,1.46147,1.08392,1.93603,0.58124,0.42975,0.40969,0.16259,2.19437,1.88124,2.67628,0.0017624,0.0017624,0.0017624
14,46.7572,1.39396,1.01977,1.84771,0.6045,0.41322,0.43645,0.15463,2.24572,1.84713,2.64436,0.0017426,0.0017426,0.0017426
15,49.6748,1.33246,0.9455,1.80377,0.62941,0.35095,0.36405,0.15356,2.24685,2.21743,2.62034,0.0017228,0.0017228,0.0017228
16,52.5939,1.29426,0.90573,1.75371,0.54092,0.28926,0.34665,0.12634,2.39083,2.36116,2.91125,0.001703,0.001703,0.001703
17,55.4871,1.21761,0.84818,1.71354,0.59098,0.45455,0.44927,0.17347,2.31474,1.92756,2.82954,0.0016832,0.0016832,0.0016832
18,58.3993,1.19416,0.82422,1.67038,0.66584,0.42818,0.43135,0.16442,2.31452,1.85081,2.82315,0.0016634,0.0016634,0.0016634
19,61.2553,1.16355,0.77207,1.63238,0.70642,0.39669,0.43107,0.1601,2.22821,2.25188,2.67485,0.0016436,0.0016436,0.0016436
20,64.1271,1.13921,0.75893,1.61858,0.72442,0.30417,0.37383,0.13937,2.33286,3.06336,2.7848,0.0016238,0.0016238,0.0016238
21,67.0644,1.0937,0.73476,1.56786,0.69883,0.44109,0.45119,0.18703,2.2162,1.75266,2.86983,0.001604,0.001604,0.001604
22,69.9786,1.0312,0.70974,1.50786,0.62631,0.42939,0.4623,0.18046,2.25677,1.84594,2.96562,0.0015842,0.0015842,0.0015842
23,72.9029,0.98514,0.66332,1.48015,0.64521,0.45092,0.45871,0.17619,2.26982,2.26438,2.82876,0.0015644,0.0015644,0.0015644
24,75.7807,0.97133,0.64651,1.45359,0.59107,0.42149,0.42359,0.18134,2.24147,1.88846,2.80192,0.0015446,0.0015446,0.0015446
25,78.6385,0.98393,0.63145,1.46576,0.76661,0.36364,0.47027,0.19322,2.25286,2.05857,2.89666,0.0015248,0.0015248,0.0015248
26,81.5754,0.93622,0.62173,1.42485,0.68619,0.42975,0.45159,0.17312,2.28899,1.79524,2.89826,0.001505,0.001505,0.001505
27,84.4822,0.95714,0.60919,1.43836,0.68678,0.39868,0.44161,0.1556,2.36613,2.04511,3.38676,0.0014852,0.0014852,0.0014852
28,87.3418,0.88381,0.58686,1.38998,0.70842,0.40162,0.41071,0.15687,2.13781,2.35453,2.82422,0.0014654,0.0014654,0.0014654
29,90.1961,0.83539,0.56565,1.35365,0.72053,0.38843,0.43413,0.18708,2.15293,2.25828,2.73837,0.0014456,0.0014456,0.0014456
30,93.3188,0.81023,0.53851,1.32005,0.83995,0.43375,0.4623,0.19127,2.17763,2.33954,2.82887,0.0014258,0.0014258,0.0014258
31,96.26,0.79827,0.52618,1.31766,0.61597,0.42149,0.41102,0.15727,2.36728,2.13275,3.04368,0.001406,0.001406,0.001406
32,99.1901,0.80102,0.51871,1.30468,0.67554,0.41297,0.41056,0.15986,2.39034,2.11357,3.24821,0.0013862,0.0013862,0.0013862
33,102.064,0.77703,0.50593,1.27821,0.66158,0.40393,0.42031,0.17041,2.25564,2.41923,2.94048,0.0013664,0.0013664,0.0013664
34,104.98,0.75087,0.49734,1.25296,0.66016,0.40139,0.42637,0.16938,2.27527,2.60606,2.91353,0.0013466,0.0013466,0.0013466
35,107.836,0.77729,0.49141,1.28024,0.73653,0.41322,0.44076,0.17137,2.2791,2.35804,2.95274,0.0013268,0.0013268,0.0013268
36,110.763,0.72823,0.46918,1.22702,0.62683,0.40496,0.42828,0.17931,2.28157,2.05633,3.07297,0.001307,0.001307,0.001307
37,113.69,0.66491,0.45309,1.19457,0.61116,0.44628,0.46876,0.18287,2.36303,2.11972,3.348,0.0012872,0.0012872,0.0012872
38,116.605,0.69159,0.45255,1.19354,0.71274,0.45455,0.48896,0.19855,2.26582,1.66718,3.20644,0.0012674,0.0012674,0.0012674
39,119.535,0.68461,0.46038,1.18973,0.78906,0.42149,0.45145,0.18075,2.29989,2.49998,3.05192,0.0012476,0.0012476,0.0012476
40,122.441,0.66013,0.44472,1.16681,0.71788,0.3996,0.45598,0.17892,2.26038,2.14661,3.10466,0.0012278,0.0012278,0.0012278
41,125.344,0.64475,0.42179,1.16112,0.67317,0.42559,0.43373,0.1791,2.22066,2.24433,3.04191,0.001208,0.001208,0.001208
42,128.252,0.61206,0.41809,1.1281,0.66044,0.42975,0.43395,0.17628,2.30668,1.88778,3.29502,0.0011882,0.0011882,0.0011882
43,131.135,0.59148,0.39883,1.11278,0.73944,0.41322,0.45155,0.17641,2.28355,2.45312,3.27131,0.0011684,0.0011684,0.0011684
44,134,0.56584,0.40436,1.08295,0.69468,0.41368,0.41587,0.16667,2.31267,2.48722,3.12841,0.0011486,0.0011486,0.0011486
45,136.881,0.5814,0.40512,1.09389,0.705,0.44628,0.44919,0.17449,2.37127,2.02078,3.27874,0.0011288,0.0011288,0.0011288
46,139.81,0.59005,0.39678,1.10228,0.7241,0.38017,0.42142,0.15914,2.42038,2.6104,3.24695,0.001109,0.001109,0.001109
47,142.696,0.55908,0.38876,1.07414,0.81296,0.38017,0.42718,0.16341,2.29199,2.59305,3.09582,0.0010892,0.0010892,0.0010892
48,145.602,0.55833,0.384,1.06927,0.789,0.39669,0.44842,0.1798,2.31856,2.25267,3.29041,0.0010694,0.0010694,0.0010694
49,148.46,0.54633,0.38087,1.06247,0.81357,0.43281,0.48342,0.18664,2.35738,1.73139,3.3922,0.0010496,0.0010496,0.0010496
50,151.384,0.55197,0.38802,1.07556,0.70296,0.38843,0.43931,0.16615,2.30645,1.91573,3.28893,0.0010298,0.0010298,0.0010298
51,154.22,0.52935,0.37628,1.0536,0.72472,0.41322,0.4649,0.18606,2.2992,1.98157,3.32523,0.00101,0.00101,0.00101
52,157.074,0.50719,0.35612,1.0315,0.7175,0.35537,0.409,0.16364,2.27377,2.58456,3.13446,0.0009902,0.0009902,0.0009902
53,159.941,0.49397,0.35694,1.02397,0.5,0.53719,0.45897,0.18154,2.22818,2.45523,3.08051,0.0009704,0.0009704,0.0009704
54,162.806,0.49576,0.35151,1.0247,0.8906,0.40496,0.48839,0.19702,2.19516,1.907,3.06948,0.0009506,0.0009506,0.0009506
55,165.724,0.47898,0.34185,1.00919,0.70741,0.40496,0.45496,0.17675,2.24994,1.96996,3.22456,0.0009308,0.0009308,0.0009308
56,168.635,0.47073,0.33828,0.99886,0.83681,0.38843,0.4512,0.19112,2.22899,2.22983,3.17091,0.000911,0.000911,0.000911
57,171.516,0.47973,0.33757,1.00419,0.76243,0.39669,0.43547,0.17391,2.32281,2.19139,3.25115,0.0008912,0.0008912,0.0008912
58,174.378,0.46498,0.32953,0.99022,0.77086,0.39669,0.42285,0.18268,2.21294,2.14707,3.04783,0.0008714,0.0008714,0.0008714
59,177.311,0.44468,0.31705,0.97869,0.74434,0.39669,0.42816,0.17455,2.25792,2.23384,3.27352,0.0008516,0.0008516,0.0008516
60,180.169,0.44453,0.31878,0.97362,0.81183,0.39226,0.42816,0.17766,2.26151,2.3508,3.06623,0.0008318,0.0008318,0.0008318
61,183.062,0.43774,0.31017,0.9698,0.85883,0.35537,0.3895,0.16556,2.30626,2.61716,3.22836,0.000812,0.000812,0.000812
62,185.913,0.41264,0.30517,0.9597,0.74365,0.38362,0.41679,0.183,2.2176,2.37181,3.11031,0.0007922,0.0007922,0.0007922
63,188.814,0.40739,0.3013,0.95602,0.735,0.3897,0.41723,0.17897,2.26427,2.08217,3.19723,0.0007724,0.0007724,0.0007724
64,191.683,0.41228,0.29962,0.95662,0.90307,0.38502,0.46655,0.1899,2.26587,1.82661,3.33976,0.0007526,0.0007526,0.0007526
65,194.572,0.37821,0.28633,0.9362,0.75168,0.37529,0.41343,0.17408,2.28079,2.50592,3.11375,0.0007328,0.0007328,0.0007328
66,197.435,0.36765,0.28615,0.93542,0.65959,0.39669,0.44109,0.17879,2.28048,1.98645,3.34112,0.000713,0.000713,0.000713
67,200.38,0.3701,0.28108,0.93097,0.71509,0.3734,0.41172,0.17497,2.26021,2.21536,3.14669,0.0006932,0.0006932,0.0006932
68,203.291,0.37661,0.28225,0.93476,0.7146,0.41386,0.44149,0.18262,2.28068,2.16946,3.29664,0.0006734,0.0006734,0.0006734
