epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.915402,3.22895,4.68547,4.45969,0,0,0,0,3.47681,4.06604,4.16099,0.00022,0.00022,0.00022
2,1.73877,3.05584,3.98821,4.1358,0,0,0,0,3.49347,4.0874,4.17202,0.000455446,0.000455446,0.000455446
3,2.59675,2.80784,3.39381,3.84909,0,0,0,0,3.55099,4.11268,4.21415,0.00068614,0.00068614,0.00068614
4,3.40377,2.57907,3.03661,3.63016,0,0,0,0,3.66586,4.10049,4.30858,0.000912082,0.000912082,0.000912082
5,4.17588,2.43594,2.85535,3.31009,9e-05,0.00826,4e-05,0,3.80796,4.09881,4.44945,0.00113327,0.00113327,0.00113327
6,4.99346,2.23754,2.6449,3.04046,9e-05,0.00826,4e-05,1e-05,3.90549,3.88646,4.56712,0.00134971,0.00134971,0.00134971
7,5.78682,2.12082,2.43908,2.83176,0,0,0,0,3.91051,3.92434,4.62131,0.0015614,0.0015614,0.0015614
8,6.53714,2.0387,2.30565,2.67848,0,0,0,0,3.98576,4.05605,4.71387,0.00176833,0.00176833,0.00176833
9,7.30485,1.93355,2.16385,2.53127,0.00115,0.04959,0.00062,0.00018,3.873,4.02101,4.5546,0.0018416,0.0018416,0.0018416
10,8.11394,1.84506,1.96307,2.43131,0.00284,0.13223,0.04659,0.01541,3.79816,3.82007,4.26369,0.0018218,0.0018218,0.0018218
11,8.91379,1.71275,1.82538,2.30726,0.78802,0.06166,0.10672,0.04465,3.58614,3.30788,3.95119,0.001802,0.001802,0.001802
12,9.71347,1.68866,1.66499,2.27205,0.58898,0.10744,0.13154,0.04252,3.43496,3.11205,3.74578,0.0017822,0.0017822,0.0017822
13,10.4694,1.61887,1.50112,2.18082,0.39181,0.0216,0.10777,0.03703,3.10831,3.26529,3.45496,0.0017624,0.0017624,0.0017624
14,11.2147,1.59026,1.4036,2.14998,0.4185,0.26446,0.26469,0.08786,2.65108,2.46332,3.0509,0.0017426,0.0017426,0.0017426
15,12.0355,1.5851,1.3977,2.14054,0.66932,0.13388,0.30023,0.10973,2.2146,2.82785,2.78308,0.0017228,0.0017228,0.0017228
16,12.8352,1.50134,1.27725,2.03086,0.76295,0.26446,0.36126,0.12699,2.3157,2.73027,2.7644,0.001703,0.001703,0.001703
17,13.638,1.40937,1.13732,1.96374,0.52395,0.38843,0.39223,0.13266,2.2858,2.19775,2.72505,0.0016832,0.0016832,0.0016832
18,14.4151,1.35067,1.08067,1.91041,0.54987,0.47107,0.4531,0.15647,2.41292,1.9001,2.86027,0.0016634,0.0016634,0.0016634
19,15.2373,1.26794,0.99167,1.83038,0.63161,0.38843,0.4126,0.15412,2.30327,2.23044,2.70301,0.0016436,0.0016436,0.0016436
20,15.9818,1.24214,0.97497,1.7877,0.42794,0.34623,0.3224,0.10366,2.65196,1.99386,3.05917,0.0016238,0.0016238,0.0016238
21,16.7134,1.23392,0.95949,1.78438,0.4845,0.36364,0.33937,0.11183,2.62526,1.91124,3.06476,0.001604,0.001604,0.001604
22,17.4348,1.2379,0.91256,1.78258,0.47713,0.41322,0.4004,0.13377,2.3793,1.96881,2.84902,0.0015842,0.0015842,0.0015842
23,18.2038,1.19902,0.88565,1.73824,0.50157,0.3719,0.34221,0.1077,2.5523,2.05241,3.0453,0.0015644,0.0015644,0.0015644
24,18.932,1.16068,0.86754,1.69246,0.41407,0.42975,0.3457,0.12604,2.27456,2.01659,2.8903,0.0015446,0.0015446,0.0015446
25,19.6717,1.11853,0.8514,1.66284,0.8592,0.13223,0.29743,0.09626,2.27586,3.43685,2.82403,0.0015248,0.0015248,0.0015248
26,20.3902,1.09301,0.87227,1.64119,0.59459,0.38017,0.40148,0.1429,2.32468,1.81524,2.84464,0.001505,0.001505,0.001505
27,21.1248,1.08306,0.82642,1.63919,0.59994,0.40902,0.42613,0.14763,2.35406,1.91848,2.83291,0.0014852,0.0014852,0.0014852
28,21.8742,0.99507,0.76382,1.54653,0.55762,0.39669,0.41364,0.14431,2.35991,2.29397,2.86267,0.0014654,0.0014654,0.0014654
29,22.6148,0.94688,0.73775,1.51057,0.63825,0.43802,0.43195,0.14906,2.39052,1.82736,2.8822,0.0014456,0.0014456,0.0014456
30,23.3522,0.8971,0.71256,1.47345,0.65162,0.29752,0.35849,0.11512,2.5755,2.04905,3.24867,0.0014258,0.0014258,0.0014258
31,24.0978,0.85117,0.69404,1.42673,0.61967,0.45455,0.45579,0.15509,2.42969,1.95605,2.97466,0.001406,0.001406,0.001406
32,24.8442,0.80892,0.65802,1.39602,0.73366,0.38703,0.45989,0.16015,2.45614,2.15277,2.99645,0.0013862,0.0013862,0.0013862
33,25.6071,0.81876,0.65589,1.39849,0.84309,0.32231,0.40368,0.14257,2.44645,2.84065,2.95332,0.0013664,0.0013664,0.0013664
34,26.2951,0.82881,0.6401,1.38786,0.67461,0.38017,0.43228,0.16492,2.47973,2.26058,3.05064,0.0013466,0.0013466,0.0013466
35,27.0713,0.74429,0.61962,1.32189,0.76588,0.34711,0.43989,0.15982,2.45435,2.37527,3.00169,0.0013268,0.0013268,0.0013268
36,27.7616,0.71514,0.60826,1.30727,0.69062,0.3321,0.40696,0.13655,2.43274,2.55938,3.03925,0.001307,0.001307,0.001307
37,28.4806,0.78739,0.60294,1.34372,0.56377,0.41322,0.43475,0.16358,2.40894,1.99176,2.87154,0.0012872,0.0012872,0.0012872
38,29.2214,0.78901,0.61476,1.33439,0.57215,0.34711,0.41461,0.14534,2.51919,2.20826,3.15629,0.0012674,0.0012674,0.0012674
39,29.9849,0.73646,0.58106,1.28929,0.66231,0.37283,0.42406,0.15583,2.54923,2.41307,3.17155,0.0012476,0.0012476,0.0012476
40,30.7313,0.7711,0.59121,1.32067,0.61716,0.413,0.46521,0.15498,2.47467,2.15496,3.09522,0.0012278,0.0012278,0.0012278
41,31.4716,0.71261,0.56679,1.26893,0.68471,0.3719,0.45892,0.16942,2.34179,2.38321,2.99207,0.001208,0.001208,0.001208
42,32.2905,0.66825,0.53733,1.23776,0.69375,0.28082,0.41308,0.15704,2.32034,2.75708,2.85976,0.0011882,0.0011882,0.0011882
43,33.038,0.69754,0.53379,1.23566,0.65925,0.34711,0.43905,0.16643,2.3449,2.61304,2.93676,0.0011684,0.0011684,0.0011684
44,33.799,0.68668,0.55355,1.24604,0.59202,0.3719,0.40944,0.14112,2.5295,2.30285,3.23015,0.0011486,0.0011486,0.0011486
45,34.5627,0.66703,0.53808,1.24127,0.70329,0.33304,0.44136,0.17126,2.42175,2.83773,2.9887,0.0011288,0.0011288,0.0011288
46,35.3746,0.6484,0.52114,1.20742,0.6674,0.36364,0.41566,0.14463,2.46905,2.46235,3.22099,0.001109,0.001109,0.001109
47,36.1263,0.60142,0.51803,1.18836,0.57304,0.33884,0.38755,0.1397,2.49571,2.56451,3.23879,0.0010892,0.0010892,0.0010892
48,36.8715,0.58469,0.4977,1.16134,0.68498,0.3774,0.44256,0.15791,2.56857,2.51128,3.24611,0.0010694,0.0010694,0.0010694
49,37.6122,0.56509,0.47631,1.14719,0.64035,0.3719,0.43002,0.15293,2.52805,2.41332,3.20916,0.0010496,0.0010496,0.0010496
50,38.3366,0.5484,0.47313,1.1317,0.65381,0.37462,0.42807,0.15658,2.40896,2.60703,3.08894,0.0010298,0.0010298,0.0010298
51,39.0665,0.53397,0.4626,1.11082,0.6475,0.34919,0.41607,0.15749,2.38251,2.70141,3.09475,0.00101,0.00101,0.00101
52,39.7976,0.51828,0.45388,1.10662,0.6412,0.33971,0.42578,0.16288,2.36256,2.31432,3.04427,0.0009902,0.0009902,0.0009902
53,40.5287,0.50751,0.45027,1.09763,0.73669,0.33058,0.43128,0.17897,2.32449,2.75519,2.94612,0.0009704,0.0009704,0.0009704
54,41.3445,0.48681,0.4358,1.07695,0.72846,0.35474,0.43845,0.17924,2.31494,2.54859,2.98433,0.0009506,0.0009506,0.0009506
55,42.149,0.46894,0.42535,1.06014,0.63765,0.38017,0.45157,0.16768,2.45759,2.46369,3.13727,0.0009308,0.0009308,0.0009308
56,42.9001,0.46531,0.41208,1.0543,0.76645,0.29752,0.42678,0.16567,2.5228,2.63559,3.23258,0.000911,0.000911,0.000911
57,43.6393,0.45846,0.40907,1.03927,0.71538,0.35316,0.42771,0.15959,2.50568,2.3831,3.25521,0.0008912,0.0008912,0.0008912
58,44.3626,0.43972,0.40378,1.03035,0.66966,0.36364,0.45005,0.17757,2.4313,2.47411,3.11619,0.0008714,0.0008714,0.0008714
59,45.1177,0.44762,0.39159,1.0339,0.70977,0.36364,0.4888,0.18357,2.4041,2.69671,3.05393,0.0008516,0.0008516,0.0008516
60,45.9301,0.43769,0.39526,1.01456,0.69797,0.3719,0.47136,0.18844,2.39015,2.5802,3.12468,0.0008318,0.0008318,0.0008318
61,46.7257,0.41715,0.3858,1.01069,0.70639,0.3719,0.47399,0.18534,2.40362,2.4809,3.13057,0.000812,0.000812,0.000812
62,47.4679,0.42575,0.38667,1.01396,0.6518,0.38678,0.46498,0.18691,2.32585,2.52027,3.05895,0.0007922,0.0007922,0.0007922
63,48.1941,0.4061,0.37873,0.9936,0.62755,0.3719,0.43979,0.16485,2.43062,2.29557,3.16972,0.0007724,0.0007724,0.0007724
64,48.9311,0.40333,0.37402,0.98843,0.68512,0.38017,0.46309,0.19445,2.32133,2.48145,3.0594,0.0007526,0.0007526,0.0007526
65,49.7299,0.40858,0.36867,0.98993,0.71006,0.38459,0.479,0.19176,2.3771,2.55134,3.08542,0.0007328,0.0007328,0.0007328
66,50.4745,0.40372,0.36662,0.99009,0.774,0.38843,0.48658,0.19989,2.3454,2.4424,3.11877,0.000713,0.000713,0.000713
67,51.2767,0.38486,0.3614,0.97648,0.76775,0.34711,0.48107,0.19047,2.40911,2.7081,3.08293,0.0006932,0.0006932,0.0006932
68,52.0549,0.37537,0.35573,0.97573,0.70049,0.39669,0.47428,0.18601,2.37303,2.53158,3.09992,0.0006734,0.0006734,0.0006734
69,52.7794,0.37045,0.34696,0.95972,0.6769,0.40496,0.46734,0.1805,2.40242,2.2871,3.23523,0.0006536,0.0006536,0.0006536
70,53.5261,0.35318,0.3407,0.95823,0.63178,0.3719,0.45004,0.18694,2.40548,2.51477,3.18502,0.0006338,0.0006338,0.0006338
71,54.2554,0.35217,0.33097,0.94733,0.68918,0.39669,0.47747,0.19384,2.40002,2.52669,3.21166,0.000614,0.000614,0.000614
72,55.012,0.34067,0.32853,0.94079,0.71273,0.36911,0.4713,0.18703,2.4049,2.66327,3.17949,0.0005942,0.0005942,0.0005942
73,55.741,0.34335,0.32787,0.94169,0.61523,0.40496,0.46156,0.18103,2.29809,2.42119,3.05893,0.0005744,0.0005744,0.0005744
74,56.498,0.34311,0.33308,0.94344,0.69925,0.38843,0.47264,0.18455,2.33204,2.48455,3.10965,0.0005546,0.0005546,0.0005546
75,57.2399,0.33308,0.31936,0.93278,0.73252,0.36215,0.47299,0.18832,2.37699,2.64478,3.12592,0.0005348,0.0005348,0.0005348
76,57.9859,0.31036,0.31191,0.9259,0.68575,0.33884,0.44609,0.18246,2.35501,2.59602,3.1648,0.000515,0.000515,0.000515
77,58.7204,0.31298,0.30916,0.92373,0.74286,0.35537,0.46735,0.18078,2.38621,2.66487,3.20185,0.0004952,0.0004952,0.0004952
78,59.4449,0.30767,0.30334,0.92007,0.72094,0.38435,0.47813,0.18993,2.36443,2.52563,3.21863,0.0004754,0.0004754,0.0004754
79,60.1321,0.30124,0.30068,0.9205,0.70744,0.35537,0.46971,0.18729,2.36335,2.5372,3.1839,0.0004556,0.0004556,0.0004556
80,60.8265,0.30689,0.30028,0.92282,0.609,0.34756,0.45926,0.18299,2.32179,2.52183,3.10824,0.0004358,0.0004358,0.0004358
81,61.5096,0.29379,0.29702,0.90901,0.6809,0.36364,0.469,0.18774,2.33055,2.60553,3.09045,0.000416,0.000416,0.000416
82,62.1926,0.2858,0.29479,0.90657,0.73638,0.35537,0.47348,0.18747,2.3769,2.65974,3.09349,0.0003962,0.0003962,0.0003962
83,62.9119,0.27856,0.28717,0.90087,0.75253,0.36364,0.47859,0.19008,2.39543,2.53529,3.1373,0.0003764,0.0003764,0.0003764
84,63.653,0.28874,0.29434,0.9098,0.67322,0.38843,0.46304,0.18255,2.41334,2.29806,3.21522,0.0003566,0.0003566,0.0003566
85,64.3955,0.27416,0.28527,0.90093,0.68896,0.3719,0.46338,0.18497,2.38142,2.38083,3.18297,0.0003368,0.0003368,0.0003368
86,65.1436,0.25984,0.27909,0.89738,0.76084,0.35537,0.46766,0.18532,2.41891,2.64812,3.19564,0.000317,0.000317,0.000317
87,65.8879,0.26897,0.27692,0.89373,0.70872,0.35537,0.47477,0.19213,2.41174,2.53326,3.18509,0.0002972,0.0002972,0.0002972
88,66.6138,0.2585,0.27396,0.89437,0.68591,0.36364,0.4677,0.18448,2.39405,2.4575,3.17302,0.0002774,0.0002774,0.0002774
89,67.35,0.26171,0.27314,0.89911,0.72493,0.37028,0.46859,0.17963,2.39291,2.58256,3.17723,0.0002576,0.0002576,0.0002576
90,68.0645,0.25526,0.26932,0.88791,0.71589,0.35537,0.46986,0.18151,2.40639,2.65361,3.18164,0.0002378,0.0002378,0.0002378
91,69.314,0.24234,0.25833,0.88287,0.71714,0.35537,0.46698,0.17993,2.40211,2.62023,3.17736,0.000218,0.000218,0.000218
92,70.1376,0.23363,0.26159,0.88153,0.69611,0.3719,0.46159,0.18601,2.40127,2.55406,3.17565,0.0001982,0.0001982,0.0001982
93,70.8996,0.23779,0.26421,0.88031,0.71647,0.36364,0.47691,0.19102,2.41703,2.59776,3.21609,0.0001784,0.0001784,0.0001784
94,71.6732,0.23737,0.26099,0.88204,0.71187,0.36364,0.48511,0.19313,2.40189,2.62183,3.20355,0.0001586,0.0001586,0.0001586
95,72.4279,0.23391,0.2622,0.87858,0.70839,0.36364,0.47289,0.18795,2.38941,2.67476,3.17833,0.0001388,0.0001388,0.0001388
96,73.1751,0.22759,0.25978,0.87703,0.69657,0.34711,0.4765,0.18932,2.39885,2.64252,3.1911,0.000119,0.000119,0.000119
97,73.9179,0.22619,0.25516,0.87152,0.72061,0.35537,0.47292,0.19351,2.39843,2.6219,3.18815,9.92e-05,9.92e-05,9.92e-05
98,74.6735,0.21531,0.25121,0.87112,0.73314,0.34711,0.46904,0.19265,2.39304,2.64845,3.17075,7.94e-05,7.94e-05,7.94e-05
99,75.4282,0.2126,0.24648,0.86842,0.71219,0.35537,0.46755,0.19207,2.37716,2.67542,3.15497,5.96e-05,5.96e-05,5.96e-05
