epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.46628,3.08839,4.46442,4.31609,0,0,0,0,3.63807,4.16375,4.16433,0.00046,0.00046,0.00046
2,2.84377,2.62027,3.45432,3.64335,9e-05,0.01111,4e-05,1e-05,3.78419,4.26569,4.28119,0.000930694,0.000930694,0.000930694
3,4.20156,2.21432,2.98827,3.05484,0.00017,0.02222,9e-05,1e-05,3.96474,4.06977,4.50431,0.00139188,0.00139188,0.00139188
4,5.55092,2.065,2.61584,2.6774,0.0001,0.01111,5e-05,0,3.91743,4.15472,4.44368,0.00184357,0.00184357,0.00184357
5,6.74695,2.00593,2.26617,2.55859,0.2156,0.1,0.1079,0.03637,3.46619,3.56125,3.88559,0.0019208,0.0019208,0.0019208
6,7.98524,1.90711,2.12224,2.41596,0.3076,0.23333,0.20466,0.07248,2.96775,2.62468,3.34211,0.001901,0.001901,0.001901
7,9.21442,1.74933,1.87642,2.2701,0.41538,0.27778,0.26965,0.09798,2.73979,2.45176,3.10673,0.0018812,0.0018812,0.0018812
8,10.4356,1.70297,1.7713,2.20656,0.34911,0.33333,0.28083,0.0949,2.17017,2.27247,2.67393,0.0018614,0.0018614,0.0018614
9,11.6036,1.64707,1.54139,2.1338,0.58565,0.46667,0.51561,0.19075,2.13528,2.03219,2.56636,0.0018416,0.0018416,0.0018416
10,12.8292,1.53142,1.38076,2.04016,0.66473,0.47778,0.54927,0.23465,1.95153,1.94655,2.42905,0.0018218,0.0018218,0.0018218
11,14.0606,1.50341,1.20336,1.9987,0.70669,0.45511,0.54395,0.18097,2.29811,1.98886,2.73639,0.001802,0.001802,0.001802
12,15.3086,1.46737,1.18534,1.96299,0.48782,0.34444,0.36119,0.14034,2.24601,2.9254,2.81471,0.0017822,0.0017822,0.0017822
13,16.5847,1.40036,1.11256,1.90412,0.58979,0.64444,0.58476,0.20947,2.3884,1.77579,3.05115,0.0017624,0.0017624,0.0017624
14,17.8588,1.37581,1.01483,1.85992,0.60975,0.55555,0.54739,0.22679,2.10423,2.04831,2.50703,0.0017426,0.0017426,0.0017426
15,19.1209,1.2944,0.92896,1.80231,0.55959,0.49416,0.51708,0.19548,2.38072,1.94489,3.10618,0.0017228,0.0017228,0.0017228
16,20.4439,1.28871,0.89788,1.78044,0.67474,0.54444,0.55742,0.245,2.15431,1.85817,2.74883,0.001703,0.001703,0.001703
17,21.7464,1.25883,0.87,1.76201,0.66183,0.47842,0.49832,0.18762,2.16881,2.09306,2.81629,0.0016832,0.0016832,0.0016832
18,23.0154,1.13807,0.80521,1.66708,0.6172,0.53333,0.56277,0.25188,2.01879,2.03399,2.5586,0.0016634,0.0016634,0.0016634
19,24.2999,1.13528,0.78243,1.6534,0.71454,0.52222,0.53733,0.20717,2.15384,1.95327,2.73642,0.0016436,0.0016436,0.0016436
20,25.498,1.06072,0.73208,1.57213,0.62451,0.57291,0.5029,0.22287,2.08303,1.85503,2.75553,0.0016238,0.0016238,0.0016238
21,26.7084,1.02831,0.68574,1.53878,0.73728,0.57778,0.61625,0.27475,2.1452,1.79878,2.74537,0.001604,0.001604,0.001604
22,28.0246,0.98953,0.66449,1.5154,0.73635,0.5276,0.59508,0.24962,2.12933,2.22865,2.72526,0.0015842,0.0015842,0.0015842
23,29.2944,0.92683,0.64013,1.46733,0.69078,0.59576,0.58654,0.26017,2.04668,1.92069,2.77633,0.0015644,0.0015644,0.0015644
24,30.4879,0.92356,0.64693,1.45427,0.65454,0.38889,0.40858,0.16371,2.30225,2.91979,3.04615,0.0015446,0.0015446,0.0015446
25,31.7215,0.92039,0.60944,1.44967,0.70274,0.58889,0.59119,0.24999,2.22827,1.99708,2.96491,0.0015248,0.0015248,0.0015248
26,32.9591,0.90535,0.58874,1.43639,0.66732,0.56667,0.58676,0.22681,2.16985,2.01675,2.82814,0.001505,0.001505,0.001505
27,34.4046,0.85222,0.57053,1.39495,0.66635,0.6,0.57486,0.23431,2.26748,1.80369,2.93853,0.0014852,0.0014852,0.0014852
28,35.6586,0.86658,0.57162,1.40204,0.77515,0.45971,0.52053,0.23912,2.08064,1.93434,2.94331,0.0014654,0.0014654,0.0014654
29,36.929,0.83096,0.55262,1.35122,0.59668,0.46667,0.42993,0.18651,2.2403,2.16267,3.12774,0.0014456,0.0014456,0.0014456
30,38.1142,0.83367,0.53899,1.35441,0.75867,0.52397,0.55689,0.25581,2.07728,2.0129,2.93374,0.0014258,0.0014258,0.0014258
31,39.288,0.769,0.52109,1.31187,0.68185,0.57778,0.58546,0.23176,2.25076,2.24967,2.99263,0.001406,0.001406,0.001406
32,40.4886,0.72443,0.50073,1.25732,0.75308,0.38889,0.43384,0.20097,2.1707,2.75723,2.78743,0.0013862,0.0013862,0.0013862
33,41.6657,0.71869,0.49705,1.25207,0.65526,0.51111,0.50795,0.23965,2.12226,2.30254,2.93513,0.0013664,0.0013664,0.0013664
34,42.8219,0.68544,0.48349,1.21977,0.65381,0.58889,0.57314,0.25576,2.15596,2.19441,3.06084,0.0013466,0.0013466,0.0013466
35,44.0204,0.70885,0.48593,1.24398,0.75659,0.45556,0.52072,0.24327,2.13796,2.47368,2.91233,0.0013268,0.0013268,0.0013268
36,45.3061,0.70261,0.48346,1.2455,0.56384,0.51714,0.51188,0.24516,2.16292,2.09474,3.35581,0.001307,0.001307,0.001307
37,46.5778,0.6637,0.45621,1.21745,0.74202,0.54444,0.60236,0.29072,2.12183,2.11278,2.98802,0.0012872,0.0012872,0.0012872
38,47.8902,0.63161,0.44066,1.17674,0.84802,0.49605,0.57854,0.27384,2.13894,2.47372,2.92453,0.0012674,0.0012674,0.0012674
39,49.1219,0.65694,0.44636,1.18229,0.83016,0.4888,0.54863,0.25509,2.11201,2.4429,2.92726,0.0012476,0.0012476,0.0012476
40,50.2902,0.63613,0.44608,1.16667,0.63598,0.58889,0.55504,0.22576,2.25811,2.02006,3.27216,0.0012278,0.0012278,0.0012278
41,51.4568,0.6335,0.43709,1.17169,0.79554,0.56208,0.59535,0.28861,2.12697,1.99098,3.0325,0.001208,0.001208,0.001208
42,52.63,0.61821,0.4284,1.16188,0.72612,0.6,0.61296,0.29715,2.18849,1.87733,3.1961,0.0011882,0.0011882,0.0011882
43,53.9086,0.57497,0.40499,1.11702,0.67775,0.58889,0.61399,0.30927,2.12075,2.05981,3.15344,0.0011684,0.0011684,0.0011684
44,55.1446,0.57799,0.40791,1.12209,0.75778,0.5,0.53993,0.2626,2.0491,2.44592,2.9083,0.0011486,0.0011486,0.0011486
