epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.94023,2.38117,3.88742,2.284,0.00619,0.70248,0.05813,0.01098,1.80029,3.64989,1.63384,0.00046,0.00046,0.00046
2,9.14847,1.6809,2.54388,1.83096,0.00501,0.55372,0.07957,0.02201,2.08274,3.68913,2.37609,0.000930694,0.000930694,0.000930694
3,12.2224,1.53131,2.03191,1.69905,0.78586,0.15172,0.28048,0.11403,1.67961,2.96183,1.66765,0.00139188,0.00139188,0.00139188
4,15.4466,1.43995,1.75171,1.61686,0.43799,0.39934,0.36716,0.14074,1.85769,2.50845,1.8863,0.00184357,0.00184357,0.00184357
5,18.6121,1.36562,1.55786,1.52227,0.32711,0.33884,0.30733,0.0961,2.07091,2.41908,2.13021,0.0019208,0.0019208,0.0019208
6,22.0822,1.29948,1.35324,1.48659,0.51031,0.44628,0.3859,0.12075,2.02312,2.39624,2.10215,0.001901,0.001901,0.001901
7,25.4481,1.14997,1.1715,1.40074,0.38437,0.43802,0.33151,0.11216,2.01841,2.34849,1.9526,0.0018812,0.0018812,0.0018812
8,28.6399,1.10422,1.01928,1.30315,0.58485,0.45407,0.40478,0.15137,2.1972,2.20728,2.30508,0.0018614,0.0018614,0.0018614
9,31.7532,1.01601,0.95602,1.27239,0.725,0.46281,0.53827,0.19684,2.09549,1.84198,2.12587,0.0018416,0.0018416,0.0018416
10,34.8454,0.91178,0.83272,1.19353,0.52792,0.40496,0.39364,0.12659,2.22501,2.19864,2.45385,0.0018218,0.0018218,0.0018218
11,37.9241,0.80897,0.72976,1.13129,0.46259,0.49587,0.33593,0.12872,2.14402,2.2466,2.21454,0.001802,0.001802,0.001802
12,41.0519,0.7582,0.66366,1.07631,0.6722,0.44628,0.4665,0.1676,2.19227,2.28003,2.42254,0.0017822,0.0017822,0.0017822
13,44.2719,0.75978,0.63323,1.0889,0.63196,0.4876,0.55342,0.20988,2.0766,2.03102,2.27165,0.0017624,0.0017624,0.0017624
14,47.3772,0.68884,0.58951,1.03442,0.61607,0.50413,0.51832,0.17912,2.13172,2.10616,2.39292,0.0017426,0.0017426,0.0017426
15,50.5151,0.63152,0.53033,0.9959,0.51647,0.48553,0.40338,0.14846,2.12622,1.95466,2.31496,0.0017228,0.0017228,0.0017228
16,53.5972,0.63407,0.53351,0.99118,0.69726,0.47934,0.49456,0.18869,2.09269,1.87616,2.33689,0.001703,0.001703,0.001703
17,56.683,0.56057,0.50713,0.95721,0.64579,0.51231,0.52464,0.19916,2.11261,1.75717,2.43238,0.0016832,0.0016832,0.0016832
18,59.7362,0.53772,0.49359,0.93056,0.62457,0.49496,0.52547,0.19795,2.11142,2.21605,2.3202,0.0016634,0.0016634,0.0016634
