hm_sigma,lambda_size,lr,hm_thresh,best_val_loss,global_iou,pixel_precision,pixel_recall,pixel_f1,mean_image_iou
1.5,0.5,0.0005,0.1,1.055172,0.08987699820136344,0.09163150977871164,0.8243745624155647,0.16493053500475466,0.09003099443099877
1.5,0.5,0.0005,0.2,1.055172,0.19651098997891092,0.2864174889043759,0.3850052756658679,0.3284733556561391,0.1947311888803565
1.5,0.5,0.0005,0.3,1.055172,0.17958973316686508,0.40495286107110123,0.24397242848267905,0.3044952463001139,0.1884994458741861
1.5,0.5,0.001,0.1,0.867938,0.12131815242909451,0.1282425673366678,0.6920095849480815,0.21638488981255644,0.12340992222177691
1.5,0.5,0.001,0.2,0.867938,0.2684139791711759,0.3541236394546529,0.5258409016951158,0.4232277215149687,0.25761248415061905
1.5,0.5,0.001,0.3,0.867938,0.27455455609045054,0.43842455054975343,0.4234831227997515,0.4308243296114605,0.2622831038098531
1.5,1.0,0.0005,0.1,1.112099,0.07987737115946829,0.08176910942444256,0.7754144109497184,0.14793785533945147,0.07797262375673482
1.5,1.0,0.0005,0.2,1.112099,0.20676493975166677,0.3525473223131877,0.3333431943910304,0.3426764118523625,0.21123507288402982
1.5,1.0,0.0005,0.3,1.112099,0.20046072298067738,0.47823769437194424,0.25657486021950715,0.3339729807784873,0.21011293192141764
1.5,1.0,0.001,0.1,0.878968,0.12643037072678567,0.13202934835524027,0.7488289993984755,0.22447969091105266,0.1262581951514606
1.5,1.0,0.001,0.2,0.878968,0.2742552361129179,0.36735646925162574,0.5197270459229457,0.4304557334204508,0.2442870600258645
1.5,1.0,0.001,0.3,0.878968,0.28898399339182695,0.45913548480433186,0.4381366545375657,0.44839035220506607,0.2728879702463979
1.5,2.0,0.0005,0.1,1.245148,0.0813016477890799,0.08270172907823221,0.8276582946286819,0.15037736778690028,0.08092097301162424
1.5,2.0,0.0005,0.2,1.245148,0.1995004511892951,0.287496048509929,0.3946000848050962,0.33263922659052275,0.19397423004599884
1.5,2.0,0.0005,0.3,1.245148,0.2136771179345918,0.4039129103068048,0.3120926150538907,0.3521152615915223,0.21403832073466708
1.5,2.0,0.001,0.1,1.043863,0.09923691229620744,0.10274437073106964,0.7440463864154069,0.18055600423553902,0.09701997493469391
1.5,2.0,0.001,0.2,1.043863,0.26385132046655946,0.36721726179338837,0.48383279590568884,0.41753537966658444,0.2557291773369249
1.5,2.0,0.001,0.3,1.043863,0.24898208180231815,0.4700997790129244,0.34612312516640537,0.3986960028169974,0.2168268191975932
2.0,0.5,0.0005,0.1,1.248589,0.08332068082190715,0.08462196934950734,0.8441952883866324,0.15382459191805029,0.0815585301592107
2.0,0.5,0.0005,0.2,1.248589,0.2080095541401274,0.3105801236329054,0.386444990089637,0.3443839552878215,0.20318818103289857
2.0,0.5,0.0005,0.3,1.248589,0.19530734345391446,0.41066392084881587,0.27136644676508004,0.3267901674385465,0.2023716666472396
2.0,0.5,0.001,0.1,0.885595,0.11938608338090398,0.12403683880611409,0.7609975445966334,0.21330635632045708,0.12286249528754929
2.0,0.5,0.001,0.2,0.885595,0.2387275760096512,0.2995071415301562,0.5405240166060211,0.38543999606220314,0.24627735953152746
2.0,0.5,0.001,0.3,0.885595,0.2633659990541239,0.37320376546865747,0.4722559141693538,0.4169274766794496,0.2547556025957883
2.0,1.0,0.0005,0.1,1.260336,0.08220520242953083,0.08373402974622168,0.8182607066433946,0.15192165449765285,0.0803861788351958
2.0,1.0,0.0005,0.2,1.260336,0.17748275243423092,0.28344446759741615,0.3219240895778481,0.30146132003601356,0.18396562156950355
2.0,1.0,0.0005,0.3,1.260336,0.15408327343593695,0.38267878832492913,0.20505083375242827,0.26702279979710686,0.1766528021832825
2.0,1.0,0.001,0.1,0.8892,0.11835298775322471,0.12191914739212704,0.8018321845201116,0.2116558708194562,0.11533677309312604
2.0,1.0,0.001,0.2,0.8892,0.25591052685213495,0.3461978549174226,0.4952716228342652,0.40752986997180357,0.2364786295961047
2.0,1.0,0.001,0.3,0.8892,0.25274845410132896,0.4514566069053053,0.3647703852715242,0.4035103029245253,0.2439494133151333
2.0,2.0,0.0005,0.1,1.183655,0.08179949173641891,0.08353298854942913,0.797641234998866,0.1512285638166105,0.0810893208597403
2.0,2.0,0.0005,0.2,1.183655,0.22646858828817407,0.35270361229526587,0.3875395674940094,0.36930189725325846,0.21433278296125313
2.0,2.0,0.0005,0.3,1.183655,0.2176245925787681,0.4017472622123785,0.3219635338086363,0.35745761691272665,0.21754761715034535
2.0,2.0,0.001,0.1,0.91407,0.11681437503809267,0.12189307041775789,0.7370943407389877,0.20919210506062536,0.11511243481846584
2.0,2.0,0.001,0.2,0.91407,0.2508969079360648,0.32206791506137444,0.5316983699671627,0.40114721899830375,0.24771521751764353
2.0,2.0,0.001,0.3,0.91407,0.25475053216343907,0.4269848694157702,0.3870859588399452,0.40605765948423,0.23783706637104066
2.5,0.5,0.0005,0.1,1.225643,0.08934520956118558,0.09038562925341179,0.8858681182143596,0.164034704108491,0.08784018054477248
2.5,0.5,0.0005,0.2,1.225643,0.2784633122039533,0.3442433400876922,0.5930440099005019,0.4356219056828594,0.2965806286373174
2.5,0.5,0.0005,0.3,1.225643,0.27079364644291254,0.4702116773556394,0.389689278071966,0.4261803593382655,0.2691700767788153
2.5,0.5,0.001,0.1,0.842952,0.12002155825012521,0.12948785910064065,0.6214635781833959,0.21432008583413675,0.12129619939196343
2.5,0.5,0.001,0.2,0.842952,0.2468178831317384,0.39189280573454544,0.40002366653847293,0.3959164950566557,0.22743911434644373
2.5,0.5,0.001,0.3,0.842952,0.2531821012246319,0.4409422191125882,0.37287617469849815,0.40406274710948686,0.22521975343186304
2.5,1.0,0.0005,0.1,1.302373,0.08285991672671951,0.08443362454589402,0.8163673835655613,0.15303903200552357,0.08191518230006145
2.5,1.0,0.0005,0.2,1.302373,0.21056886114975373,0.2868906519136075,0.44181482905856484,0.34788415249631177,0.21684184751437344
2.5,1.0,0.0005,0.3,1.302373,0.21057470039237108,0.39358019772393354,0.31170803380370576,0.3478921215256186,0.22793481516021477
2.5,1.0,0.001,0.1,0.792618,0.13016793037631114,0.14332574141691673,0.5864173791280852,0.23035148472664452,0.13226341333485636
2.5,1.0,0.001,0.2,0.792618,0.2353451948850429,0.34186219593403583,0.4303069747261091,0.38101932295441243,0.22441095048286375
2.5,1.0,0.001,0.3,0.792618,0.22133514407017976,0.4209606303321245,0.31821633188375786,0.3624478426659628,0.20134787902626658
2.5,2.0,0.0005,0.1,1.237724,0.0897590404993303,0.09112277151948167,0.8570935518543719,0.16473190340903707,0.09035825009909577
2.5,2.0,0.0005,0.2,1.237724,0.23276056566823394,0.30027126458192654,0.5086629391868572,0.37762493731629554,0.22437861306468224
2.5,2.0,0.0005,0.3,1.237724,0.20277891241616486,0.37925723298339004,0.30351349485745843,0.3371840166516036,0.21655730299868714
2.5,2.0,0.001,0.1,0.818584,0.11711745869253724,0.12239092786636796,0.7310495123706969,0.2096779667728232,0.11556507304614483
2.5,2.0,0.001,0.2,0.818584,0.2625443948638557,0.35029667280938015,0.5117297281306393,0.4158972879399885,0.2656611492223431
2.5,2.0,0.001,0.3,0.818584,0.27908366930796974,0.46089550929074435,0.41434192231458744,0.436380630923017,0.28116021075595493
