seed,config,bbox_P,bbox_R,bbox_F1,attn_band_iou,attn_gap
0,none,0.75,0.5,0.6,nan,nan
0,abs,0.7297297297297297,0.375,0.49541284403669716,0.2086994784454309,0.27320363003915793
0,soft,0.8717948717948718,0.4722222222222222,0.6126126126126126,0.15823211875843454,0.40748169738799334
1,none,0.8461538461538461,0.55,0.6666666666666667,nan,nan
1,abs,0.9696969696969697,0.5333333333333333,0.6881720430107527,0.20470995067553077,0.24679162262085202
1,soft,0.7575757575757576,0.4166666666666667,0.5376344086021506,0.14540978203107308,0.41273861750960344
2,none,0.8260869565217391,0.5507246376811594,0.6608695652173914,nan,nan
2,abs,0.6417910447761194,0.6231884057971014,0.6323529411764706,0.20608263387522185,0.24143078713677824
2,soft,0.6774193548387096,0.6086956521739131,0.6412213740458016,0.15216616173118108,0.3987111750369271
3,none,0.8367346938775511,0.5616438356164384,0.6721311475409836,nan,nan
3,abs,0.8148148148148148,0.6027397260273972,0.6929133858267718,0.22512764969828253,0.2960644718065547
3,soft,0.7288135593220338,0.589041095890411,0.6515151515151515,0.1564731434707275,0.4565751670549313
4,none,0.4148936170212766,0.5652173913043478,0.4785276073619632,nan,nan
4,abs,0.66,0.4782608695652174,0.5546218487394958,0.1773491177703945,0.21157899654159945
4,soft,0.6304347826086957,0.42028985507246375,0.5043478260869565,0.1295932195993532,0.3617832611004511
