seed,config,bbox_P,bbox_R,bbox_F1,attn_band_iou,attn_gap
0,abs,0.72,0.5,0.5901639344262295,0.194528473427556,0.2363463125463265
0,rel,0.7441860465116279,0.4444444444444444,0.5565217391304347,0.15668975097135265,0.4167466470971704
1,abs,0.7959183673469388,0.65,0.7155963302752293,0.2134840068952308,0.2620070371582794
1,rel,0.6964285714285714,0.65,0.6724137931034482,0.16611567086698506,0.45928475105514127
2,abs,0.7647058823529411,0.5652173913043478,0.65,0.21384798536261876,0.2549818590826665
2,rel,0.75,0.6521739130434783,0.6976744186046512,0.1629526603277362,0.43273938354104763
3,abs,0.7058823529411765,0.6575342465753424,0.6808510638297872,0.2313053726733317,0.31410521682118997
3,rel,0.7735849056603774,0.5616438356164384,0.6507936507936508,0.1575833400982747,0.47120251894618076
4,abs,0.6440677966101694,0.5507246376811594,0.5937500000000001,0.1891750629216555,0.23478592780884355
4,rel,0.5714285714285714,0.463768115942029,0.5119999999999999,0.123237162575716,0.3807207085192204
