seed,config,bbox_P,bbox_R,bbox_F1,attn_band_iou
0,with_attn,0.8478260869565217,0.5416666666666666,0.6610169491525423,0.2050337438469862
0,no_attn,0.8666666666666667,0.5416666666666666,0.6666666666666667,nan
1,with_attn,0.7391304347826086,0.5666666666666667,0.6415094339622641,0.21818607921256153
1,no_attn,0.9047619047619048,0.6333333333333333,0.7450980392156863,nan
2,with_attn,0.7241379310344828,0.6086956521739131,0.6614173228346457,0.24919069383827622
2,no_attn,0.5915492957746479,0.6086956521739131,0.6,nan
3,with_attn,0.6578947368421053,0.684931506849315,0.6711409395973155,0.2239671495967716
3,no_attn,0.6307692307692307,0.5616438356164384,0.5942028985507246,nan
4,with_attn,0.68,0.4927536231884058,0.5714285714285715,0.2054087986291376
4,no_attn,0.5666666666666667,0.4927536231884058,0.5271317829457365,nan
