seed,config,lam_att,bbox_P,bbox_R,bbox_F1,attn_band_iou,attn_gap
0,none,0.3,0.21263157894736842,0.6733333333333333,0.3232,nan,nan
0,abs,0.3,0.2857142857142857,0.8533333333333334,0.4280936454849498,0.265648952000658,0.3337647590639168
1,none,0.3,0.24421052631578946,0.90625,0.384742951907131,nan,nan
1,abs,0.3,0.27455357142857145,0.9609375,0.4270833333333334,0.2581079833871712,0.30521617310954946
2,none,0.3,0.26018099547511314,0.8778625954198473,0.4013961605584643,nan,nan
2,abs,0.3,0.2860635696821516,0.8931297709923665,0.4333333333333333,0.298071682634387,0.39649477123380883
3,none,0.3,0.2937219730941704,0.8851351351351351,0.44107744107744107,nan,nan
3,abs,0.3,0.32904884318766064,0.8648648648648649,0.4767225325884544,0.28617571059431524,0.3837117983591988
4,none,0.3,0.24261603375527427,0.8518518518518519,0.37766830870279144,nan,nan
4,abs,0.3,0.32320441988950277,0.8666666666666667,0.47082494969818917,0.2429090258698212,0.30040613851559006
0,none,0.5,0.21263157894736842,0.6733333333333333,0.3232,nan,nan
0,abs,0.5,0.23157894736842105,0.7333333333333333,0.35200000000000004,0.2453939091660277,0.29917443151659284
1,none,0.5,0.24421052631578946,0.90625,0.384742951907131,nan,nan
1,abs,0.5,0.25862068965517243,0.9375,0.40540540540540543,0.28889568180387853,0.3480862309984667
2,none,0.5,0.26018099547511314,0.8778625954198473,0.4013961605584643,nan,nan
2,abs,0.5,0.29949238578680204,0.9007633587786259,0.44952380952380955,0.31004459634059933,0.36264279871370253
3,none,0.5,0.2937219730941704,0.8851351351351351,0.44107744107744107,nan,nan
3,abs,0.5,0.32891246684350134,0.8378378378378378,0.47238095238095235,0.2974815837003064,0.36268304834191345
4,none,0.5,0.24261603375527427,0.8518518518518519,0.37766830870279144,nan,nan
4,abs,0.5,0.32460732984293195,0.9185185185185185,0.4796905222437137,0.2648724356132361,0.32871411427806474
0,none,1,0.21263157894736842,0.6733333333333333,0.3232,nan,nan
0,abs,1,0.27912087912087913,0.8466666666666667,0.4198347107438017,0.32232397919366373,0.4344632559492694
1,none,1,0.24421052631578946,0.90625,0.384742951907131,nan,nan
1,abs,1,0.09052631578947369,0.3359375,0.142620232172471,0.1769079548210333,0.2070765066315959
2,none,1,0.26018099547511314,0.8778625954198473,0.4013961605584643,nan,nan
2,abs,1,0.28604651162790695,0.9389312977099237,0.4385026737967915,0.32309327481871325,0.3826194645064932
3,none,1,0.2937219730941704,0.8851351351351351,0.44107744107744107,nan,nan
3,abs,1,0.37158469945355194,0.918918918918919,0.5291828793774319,0.3073129324794774,0.35451492911486543
4,none,1,0.24261603375527427,0.8518518518518519,0.37766830870279144,nan,nan
4,abs,1,0.24842105263157896,0.8740740740740741,0.38688524590163936,0.2615090632051357,0.3451526161871459
0,none,3,0.21263157894736842,0.6733333333333333,0.3232,nan,nan
0,abs,3,0.26105263157894737,0.8266666666666667,0.3968,0.354405685931792,0.43420701552991214
1,none,3,0.24421052631578946,0.90625,0.384742951907131,nan,nan
1,abs,3,0.2563559322033898,0.9453125,0.4033333333333333,0.3284756556376977,0.4351711500215491
2,none,3,0.26018099547511314,0.8778625954198473,0.4013961605584643,nan,nan
2,abs,3,0.2982005141388175,0.8854961832061069,0.44615384615384623,0.35380467583621866,0.4389644724770302
3,none,3,0.2937219730941704,0.8851351351351351,0.44107744107744107,nan,nan
3,abs,3,0.18105263157894738,0.581081081081081,0.27608346709470305,0.3245659569106715,0.4107850291251548
4,none,3,0.24261603375527427,0.8518518518518519,0.37766830870279144,nan,nan
4,abs,3,0.3088235294117647,0.9333333333333333,0.4640883977900553,0.30386384351852824,0.3714655970480587
0,none,5,0.21263157894736842,0.6733333333333333,0.3232,nan,nan
0,abs,5,0.22736842105263158,0.72,0.3456,0.3634876186444817,0.4577253528674574
1,none,5,0.24421052631578946,0.90625,0.384742951907131,nan,nan
1,abs,5,0.25161290322580643,0.9140625,0.3946037099494098,0.3438627314617115,0.4613618657090946
2,none,5,0.26018099547511314,0.8778625954198473,0.4013961605584643,nan,nan
2,abs,5,0.2553191489361702,0.916030534351145,0.3993344425956739,0.36797254205871727,0.46799451895487054
3,none,5,0.2937219730941704,0.8851351351351351,0.44107744107744107,nan,nan
3,abs,5,0.3211009174311927,0.9459459459459459,0.4794520547945206,0.37293495447358377,0.46747863214205654
4,none,5,0.24261603375527427,0.8518518518518519,0.37766830870279144,nan,nan
4,abs,5,0.26406926406926406,0.9037037037037037,0.40871021775544386,0.3379353526561896,0.46426768605842395
