seed,config,bbox_P,bbox_R,bbox_F1,attn_band_iou
0,with_attn,0.72,0.5,0.5901639344262295,0.194528473427556
0,no_attn,0.8666666666666667,0.5416666666666666,0.6666666666666667,nan
1,with_attn,0.7959183673469388,0.65,0.7155963302752293,0.2134840068952308
1,no_attn,0.9047619047619048,0.6333333333333333,0.7450980392156863,nan
2,with_attn,0.7647058823529411,0.5652173913043478,0.65,0.21384798536261876
2,no_attn,0.5915492957746479,0.6086956521739131,0.6,nan
3,with_attn,0.7058823529411765,0.6575342465753424,0.6808510638297872,0.2313053726733317
3,no_attn,0.6307692307692307,0.5616438356164384,0.5942028985507246,nan
4,with_attn,0.6440677966101694,0.5507246376811594,0.5937500000000001,0.1891750629216555
4,no_attn,0.5666666666666667,0.4927536231884058,0.5271317829457365,nan
