epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.28125,2.05256,3.29714,2.192,0.00422,0.82645,0.13916,0.05532,2.03681,3.89188,2.84349,0.00014,0.00014,0.00014
2,2.75342,1.79982,3.04495,2.1212,0.00468,0.91736,0.21999,0.08984,1.62336,3.60578,2.30505,0.00029703,0.00029703,0.00029703
3,4.25257,1.7954,2.74352,2.03592,0.00485,0.95041,0.17148,0.05918,1.83,3.75597,2.42985,0.000450892,0.000450892,0.000450892
4,5.50239,1.78184,2.54229,2.01355,0.00485,0.95041,0.32605,0.14033,1.72537,3.46181,2.40712,0.000601586,0.000601586,0.000601586
5,6.63686,1.67232,2.5353,1.8652,0.00502,0.98347,0.22482,0.06364,1.64916,3.49906,2.40025,0.000749112,0.000749112,0.000749112
6,7.8846,1.59997,2.24116,1.77602,0.67058,0.06612,0.22977,0.07013,1.97913,3.68215,2.74444,0.00089347,0.00089347,0.00089347
7,9.47157,1.54125,2.25406,1.76786,0.61826,0.20661,0.3466,0.09216,1.93685,3.40802,3.40576,0.00103466,0.00103466,0.00103466
8,10.5157,1.47808,2.15568,1.67634,0.49324,0.31405,0.29199,0.06842,2.04922,3.39173,4.02659,0.00117268,0.00117268,0.00117268
9,11.5364,1.60776,2.24424,1.82529,0.2068,0.35537,0.16434,0.07815,1.65736,3.27546,2.56905,0.00130754,0.00130754,0.00130754
10,12.5145,1.61626,2.20462,1.81882,0.22604,0.33058,0.2227,0.10137,1.56949,2.88173,2.2963,0.00143922,0.00143922,0.00143922
11,13.506,1.55196,2.09126,1.69261,0.29562,0.43704,0.28109,0.1079,1.72807,2.92693,2.43896,0.00156774,0.00156774,0.00156774
12,14.4754,1.54964,2.13293,1.73785,0.36937,0.29752,0.27558,0.10041,1.82973,4.35501,3.00907,0.00169309,0.00169309,0.00169309
13,15.4647,1.47202,2.11323,1.69067,0.56859,0.36364,0.43685,0.16144,1.82598,2.93678,2.44448,0.0017624,0.0017624,0.0017624
14,16.5142,1.602,2.08409,1.7573,0.43144,0.35537,0.40092,0.15552,1.81505,2.8493,2.38526,0.0017426,0.0017426,0.0017426
15,17.5856,1.56697,2.01798,1.76111,0.44158,0.33884,0.3751,0.14986,1.85861,2.76508,2.36969,0.0017228,0.0017228,0.0017228
16,18.8129,1.56019,2.04123,1.80043,0.57724,0.41322,0.39904,0.1546,1.79205,2.74682,2.35089,0.001703,0.001703,0.001703
17,19.8554,1.4563,1.8619,1.71977,0.50667,0.40496,0.41534,0.16771,1.90931,3.06079,2.53874,0.0016832,0.0016832,0.0016832
18,21.0001,1.51419,1.83489,1.77642,0.42594,0.33058,0.32223,0.12585,2.10514,4.57442,2.90214,0.0016634,0.0016634,0.0016634
19,22.24,1.40361,1.76641,1.61384,0.3093,0.34711,0.28044,0.1109,2.15608,5.01823,2.92027,0.0016436,0.0016436,0.0016436
20,23.2056,1.55247,1.83847,1.78224,0.40145,0.3719,0.36222,0.12936,2.05033,3.7195,2.58689,0.0016238,0.0016238,0.0016238
21,24.2023,1.53713,1.8613,1.7855,0.44254,0.37398,0.40479,0.1643,1.96052,3.39682,2.43466,0.001604,0.001604,0.001604
22,25.1613,1.48448,1.85948,1.79219,0.49467,0.35537,0.37208,0.16665,1.99998,3.98982,2.4795,0.0015842,0.0015842,0.0015842
23,26.1306,1.46723,1.83752,1.71231,0.55028,0.47934,0.42043,0.17903,1.80814,3.4624,2.29648,0.0015644,0.0015644,0.0015644
24,27.1484,1.4383,1.80565,1.70534,0.6003,0.43446,0.44947,0.18382,1.82995,2.83213,2.32053,0.0015446,0.0015446,0.0015446
25,28.1903,1.46164,1.79158,1.68215,0.64088,0.42149,0.4628,0.19172,1.95848,2.58905,2.5338,0.0015248,0.0015248,0.0015248
26,29.2299,1.45575,1.65354,1.58544,0.61168,0.52066,0.56453,0.24207,1.71878,2.40812,2.26071,0.001505,0.001505,0.001505
27,30.3072,1.48302,1.74447,1.68298,0.69705,0.36364,0.41829,0.2082,1.57467,2.81821,2.13279,0.0014852,0.0014852,0.0014852
28,31.3182,1.37278,1.63697,1.59637,0.6189,0.44293,0.46703,0.23502,1.57508,2.85634,2.16401,0.0014654,0.0014654,0.0014654
29,32.4532,1.38879,1.73101,1.60578,0.6914,0.4876,0.58223,0.2844,1.54484,2.56948,2.10974,0.0014456,0.0014456,0.0014456
30,33.4868,1.43181,1.72774,1.63431,0.55905,0.6281,0.63386,0.3011,1.58635,2.21874,2.16885,0.0014258,0.0014258,0.0014258
31,34.5299,1.30674,1.48024,1.56662,0.70063,0.6281,0.67167,0.32848,1.66229,2.06525,2.23505,0.001406,0.001406,0.001406
32,35.6209,1.46291,1.61592,1.70731,0.61767,0.67769,0.65843,0.27549,1.71896,2.17103,2.3078,0.0013862,0.0013862,0.0013862
33,36.6063,1.39371,1.5957,1.62498,0.65956,0.57025,0.61158,0.28848,1.66903,2.20518,2.2661,0.0013664,0.0013664,0.0013664
34,37.7254,1.35649,1.57441,1.58523,0.70339,0.47107,0.55922,0.27442,1.70007,2.63851,2.21414,0.0013466,0.0013466,0.0013466
35,38.7697,1.3247,1.52943,1.59122,0.59105,0.52066,0.59515,0.28497,1.75594,2.66191,2.32008,0.0013268,0.0013268,0.0013268
36,39.8101,1.44491,1.58731,1.72605,0.69867,0.55571,0.65819,0.3167,1.7164,2.17299,2.22253,0.001307,0.001307,0.001307
37,40.913,1.28064,1.63714,1.53967,0.79241,0.63096,0.73189,0.37619,1.59198,1.82657,2.01457,0.0012872,0.0012872,0.0012872
38,41.9847,1.27693,1.48651,1.56949,0.70909,0.64463,0.7363,0.38634,1.56567,1.79421,1.98698,0.0012674,0.0012674,0.0012674
39,42.9972,1.3113,1.47153,1.60533,0.70504,0.61238,0.71685,0.36338,1.59729,1.81577,2.04954,0.0012476,0.0012476,0.0012476
40,43.9908,1.31956,1.5706,1.59216,0.72387,0.60331,0.71153,0.34549,1.6148,1.8696,2.061,0.0012278,0.0012278,0.0012278
41,44.9915,1.313,1.46399,1.59977,0.71278,0.67769,0.73394,0.36768,1.56457,1.96252,2.02252,0.001208,0.001208,0.001208
