epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.55719,3.19813,3.94371,4.27766,0.00266,0.52066,0.00411,0.00158,2.81556,3.91711,4.15871,0.00014,0.00014,0.00014
2,3.83504,3.27398,3.86656,4.23953,0.00266,0.52066,0.00435,0.00158,2.81306,3.91991,4.15699,0.00029703,0.00029703,0.00029703
3,5.38527,3.29662,3.83412,4.18891,0.00266,0.52066,0.00435,0.00158,2.81114,3.92438,4.15161,0.000450892,0.000450892,0.000450892
4,6.67399,3.21539,3.82824,4.148,0.00266,0.52066,0.0044,0.00151,2.7957,3.92892,4.13702,0.000601586,0.000601586,0.000601586
5,7.7565,3.40001,3.83532,4.13268,0.00266,0.52066,0.00358,0.0014,2.77817,3.93736,4.1133,0.000749112,0.000749112,0.000749112
6,8.81939,3.42694,3.67942,4.06284,0.00266,0.52066,0.00328,0.00129,2.7465,3.93667,4.06556,0.00089347,0.00089347,0.00089347
7,9.92299,2.99543,3.56117,4.03607,0.00266,0.52066,0.00383,0.0016,2.68963,3.96224,3.96984,0.00103466,0.00103466,0.00103466
8,11.3309,3.07611,3.50334,4.01375,0.00266,0.52066,0.01793,0.00739,2.72025,3.95563,3.90813,0.00117268,0.00117268,0.00117268
9,12.563,3.05208,3.63379,4.00613,0.00266,0.52066,0.02509,0.00774,2.86017,4.02095,3.80041,0.00130754,0.00130754,0.00130754
10,13.8134,3.05025,3.50809,3.95045,0.00266,0.52066,0.01622,0.00571,2.82788,3.82338,3.77727,0.00143922,0.00143922,0.00143922
11,15.0113,3.04681,3.57719,3.8661,0.00266,0.52066,0.00341,0.00134,2.73046,3.75321,4.07363,0.00156774,0.00156774,0.00156774
12,16.1737,3.03522,3.532,3.81103,0.00266,0.52066,0.00595,0.00208,2.68591,3.7939,3.96109,0.00169309,0.00169309,0.00169309
13,17.3348,2.8111,3.58692,3.78697,0.00266,0.52066,0.01588,0.00512,2.72772,3.88757,3.7804,0.0017624,0.0017624,0.0017624
14,18.4439,2.9755,3.54749,3.7235,0.00994,0.39669,0.02894,0.00887,2.89797,4.82879,3.54421,0.0017426,0.0017426,0.0017426
15,19.5839,3.03507,3.54033,3.74474,0.05616,0.30579,0.04538,0.01404,2.85949,5.77911,3.62707,0.0017228,0.0017228,0.0017228
16,20.7782,2.90338,3.51971,3.61234,0.00255,0.47107,0.01936,0.00775,2.64763,3.71886,3.825,0.001703,0.001703,0.001703
17,22.0205,2.81256,3.36281,3.58914,0.09834,0.17355,0.04266,0.01601,2.54415,3.85718,3.41949,0.0016832,0.0016832,0.0016832
18,23.2048,2.81304,3.30127,3.51851,0.18451,0.21488,0.09845,0.04285,2.46269,5.27305,3.373,0.0016634,0.0016634,0.0016634
19,24.8047,2.75078,3.27833,3.39953,0.31486,0.21488,0.14722,0.057,2.29903,4.95583,3.30444,0.0016436,0.0016436,0.0016436
20,25.9592,2.89234,3.26736,3.5099,0.3346,0.32231,0.20466,0.07885,2.17535,5.06599,3.36464,0.0016238,0.0016238,0.0016238
21,27.1021,2.87298,3.39129,3.49145,0.10704,0.44628,0.10672,0.04191,2.11593,10.1496,3.47116,0.001604,0.001604,0.001604
22,28.0986,2.91902,3.26206,3.44368,0.13761,0.19835,0.13951,0.05439,2.10219,9.70016,3.33235,0.0015842,0.0015842,0.0015842
23,29.211,2.7334,3.08592,3.3447,0.07,0.28099,0.0535,0.02039,2.09244,9.69144,3.15712,0.0015644,0.0015644,0.0015644
24,30.3627,2.66324,3.13723,3.32828,0.05437,0.1157,0.04755,0.01953,2.0395,14.7615,3.11815,0.0015446,0.0015446,0.0015446
25,31.3841,2.77193,3.10291,3.34923,0.09208,0.38017,0.08759,0.03188,2.06093,13.0035,3.1522,0.0015248,0.0015248,0.0015248
26,32.6632,2.6856,2.97061,3.20481,0.22584,0.39669,0.17984,0.06212,2.09878,9.91566,3.25741,0.001505,0.001505,0.001505
27,33.9208,2.76563,2.94638,3.2817,0.2648,0.33884,0.21499,0.07793,2.14759,9.15593,3.28214,0.0014852,0.0014852,0.0014852
28,35.0596,2.67478,3.06997,3.27407,0.287,0.21488,0.17341,0.05688,2.25127,7.60372,3.15873,0.0014654,0.0014654,0.0014654
29,36.1917,2.65755,3.10396,3.24925,0.26018,0.24793,0.15305,0.06225,2.24542,7.76709,3.13228,0.0014456,0.0014456,0.0014456
30,37.2479,2.78482,3.10247,3.26197,0.16935,0.39669,0.14535,0.05836,2.09538,6.26909,2.97611,0.0014258,0.0014258,0.0014258
31,38.4031,2.57526,2.9483,3.19504,0.19457,0.2562,0.14081,0.05089,2.00129,6.04328,2.8986,0.001406,0.001406,0.001406
32,39.4291,2.54792,2.93421,3.17254,0.42625,0.13223,0.16951,0.05787,1.92067,6.26334,2.85471,0.0013862,0.0013862,0.0013862
33,40.6293,2.64098,2.86664,3.24783,0.17432,0.2314,0.19734,0.06771,1.9226,5.52658,2.83727,0.0013664,0.0013664,0.0013664
34,41.8209,2.5656,2.89891,3.13131,0.19839,0.39669,0.23614,0.08265,1.8897,5.43345,2.80806,0.0013466,0.0013466,0.0013466
35,42.8322,2.61548,2.90831,3.15393,0.27599,0.41322,0.24162,0.08127,1.90151,4.92473,2.77887,0.0013268,0.0013268,0.0013268
36,44.0306,2.60286,2.91658,3.18264,0.26171,0.38017,0.22853,0.08131,1.91627,3.75249,2.70787,0.001307,0.001307,0.001307
37,45.0988,2.61189,2.96691,3.06731,0.41028,0.38843,0.32732,0.12507,1.88596,3.25978,2.6694,0.0012872,0.0012872,0.0012872
38,46.2911,2.55831,2.83188,3.06195,0.34567,0.43802,0.25397,0.11306,1.87127,3.30836,2.68258,0.0012674,0.0012674,0.0012674
39,47.3986,2.56181,2.66124,3.01382,0.38681,0.33058,0.28841,0.12528,1.917,3.24179,2.71793,0.0012476,0.0012476,0.0012476
40,48.4691,2.50181,2.83599,3.1291,0.47833,0.28926,0.27152,0.11536,1.94813,3.02487,2.71423,0.0012278,0.0012278,0.0012278
41,49.4727,2.56296,2.78817,3.00688,0.42187,0.34377,0.30817,0.14358,1.93015,2.67141,2.67181,0.001208,0.001208,0.001208
42,50.4737,2.43125,2.71034,2.93268,0.43077,0.44628,0.33794,0.16129,1.83588,2.61908,2.60484,0.0011882,0.0011882,0.0011882
43,51.5639,2.45854,2.7882,3.03727,0.39043,0.45455,0.29286,0.13291,1.86582,2.63054,2.62253,0.0011684,0.0011684,0.0011684
