epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.70626,1.90493,2.77972,2.11355,0.00447,0.98148,0.34359,0.11719,1.59444,3.52694,2.36617,0.00038,0.00038,0.00038
2,3.35176,1.62633,2.36077,1.8617,0.20296,0.43519,0.26418,0.07809,1.90553,3.50638,2.83917,0.000772278,0.000772278,0.000772278
3,4.92258,1.5938,2.12682,1.78973,0.53929,0.4537,0.41512,0.20639,1.51613,3.01367,2.4313,0.00115664,0.00115664,0.00115664
4,6.54007,1.60875,2.10969,1.85505,0.71344,0.44444,0.48249,0.15168,1.67046,3.0297,3.25906,0.00153307,0.00153307,0.00153307
5,8.14213,1.69247,2.26727,1.94835,0.4601,0.4537,0.37967,0.14632,1.70416,5.1615,3.14009,0.00190159,0.00190159,0.00190159
6,10.0275,1.6382,2.12582,1.93338,0.54707,0.50926,0.42163,0.19056,1.61765,4.48249,2.66213,0.001901,0.001901,0.001901
7,11.5691,1.57883,2.04152,1.82715,0.58885,0.50395,0.51869,0.232,1.63677,5.31179,2.25153,0.0018812,0.0018812,0.0018812
8,13.1316,1.60839,1.90078,1.818,0.53012,0.50926,0.55702,0.21052,1.8312,4.89973,2.38276,0.0018614,0.0018614,0.0018614
9,14.6751,1.58455,1.92833,1.88766,0.66179,0.61111,0.66116,0.31899,1.58424,2.8629,2.12025,0.0018416,0.0018416,0.0018416
10,16.1987,1.53506,1.83416,1.79718,0.713,0.67593,0.7243,0.3373,1.65405,2.31584,2.22798,0.0018218,0.0018218,0.0018218
11,17.738,1.52224,1.72349,1.74767,0.80624,0.59259,0.67979,0.31841,1.60925,2.96312,2.33312,0.001802,0.001802,0.001802
12,19.237,1.46646,1.65832,1.71188,0.40865,0.42872,0.31144,0.15115,1.6518,3.26357,2.2555,0.0017822,0.0017822,0.0017822
13,20.7541,1.44318,1.60218,1.69958,0.82495,0.63889,0.73067,0.38768,1.49927,2.05668,2.07969,0.0017624,0.0017624,0.0017624
14,22.2528,1.43395,1.59043,1.71903,0.73881,0.73335,0.82542,0.3825,1.53065,1.71582,2.04397,0.0017426,0.0017426,0.0017426
