epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.71029,3.27126,3.75082,4.19606,0.0027,0.59259,0.00554,0.00216,2.64383,3.94748,4.15151,0.00038,0.00038,0.00038
2,3.64282,3.21328,3.75865,4.1394,0.0027,0.59259,0.00544,0.00211,2.60173,3.93737,4.09205,0.000772278,0.000772278,0.000772278
3,5.48691,2.99185,3.56337,3.99558,0.0027,0.59259,0.00984,0.00384,2.54302,4.03597,3.84466,0.00115664,0.00115664,0.00115664
4,7.32511,2.975,3.46652,3.84514,0.0027,0.59259,0.0957,0.03039,2.63597,4.59762,3.7191,0.00153307,0.00153307,0.00153307
5,8.76719,3.01686,3.52635,3.70328,0.00266,0.58333,0.0849,0.03259,2.62737,4.24782,3.60938,0.00190159,0.00190159,0.00190159
6,10.4582,3.04098,3.4456,3.68696,0.00993,0.4537,0.01523,0.00533,2.69153,5.79038,3.62923,0.001901,0.001901,0.001901
7,11.9093,2.7925,3.3169,3.54236,0.02041,0.13889,0.01226,0.00421,2.51,4.5746,3.48645,0.0018812,0.0018812,0.0018812
8,13.4594,2.88079,3.32873,3.56015,0.0274,0.12963,0.01714,0.00523,2.43536,11.3483,3.55949,0.0018614,0.0018614,0.0018614
9,15.0463,2.78832,3.22138,3.44212,0.10448,0.06481,0.03207,0.01194,2.27377,14.3096,3.97384,0.0018416,0.0018416,0.0018416
10,16.5974,2.66255,3.09265,3.34498,0.20563,0.19444,0.12338,0.03621,2.38996,4.47404,3.89646,0.0018218,0.0018218,0.0018218
11,18.1784,2.63514,2.9931,3.26203,0.10735,0.24074,0.07728,0.02342,2.2727,4.25163,3.33541,0.001802,0.001802,0.001802
