epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.0125,3.26148,3.69879,4.18493,0.00248,0.5303,0.00519,0.00194,2.69615,3.90229,4.13012,0.00054,0.00054,0.00054
2,3.94488,3.21717,3.67848,4.0729,0.00248,0.5303,0.01084,0.00395,2.54835,3.91712,4.00163,0.00108911,0.00108911,0.00108911
3,5.93368,3.10503,3.52866,3.91547,0.00262,0.56061,0.02273,0.01079,2.50463,3.92028,3.76938,0.00162713,0.00162713,0.00162713
4,7.86382,3.08779,3.47811,3.76672,0.02527,0.40909,0.01983,0.00773,2.62,8.06301,3.65716,0.0019406,0.0019406,0.0019406
5,9.74409,2.87674,3.2785,3.57654,0.4287,0.33333,0.23406,0.06817,2.18313,9.06447,3.07344,0.0019208,0.0019208,0.0019208
6,12.1073,2.93539,3.26611,3.51625,0.17152,0.28788,0.12371,0.04163,2.26798,3.88403,3.34346,0.001901,0.001901,0.001901
7,13.9968,2.86316,3.15361,3.38309,0.15427,0.10606,0.08408,0.03319,2.77512,6.51172,4.10642,0.0018812,0.0018812,0.0018812
8,15.9043,2.70888,2.99694,3.26304,0.27784,0.24242,0.17942,0.07036,2.15637,3.4118,2.94413,0.0018614,0.0018614,0.0018614
9,17.8869,2.69685,2.96373,3.18088,0.26064,0.56061,0.24104,0.08245,1.98414,7.09679,2.74181,0.0018416,0.0018416,0.0018416
10,19.8087,2.62627,2.9614,3.20422,0.3225,0.10606,0.09799,0.0535,2.1039,4.36072,3.29185,0.0018218,0.0018218,0.0018218
11,21.7115,2.55222,2.85689,3.03791,0.40106,0.30303,0.30484,0.12604,1.92424,4.0885,2.80451,0.001802,0.001802,0.001802
12,23.6438,2.52721,2.86691,2.97836,0.23214,0.42424,0.13775,0.05408,2.08339,3.61105,2.85958,0.0017822,0.0017822,0.0017822
13,25.5276,2.41908,2.7328,2.88212,0.27584,0.34848,0.22329,0.09654,1.92861,2.67127,2.6828,0.0017624,0.0017624,0.0017624
14,27.4026,2.36175,2.80907,2.86394,0.2635,0.4697,0.30798,0.11722,2.09182,4.02322,2.70434,0.0017426,0.0017426,0.0017426
15,29.3002,2.30468,2.68734,2.82538,0.29534,0.31818,0.21594,0.07136,1.947,5.59579,2.67233,0.0017228,0.0017228,0.0017228
