train_frac,seed,config,lam_att,bbox_P,bbox_R,bbox_F1,attn_band_iou,attn_gap
0.8,10,none,-,0.6914893617021277,0.6372549019607843,0.663265306122449,nan,nan
0.8,10,abs,0.7,0.7475728155339806,0.7549019607843137,0.751219512195122,0.2806233127651369,0.33479931164038135
0.8,10,abs,1,0.7647058823529411,0.7647058823529411,0.7647058823529412,0.2617259667732078,0.2796534120570868
0.8,11,none,-,0.61,0.6421052631578947,0.6256410256410256,nan,nan
0.8,11,abs,0.7,0.2536231884057971,0.3684210526315789,0.3004291845493562,0.26713315148332006,0.3327445140251169
0.8,11,abs,1,0.6551724137931034,0.4,0.49673202614379086,0.24739890032544234,0.276907907772599
0.8,12,none,-,0.631578947368421,0.6382978723404256,0.6349206349206349,nan,nan
0.8,12,abs,0.7,0.6,0.6702127659574468,0.6331658291457287,0.279400349873142,0.400791722867224
0.8,12,abs,1,0.6222222222222222,0.5957446808510638,0.608695652173913,0.27957468128931695,0.39029507356001036
0.8,13,none,-,0.6346153846153846,0.38372093023255816,0.4782608695652174,nan,nan
0.8,13,abs,0.7,0.6923076923076923,0.5232558139534884,0.5960264900662252,0.2913105374551399,0.3746026764912087
0.8,13,abs,1,0.640625,0.47674418604651164,0.5466666666666666,0.30102483206752817,0.4006418958528056
0.8,14,none,-,0.6206896551724138,0.6,0.6101694915254238,nan,nan
0.8,14,abs,0.7,0.625,0.2777777777777778,0.3846153846153846,0.21400072340780724,0.2640912923716314
0.8,14,abs,1,0.7875,0.7,0.7411764705882352,0.26963089821583763,0.331880500929401
0.8,15,none,-,0.6914893617021277,0.6310679611650486,0.6598984771573605,nan,nan
0.8,15,abs,0.7,0.7920792079207921,0.7766990291262136,0.7843137254901961,0.27683186859771336,0.3277624088987068
0.8,15,abs,1,0.7280701754385965,0.8058252427184466,0.7649769585253456,0.2892484478014994,0.37653584335930645
0.8,16,none,-,0.6567164179104478,0.44,0.5269461077844311,nan,nan
0.8,16,abs,0.7,0.8115942028985508,0.56,0.6627218934911243,0.2556752709527021,0.3242852866569592
0.8,16,abs,1,0.7671232876712328,0.56,0.6473988439306358,0.2681979702646616,0.3306760713858239
0.8,17,none,-,0.6923076923076923,0.6428571428571429,0.6666666666666666,nan,nan
0.8,17,abs,0.7,0.6593406593406593,0.6122448979591837,0.6349206349206349,0.2258857622912283,0.2642230121527973
0.8,17,abs,1,0.7640449438202247,0.6938775510204082,0.7272727272727273,0.24348775542037124,0.28048529712577874
0.8,18,none,-,0.4,0.43037974683544306,0.4146341463414635,nan,nan
0.8,18,abs,0.7,0.676923076923077,0.5569620253164557,0.611111111111111,0.18289425443879956,0.18807704181554505
0.8,18,abs,1,0.7727272727272727,0.6455696202531646,0.7034482758620689,0.2555257978122681,0.2996144645647811
0.8,19,none,-,0.65625,0.6363636363636364,0.6461538461538462,nan,nan
0.8,19,abs,0.7,0.6962025316455697,0.5555555555555556,0.6179775280898877,0.29112933854081047,0.3898816046689356
0.8,19,abs,1,0.8082191780821918,0.5959595959595959,0.686046511627907,0.2975013576404501,0.37573087454906534
